"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MMM","3M Company","218.27","130256365175.69","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"ABT","Abbott Laboratories","55.77","96897210833.28","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","96.04","153096854795.92","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"AET","Aetna Inc.","157.43","52282503000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"ALXN","Alexion Pharmaceuticals, Inc.","140.24","31299498758.8","n/a","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn",
"ALGN","Align Technology, Inc.","194.23","15567649872.62","n/a","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn",
"AGN","Allergan plc.","187.15","62565403271.35","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agn",
"ALNY","Alnylam Pharmaceuticals, Inc.","117.55","10783257525.95","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny",
"ABC","AmerisourceBergen Corporation (Holding Co)","80.49","17636289866.85","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"AMGN","Amgen Inc.","186.28","135923816714.44","n/a","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"ANTM","Anthem, Inc.","191.79","50361117503.31","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antm",
"ANTX","Anthem, Inc.","51.37","13612341607.7","n/a","2015","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antx",
"AZN","Astrazeneca PLC","34.65","87727829250.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"BAX","Baxter International Inc.","63.84","34784559149.76","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bax",
"BDX","Becton, Dickinson and Company","207.72","47269795360.68","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bdx",
"BIIB","Biogen Inc.","344.58","72855151036.68","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/biib",
"BMRN","BioMarin Pharmaceutical Inc.","88.62","15532278607.02","n/a","1999","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmrn",
"BSX","Boston Scientific Corporation","29.52","40505190338.88","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bsx",
"BMY","Bristol-Myers Squibb Company","63.7","104463314610.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmy",
"BCR","C.R. Bard, Inc.","327","23763593907","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"CAH","Cardinal Health, Inc.","64.7","20394467241.9","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/cah",
"CELG","Celgene Corporation","137.17","107315041678.24","n/a","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celg",
"CNC","Centene Corporation","93.54","16133372581.62","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cnc",
"CI","Cigna Corporation","189.36","47676704992.56","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ci",
"COO","Cooper Companies, Inc. (The)","235.78","11541251807.2","n/a","n/a","Health Care","Ophthalmic Goods","http://www.nasdaq.com/symbol/coo",
"CVS","CVS Health Corporation","74.1","75327446344.8","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/cvs",
