RESULT_COUNT: 412,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
,,,BD Statement On European Commission Conditional Clearance Of Bard Acquisition,2017-10-18 14:17:00 +0000,https://finance.yahoo.com/news/bd-statement-european-commission-conditional-141700372.html?.tsrc=rss,"""We continue to make good progress on the Bard acquisition and the conditional clearance from the European Commission is a positive step forward,"" said Vincent A. Forlenza, chairman and CEO of BD.  ""As expected, we have committed to divesting certain assets associated with our soft tissue core needle biopsy product line, which we acquired with CareFusion, to satisfy the conditions to closing requested by the European Commission."
BCR,BCR:US,BBG000BCYP43,BD Statement On European Commission Conditional Clearance Of Bard Acquisition,2017-10-18 14:17:00 +0000,https://finance.yahoo.com/news/bd-statement-european-commission-conditional-141700372.html?.tsrc=rss,"""We continue to make good progress on the Bard acquisition and the conditional clearance from the European Commission is a positive step forward,"" said Vincent A. Forlenza, chairman and CEO of BD.  ""As expected, we have committed to divesting certain assets associated with our soft tissue core needle biopsy product line, which we acquired with CareFusion, to satisfy the conditions to closing requested by the European Commission."
BCR,BCR:US,BBG000BCYP43,Can CR Bard (BCR) Spring a Surprise This Earnings Season?,2017-10-17 12:27:12 +0000,https://finance.yahoo.com/news/cr-bard-bcr-spring-surprise-122712476.html?.tsrc=rss,We believe that the growing adoption of the company&apos;s flagship Lutonix drug coated-balloon will result in improved performance for CR Bard (BCR) in Q3.
,,,Can CR Bard (BCR) Spring a Surprise This Earnings Season?,2017-10-17 12:27:12 +0000,https://finance.yahoo.com/news/cr-bard-bcr-spring-surprise-122712476.html?.tsrc=rss,We believe that the growing adoption of the company&apos;s flagship Lutonix drug coated-balloon will result in improved performance for CR Bard (BCR) in Q3.
BCR,BCR:US,BBG000BCYP43,EU mergers and takeovers (Oct 16),2017-10-16 15:06:53 +0000,https://finance.yahoo.com/news/eu-mergers-takeovers-oct-16-150653025.html?.tsrc=rss,The following are mergers under review by the European Commission and a brief guide to the EU merger process: APPROVALS AND WITHDRAWALS -- Swiss food company Nestle to acquire sole control of Beverage ...
,,,EU mergers and takeovers (Oct 16),2017-10-16 15:06:53 +0000,https://finance.yahoo.com/news/eu-mergers-takeovers-oct-16-150653025.html?.tsrc=rss,The following are mergers under review by the European Commission and a brief guide to the EU merger process: APPROVALS AND WITHDRAWALS -- Swiss food company Nestle to acquire sole control of Beverage ...
BCR,BCR:US,BBG000BCYP43,5 MedTech Momentum Picks Investors Will Love,2017-10-13 15:17:51 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Njc2Q1-CJu0/5-medtech-momentum-picks-investors-will-love-cm859334,The MedTech space received a sudden jolt on late night Thursday when White House pulled the plug on Obamacare subsidies that reduce health care costs for Americans with low incomes This comes as no surprise for the lukewarm response to its replacement The American Health Care Act AHCA
,,,5 MedTech Momentum Picks Investors Will Love,2017-10-13 15:17:51 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Njc2Q1-CJu0/5-medtech-momentum-picks-investors-will-love-cm859334,The MedTech space received a sudden jolt on late night Thursday when White House pulled the plug on Obamacare subsidies that reduce health care costs for Americans with low incomes This comes as no surprise for the lukewarm response to its replacement The American Health Care Act AHCA
BCR,BCR:US,BBG000BCYP43,"Daily Dividend Report: BCR, XYL, EQT, MMS, TEX, ITT",2017-10-12 21:12:15 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lm-F-sh6bWE/daily-dividend-report-bcr-xyl-eqt-mms-tex-itt-cm859053,C R Bard BCR declared a regular quarterly dividend of 26 cents per share on Bard s common stock In connection with the pending merger with Becton Dickinson amp Company the quarterly dividend will be payable on December 29 2017 to shareholders of record at the close of business
,,,"Daily Dividend Report: BCR, XYL, EQT, MMS, TEX, ITT",2017-10-12 21:12:15 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lm-F-sh6bWE/daily-dividend-report-bcr-xyl-eqt-mms-tex-itt-cm859053,C R Bard BCR declared a regular quarterly dividend of 26 cents per share on Bard s common stock In connection with the pending merger with Becton Dickinson amp Company the quarterly dividend will be payable on December 29 2017 to shareholders of record at the close of business
