RESULT_COUNT: 506,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
BLUE,BLUE:UW,BBG004KB4FS6,"Celgene Could Be the Best CAR-T Stock to Buy, Not Gilead Sciences",2017-10-20 11:31:00 +0000,https://finance.yahoo.com/news/celgene-could-best-car-t-113100536.html?.tsrc=rss,Celgene&apos;s partnership strategy gives it exposure to multiple companies&apos; research on next-generation cell therapy.
BLUE,BLUE:UW,BBG004KB4FS6,Does Gilead Now Have A New Multi-Billion-Dollar Franchise?,2017-10-19 20:48:18 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/p7Athhyn3y0/does-gilead-now-have-a-new-multi-billion-dollar-franchise-cm861865,Gilead Sciences GILD jumped early Thursday after the Food and Drug Administration approved what is known as a CAR T drug dubbed Yescarta to treat an aggressive form of non Hodgkin lymphoma ibd display video id 2381354 width 50 float left autostart true The late
BLUE,BLUE:UW,BBG004KB4FS6,Celgene Blood Cancer Treatment: Just The Tip Of Its Disruptive Science?,2017-10-17 21:51:36 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/CEItNXh7o0I/celgene-blood-cancer-treatment-just-the-tip-of-its-disruptive-science-cm859983,Celgene CELG a pioneer and leading player in blood cancer treatment has become a biotech juggernaut thanks largely to a drug that proved key in fighting the tricky disease multiple myeloma ibd display video id 2326965 width 50 float left autostart true In multiple
BLUE,BLUE:UW,BBG004KB4FS6,"HIIQ In Good Health, BOLD Awaits ASPIRO Data, CELESTIAL Lights Up EXEL",2017-10-16 21:48:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4hhrQ3h8PGQ/hiiq-in-good-health-bold-awaits-aspiro-data-celestial-lights-up-exel-20171016-01420,"HIIQ In Good Health, BOLD Awaits ASPIRO Data, CELESTIAL Lights Up EXEL"
BLUE,BLUE:UW,BBG004KB4FS6,Kite Pharma Cancer Treatment Stands Out In Hot CAR-T Field,2017-10-16 13:18:50 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/I9RrLF1kayM/kite-pharma-cancer-treatment-stands-out-in-hot-car-t-field-cm859985,Kite Pharma is edging closer to approval for a cutting edge cancer treatment that fights the disease by rebuilding a patient s own cells 160 a technology that could benefit thousands of people and pave the way for blockbuster drugs ibd display video id 2326965 width 50 float
BLUE,BLUE:UW,BBG004KB4FS6,Buying And Selling Stocks Right Are Keys To This Top Mutual Fund's Success,2017-10-16 13:18:37 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lW-8hJhOEQA/buying-and-selling-stocks-right-are-keys-to-this-top-mutual-funds-success-cm859982,Victory RS Small Cap Growth Fund RSEGX has been a dominant force among small growth stock funds in 2017 RS Investments chief investment officer Scott Tracy and his team have delivered a stellar performance with a focus on risk adjusted returns Mr Tracy comanages the 1 6
BLUE,BLUE:UW,BBG004KB4FS6,Today's Research Reports on Stocks to Watch: MannKind Corporation and Bluebird Bio,2017-10-12 12:10:00 +0000,https://finance.yahoo.com/news/todays-research-reports-stocks-watch-121000367.html?.tsrc=rss,"NEW YORK, NY / ACCESSWIRE / October 12, 2017 / MannKind and bluebird bio both dipped into red territory on Wednesday. Despite no negative news from bluebird, shares still sank nearly 5%. Shares of Mannkind, ..."
BLUE,BLUE:UW,BBG004KB4FS6,"IWM, BLUE, STL, AZPN: ETF Outflow Alert",2017-10-10 17:10:18 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kYf6x6GzO4c/iwm-blue-stl-azpn-etf-outflow-alert-cm857625,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares Russell 2000 ETF Symbol IWM where we have detected an approximate 255 1 million dollar outflow that s a 0 6 decrease week over week from 277 800
BLUE,BLUE:UW,BBG004KB4FS6,Why CRISPR Therapeutics AG Stock Lost Ground in September,2017-10-10 15:14:49 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QTGam1ti-IY/why-crispr-therapeutics-ag-stock-lost-ground-in-september-cm857463,What happened According to data from S amp P Global Market Intelligence shares of the gene editing company CRISPR Therapeutics NASDAQ CRSP dropped by 13 1 in September CRISPR s poor showing last month appears to stem from nothing more than investors simply shifting
BLUE,BLUE:UW,BBG004KB4FS6,bluebird bio to Present at Chardan Gene Therapy Conference,2017-10-06 20:16:00 +0000,https://finance.yahoo.com/news/bluebird-bio-present-chardan-gene-201600631.html?.tsrc=rss,"bluebird bio, Inc. , a clinical-stage company committed to developing potentially transformative gene therapies for serious genetic diseases and T cell-based immunotherapies for cancer, today announced that members of the management team will present at the Chardan Gene Therapy Conference on Tuesday, October 10, 3:00 pm ET at the Westin Grand Central, New York City."
BLUE,BLUE:UW,BBG004KB4FS6,bluebird bio Announces Publication of Interim Data from Starbeam Study of Lenti-DTM Drug Product in Patients with Cerebral Adrenoleukodystrophy (CALD) in The New England Journal of Medicine,2017-10-04 19:00:00 +0000,https://finance.yahoo.com/news/bluebird-bio-announces-publication-interim-190000886.html?.tsrc=rss,"bluebird bio, Inc. , a clinical-stage company committed to developing potentially transformative gene therapies for serious genetic diseases and T cell-based immunotherapies for cancer, today announced that interim data from an initial cohort of 17 patients in the ongoing Phase 2/3 Starbeam Study evaluating Lenti-D™ investigational gene therapy in boys with cerebral adrenoleukodystrophy were published ..."
BLUE,BLUE:UW,BBG004KB4FS6,Analysts Act on Health Care Stocks,2017-10-04 11:53:17 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/2vOBEp3EP-4/analysts-act-on-health-care-stocks-cm854988,Analysts have taken action on some health care stocks Analysts have taken action on some health care stocks Among the health care companies that saw their stocks re rated by investment banking and financial services companies are AbbVie ABBV and two mid caps bluebird bio BLUE
BLUE,BLUE:UW,BBG004KB4FS6,"Why bluebird bio, Inc. Stock Gained 10% in September",2017-10-03 14:42:00 +0000,http://finance.yahoo.com/r/ac489f4c-ad0c-3b68-b4f6-1d2695b54d3a/why-bluebird-bio-inc-stock-gained-10-in-september.aspx?yptr=yahoo&.tsrc=rss,Another licensing deal with an important partner bodes well for the clinical-stage biotech.
BLUE,BLUE:UW,BBG004KB4FS6,Why Bluebird's Downgrade Sent These Two Rivals Skyrocketing,2017-10-02 20:48:16 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qCaFqfJamf0/why-bluebirds-downgrade-sent-these-two-rivals-skyrocketing-cm854190,Bluebird Bio BLUE toppled to a four week low Monday 160 as an analyst downgraded the stock on doubts regarding its sickle cell disease drug 160 sending shares of rivals Crispr Therapeutics CRSP and Editas Medicine EDIT
BLUE,BLUE:UW,BBG004KB4FS6,Why Bluebird&apos;s Downgrade Sent These Two Rivals Skyrocketing,2017-10-02 20:10:03 +0000,http://finance.yahoo.com/r/eda14fae-3cce-3a4d-a18f-dbd74a86cec2/bluebird-downgrade-sent-crispr-editas-stock-skyrocketing?src=A00220&yptr=yahoo&.tsrc=rss,Bluebird toppled to a four-week low Monday as an analyst downgraded the stock on doubts regarding its sickle cell disease drug.
BLUE,BLUE:UW,BBG004KB4FS6,Bluebird Bio: So Much for That Gilead Boost,2017-10-02 19:56:00 +0000,http://finance.yahoo.com/r/7ffe85c6-5d44-3a05-8ed7-4a34596036cc/bluebird-bio-so-much-for-that-gilead-boost-1506974212?mod=yahoobarrons&ru=yahoo&yptr=yahoo&.tsrc=rss,"When Gilead Sciences (GILD) announced its acquisition of Kite Pharma (KITE), every company that had exposure to CAR-T --a type of cancer therapy that could allow for the creation of personalized drugs--got ..."
BLUE,BLUE:UW,BBG004KB4FS6,Here's Why Bluebird Bio (BLUE) Stock Is Falling Today,2017-10-02 17:46:06 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yT5eEkQXjNs/heres-why-bluebird-bio-blue-stock-is-falling-today-cm854044,Shares of Bluebird Bio BLUE a major player in the emerging gene therapy and CAR T research markets slumped more than 6 in morning trading Monday after receiving a key analyst downgrade In a note to clients Morgan Stanley downgraded the biotech firm from Equal weight to Underweight
BLUE,BLUE:UW,BBG004KB4FS6,"IWM, RFAP: Big ETF Outflows",2017-10-02 16:49:01 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/GSLbaSdrI64/iwm-rfap-big-etf-outflows-cm853998,Looking at units outstanding versus one week prior within the universe of ETFs covered at ETF Channel the biggest outflow was seen in the iShares Russell 2000 ETF IWM where 7 550 000 units were destroyed or a 2 6 decrease week over week Among the largest underlying components of IWM
BLUE,BLUE:UW,BBG004KB4FS6,Here&apos;s Why Bluebird Bio (BLUE) Stock Is Falling Today,2017-10-02 16:00:04 +0000,https://finance.yahoo.com/news/apos-why-bluebird-bio-blue-160004488.html?.tsrc=rss,"Shares of Bluebird Bio (BLUE), a major player in the emerging gene therapy and CAR-T research markets, slumped more than 6% in morning trading Monday after receiving a key analyst downgrade."
BLUE,BLUE:UW,BBG004KB4FS6,"Morning Movers: Sarepta Jumps, Bluebird Bio Drops, MGM Slumps",2017-10-02 14:46:20 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/tHcrtGeIWuQ/morning-movers-sarepta-jumps-bluebird-bio-drops-mgm-slumps-cm853815,Stocks look set for a higher open this morning despite a shooting in Las Vegas as China s official purchasing managers index rose to its highest level since 2012 Stocks look set for a higher open this morningdespite a shooting in Las Vegas asChina sChina s official purchasing
BLUE,BLUE:UW,BBG004KB4FS6,Featured Company News - Bluebird Bio Declares Treatment of 1st Patient with 2nd Anti-BCMA CAR T bb21217 in CRB-402 Phase-1 Study,2017-10-02 11:40:00 +0000,https://finance.yahoo.com/news/featured-company-news-bluebird-bio-114000126.html?.tsrc=rss,"LONDON, UK / ACCESSWIRE / October 2, 2017 / Pro-Trader Daily takes a look at the latest corporate events and news making the headlines for Bluebird Bio, Inc. (NASDAQ: BLUE ), following which we have published ..."
BLUE,BLUE:UW,BBG004KB4FS6,Big Dose Of Healthy News Sends Biotech Stocks To New Heights,2017-09-29 20:35:49 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/3FWQwxHomzs/big-dose-of-healthy-news-sends-biotech-stocks-to-new-heights-cm853272,Biotech news aplenty has breathed renewed life into the sector driving 160 those stocks to new highs ibd display video id 2324623 width 50 float left autostart true Zogenix ZGNX on Friday spiked more than 140 nearing a four year high after reporting positive Phase
BLUE,BLUE:UW,BBG004KB4FS6,Why Biotech and Tech Will Push Stocks Higher In 4Q,2017-09-29 14:54:00 +0000,http://finance.yahoo.com/r/7401e074-5696-3c53-a9d6-89edc9f17f89/why-biotech-and-tech-will-push-stocks-higher-4q?partner=YahooSA&yptr=yahoo&.tsrc=rss,"The tech and biotech sectors have buoyed the broader market this year, and they're not letting up anytime soon."
BLUE,BLUE:UW,BBG004KB4FS6,"Morning Movers: Conn's Climbs, JB Hunt Soars, Goldcorp Gains",2017-09-29 14:33:26 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/E_DFPxYL9Vc/morning-movers-conns-climbs-jb-hunt-soars-goldcorp-gains-cm853029,Stocks looks set for a mixed open this morning as September normally the market s worst month looks set to close with solid gains Stocks looks set for a mixed open this morning as September normally the market s worst month looks set toclose with solid gains
BLUE,BLUE:UW,BBG004KB4FS6,Should You Be Concerned About bluebird bio Inc’s (BLUE) Risks?,2017-09-29 12:37:08 +0000,https://finance.yahoo.com/news/concerned-bluebird-bio-inc-blue-123708359.html?.tsrc=rss,"For bluebird bio Inc’s (NASDAQ:BLUE) shareholders, and also potential investors in the stock, understanding how the stock’s risk and return characteristics can impact your portfolio is important. The beta measuresRead More..."
