RESULT_COUNT: 607,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
CAH,CAH:US,BBG000D898T9,See what the IHS Markit Score report has to say about Cardinal Health Inc.,2017-10-18 12:01:17 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120117235.html?.tsrc=rss,Cardinal Health Inc NYSE:CAH
CAH,CAH:US,BBG000D898T9,Shanghai Pharma bids for U.S. Cardinal Health's China business,2017-10-18 11:42:46 +0000,https://finance.yahoo.com/news/shanghai-pharma-bids-u-cardinal-114246513.html?.tsrc=rss,"Shanghai Pharmaceuticals  Holding Co has bid for Cardinal Health Inc's  China business as the U.S. company looks to sell ahead of  China's planned drug distribution reform.  Shanghai Pharma submitted two non-binding bids to buy  Cardinal Health China, one of the country's largest drug  distributors, on July 21 and Sept. 15, it said in a filing with  the Shanghai stock exchange on Wednesday.  Reuters first reported in July that Cardinal Health had put  its China business up for sale in a deal that could fetch  between $1.2 billion and $1.5 billion."
CAH,CAH:US,BBG000D898T9,Shanghai Pharma says bid for U.S. Cardinal Health's China business,2017-10-18 10:41:01 +0000,https://finance.yahoo.com/news/shanghai-pharma-says-bid-u-104101560.html?.tsrc=rss,"Shanghai Pharmaceuticals  Holding Co said it has bid for Cardinal Health Inc's  China business, as the U.S. drug distributor looks to  exit over worries China's upcoming drug distribution reform  could slow its growth.  Shanghai Pharma submitted two non-binding bids to buy  Cardinal Health China, one of the country's largest drug  distributors, on July 21 and September 15, it said in a filing  with the Shanghai stock exchange on Wednesday.  Reuters first reported in July that Cardinal Health had put  its China business up for sale, in a deal that could fetch about  $1.2 billion to $1.5 billion."
CAH,CAH:US,BBG000D898T9,Cardinal Health to Webcast Discussion of First-Quarter Results for Fiscal Year 2018 on November 6,2017-10-17 12:30:00 +0000,https://finance.yahoo.com/news/cardinal-health-webcast-discussion-first-123000427.html?.tsrc=rss,"DUBLIN, Ohio , Oct. 17, 2017 /PRNewswire/ -- Cardinal Health (NYSE: CAH) plans to release first-quarter financial results for its fiscal year 2018 on November 6 prior to the opening of trading on the New ..."
CAH,CAH:US,BBG000D898T9,"DEA Whistleblower Blasts Drug Distributors, Congress Over Opioid ‘Collusion’",2017-10-16 13:29:33 +0000,https://finance.yahoo.com/news/dea-whistleblower-blasts-drug-distributors-132933324.html?.tsrc=rss,New report highlights revolving door between DEA and industry.
CAH,CAH:US,BBG000D898T9,"Cardinal Health, Inc. : CAH-US: Dividend Analysis : October 02nd, 2017 (record date) : By the numbers : October 16, 2017",2017-10-16 13:29:27 +0000,http://finance.yahoo.com/r/345212ba-f980-3cd8-b82d-144fbf3dd593/cardinal-health-inc-cah-us-dividend-analysis-october-02nd-2017-record-date-by-the-numbers-october-16-2017?yptr=yahoo&.tsrc=rss,"Categories:  Yahoo FinanceGet free summary analysis Our analysis is based on comparing Cardinal Health, Inc. with the following peers – McKesson Corporation, AmerisourceBergen Corporation, Henry Schein, Inc., CVS Health Corporation, Herbalife Ltd., Patterson Companies, Inc., Owens & Minor, Inc., Teleflex Incorporated, Premier Inc. Class A and Rite Aid Corporation (MCK-US, ABC-US, HSIC-US, CVS-US, HLF-US, PDCO-US, OMI-US, TFX-US, ... Read more
<b>(Read more...)</b>"
CAH,CAH:US,BBG000D898T9,Trump to scrap a crucial part of Obamacare,2017-10-13 14:38:00 +0000,https://finance.yahoo.com/video/trump-amputates-crucial-part-obamacare-143845976.html?.tsrc=rss,The White House is eliminating a crucial part of the Affordable Care Act. President Donald Trump wants to immediately stop payments to insurers. The administration said the government cannot legally continue to make payments. Yahoo Finance’s Alexis Christoforous and Rick Newman figure out how this will impact the insurance industry and patients.
CAH,CAH:US,BBG000D898T9,Cramer's lightning round: Let Nike walk these losses off,2017-10-10 23:04:00 +0000,https://finance.yahoo.com/video/cramers-lightning-round-let-nike-230400362.html?.tsrc=rss,"Jim Cramer flies through his take on callers' favorite stocks, including the bedraggled Nike."
CAH,CAH:US,BBG000D898T9,How Shanghai Pharma Can Get High,2017-10-09 21:00:18 +0000,http://finance.yahoo.com/r/cfa8fc78-f2e6-3fe7-af35-3dee991e4b50/how-shanghai-pharma-can-get-high?utm_source=yahoo&utm_medium=bd&utm_campaign=headline&cmpId=yhoo.headline&yptr=yahoo&.tsrc=rss,Winning control of the U.S. firm's local operations would help consolidate a fragmented market.
CAH,CAH:US,BBG000D898T9,Cardinal's China Exit Pits PE Against State Firm,2017-10-09 02:13:56 +0000,http://finance.yahoo.com/r/7df8357a-66df-315f-951a-8c299aa17bc3/cardinal-s-china-sale-is-said-to-draw-fountainvest-state-firm?utm_source=yahoo&utm_medium=bd&utm_campaign=headline&cmpId=yhoo.headline&yptr=yahoo&.tsrc=rss,"Private equity firm FountainVest Partners Co. is vying with a state-owned pharmaceutical group to acquire Cardinal Health Inc.’s Chinese distribution unit, which could fetch more than $1 billion, people ..."
