RESULT_COUNT: 1266,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
CI,CI:US,BBG000BFMBQ6,Anthem Jumps Into Prescription Business As Amazon Speculation Swirls,2017-10-18 20:52:33 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6eLJOIJkt88/anthem-jumps-into-prescription-business-as-amazon-speculation-swirls-cm861456,Anthem ANTM the second largest U S health insurer said on Wednesday that it will launch its own pharmacy benefit management business relying heavily on CVS Health CVS for both back end processing and 160 retail distribution The five year Anthem CVS deal
CI,CI:US,BBG000BFMBQ6,Far from certain whether Alexander-Murray health-care bil...,2017-10-18 20:38:00 +0000,https://finance.yahoo.com/video/far-certain-whether-alexander-murray-203800913.html?.tsrc=rss,"Ipsita Smolinski, managing director and health care analyst at Capitol Street, discusses President Trump's comments on health insurers and CSR payments and the impact on insurers' stocks."
CI,CI:US,BBG000BFMBQ6,Cigna Foundation and Ghetto Film School Announce Winners of Filmmaking Competition,2017-10-18 20:20:00 +0000,https://finance.yahoo.com/news/cigna-foundation-ghetto-film-school-202000363.html?.tsrc=rss,"Three young New York City filmmakers were named winners in a filmmaking competition announced by The Cigna Foundation, in partnership with the Ghetto Film School Roster, a networking community for aspiring filmmakers."
CI,CI:US,BBG000BFMBQ6,Ride On UnitedHealth Q3 Strength with These ETFs,2017-10-18 15:37:03 +0000,https://finance.yahoo.com/news/ride-unitedhealth-q3-strength-etfs-153703714.html?.tsrc=rss,Play upbeat earnings of UnitedHealth Group with these ETFs.
CI,CI:US,BBG000BFMBQ6,Trump denounces health care bipartisan deal,2017-10-18 14:46:00 +0000,https://finance.yahoo.com/video/trump-denounces-health-care-bipartisan-144632758.html?.tsrc=rss,"Two Senators strike a major deal on crucial health care subsidies. Republican Senator Lamar Alexander and Democratic Senator Patty Murray reached an agreement to extend cost-sharing subsidies to insurance companies. In exchange, some of the law’s requirements will be dropped. The president liked the deal at first but is now backing away from it. Yahoo Finance’s Alexis Christoforous and Jen Rogers figure out why the president isn’t happy with the progress."
CI,CI:US,BBG000BFMBQ6,See what the IHS Markit Score report has to say about Cigna Corp.,2017-10-18 12:00:51 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120051519.html?.tsrc=rss,Cigna Corp NYSE:CI
CI,CI:US,BBG000BFMBQ6,"How Kansas, Missouri health markets will respond to Trump orders",2017-10-16 20:10:11 +0000,http://finance.yahoo.com/r/673e67f6-c8ee-31ab-9d23-aac7cf83d6c3/trump-aca-orders-kansas-missouri-health-markets.html?ana=yahoo&yptr=yahoo&.tsrc=rss,"Kansas and Missouri won’t see immediate rate increases after President Donald Trump ended subsidies for individual plans on the Affordable Care Act exchanges, but it’s unclear how the changes will affect insurance companies — and patients — in the long term.  On Thursday, Trump confirmed that he would end cost-sharing reductions (CSRs), which delivered $7 billion to reduce out-of-pocket limits and deductibles for beneficiaries below 250 percent of the federal poverty level.  The news caused a small dip in insurance companies’ stock, such as St. Louis-based Centene Corp., which closed at $93.81 on Thursday and opened at $87.06 on Friday."
CI,CI:US,BBG000BFMBQ6,Trump's Decision To Cut Cost-Sharing Subsidies Hurt UnitedHealth And 4 Other Health Care Stocks,2017-10-16 17:03:00 +0000,http://finance.yahoo.com/r/bf543bc0-24ac-3a92-b382-22b79cdaf481/trumps-decision-to-cut-cost-sharing-subsidies-hurt-unitedhealth-and-4-other-health-care-stocks?utm_source=yahoo&utm_medium=partner&utm_campaign=yahootix&partner=yahootix&yptr=yahoo&.tsrc=rss,Trump's announcement of his plan to eliminate cost-sharing subsidies to insurance companies sent some health care stocks lower. Here's how to trade five of them now.
CI,CI:US,BBG000BFMBQ6,Lawmakers clash over big changes to Obamacare,2017-10-16 15:46:00 +0000,https://finance.yahoo.com/video/lawmakers-clash-over-big-changes-154600113.html?.tsrc=rss,"Senators are working on critical parts of the Affordable Care Act.  Meanwhile, Senate Majority Leader Mitch McConnell prepares to meet with President Trump. Yahoo Finance's Alexis Christoforous, Myles Udland and Melody Hahm figure out exactly what is happening on Capitol Hill."
CI,CI:US,BBG000BFMBQ6,"Cigna-HealthSpring’s Medicare Advantage Plans for 2018 Emphasize Affordable, Stable Premiums and Coordinated Care by Local Physicians",2017-10-16 14:00:00 +0000,https://finance.yahoo.com/news/cigna-healthspring-medicare-advantage-plans-140000697.html?.tsrc=rss,"Cigna-HealthSpring’s Medicare Advantage plans and Medicare Advantage Plans with Prescription Drug Coverage for the Medicare Annual Election Period emphasize stable premiums and physician engagement along with a number of additional benefits, such as fitness memberships and dental, vision and hearing coverage."
CI,CI:US,BBG000BFMBQ6,"Sorry Everybody, But Trump Hasn't Instigated The Obamacare Apocalypse",2017-10-14 23:49:00 +0000,http://finance.yahoo.com/r/f6e7f456-9bb8-3c3d-8209-76feee7055ce/sorry-everbody-but-trump-hasnt-instigated-the-obamacare-apocalypse?utm_source=yahoo&utm_medium=partner&utm_campaign=yahootix&partner=yahootix&yptr=yahoo&.tsrc=rss,"The Trump White House has issued two Obamacare-related policy announcements this week: announcements that some characterize as “gutting” or “sabotaging” the health care law. But a sober, factual analysis reveals that the Trump decisions will be fairly modest—and largely positive—in their effect."
CI,CI:US,BBG000BFMBQ6,UnitedHealth (UNH) Q3 Earnings Likely to Beat: Here's Why?,2017-10-13 14:18:10 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/HBSPYucuOzM/unitedhealth-unh-q3-earnings-likely-to-beat-heres-why-cm859374,We expect health insurer UnitedHealth Group Inc UNH to beat expectations when it reports third quarter results on Oct 17 before market opens Why a Likely Positive Surprise Our proven model shows that UnitedHealth has the right combination of the two key ingredients to beat
CI,CI:US,BBG000BFMBQ6,Wellcare Health Plans Trying To Close In On Key Technical Measure,2017-10-12 15:17:55 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/OsZPPDUfVw0/wellcare-health-plans-trying-to-close-in-on-key-technical-measure-cm858882,Wellcare Health Plans WCG had its Relative Strength RS Rating upgraded from 66 to 71 Thursday a welcome improvement but still shy of the 80 or higher score you prefer to see ibd display video id 2102289 width 50 float left autostart true IBD s
CI,CI:US,BBG000BFMBQ6,New Strong Buy Stocks for October 12th,2017-10-12 14:04:02 +0000,https://finance.yahoo.com/news/strong-buy-stocks-october-12th-140402219.html?.tsrc=rss,New Strong Buy Stocks for October 12th
CI,CI:US,BBG000BFMBQ6,Markel (MKL) Issues Life Sciences Coverage in Primary Market,2017-10-11 21:27:09 +0000,https://finance.yahoo.com/news/markel-mkl-issues-life-sciences-212709100.html?.tsrc=rss,Markel&apos;s (MKL) introduction of biomedical and life sciences coverage in the US primary insurance segment supports its strategic plan to grow organically.
CI,CI:US,BBG000BFMBQ6,Why You Should Offload Travelers (TRV) From Your Portfolio,2017-10-11 17:12:20 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/sx9l0X12LaA/why-you-should-offload-travelers-trv-from-your-portfolio-cm858282,The Travelers Companies Inc TRV has been witnessing downward revisions over the last 60 days evident from its 160 bearish Zacks Rank 4 Sell Catastrophe loss dragging its underwriting performance as well as lower investment income will weigh on the company s earnings results
CI,CI:US,BBG000BFMBQ6,W.R. Berkley's Exposure to Cat Losses Continues to Bother,2017-10-11 15:17:36 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/hDqnOjiIkDo/wr-berkleys-exposure-to-cat-losses-continues-to-bother-cm858107,As a property and casualty P amp C insurer W R Berkley Corporation WRB is exposed to both natural and man made catastrophe events The company has also been incurring inclement weather related losses over a considerable period of time With the occurrence of Hurricanes Harvey Irma Maria
CI,CI:US,BBG000BFMBQ6,W.R. Berkley&apos;s Exposure to Cat Losses Continues to Bother,2017-10-11 13:30:01 +0000,https://finance.yahoo.com/news/w-r-berkley-apos-exposure-133001552.html?.tsrc=rss,"W.R. Berkley&apos;s (WRB) exposure to cat losses, declining gross premiums trend as well as a continued weak performance at the global reinsurance segment raise concerns."
CI,CI:US,BBG000BFMBQ6,See what the IHS Markit Score report has to say about Cigna Corp.,2017-10-11 12:00:32 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120032648.html?.tsrc=rss,Cigna Corp NYSE:CI
