RESULT_COUNT: 1626,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
CVS,CVS:US,BBG000BGRY34,Anthem dumps Express Scripts in favor of starting its own pharmacy-benefit manager,2017-10-21 15:14:59 +0000,http://finance.yahoo.com/r/c9986b0a-afc4-3ab8-b289-4d4f8f4e7162/Story.aspx?guid=AB4CBA96-B3FB-11E7-9F17-DF71C4FC362B&siteid=yhoof2&yptr=yahoo&.tsrc=rss,Anthem’s entry is notable in a highly concentrated industry dominated by just a few large players.
CVS,CVS:US,BBG000BGRY34,Focused Investors LLC Buys CBS Corp,2017-10-20 17:59:24 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9vaGtfEIFSk/focused-investors-llc-buys-cbs-corp-cm862833,Focused Investors LLC Added Positions CBS Reduced Positions ZBH ANTM CVS JNJ AXP MS MCD WMT PEP MSFT Added Positions CBS Added Positions CBS Reduced Positions ZBH ANTM CVS JNJ AXP MS MCD WMT
CVS,CVS:US,BBG000BGRY34,Why Walgreens Stock Hit a 3-Year Low on October 17,2017-10-20 14:39:33 +0000,http://finance.yahoo.com/r/11b8300b-9a9f-36e1-9670-0ae0aabecd61/why-walgreens-stock-hit-a-3-year-low-on-october-17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"Walgreens Boots Alliance (WBA) traded at $67.40 on October 17, 2017, hitting its three-year low."
CVS,CVS:US,BBG000BGRY34,"CVS Health Corporation (CVS) Ex-Dividend Date Scheduled for October 23, 2017",2017-10-20 13:14:53 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/m1RDZP7qHmI/cvs-health-corporation-cvs-ex-dividend-date-scheduled-for-october-23-2017-cm862495,CVS Health Corporation CVS will begin trading ex dividend on October 23 2017 A cash dividend payment of 0 5 per share is scheduled to be paid on November 03 2017 Shareholders who purchased CVS prior to the ex dividend date are eligible for the cash dividend payment This marks the
CVS,CVS:US,BBG000BGRY34,Walgreens Could See Robust Earnings Growth in Fiscal 4Q17,2017-10-20 13:13:27 +0000,http://finance.yahoo.com/r/75352154-4e73-3f27-b98a-29bac6865bd8/walgreens-could-see-robust-earnings-growth-in-fiscal-4q17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"For the first nine months of fiscal 2017, Walgreens Boots Alliance’s adjusted diluted net earnings per share increased 7.7% YoY to $3.79."
CVS,CVS:US,BBG000BGRY34,What’s Driving Economic Moats,2017-10-20 11:45:09 +0000,http://finance.yahoo.com/r/cc0078a0-0663-385f-a85a-4cffc9c9193f/whats-driving-economic-moats?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"""How Moats Translate into Sustainable Competitive Advantages"" is a five-part moat investing education series that explores the primary sources of economic moats."
CVS,CVS:US,BBG000BGRY34,Walgreens’ Top Line ahead of Its Fiscal 4Q17 Results,2017-10-20 11:44:20 +0000,http://finance.yahoo.com/r/b622c1ad-eb6d-37ee-b3cd-737420c42ffb/walgreens-top-line-ahead-of-its-fiscal-4q17-results?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"During the first nine months of 2017 (or 9M17), Walgreens Boots Alliance’s total sales increased 0.9% YoY to $89.5 billion."
CVS,CVS:US,BBG000BGRY34,Is Amazon getting into the pharmacy business? This is what you need to know,2017-10-20 11:43:35 +0000,http://finance.yahoo.com/r/99a69afb-66f4-32d0-b971-af4a7f824235/Story.aspx?guid=4D415DEC-AAAC-11E7-9346-5B61074AF419&siteid=yhoof2&yptr=yahoo&.tsrc=rss,"The massive online retailer with a reputation for disruption could be coming for the notoriously complex, opaque drug industry."
CVS,CVS:US,BBG000BGRY34,"Dividend Coverage: This Pharmacy Company has a Dividend Yield of 2.75%; Will Trade Ex-Dividend on October 23, 2017",2017-10-20 11:00:00 +0000,https://finance.yahoo.com/news/dividend-coverage-pharmacy-company-dividend-110000386.html?.tsrc=rss,"LONDON, UK / ACCESSWIRE / October 20, 2017 / Pro-Trader Daily takes a closer look at CVS Health Corp. (NYSE: CVS ) as the Company's stock will begin trading ex-dividend on October 23, 2017. To capture ..."
CVS,CVS:US,BBG000BGRY34,Can Walgreens Exceed Analyst Expectations in Fiscal 4Q17?,2017-10-19 21:53:20 +0000,http://finance.yahoo.com/r/f5760330-aa95-38d8-94dd-a23f696e46b2/can-walgreens-exceed-analyst-expectations-in-fiscal-4q17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"Walgreens Boots Alliance (WBA) is slated to release its fiscal 4Q17 earnings on October 25. WBA's total sales are expected to reach $29.6 billion, a 4.6% increase over its fiscal 4Q16 sales."
