RESULT_COUNT: 193,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
HCM,HCM:UW,BBG00B6VCH45,Edison Issues Update on Hutchison China MediTech (HCM),2017-10-18 15:56:00 +0000,https://finance.yahoo.com/news/edison-issues-hutchison-china-meditech-155600328.html?.tsrc=rss,"LONDON, UK / ACCESSWIRE / October 18, 2017 / Data presented at the World Conference on Lung Cancer (WCLC) on combination approaches to treat resistant EGFR-driven non-small cell lung cancer (NSCLC) highlight ..."
HCM,HCM:UW,BBG00B6VCH45,Chi-Med and AstraZeneca’s Savolitinib Shows Encouraging Clinical Activity in Second-Line EGFR Mutation-Positive Lung Cancer with MET-Amplification,2017-10-17 06:00:00 +0000,https://finance.yahoo.com/news/chi-med-astrazeneca-savolitinib-shows-060000097.html?.tsrc=rss,Hutchison China MediTech Limited and AstraZeneca PLC today presented preliminary safety and clinical activity data of savolitinib when given in combination with either Tagrisso® or Iressa® in two Phase Ib/II proof-of-concept trials conducted in patients with epidermal growth factor receptor mutation-positive non-small cell lung cancer with MET-amplification who had progressed following first-line treatment ...
HCM,HCM:UW,BBG00B6VCH45,Chi-Med Reports Preliminary Phase II data on Fruquintinib Combination in First-Line Lung Cancer,2017-10-16 06:00:00 +0000,https://finance.yahoo.com/news/chi-med-reports-preliminary-phase-060000305.html?.tsrc=rss,"Hutchison China MediTech Limited today reported preliminary clinical activity, safety, and tolerability data of fruquintinib, an investigational selective inhibitor of vascular endothelial growth factor receptor given in combination with Iressa®."
HCM,HCM:UW,BBG00B6VCH45,Hutchison China MediTech: Appointment of Director,2017-10-12 06:52:00 +0000,https://finance.yahoo.com/news/hutchison-china-meditech-appointment-director-065200089.html?.tsrc=rss,"Hutchison China MediTech Limited today announces that Professor Mok, Shu Kam Tony has been appointed as Independent Non-Executive Director and member of the Technical Committee with effect from October 12, 2017."
HCM,HCM:UW,BBG00B6VCH45,Asian ADRs Move Lower in Wednesday Trading,2017-10-04 14:49:54 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/xYcqRtgQxxI/asian-adrs-move-lower-in-wednesday-trading-cm855136,American depositary receipts of Asian stocks were trading 0 17 lower at 171 93 on the Bank of New York Mellon Asia ADR Index on Wednesday American depositary receipts of Asian stocks were trading 0 17 lower at 171 93 on the Bank of New York Mellon Asia ADR Index on Wednesday In North Asia
HCM,HCM:UW,BBG00B6VCH45,What You Must Know About Hutchison China MediTech Limited’s (AIM:HCM) Return on Equity,2017-10-01 15:12:13 +0000,https://finance.yahoo.com/news/must-know-hutchison-china-meditech-151213220.html?.tsrc=rss,"Hutchison China MediTech Limited (AIM:HCM) generated a below-average return on equity of 7.52% in the past 12 months, while its industry returned 9.01%. HCM’s results could indicate a relatively inefficientRead More..."
HCM,HCM:UW,BBG00B6VCH45,Chi-Med Highlights Oral Presentations at CSCO Annual Meeting,2017-09-29 07:03:00 +0000,https://finance.yahoo.com/news/chi-med-highlights-oral-presentations-070300497.html?.tsrc=rss,"Hutchison China MediTech Limited announced that new clinical data on three of its novel tyrosine kinase inhibitors, fruquintinib, savolitinib and theliatinib, were presented at the 20th Annual Meeting of the Chinese Society of Clinical Oncology , held in Xiamen, China, from September 26 to 30, 2017."
HCM,HCM:UW,BBG00B6VCH45,Chi-Med to Present Savolitinib and Fruquintinib Clinical Data at WCLC 2017 Annual Meeting,2017-09-29 06:58:00 +0000,https://finance.yahoo.com/news/chi-med-present-savolitinib-fruquintinib-065800834.html?.tsrc=rss,"Hutchison China MediTech Limited today announces that non-small cell lung cancer proof-of-concept clinical data on two of its novel tyrosine kinase inhibitors , savolitinib and fruquintinib, will be presented at the 18th World Conference on Lung Cancer , to be held in Yokohama, Japan from October 15 to 18, 2017."
HCM,HCM:UW,BBG00B6VCH45,Asian ADRs Move Lower in Wednesday Trading,2017-09-13 14:55:13 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pvLwCRA5F5M/asian-adrs-move-lower-in-wednesday-trading-cm845077,American depositary receipts of Asian stocks were trading 0 13 lower at 171 30 on the Bank of New York Mellon Asia ADR Index on Wednesday American depositary receipts of Asian stocks were trading 0 13 lower at 171 30 on the Bank of New York Mellon Asia ADR Index on Wednesday In North Asia
HCM,HCM:UW,BBG00B6VCH45,Validea Motley Fool Strategy Daily Upgrade Report - 9/12/2017,2017-09-12 12:35:33 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/v-oj-iowMbE/validea-motley-fool-strategy-daily-upgrade-report-9122017-cm844140,The following are today s upgrades for Validea s Small Cap Growth Investor model based on the published strategy of Motley Fool This strategy looks for small cap growth stocks with solid fundamentals and strong price performance The following are today s upgrades for Validea s Small Cap
