RESULT_COUNT: 431,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
HSIC,HSIC:UW,BBG000BNMVX7,What's in the Cards for LabCorp (LH) This Earnings Season?,2017-10-20 21:01:36 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zk7eIQeybeI/whats-in-the-cards-for-labcorp-lh-this-earnings-season-cm862901,Laboratory Corporation of America Holdings LH also known as LabCorp is slated to report third quarter 2017 results before market opens on Oct 25 Last quarter the company delivered a positive earnings surprise of 3 8 It has an average earnings beat of 1 1 for three of the trailing
HSIC,HSIC:UW,BBG000BNMVX7,Will GNC Holdings (GNC) Disappoint This Earnings Season?,2017-10-20 15:10:19 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AQixG4HhU9I/will-gnc-holdings-gnc-disappoint-this-earnings-season-cm862570,GNC Holdings Inc 160 GNC a specialty retailer of health and nutrition related products is scheduled to report third quarter 2017 results on Oct 26 before the opening bell Last quarter the company posted a positive earnings surprise of 2 5 However GNC Holdings trailing four
HSIC,HSIC:UW,BBG000BNMVX7,Baxter International (BAX) Q3 Earnings: What's in Store?,2017-10-20 12:49:19 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yUHD6CieaqE/baxter-international-bax-q3-earnings-whats-in-store-cm862426,Baxter International Inc BAX is scheduled to report third quarter 2017 earnings on Oct 25 before the opening bell In the last reported quarter the company delivered a positive earnings surprise of 10 5 taking the four quarter average to 15 3 Let s see how things are shaping up prior
HSIC,HSIC:UW,BBG000BNMVX7,Varian Medical (VAR) Q4 Earnings: Is a Surprise in Store?,2017-10-20 12:49:15 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/bs1hhA32B4I/varian-medical-var-q4-earnings-is-a-surprise-in-store-cm862425,Varian Medical Systems Inc VAR is scheduled to report fourth quarter fiscal 2017 earnings on Oct 25 after the market closes Last quarter the company delivered earnings of 1 04 per share which beat the Zacks Consensus Estimate of 95 cents However adjusted earnings declined from 1
HSIC,HSIC:UW,BBG000BNMVX7,Walgreens Boots (WBA) to Report Q4 Earnings: What's in Store?,2017-10-19 18:47:52 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/CzDBA78S71A/walgreens-boots-wba-to-report-q4-earnings-whats-in-store-cm862173,Walgreens Boots Alliance Inc WBA is slated to release fourth quarter and full year fiscal 2017 results before the market opens on Oct 25 Last quarter the company had posted a positive earnings surprise of 1 53 It is worth noting that Walgreens has outperformed the Zacks Consensus
HSIC,HSIC:UW,BBG000BNMVX7,Henry Schein To Showcase Leading Digital Solutions At The American Dental Association Annual Meeting,2017-10-19 12:08:00 +0000,https://finance.yahoo.com/news/henry-schein-showcase-leading-digital-120800537.html?.tsrc=rss,"- Newest Products on Display Including Planmeca Emerald™ Next-Gen Intraoral Scanner, 3Shape TRIOS® Intraoral Scanner, Planmeca ProMax® 3D LE, 3M™ True Definition Scanner, and More at Booth #853 - Live ..."
HSIC,HSIC:UW,BBG000BNMVX7,See what the IHS Markit Score report has to say about Henry Schein Inc.,2017-10-19 12:06:12 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120612659.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
HSIC,HSIC:UW,BBG000BNMVX7,Will Edwards Lifesciences (EW) Gain on THVT in Q3 Earnings?,2017-10-18 15:56:13 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MaGN4fGOZug/will-edwards-lifesciences-ew-gain-on-thvt-in-q3-earnings-cm861335,Edwards Lifesciences Corporation EW 160 is scheduled to report third quarter 2017 earnings on Oct 24 after market close Last quarter the company had posted a positive earnings surprise of 22 7 It is worth noting that Edwards Lifesciences has outperformed the Zacks Consensus Estimate
HSIC,HSIC:UW,BBG000BNMVX7,Can Illumina (ILMN) Maintain Balanced Growth in Q3 Earnings?,2017-10-18 15:55:30 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/t-PRN966GRw/can-illumina-ilmn-maintain-balanced-growth-in-q3-earnings-cm861323,Illumina Inc ILMN is slated to report third quarter fiscal 2017 results after markets close on Oct 24 Last quarter the company delivered a positive earnings surprise of 20 6 with average earnings beat of 9 3 in three of the trailing four quarters Let s see how things are shaping up
HSIC,HSIC:UW,BBG000BNMVX7,Will Recall Issue Hurt Boston Scientific (BSX) Q3 Earnings?,2017-10-18 14:54:16 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/olrso0Zo7ZU/will-recall-issue-hurt-boston-scientific-bsx-q3-earnings-cm861238,Boston Scientific Corporation BSX is scheduled to report third quarter 2017 results before the opening bell on Oct 26 Last quarter the company delivered a positive earnings surprise of 3 23 The trailing four quarter average beat is pegged at 0 84 Let s see how things are shaping up
HSIC,HSIC:UW,BBG000BNMVX7,"The Viscardi Center And Henry Schein, Inc. Announce ""Project Accessible Oral Health""",2017-10-18 12:05:00 +0000,https://finance.yahoo.com/news/viscardi-center-henry-schein-inc-120500585.html?.tsrc=rss,"ALBERTSON, N.Y., Oct. 18, 2017 /PRNewswire/ -- The Viscardi Center announced today that it has joined with Henry Schein, Inc. (HSIC), to create Project Accessible Oral Health (PAOH), an international public-private partnership that will raise awareness of, and address the significant need for, increased oral health care for people with disabilities, thus improving their overall health and quality of life.  People with disabilities face a number of barriers to accessing quality oral health care, from the difficulty in paying for treatment, to obtaining dental coverage, to the physical challenges of accessing a practitioner's office or being seated in a dental chair.  For oral health care practitioners, lack of alignment within the reimbursement system creates an added challenge to serving this population, which requires ongoing professional development and training to address the unique needs of children and adults with diverse disabilities."
HSIC,HSIC:UW,BBG000BNMVX7,Validea James P. O'Shaughnessy Strategy Daily Upgrade Report - 10/18/2017,2017-10-18 08:49:05 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/n0iODW8a_D0/validea-james-p-oshaughnessy-strategy-daily-upgrade-report-10182017-cm861102,The following are today s upgrades for Validea s Growth Value Investor model based on the published strategy of James P O Shaughnessy This two strategy approach offers a large cap value model and a growth approach that looks for persistent earnings growth and strong relative strength
HSIC,HSIC:UW,BBG000BNMVX7,Can Nutrisystem (NTRI) Surprise Investors in Q3 Earnings?,2017-10-17 16:54:32 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WWwt3AA4qJg/can-nutrisystem-ntri-surprise-investors-in-q3-earnings-cm860814,Weight management products and service provider Nutrisystem Inc NTRI is scheduled to release third quarter 2017 results on Oct 25 Nutrisystem has an impressive track of beating estimates in all the four trailing quarters Overall the company s record is favorable as evident from
HSIC,HSIC:UW,BBG000BNMVX7,What to Expect From Thermo Fisher (TMO) in Q3 Earnings,2017-10-17 15:55:35 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/CngMlKSSGiw/what-to-expect-from-thermo-fisher-tmo-in-q3-earnings-cm860631,Medical instruments manufacturer Thermo Fisher Scientific Inc TMO is slated to release third quarter 2017 results on Oct 25 before the market opens Last quarter the company posted earnings of 2 30 per share surpassing the Zacks Consensus Estimate by 1 3 In fact Thermo Fisher
HSIC,HSIC:UW,BBG000BNMVX7,Will Intuitive Surgical (ISRG) Disappoint in Q3 Earnings?,2017-10-17 14:57:08 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LzwulGRCw1E/will-intuitive-surgical-isrg-disappoint-in-q3-earnings-cm860520,Intuitive Surgical s ISRG third quarter results scheduled for release on Oct 19 are expected to show steady growth in instruments and accessories revenues one of the major revenue components While this could majorly drive its third quarter earnings an expected improvement in revenues
