RESULT_COUNT: 1502,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
HUM,HUM:US,BBG000BLKK03,"Cost-Sharing Reductions: What Are They, and Why It Matters That Trump Is Ending Them",2017-10-21 15:01:13 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MDrOjMmDWtM/cost-sharing-reductions-what-are-they-and-why-it-matters-that-trump-is-ending-them-cm863094,The Affordable Care Act ACA was signed into law more than seven years ago but the fact remains that many Americans still don t understand Barack Obama s hallmark healthcare law or healthcare in general For instance a Morning Consult poll released in February of this year
HUM,HUM:US,BBG000BLKK03,Can Medicaid Business Drive Centene's (CNC) Q3 Earnings?,2017-10-20 16:08:46 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/5MYVFsABZ4I/can-medicaid-business-drive-centenes-cnc-q3-earnings-cm862635,Centene Corporation CNC will release third quarter 2017 results on Oct 24 before the market opens For the past few quarters Centene has been witnessing consistent growth in its membership that has been driving the overall top line 160 The company expects this uptrend 160 to continue
HUM,HUM:US,BBG000BLKK03,"Humana Expands MA Offerings, Increases Benefits for Members",2017-10-19 13:18:01 +0000,https://finance.yahoo.com/news/humana-expands-ma-offerings-increases-131801470.html?.tsrc=rss,Humana (HUM) continues to expand and restructure its Medicare Advantage plans in order to enhance the reach and quality of its offerings across the world.
HUM,HUM:US,BBG000BLKK03,Pharos' Blair Is Slightly Bearish Oil Short-Term,2017-10-19 04:56:48 +0000,https://finance.yahoo.com/video/pharos-blair-slightly-bearish-oil-045648064.html?.tsrc=rss,Oct.19 -- Pharos Holding Chief Operating Officer Angus Blair discusses the price and production of oil. He speaks on &quot;Bloomberg Markets: Middle East.&quot;  (Corrects company name in graphic.)
HUM,HUM:US,BBG000BLKK03,White House says Trump opposes Senate's bipartisan Obamacare deal,2017-10-18 23:59:41 +0000,https://finance.yahoo.com/news/u-senate-backers-obamacare-deal-133559051.html?.tsrc=rss,"A bipartisan deal from two  senators to stabilize Obamacare by restoring subsidies to health  insurers suffered major setbacks on Wednesday with the White  House saying President Donald Trump now opposes it and senior  Republicans speaking out against it.  House of Representatives Speaker Paul Ryan, Senate Finance  Committee Chairman Orrin Hatch, Senate Republican leadership  member John Thune and others expressed hostility to the deal  announced on Tuesday by Republican Lamar Alexander and Democrat  Patty Murray."
HUM,HUM:US,BBG000BLKK03,U.S. judge will likely rule next week on healthcare payments,2017-10-18 23:33:38 +0000,https://finance.yahoo.com/news/u-judge-likely-rule-next-233338694.html?.tsrc=rss,A U.S. federal judge said on Wednesday he would likely issue a ruling next week on a request from several U.S. states to block President Donald Trump's decision to terminate cost-sharing payments to health ...
HUM,HUM:US,BBG000BLKK03,Humana appoints permanent leader for its foundation,2017-10-18 18:10:21 +0000,http://finance.yahoo.com/r/01574501-db3b-3918-a09b-a3bf386ab1dd/humana-appoints-permanent-leader-for-its.html?ana=yahoo&yptr=yahoo&.tsrc=rss,"Humana Inc. has named a leader CEO for the Humana Foundation.  Walter Woods is the new CEO of the Louisville-based health insurer's charitable nonprofit organization.  Woods' most recent position was as president of the Sioux Falls, S.D.-based Evangelical Lutheran Good Samaritan Foundation."
HUM,HUM:US,BBG000BLKK03,Humana and Boulder Medical Center Team Up to Create a Better Care Experience for Medicare Advantage Members in Colorado,2017-10-18 17:30:00 +0000,https://finance.yahoo.com/news/humana-boulder-medical-center-team-173000876.html?.tsrc=rss,"Humana Inc. , a leading health and well-being company, announced it has collaborated with Boulder Medical Center on an individual-focused model of health care for Humana Medicare Advantage members in Colorado."
HUM,HUM:US,BBG000BLKK03,Trump denounces health care bipartisan deal,2017-10-18 14:46:00 +0000,https://finance.yahoo.com/video/trump-denounces-health-care-bipartisan-144632758.html?.tsrc=rss,"Two Senators strike a major deal on crucial health care subsidies. Republican Senator Lamar Alexander and Democratic Senator Patty Murray reached an agreement to extend cost-sharing subsidies to insurance companies. In exchange, some of the law’s requirements will be dropped. The president liked the deal at first but is now backing away from it. Yahoo Finance’s Alexis Christoforous and Jen Rogers figure out why the president isn’t happy with the progress."
HUM,HUM:US,BBG000BLKK03,See what the IHS Markit Score report has to say about Humana Inc.,2017-10-18 12:00:19 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120019433.html?.tsrc=rss,Humana Inc NYSE:HUM
