RESULT_COUNT: 856,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
IDXX,IDXX:UW,BBG000BLS2X9,See what the IHS Markit Score report has to say about Idexx Laboratories Inc.,2017-10-19 12:06:11 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120611783.html?.tsrc=rss,Idexx Laboratories Inc NASDAQ/NGS:IDXX
IDXX,IDXX:UW,BBG000BLS2X9,"Abbott (ABT) Exceeds Q3 Earnings, '17 Guidance Narrowed",2017-10-18 20:51:14 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/5Fj-YHSnglo/abbott-abt-exceeds-q3-earnings-17-guidance-narrowed-cm861577,Abbott Labs ABT reported third quarter 2017 adjusted earnings from continuing operations of 66 cents per share ahead of the Zacks Consensus Estimate by a penny and up 11 9 year over year This adjusted quarterly number also remained at the upper end of the company s guidance range of 64
IDXX,IDXX:UW,BBG000BLS2X9,"Phibro Animal Banks on Diverse Portfolio, Competition Rife",2017-10-17 13:11:01 +0000,https://finance.yahoo.com/news/phibro-animal-banks-diverse-portfolio-131101954.html?.tsrc=rss,Phibro Animal (PAHC) is consistently trying to expand its product portfolio to counter the tough competition in the animal health space.
IDXX,IDXX:UW,BBG000BLS2X9,Henry Schein (HSIC) Inks Distribution Agreement with Terason,2017-10-17 13:10:01 +0000,https://finance.yahoo.com/news/henry-schein-hsic-inks-distribution-131001018.html?.tsrc=rss,Henry Schein&apos;s (HSIC) distribution agreement with Terason to distribute the latter&apos;s uSmart 3200T NexGen is likely to boost its global Medical segment business.
IDXX,IDXX:UW,BBG000BLS2X9,4 Top Growth Picks as MedTech Battle Rages On,2017-10-16 20:17:48 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WZ_DL0aJ9aY/4-top-growth-picks-as-medtech-battle-rages-on-cm860343,InvestorPlace Stock Market News Stock Advice amp Trading Tips After several failed efforts to repeal and replace Obamacare Trump s government came up with a Graham Cassidy Heller Johnson GCHJ bill or the Graham Cassidy bill However this bill also failed to
IDXX,IDXX:UW,BBG000BLS2X9,Here&apos;s Why You Should Buy Thermo Fisher Scientific (TMO) Now,2017-10-16 14:13:02 +0000,https://finance.yahoo.com/news/apos-why-buy-thermo-fisher-141302681.html?.tsrc=rss,"Based on a wide range of fundamental factors, Thermo Fisher (TMO) is a great pick for now."
IDXX,IDXX:UW,BBG000BLS2X9,Here&apos;s Why Investors Should Buy Integra LifeSciences Now,2017-10-16 11:58:11 +0000,https://finance.yahoo.com/news/apos-why-investors-buy-integra-115811988.html?.tsrc=rss,The market is upbeat about Integra LifeSciences&apos; (IART) latest developments that include product launches and strategic buyouts.
IDXX,IDXX:UW,BBG000BLS2X9,TransEnterix Senhance Surgical Robotic System Wins FDA Nod,2017-10-16 11:57:11 +0000,https://finance.yahoo.com/news/transenterix-senhance-surgical-robotic-system-115711057.html?.tsrc=rss,TransEnterix (TRXC) works on expanding in robotic surgery consistently.
IDXX,IDXX:UW,BBG000BLS2X9,NuVasive's (NUVA) PRECICE System Gets Expanded FDA Approval,2017-10-13 15:18:24 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/xzw76oqJ8aI/nuvasives-nuva-precice-system-gets-expanded-fda-approval-cm859349,NuVasive Inc NUVA has been in the news of late for the receipt of expanded FDA 510 k approval for its advanced magnetic and non invasive limb lengthening technology PRECICE Falling under NuVasive Specialized Orthopedics NSO PRECICE can now be used to treat open and closed
IDXX,IDXX:UW,BBG000BLS2X9,Idexx Laboratories Shows Rising Relative Strength; Still Shy Of Key Benchmark,2017-10-13 15:16:26 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MBRlQcE2Zes/idexx-laboratories-shows-rising-relative-strength-still-shy-of-key-benchmark-cm859476,The Relative Strength RS Rating for Idexx Laboratories IDXX moved into a higher percentile Friday as it got a lift from 69 to 76 ibd display video id 2102289 width 50 float left autostart true IBD s proprietary rating identifies price performance with a
IDXX,IDXX:UW,BBG000BLS2X9,Bruker (BRKR) at a 52-Week High: What's Driving the Stock?,2017-10-13 14:18:26 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/mwTrWb75bew/bruker-brkr-at-a-52-week-high-whats-driving-the-stock-cm859378,Bruker Corporation 160 BRKR scaled a new 52 week high of 30 93 on Oct 12 eventually closing a bit lower at 30 71 This Zacks Rank 3 Hold stock has a market cap of 4 88 billion Comparison with Broader Industry For the majority of the last six months the company s share price
IDXX,IDXX:UW,BBG000BLS2X9,Here's Why Investors Should Sell Ecolab (ECL) Right Away,2017-10-13 14:17:55 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TEDMYoO3rTQ/heres-why-investors-should-sell-ecolab-ecl-right-away-cm859371,Ecolab Inc ECL has had a dismal run on the bourses of late Over the last three months the company has returned 0 9 below the S amp P 500 s 3 4 Intensifying competition foreign exchange volatility higher raw material costs and integration risks are primary headwinds for the company as
IDXX,IDXX:UW,BBG000BLS2X9,IDXX Crosses Above Average Analyst Target,2017-10-13 14:12:31 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/sdxVtKmmGo4/idxx-crosses-above-average-analyst-target-cm859268,In recent trading shares of Idexx Laboratories Inc Symbol IDXX have crossed above the average analyst 12 month target price of 159 33 changing hands for 161 76 share When a stock reaches the target an analyst has set the analyst logically has two ways to react downgrade on
IDXX,IDXX:UW,BBG000BLS2X9,"Henry Schein Gains on Strategic Buyouts, Cost Concern a Woe",2017-10-13 13:41:01 +0000,https://finance.yahoo.com/news/henry-schein-gains-strategic-buyouts-134101841.html?.tsrc=rss,"Henry Schein (HSIC) continues to grow on dental and animal health business, thanks to merger and acquisition activity. However, rising costs continue to be a burden on the company&apos;s bottom line."
