RESULT_COUNT: 174,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
LIVN,LIVN:UW,BBG009LGHGN2,"ETFs with exposure to LivaNova Plc : October 20, 2017",2017-10-20 14:17:51 +0000,http://finance.yahoo.com/r/f326c7ae-44c7-3ea0-afc0-9441d1ed9c25/etfs-with-exposure-to-livanova-plc-october-20-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to LivaNova Plc Here are 5 ETFs with the largest exposure to LIVN-US. Comparing the performance and risk of LivaNova Plc with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker Fund Name ... Read more
<b>(Read more...)</b>"
LIVN,LIVN:UW,BBG009LGHGN2,"ETFs with exposure to LivaNova Plc : October 9, 2017",2017-10-09 15:45:16 +0000,http://finance.yahoo.com/r/06e32ac1-7d45-36ed-ab95-2091d439d285/etfs-with-exposure-to-livanova-plc-october-9-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to LivaNova Plc Here are 5 ETFs with the largest exposure to LIVN-US. Comparing the performance and risk of LivaNova Plc with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker Fund Name ... Read more
<b>(Read more...)</b>"
LIVN,LIVN:UW,BBG009LGHGN2,See what the IHS Markit Score report has to say about LivaNova PLC.,2017-10-09 12:04:44 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120444427.html?.tsrc=rss,LivaNova PLC NASDAQ/NGS:LIVN
LIVN,LIVN:UW,BBG009LGHGN2,LivaNova Receives FDA Approvals for SenTiva Device and Next-Generation VNS Therapy Programming System for Treatment of Epilepsy,2017-10-09 12:00:00 +0000,https://finance.yahoo.com/news/livanova-receives-fda-approvals-sentiva-120000239.html?.tsrc=rss,"LivaNova PLC , a market-leading medical technology company, today announced it received U.S. Food and Drug Administration approvals for its latest Vagus Nerve Stimulation Therapy® System, which consists of the SenTiva™ implantable generator and the next-generation VNS Therapy Programming System for the treatment of patients with drug-resistant epilepsy."
LIVN,LIVN:UW,BBG009LGHGN2,"LivaNova Plc :LIVN-US: Earnings Analysis: Q2, 2017 By the Numbers : October 6, 2017",2017-10-06 13:07:56 +0000,http://finance.yahoo.com/r/02fc57f4-bf91-3ea7-9cda-eb8843247eff/livanova-plc-livn-us-earnings-analysis-q2-2017-by-the-numbers-october-6-2017?yptr=yahoo&.tsrc=rss,"Categories:  Yahoo FinanceGet free summary analysis LivaNova Plc reports financial results for the quarter ended June 30, 2017. Highlights Summary numbers: Revenues of USD 321.39 million, Net Earnings of USD 47.50 million. Gross margins widened from 57.34% to 61.95% compared to the same period last year, operating (EBITDA) margins now 17.45% from 16.53%. Change in operating cash ... Read more
<b>(Read more...)</b>"
LIVN,LIVN:UW,BBG009LGHGN2,See what the IHS Markit Score report has to say about LivaNova PLC.,2017-10-02 12:05:47 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120547908.html?.tsrc=rss,LivaNova PLC NASDAQ/NGS:LIVN
LIVN,LIVN:UW,BBG009LGHGN2,LivaNova to Host Conference Call for Third Quarter 2017 Results,2017-09-28 14:37:00 +0000,https://finance.yahoo.com/news/livanova-host-conference-call-third-143700379.html?.tsrc=rss,"LivaNova PLC , a market-leading medical technology company, will host a conference call to discuss its third quarter results on Thursday, Nov."
LIVN,LIVN:UW,BBG009LGHGN2,LivaNova and MicroPort Announce the Approval of Rega Pacemakers by the China Food and Drug Administration,2017-09-27 16:07:00 +0000,https://finance.yahoo.com/news/livanova-microport-announce-approval-rega-160700567.html?.tsrc=rss,"LivaNova PLC and MicroPort Scientific Corporation , today announced that the companies’ Shanghai-based joint venture MicroPort Sorin Cardiac Rhythm Management Co."
LIVN,LIVN:UW,BBG009LGHGN2,LivaNova Announces U.S. Launch of Optiflow Arterial Cannulae Family,2017-09-25 15:24:00 +0000,https://finance.yahoo.com/news/livanova-announces-u-launch-optiflow-152400606.html?.tsrc=rss,"LivaNova PLC , a market-leading medical technology company, today announced it received FDA 510 clearance for the U.S. market launch of its Optiflow Arterial Cannulae Family."
LIVN,LIVN:UW,BBG009LGHGN2,See what the IHS Markit Score report has to say about LivaNova PLC.,2017-09-22 12:01:25 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120125372.html?.tsrc=rss,"This represents an increase in short interest as investors who seek to profit from falling equity prices added to their short positions on September 20.  Index (PMI) data, output in the Healthcare sector is rising."
