RESULT_COUNT: 709,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
MNK,MNK:US,BBG002BHBHM1,See what the IHS Markit Score report has to say about Mallinckrodt Plc.,2017-10-20 12:06:40 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120207387.html?.tsrc=rss,Short interest is high for MNK with between 15 and 20% of shares on loan.  This means that investors who seek to profit from falling equity prices are currently targeting MNK.  ETFs that hold MNK had net inflows of $7.39 billion over the last one-month.
MNK,MNK:US,BBG002BHBHM1,Mallinckrodt To Present At The Stifel 2017 Healthcare Conference,2017-10-18 21:00:00 +0000,https://finance.yahoo.com/news/mallinckrodt-present-stifel-2017-healthcare-210000000.html?.tsrc=rss,"STAINES-UPON-THAMES, England , Oct. 18, 2017 /PRNewswire/ -- Mallinckrodt Pharmaceuticals (NYSE: MNK), a leading global specialty pharmaceutical company, will present on Tuesday, Nov. 14, 2017 , at the ..."
MNK,MNK:US,BBG002BHBHM1,"ETFs with exposure to Mallinckrodt Plc : October 18, 2017",2017-10-18 13:52:28 +0000,http://finance.yahoo.com/r/711fd318-6d79-31d6-b5a5-2a47e92bb09f/etfs-with-exposure-to-mallinckrodt-plc-october-18-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Mallinckrodt Plc Here are 5 ETFs with the largest exposure to MNK-US. Comparing the performance and risk of Mallinckrodt Plc with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker Fund Name ... Read more
<b>(Read more...)</b>"
MNK,MNK:US,BBG002BHBHM1,See what the IHS Markit Score report has to say about Mallinckrodt Plc.,2017-10-17 12:05:19 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120519461.html?.tsrc=rss,"Short interest is high for MNK with between 15 and 20% of shares on loan.  This means that investors who seek to profit from falling equity prices are currently targeting MNK.  Over the last one-month, outflows of investor capital in ETFs holding MNK totaled $3.09 billion."
MNK,MNK:US,BBG002BHBHM1,"Mallinckrodt Opens Specialty Brands Office In New Jersey, Announces $100,000 Donation To Princeton University Program For High Achieving, Low-Income High School Students",2017-10-16 17:15:00 +0000,https://finance.yahoo.com/news/mallinckrodt-opens-specialty-brands-office-171500913.html?.tsrc=rss,"BEDMINSTER, N.J., Oct. 16, 2017 /PRNewswire/ -- Mallinckrodt Pharmaceuticals (MNK), a leading global specialty pharmaceutical company, today joined U.S. Rep. Leonard Lance, R-N.J., to mark the official opening of its Specialty Brands office campus in New Jersey.  The new space at 1425 U.S. Route 206, in Bedminster, N.J. is home to a workforce of nearly 500 that supports marketed and development products in the company's hospital therapies and autoimmune and rare diseases businesses."
MNK,MNK:US,BBG002BHBHM1,See what the IHS Markit Score report has to say about Mallinckrodt Plc.,2017-10-13 12:03:39 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120339053.html?.tsrc=rss,"Short interest is moderately high for MNK with between 10 and 15% of shares outstanding currently on loan.  Over the last one-month, outflows of investor capital in ETFs holding MNK totaled $9.15 billion."
MNK,MNK:US,BBG002BHBHM1,See what the IHS Markit Score report has to say about Mallinckrodt Plc.,2017-10-12 12:08:33 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120258929.html?.tsrc=rss,"Short interest is high for MNK with between 15 and 20% of shares on loan.  This means that investors who seek to profit from falling equity prices are currently targeting MNK.  Over the last one-month, outflows of investor capital in ETFs holding MNK totaled $7.00 billion."
MNK,MNK:US,BBG002BHBHM1,Mallinckrodt plc to Report Earnings Results for Third Quarter of Fiscal 2017,2017-10-10 20:57:00 +0000,https://finance.yahoo.com/news/mallinckrodt-plc-report-earnings-results-205700813.html?.tsrc=rss,"STAINES-UPON-THAMES, United Kingdom , Oct. 10, 2017 /PRNewswire/ -- Mallinckrodt plc (NYSE: MNK), a leading global specialty pharmaceutical company, announced today it will report fiscal 2017 third quarter ..."
MNK,MNK:US,BBG002BHBHM1,Mallinckrodt to Begin Sarcoidosis Study on Acthar Gel,2017-10-10 20:50:08 +0000,https://finance.yahoo.com/news/mallinckrodt-begin-sarcoidosis-study-acthar-205008189.html?.tsrc=rss,Mallinckrodt plc (MNK) announced that it will initiate a new phase IV study on H.P. Acthar Gel as a therapy option in patients with symptomatic sarcoidosis.
MNK,MNK:US,BBG002BHBHM1,Surprising Analyst 12-Month Target For IHE,2017-10-09 14:50:49 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/2eAZwKvjCGg/surprising-analyst-12-month-target-for-ihe-cm856901,Looking at the underlying holdings of the ETFs in our coverage universe at ETF Channel we have compared the trading price of each holding against the average analyst 12 month forward target price and computed the weighted average implied analyst target price for the ETF itself For the
