RESULT_COUNT: 2587,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
MYL,MYL:UW,BBG000BPQMX8,Gilead Sciences Stock: Performance in 3Q17,2017-10-20 18:39:34 +0000,http://finance.yahoo.com/r/2df21a19-9571-3056-900a-f39065cef5bf/gilead-sciences-stock-performance-in-3q17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"Gilead Sciences stock has risen ~15.2% in 3Q17 and 13.9% year-to-date as of October 20, 2017."
MYL,MYL:UW,BBG000BPQMX8,See what the IHS Markit Score report has to say about Mylan NV.,2017-10-20 12:05:29 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120529976.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
MYL,MYL:UW,BBG000BPQMX8,"PPH, AZN, MYL, BMY: ETF Outflow Alert",2017-10-19 16:44:51 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yMXb5Z1K7zg/pph-azn-myl-bmy-etf-outflow-alert-cm862017,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Pharmaceutical ETF Symbol PPH where we have detected an approximate 23 1 million dollar outflow that s a 7 9 decrease week over week from 5 088 138 00
MYL,MYL:UW,BBG000BPQMX8,See what the IHS Markit Score report has to say about Mylan NV.,2017-10-19 12:05:39 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120539379.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
MYL,MYL:UW,BBG000BPQMX8,"Pricing Pressure, Competition Remain Headwinds for Pharma Stocks",2017-10-18 20:59:08 +0000,https://finance.yahoo.com/news/pricing-pressure-competition-remain-headwinds-205908706.html?.tsrc=rss,"Pricing Pressure, Competition Remain Headwinds for Pharma Stocks"
MYL,MYL:UW,BBG000BPQMX8,"Allergan (AGN) Loses Restasis Patent Lawsuit, Shares Fall",2017-10-17 23:50:49 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/aE36nyCQKmQ/allergan-agn-loses-restasis-patent-lawsuit-shares-fall-cm861054,Allergan plc AGN announced that a Texas federal district court invalidated four of the six patents covering Restasis Allergan s second bestselling drug This potentially opens the doors for early generic competition Shares of the company fell almost 3 5 in response on Monday The company
MYL,MYL:UW,BBG000BPQMX8,How Allergan's 'Public Relations Backlash' Deepened This Week,2017-10-17 20:50:29 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MS0e4TAnYTc/how-allergans-public-relations-backlash-deepened-this-week-cm860847,Allergan AGN was already facing a public relations backlash after transferring patent rights for its Restasis eye medication to a Native American tribe when a judge on Monday then invalidated four of those patents ibd display video id 2326965 width 50 float
MYL,MYL:UW,BBG000BPQMX8,"Mylan to Report Third Quarter 2017 Financial Results on Nov. 6, 2017",2017-10-17 12:00:00 +0000,https://finance.yahoo.com/news/mylan-report-third-quarter-2017-120000224.html?.tsrc=rss,"HERTFORDSHIRE, England and PITTSBURGH, Oct. 17, 2017 /PRNewswire/ -- Mylan N.V. (NASDAQ, TASE: MYL) today announced that it will host a conference call and live webcast, on Monday, Nov. 6, 2017, at 10:30 a.m. ET, to review the company's financial results for the third quarter ended Sept. 30, 2017.  Mylan will release its financial results on Nov. 6, before the open of the U.S. financial markets.  Mylan is a global pharmaceutical company committed to setting new standards in healthcare."
MYL,MYL:UW,BBG000BPQMX8,Mylan Invalidates Allergan's Patents on Restasis®,2017-10-16 22:45:00 +0000,https://finance.yahoo.com/news/mylan-invalidates-allergans-patents-restasis-224500345.html?.tsrc=rss,"HERTFORDSHIRE, England, and PITTSBURGH, Oct. 16, 2017 /PRNewswire/ -- Mylan N.V. (NASDAQ, TASE: MYL) today announced that the United States District Court for the Eastern District of Texas has issued a 135-page decision finding all asserted claims of the patents relating to Restasis® invalid based on obviousness."
MYL,MYL:UW,BBG000BPQMX8,Allergan Tanks After Judge Invalidates Restasis Patents,2017-10-16 20:42:31 +0000,http://finance.yahoo.com/r/6c6efe6a-0b42-36c5-89c9-988233aabccd/allergan-tanks-after-judge-reportedly-invalidates-restasis-patents?src=A00220&yptr=yahoo&.tsrc=rss,Allergan tanked Monday after a federal judge invalidated patents covering eye-drug Restasis.
MYL,MYL:UW,BBG000BPQMX8,[$$] Mylan Calls Allergan’s Patent Sale to Indian Tribe a ‘Sham’,2017-10-16 04:17:21 +0000,http://finance.yahoo.com/r/cce7bb6c-115d-30d2-8a59-1f753ffa0ad8/mylan-calls-allergans-patent-sale-to-indian-tribe-a-sham-1507996687?ru=yahoo?mod=yahoo_itp&yptr=yahoo&.tsrc=rss,Generic-drug company Mylan has fired back at rival Allergan’s attempt to shield its top-selling eye medication from competition by transferring the patents to an Indian tribe.
MYL,MYL:UW,BBG000BPQMX8,[$$] Mylan Calls Allergan's Patent Sale to Tribe a 'Sham',2017-10-14 15:58:11 +0000,http://finance.yahoo.com/r/cce7bb6c-115d-30d2-8a59-1f753ffa0ad8/mylan-calls-allergans-patent-sale-to-indian-tribe-a-sham-1507996687?mod=yahoo_hs&yptr=yahoo&.tsrc=rss,Generic-drug company Mylan NV has fired back at rival Allergan PLC’s attempt to shield its top-selling eye drug from competition by transferring the patents to an Indian tribe.
MYL,MYL:UW,BBG000BPQMX8,"It’s Time to Start Buying Beaten-Up Gilead Sciences, Inc. (GILD) Stock",2017-10-13 15:33:05 +0000,https://finance.yahoo.com/news/time-start-buying-beaten-gilead-153305041.html?.tsrc=rss,"Then there was the demise of Valeant Pharmaceuticals Intl Inc (NYSE:VRX), followed by an EpiPen scandal at Mylan N.V. (NASDAQ:MYL).  While GILD stock also fell, the reasons were largely unrelated to the scandals which plagued its peers.  The company’s big Hepatitis C Virus (HCV) drug worked really well."
MYL,MYL:UW,BBG000BPQMX8,Voyager Therapeutics (VYGR) Jumps: Stock Rises 7.8%,2017-10-13 14:18:21 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AWSl_kyl6_M/voyager-therapeutics-vygr-jumps-stock-rises-78-cm859377,Voyager Therapeutics Inc VYGR was a big mover last session as the company saw its shares rise nearly 8 on the day The move came on solid volume too with far more shares changing hands than in a normal session This continues the recent uptrend for the company for the company as the stock
MYL,MYL:UW,BBG000BPQMX8,A New FDA Approval Sends Small Cap Flexion Soaring,2017-10-13 05:15:00 +0000,https://finance.yahoo.com/news/fda-approval-sends-small-cap-051500529.html?.tsrc=rss,"Flexion&apos;s non-opioid pain management drug has huge potential, and it&apos;s looking to expand into more indications."
