RESULT_COUNT: 419,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
NUS,NUS:US,BBG000HG21Y3,Nu Skin Enterprises Shares Growth Strategy And Introduces New Products At Global Sales Event,2017-10-18 21:43:00 +0000,https://finance.yahoo.com/news/nu-skin-enterprises-shares-growth-214300825.html?.tsrc=rss,"PROVO, Utah, Oct. 18, 2017 /PRNewswire/ -- Nu Skin Enterprises, Inc. (NUS) concluded its Nu Skin global LIVE! event in a sold-out venue in Salt Lake City with the company's sales leaders and customers, along with tens of thousands of viewers from around the world celebrating online via live stream.  During the conference, company leaders outlined Nu Skin's growth strategy focused on: engaging platforms, enabling products and empowering programs.  In addition, the company and its sales leaders raised funds for children's causes around the world as part of Nu Skin's Force for Good initiatives."
NUS,NUS:US,BBG000HG21Y3,"Stock Market News For Oct 13, 2017",2017-10-13 14:11:02 +0000,https://finance.yahoo.com/news/stock-market-news-oct-13-141102218.html?.tsrc=rss,Markets posted losses on Thursday following a decline in financial shares after banks tanked. Such losses were buoyed by decline in shares of JPMorgan and Citigroup.
NUS,NUS:US,BBG000HG21Y3,Nu Skin (NUS) Up 2.4% on Raised Q3 Sales and Profit View,2017-10-13 12:23:12 +0000,https://finance.yahoo.com/news/nu-skin-nus-2-4-122312099.html?.tsrc=rss,Nu Skin (NUS) raised its outlook for the third quarter of 2017. We believe its efforts to innovate products to boost sales is doing the trick for the company.
NUS,NUS:US,BBG000HG21Y3,Nu Skin raises profit and sales outlook ahead of investor meeting,2017-10-12 11:08:23 +0000,http://finance.yahoo.com/r/32541cad-edbc-3b56-8292-b6b064417748/Story.aspx?guid=A0C153AE-238D-47B6-BEA2-DED2363C27F8&siteid=yhoof2&yptr=yahoo&.tsrc=rss,"Nu Skin Enterprises Inc. raised its outlook Thursday for profit and sales, ahead of the beauty and wellness products company's investor meeting. The company now expects third-quarter earnings per share ..."
NUS,NUS:US,BBG000HG21Y3,Nu Skin Enterprises Provides Updated Q3 Revenue And EPS Guidance,2017-10-12 10:59:00 +0000,https://finance.yahoo.com/news/nu-skin-enterprises-provides-updated-105900299.html?.tsrc=rss,"The company expects revenue of $559 to $563 million, with anticipated earnings per share of $0.74 to $0.76.  Nu Skin's management team will discuss updated guidance, recent business trends and upcoming initiatives at an investor meeting today at 1:45 p.m. (ET).  Founded more than 30 years ago, Nu Skin Enterprises, Inc. develops and distributes innovative consumer products, offering a comprehensive line of premium-quality beauty and wellness solutions."
NUS,NUS:US,BBG000HG21Y3,Nu Skin Enterprises To Host Investor Meeting And Webcast,2017-10-09 22:00:00 +0000,https://finance.yahoo.com/news/nu-skin-enterprises-host-investor-220000206.html?.tsrc=rss,"PROVO, Utah , Oct. 9, 2017 /PRNewswire/ -- Nu Skin Enterprises, Inc. (NYSE: NUS) today announced as part of its Nu Skin LIVE! event, the company will host an investor meeting on Thursday, Oct. 12.  Key ..."
NUS,NUS:US,BBG000HG21Y3,Nu Skin Enterprises To Report Third-Quarter 2017 Results,2017-10-06 13:00:00 +0000,https://finance.yahoo.com/news/nu-skin-enterprises-report-third-130000052.html?.tsrc=rss,"PROVO, Utah , Oct. 6, 2017 /PRNewswire/ -- Nu Skin Enterprises, Inc. (NYSE: NUS) will release third-quarter 2017 results after the market closes on Wednesday, Nov. 1 . The Nu Skin management team will ..."
NUS,NUS:US,BBG000HG21Y3,Unilever's Mae Terra Buyout to Expand Organic Food Business,2017-10-03 15:00:52 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/hL7McfD9RjI/unilevers-mae-terra-buyout-to-expand-organic-food-business-cm854435,Consumer products giant Unilever Plc UL has been focused on shaping its portfolio to achieve sustainable growth To offer organic and healthy food products to consumers Unilever recently agreed to acquire Brazilian natural and organic food business Mãe Terra The terms of the transaction
NUS,NUS:US,BBG000HG21Y3,"Nu Skin Enterprises, Inc. breached its 50 day moving average in a Bearish Manner : NUS-US : October 3, 2017",2017-10-03 12:24:40 +0000,http://finance.yahoo.com/r/77dd003a-ec7d-37d0-a6c1-65df76fb8ce7/nu-skin-enterprises-inc-breached-its-50-day-moving-average-in-a-bearish-manner-nus-us-october-3-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceGet full CapitalCube analysis *Disclaimer : This is as of previous day’s closing price. Technical Indicators Below is a quick look at 5 technical indicators for Nu Skin Enterprises, Inc.. More studies are available on the Technical Chart. Indicator Signal Closing Price above/below 50 Day Moving Average Bearish Closing Price above/below 200 Day Moving Average ... Read more
<b>(Read more...)</b>"
NUS,NUS:US,BBG000HG21Y3,"Tyson Foods Raises Earnings View, Restructuring On Track",2017-10-02 15:52:38 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/H3ZzDAE6j_s/tyson-foods-raises-earnings-view-restructuring-on-track-cm853810,Tyson Foods Inc TSN has been struggling with higher operating expenses owing to enhanced investments and restructuring initiatives of late 160 Evidently shares of the company have underperformed the industry in the past six months In the said time frame the company s shares
