RESULT_COUNT: 901,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
NVO,NVO:US,BBG000BQBKR3,Abbvie Inks Immuno-Oncology Deal with Harpoon Therapeutics,2017-10-20 21:36:09 +0000,https://finance.yahoo.com/news/abbvie-inks-immuno-oncology-deal-213609693.html?.tsrc=rss,AbbVie (ABBV) and Harpoon Therapeutics announced that they inked an immuno-oncology research collaboration to generate novel T-cell engagers for the treatment of cancer.
NVO,NVO:US,BBG000BQBKR3,Novo Nordisk Stock: Performance in 3Q17,2017-10-20 20:36:15 +0000,http://finance.yahoo.com/r/f7560d10-a671-3f3e-92f8-c53c3b7b781c/novo-nordisk-stock-performance-in-3q17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"Novo Nordisk stock has risen ~12.3% in 3Q17. It has risen ~41.3% year-to-date as of October 20, 2017."
NVO,NVO:US,BBG000BQBKR3,"Pharma Stock Roundup: Beat & Raise Quarter from J&J, Allergan Hit by Restasis Ruling",2017-10-20 15:14:21 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-gagVZGWJ0M/pharma-stock-roundup-beat-raise-quarter-from-jj-allergan-hit-by-restasis-ruling-cm862525,Johnson amp Johnson JNJ kicked off third quarter earnings season for the pharmaceutical sector on a strong note with the company beating on both earnings and revenues While focus remained on J amp J s strong earnings results companies like Allergan AGN were also in the news regarding
NVO,NVO:US,BBG000BQBKR3,"Pharma Stock Roundup: Beat & Raise Quarter from J&J, Allergan Hit by Restasis Ruling",2017-10-20 12:47:12 +0000,https://finance.yahoo.com/news/pharma-stock-roundup-beat-raise-124712930.html?.tsrc=rss,Johnson & Johnson&apos;s (JNJ) Q3 earnings results were the key highlight this week with the company reporting strong results and raising its outlook.
NVO,NVO:US,BBG000BQBKR3,Novo Nordisk takes aim at Eli Lilly with U.S. backing of new diabetes drug,2017-10-19 07:32:41 +0000,https://finance.yahoo.com/news/novo-nordisk-takes-aim-eli-073241119.html?.tsrc=rss,"WASHINGTON/COPENHAGEN, Oct 19 (Reuters) - Denmark's Novo  Nordisk will take aim at Eli Lilly in the  growing diabetes market after an advisory panel to the U.S. Food  and Drug Administration (FDA) gave the green light to its  semaglutide drug.  Shares in Novo Nordisk rose almost 3 percent in early  trading on Thursday, after the panel late on Wednesday concluded  semaglutide is effective, reasonably safe and should be approved  by the FDA.  The panel voted 16-0 with one abstention in favor of the  drug being approved."
NVO,NVO:US,BBG000BQBKR3,"FDA Blesses 2nd CAR-T Cell Therapy, NVO One Step Away From Approval, AKTX Slumps",2017-10-19 02:34:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UcdrzdQTWzU/fda-blesses-2nd-cart-cell-therapy-nvo-one-step-away-from-approval-aktx-slumps-20171019-00101,"FDA Blesses 2nd CAR-T Cell Therapy, NVO One Step Away From Approval, AKTX Slumps"
NVO,NVO:US,BBG000BQBKR3,NVO : Semaglutide Gets Positive Vote In Favour Of Approval From FDA Panel,2017-10-18 22:28:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LvgPJ9BCDdo/nvo--semaglutide-gets-positive-vote-in-favour-of-approval-from-fda-panel-20171018-01528,NVO : Semaglutide Gets Positive Vote In Favour Of Approval From FDA Panel
NVO,NVO:US,BBG000BQBKR3,Novo Nordisk receives positive 16-0 vote from FDA Advisory Committee in favor of approval for semaglutide,2017-10-18 21:34:00 +0000,https://finance.yahoo.com/news/novo-nordisk-receives-positive-16-213400600.html?.tsrc=rss,"PLAINSBORO, N.J., Oct. 18, 2017 /PRNewswire/ -- Novo Nordisk today announced that the Endocrinologic and Metabolic Drugs Advisory Committee (EMDAC) of the U.S. Food and Drug Administration (FDA) voted 16-0, supporting the approval of once-weekly semaglutide to improve glycemic control in adults with type 2 diabetes.  Based on the data contained in the New Drug Application (NDA) for semaglutide, the FDA asked the panel members to discuss whether Novo Nordisk has provided adequate evidence to demonstrate the efficacy and safety profile of semaglutide for the treatment of type 2 diabetes in adults."
NVO,NVO:US,BBG000BQBKR3,U.S. FDA panel backs approval of Novo Nordisk diabetes drug,2017-10-18 20:59:00 +0000,https://finance.yahoo.com/news/u-fda-panel-backs-approval-203921842.html?.tsrc=rss,"Novo Nordisk A/S's  new diabetes drug semaglutide is effective, reasonably safe and  should be approved, an advisory panel to the U.S. Food and Drug  Administration concluded on Wednesday.  The FDA typically follows the recommendations of its  advisors.  Novo Nordisk is hoping that semaglutide, administered  through a once-weekly injection, will take market share from Eli  Lilly & Co's once-weekly Trulicity, which in turn has  been taking share from Novo Nordisk's once-daily Victoza."
NVO,NVO:US,BBG000BQBKR3,European ADRs Edge Higher as Financial Stocks Log Gains,2017-10-18 15:50:30 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Hf9UkpNS75Q/european-adrs-edge-higher-as-financial-stocks-log-gains-cm861343,American depository receipts of European stocks were 0 2 higher at 140 31 on the Bank of New York Mellon Europe ADR Index on Wednesday morning American depository receipts of European stocks were 0 2 higher at 140 31 on the Bank of New York Mellon Europe ADR Index on Wednesday morning Gainers
