RESULT_COUNT: 4470,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
PFE,PFE:US,BBG000BR2B91,Healthcare ETF (VHT) Hits New 52-Week High,2017-10-21 00:59:20 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/2tlHrzgFpGo/healthcare-etf-vht-hits-new-52-week-high-cm863015,Investors seeking momentum may have Vanguard Healthcare ETF VHT on radar now The fund recently hit a new 52 week high Shares of VHT are up approximately 29 2 from the 52 week low of 120 38 share But could there be more gains ahead for this ETF Let s take a look at the fund and
PFE,PFE:US,BBG000BR2B91,Glaxo (GSK) Q3 Earnings: Will it Deliver a Beat Yet Again?,2017-10-20 14:55:02 +0000,https://finance.yahoo.com/news/glaxo-gsk-q3-earnings-deliver-145502766.html?.tsrc=rss,"The performance of GlaxoSmithKline plc&apos;s (GSK) new products is likely to be good. Vaccines acquired from Novartis are likely to drive revenues and ease the impact of the loss of key drug, Advair ."
PFE,PFE:US,BBG000BR2B91,3 High-Yield Pharmaceutical Stocks,2017-10-20 14:00:00 +0000,https://finance.yahoo.com/news/3-high-yield-pharmaceutical-stocks-140000362.html?.tsrc=rss,"High-yield pharma stocks are rare, but these three offer comparatively fat payouts."
PFE,PFE:US,BBG000BR2B91,See what the IHS Markit Score report has to say about Pfizer Inc.,2017-10-20 12:00:41 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120041039.html?.tsrc=rss,Pfizer Inc NYSE:PFE
PFE,PFE:US,BBG000BR2B91,What’s Driving Economic Moats,2017-10-20 11:45:09 +0000,http://finance.yahoo.com/r/cc0078a0-0663-385f-a85a-4cffc9c9193f/whats-driving-economic-moats?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"""How Moats Translate into Sustainable Competitive Advantages"" is a five-part moat investing education series that explores the primary sources of economic moats."
PFE,PFE:US,BBG000BR2B91,"Senate OKs Budget Resolution, The Easy Part Of Passing Trump Tax Cuts",2017-10-20 02:47:20 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UQVRwpyY2Lo/senate-oks-budget-resolution-the-easy-part-of-passing-trump-tax-cuts-cm861774,The GOP led Senate late Thursday approved a budget resolution that sets aside room for a net 1 5 trillion tax cut over the coming decade The 51 49 vote is important because it will allow the GOP to pass tax cuts with just 50 votes plus Vice President Pence With the exception
PFE,PFE:US,BBG000BR2B91,"After Hours Most Active for Oct 19, 2017 :  V, AAPL, CMCSA, BABA, PYPL, PFE, T, KW, GE, QQQ, ADBE, GILD",2017-10-19 21:03:31 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ZzMMDVC77zk/after-hours-most-active-for-oct-19-2017-v-aapl-cmcsa-baba-pypl-pfe-t-kw-ge-qqq-adbe-gild-cm862301,The NASDAQ 100 After Hours Indicator is up 4 29 to 6 096 91 The total After hours volume is currently 41 037 723 shares traded The following are the most active stocks for the after hours session Visa Inc V is unchanged at 107 02 with 3 415 192 shares traded V
PFE,PFE:US,BBG000BR2B91,Healthcare ETFs Head to Head: XLV vs. VHT,2017-10-19 19:20:07 +0000,https://finance.yahoo.com/news/healthcare-etfs-head-head-xlv-192007798.html?.tsrc=rss,"Head to head comparison of two Healthcare ETFs, XLV and VHT."
PFE,PFE:US,BBG000BR2B91,Healthcare ETFs in Focus on Johnson & Johnson Q3 Earnings,2017-10-19 18:48:31 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NyBI3s61Wpk/healthcare-etfs-in-focus-on-johnson-johnson-q3-earnings-cm862185,Earnings and Revenue Beat Shares of Johnson amp Johnson JNJ increased 3 5 at market close on Oct 17 2017 after beating the Zacks Consensus Estimate on both earnings and revenues The company s revenues of 19 7 billion increased 10 3 in third quarter 2017 on a year over year basis
PFE,PFE:US,BBG000BR2B91,3 Reasons to Stay Away From Valeant Pharmaceuticals Intl Inc Stock,2017-10-19 15:47:35 +0000,https://finance.yahoo.com/news/3-reasons-stay-away-valeant-154735608.html?.tsrc=rss,"During the past six months or so, Valeant Pharmaceuticals Intl Inc (NYSE:VRX) has been regaining some of its footing.  CEO Joe Papa has wasted little time in cutting costs, streamlining the business and unloading of VRX stock’s assets.  Since April, VRX stock has rallied from $8.60 to $12.81."
PFE,PFE:US,BBG000BR2B91,Conatus Entrusts Keith W. Marshall With Key Management Roles,2017-10-19 13:36:01 +0000,https://finance.yahoo.com/news/conatus-entrusts-keith-w-marshall-133601849.html?.tsrc=rss,"Conatus Pharmaceuticals (CNAT) announced the appointment of Keith W. Marshall as executive vice president, chief operating officer and chief financial officer."
PFE,PFE:US,BBG000BR2B91,Trump Tax Cuts Clear First Hurdle; Now Comes A Wrestling Match,2017-10-19 12:44:23 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/VAxJAs0FZD0/trump-tax-cuts-clear-first-hurdle-now-comes-a-wrestling-match-cm861774,Senate Republicans on Wednesday kicked off debate on a budget resolution that would set aside room for a net 1 5 trillion tax cut over the coming decade The vote is important because it would allow the GOP to pass tax cuts with just 50 votes plus Vice President Pence and
PFE,PFE:US,BBG000BR2B91,"Howe & Rusling Inc Buys DowDuPont Inc, JPMorgan Chase, iShares Intermediate ...",2017-10-19 12:43:52 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vOpGREevup8/howe-rusling-inc-buys-dowdupont-inc-jpmorgan-chase-ishares-intermediate-cm861813,Howe Rusling Inc New Purchases DWDP GVI IEFA MKC YUM APH CLX ROP HCN UNP Added Positions JPM UNH AVGO TJX VCSH STZ UL AAPL MSFT HD Reduced Positions HAS INTC CSCO ADBE LMT AMAT ABBV RTN DPS FB Sold Out DD AIV CAJ
PFE,PFE:US,BBG000BR2B91,4 Cheap Stock Picks for the Impatient,2017-10-19 12:37:00 +0000,http://finance.yahoo.com/r/8061b19f-0679-3dac-9318-79d3d324cb38/4-cheap-stock-picks-for-the-impatient-1508416634?mod=yahoobarrons&ru=yahoo&yptr=yahoo&.tsrc=rss,"General Motors stock has a rare combination of a breakdown valuation and zippy price momentum. That is, it trades at eight times forward earnings estimates, making it less than half as expensive as the ..."
PFE,PFE:US,BBG000BR2B91,See what the IHS Markit Score report has to say about Pfizer Inc.,2017-10-19 12:00:38 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120038652.html?.tsrc=rss,Pfizer Inc NYSE:PFE
PFE,PFE:US,BBG000BR2B91,Inside Pfizer’s Performance in 3Q17,2017-10-19 11:39:48 +0000,http://finance.yahoo.com/r/9d247e34-8b4d-3ca1-aa71-375e98c1586f/inside-pfizers-performance-in-3q17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,PFE stock rose ~7.3% in 3Q17 and has risen ~11.3% YTD (year-to-date) as of October 16.
PFE,PFE:US,BBG000BR2B91,2 Great Stocks For Retirees,2017-10-19 10:11:00 +0000,https://finance.yahoo.com/news/2-great-stocks-retirees-101100541.html?.tsrc=rss,Find out what makes this pair of big pharma stocks a perfect fit for recent retirees looking to bolster their income.
PFE,PFE:US,BBG000BR2B91,3 High-Yield Stocks for Conservative Investors,2017-10-19 10:08:00 +0000,https://finance.yahoo.com/news/3-high-yield-stocks-conservative-100800442.html?.tsrc=rss,These solid businesses with great dividend yields hit the sweet spot for conservative investors.
PFE,PFE:US,BBG000BR2B91,[$$] Reckitt Makeover Clears Way for Pfizer Bid,2017-10-19 04:03:24 +0000,http://finance.yahoo.com/r/afe6a754-aefb-329e-9b29-cf2bd96b121d/reckitt-makeover-clears-way-for-pfizer-bid-1508331531?ru=yahoo?mod=yahoo_itp&yptr=yahoo&.tsrc=rss,The London-listed consumer group is doing what activist Nelson Peltz wants Procter & Gamble to do—but M&A may be an ulterior motive.
PFE,PFE:US,BBG000BR2B91,"5 Blue-Chip Stocks That “Dow 23,000” Left in the Dust",2017-10-18 23:49:59 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_sRUFGiSwhg/5-blue-chip-stocks-that-dow-23000-left-in-the-dust-cm861677,InvestorPlace Stock Market News Stock Advice amp Trading Tips The bulls are parading around Wall Street on Wednesday as better than expected earnings from International Business Machines Corp NYSE IBM sent shares soaring to their best gain in eight years never mind the
PFE,PFE:US,BBG000BR2B91,What to Expect from Big Pharmas After J&J's Solid Q3 Results?,2017-10-18 22:52:36 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/e4YHAAqtt4s/what-to-expect-from-big-pharmas-after-jjs-solid-q3-results-cm861641,Johnson amp Johnson JNJ was the first large cap pharma stock to report its earnings results for this season on Oct 17 J amp J beat the Zacks Consensus Estimate for both earnings and revenues in the third quarter and also raised its 2017 sales and profit outlook Shares of J amp J were up
PFE,PFE:US,BBG000BR2B91,What to Expect from Big Pharmas After J&J&apos;s Solid Q3 Results?,2017-10-18 20:21:08 +0000,https://finance.yahoo.com/news/expect-big-pharmas-j-j-202108992.html?.tsrc=rss,"Large-cap pharmas are expected to report encouraging third-quarter results, following J&J&apos;s earnings beat. Five out of the six companies are expected to deliver earnings beat this quarter."
PFE,PFE:US,BBG000BR2B91,Here's Why Ignyta Stock Soared as Much as 27.5% Today,2017-10-18 18:50:55 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8rS2tntZzF4/heres-why-ignyta-stock-soared-as-much-as-275-today-cm861481,What happened Shares of pre revenue biopharma Ignyta NASDAQ RXDX jumped over 27 Wednesday morning after it announced promising interim results from an ongoing phase 2 3 clinical trial investigating the potential of its lead drug candidate entrectinib to treat patients with
PFE,PFE:US,BBG000BR2B91,"Sabal Trust CO Buys United Parcel Service Inc, Bristol-Myers Squibb Company, Hanesbrands Inc, ...",2017-10-18 18:50:05 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MAoZ_UglJ20/sabal-trust-co-buys-united-parcel-service-inc-bristol-myers-squibb-company-hanesbrands-inc-cm861549,Sabal Trust CO New Purchases UPS HBI CIU PSA MDT CME SBUX UNP TWX UTX Added Positions BMY T PFE ENB GPC XOM CVS QCOM SO CSCO Reduced Positions GE SON SYY INTC AAPL JNJ BA ABBV MSFT MMM Sold Out AGN AXP EFX DD F CRM
PFE,PFE:US,BBG000BR2B91,Johnson & Johnson Posts Solid Q3 Numbers Led By Ramp Up In Oncology Drugs,2017-10-18 18:19:36 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/npnvZ8Q0_ro/johnson-johnson-posts-solid-q3-numbers-led-by-ramp-up-in-oncology-drugs-cm861520,Johnson amp Johnson s 160 JNJ stock increased by over 3 following its Q3 2017 earnings announcement effectively adding 13 billion in market cap The results were largely in line with expectations with a ramp up in key oncology drug sales benefits from the Actelion acquisition
PFE,PFE:US,BBG000BR2B91,Here&apos;s Why Ignyta Stock Soared as Much as 27.5% Today,2017-10-18 17:35:57 +0000,https://finance.yahoo.com/news/apos-why-ignyta-stock-soared-173557344.html?.tsrc=rss,The biopharma&apos;s lead drug candidate has strong potential based on a sneak peek at midstage trial data.
