RESULT_COUNT: 365,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
PTLA,PTLA:UW,BBG004FJG6B0,Portola Pharmaceuticals Supports 2017 World Thrombosis Day Campaign to Raise Awareness about the Persistent Risk of Blood Clots,2017-10-11 20:05:00 +0000,https://finance.yahoo.com/news/portola-pharmaceuticals-supports-2017-world-200500844.html?.tsrc=rss,"SOUTH SAN FRANCISCO, Calif., Oct. 11, 2017-- Portola Pharmaceuticals Inc. ® announced today that it will be serving as a global partner for World Thrombosis Day to help raise awareness of the incidence, ..."
PTLA,PTLA:UW,BBG004FJG6B0,See what the IHS Markit Score report has to say about Portola Pharmaceuticals Inc.,2017-10-09 12:05:05 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120505265.html?.tsrc=rss,"Short interest is low for PTLA with fewer than 5% of shares on loan.  The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Over the last month, ETFs holding PTLA are favorable, with net inflows of $3.75 billion."
PTLA,PTLA:UW,BBG004FJG6B0,Portola Pharmaceuticals Reports Inducement Grants Under NASDAQ Listing Rule 5635(c)(4),2017-10-03 20:05:00 +0000,https://finance.yahoo.com/news/portola-pharmaceuticals-reports-inducement-grants-200500729.html?.tsrc=rss,"SOUTH SAN FRANCISCO, Calif., Oct. 03, 2017-- Portola Pharmaceuticals, Inc. ® announced today that on September 27, 2017, the Compensation Committee of the Board of Directors approved, effective as of September ..."
PTLA,PTLA:UW,BBG004FJG6B0,See what the IHS Markit Score report has to say about Portola Pharmaceuticals Inc.,2017-10-02 12:02:07 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120432731.html?.tsrc=rss,Short interest is low for PTLA with fewer than 5% of shares on loan.  The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.
PTLA,PTLA:UW,BBG004FJG6B0,Cramer's lightning round: Portola's no one-trick pony,2017-09-26 22:58:00 +0000,https://finance.yahoo.com/video/cramers-lightning-round-portolas-no-225800052.html?.tsrc=rss,"Jim Cramer flies through his take on callers' favorite stocks at lightning speed, including one pharmaceutical name."
PTLA,PTLA:UW,BBG004FJG6B0,See what the IHS Markit Score report has to say about Portola Pharmaceuticals Inc.,2017-09-26 12:05:08 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120508079.html?.tsrc=rss,Short interest is low for PTLA with fewer than 5% of shares on loan.  The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.
PTLA,PTLA:UW,BBG004FJG6B0,Analysts Expect JKK To Hit $183,2017-09-20 14:37:18 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RbheUA3Drn8/analysts-expect-jkk-to-hit-183-cm848283,Looking at the underlying holdings of the ETFs in our coverage universe at ETF Channel we have compared the trading price of each holding against the average analyst 12 month forward target price and computed the weighted average implied analyst target price for the ETF itself For the
PTLA,PTLA:UW,BBG004FJG6B0,Today's Research Reports on Trending Tickers: Portola Pharmaceuticals and Synchronoss Technologies,2017-09-20 12:00:00 +0000,https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000129.html?.tsrc=rss,"NEW YORK, NY / ACCESSWIRE / September 20, 2017 / All of the major indexes reached new record highs on Tuesday as Federal Reserve policymakers kicked off their two-day policy meeting. The Dow Jones Industrial ..."
PTLA,PTLA:UW,BBG004FJG6B0,Is It The Right Time To Buy Portola Pharmaceuticals Inc (PTLA)?,2017-09-19 13:39:10 +0000,https://finance.yahoo.com/news/time-buy-portola-pharmaceuticals-inc-133910128.html?.tsrc=rss,"Portola Pharmaceuticals Inc (NASDAQ:PTLA), a pharmaceuticals, biotechnology and life sciences company based in United States, saw a significant share price rise of over 20% in the past couple of monthsRead More..."
PTLA,PTLA:UW,BBG004FJG6B0,Portola Shares Lower After Pricing Stock Offering - Biotech Movers,2017-09-13 13:06:00 +0000,http://finance.yahoo.com/r/d91b9842-2e40-3ac3-83b1-a60fdd638d61/portola-shares-lower-after-pricing-stock-offering-biotech-movers.html?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss,"The South San Francisco, Calif.-based firm said Sept. 12 it had priced its underwritten public offering of 6.35 million shares at $55 apiece."
