RESULT_COUNT: 322,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
Q,Q:US,BBG00333FYS2,Earnings Season Watch List: PRA Health Sciences,2017-10-18 15:54:35 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/L_QdkXSL_3A/earnings-season-watch-list-pra-health-sciences-cm861433,IBD 50 member PRA Health Sciences PRAH is in a potential buy range as it gets ready to report earnings on Oct 25 It s trading approximately 2 above an 81 09 buy point from a third stage flat base ibd display video id 2368044 width 50 float left autostart
Q,Q:US,BBG00333FYS2,Stocks To Watch Ahead Of Earnings: Quintiles IMS,2017-10-17 15:54:54 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/CV2GhRnOuik/stocks-to-watch-ahead-of-earnings-quintiles-ims-cm860820,Quintiles IMS Q is expected to report earnings on Oct 31 It s now trading right around the 100 05 buy point from a third stage flat base that it cleared earlier ibd display video id 2360792 width 50 float left autostart true Be aware that buying just before a
Q,Q:US,BBG00333FYS2,This No. 1-Ranked Medical Stock Is Breaking Out With Q3 Earnings Due,2017-10-13 22:18:22 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qvoNs6oKnLM/this-no-1-ranked-medical-stock-is-breaking-out-with-q3-earnings-due-cm858615,When biotech companies like Celgene CELG Biogen BIIB and Gilead Sciences GILD 160 put their drugs through extensive trials to gain FDA approval they turn to clinical research firms like PRA Health Sciences PRAH ibd display
Q,Q:US,BBG00333FYS2,"ETFs with exposure to Quintiles IMS Holdings, Inc. : October 13, 2017",2017-10-13 15:10:16 +0000,http://finance.yahoo.com/r/4b1dee90-2480-3114-87f9-f5a4eae43887/etfs-with-exposure-to-quintiles-ims-holdings-inc-october-13-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Quintiles IMS Holdings, Inc. Here are 5 ETFs with the largest exposure to Q-US. Comparing the performance and risk of Quintiles IMS Holdings, Inc. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower ... Read more
<b>(Read more...)</b>"
Q,Q:US,BBG00333FYS2,Q Crosses Above Average Analyst Target,2017-10-13 14:13:05 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/3ArtM2hZbbc/q-crosses-above-average-analyst-target-cm859273,In recent trading shares of Quintiles IMS Holdings Inc Symbol Q have crossed above the average analyst 12 month target price of 98 43 changing hands for 98 45 share When a stock reaches the target an analyst has set the analyst logically has two ways to react downgrade on valuation
Q,Q:US,BBG00333FYS2,"QuintilesIMS to Announce Third-Quarter 2017 Results on October 26, 2017",2017-10-12 20:15:00 +0000,https://finance.yahoo.com/news/quintilesims-announce-third-quarter-2017-201500543.html?.tsrc=rss,"Quintiles IMS Holdings, Inc. will announce its third-quarter 2017 financial results before the market opens on Thursday, October 26, 2017. The QuintilesIMS management team will also host a conference call and webcast at 9:00 a.m."
Q,Q:US,BBG00333FYS2,IBD Rating Upgrades: Bio-Techne Shows Improved Relative Price Strength,2017-10-12 15:17:45 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0vX0OO24a9o/ibd-rating-upgrades-bio-techne-shows-improved-relative-price-strength-cm858878,Bio Techne TECH saw a positive improvement to its Relative Strength RS Rating on Thursday with an increase from 69 to 73 ibd display video id 449433 width 50 float left autostart true This proprietary rating identifies market leadership by showing how a stock
Q,Q:US,BBG00333FYS2,Stocks With Rising Relative Price Strength: Quintiles IMS,2017-10-12 15:17:24 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WiEBLfZE1Jk/stocks-with-rising-relative-price-strength-quintiles-ims-cm858870,One important metric to look for in a stock is an 80 or higher Relative Strength Rating Quintiles IMS Q now clears that threshold with a jump from 78 to 81 Thursday ibd display video id 449423 width 50 float left autostart true This exclusive rating from Investor
Q,Q:US,BBG00333FYS2,"QuintilesIMS to Host Financial Analyst and Investor Conference on November 8, 2017",2017-10-04 20:15:00 +0000,https://finance.yahoo.com/news/quintilesims-host-financial-analyst-investor-201500137.html?.tsrc=rss,"Quintiles IMS Holdings, Inc. will host an Analyst and Investor Conference in New York City on Wednesday, November 8, 2017. Management will provide an update on the business and progress since the merger."
Q,Q:US,BBG00333FYS2,Bio-Techne Shows Rising Relative Strength; Still Shy Of Key Benchmark,2017-10-03 14:50:47 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/fy5-5U1OcJo/bio-techne-shows-rising-relative-strength-still-shy-of-key-benchmark-cm854542,On Tuesday Bio Techne TECH got a positive adjustment to its Relative Strength RS Rating from 68 to 71 ibd display video id 449433 width 50 float left autostart true IBD s proprietary RS Rating measures technical performance by using a 1 worst to 99
Q,Q:US,BBG00333FYS2,Why You Need To Look At This Factor Before Buying Quintiles IMS Holdings Inc (Q),2017-10-02 18:37:09 +0000,https://finance.yahoo.com/news/why-look-factor-buying-quintiles-183709401.html?.tsrc=rss,"For Quintiles IMS Holdings Inc’s (NYSE:Q) shareholders, and also potential investors in the stock, understanding how the stock’s risk and return characteristics can impact your portfolio is important. Q isRead More..."
Q,Q:US,BBG00333FYS2,"ETFs with exposure to Quintiles IMS Holdings, Inc. : October 2, 2017",2017-10-02 15:02:54 +0000,http://finance.yahoo.com/r/86e9d59c-4dbc-3569-bfac-55b0db216333/etfs-with-exposure-to-quintiles-ims-holdings-inc-october-2-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Quintiles IMS Holdings, Inc. Here are 5 ETFs with the largest exposure to Q-US. Comparing the performance and risk of Quintiles IMS Holdings, Inc. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower ... Read more
<b>(Read more...)</b>"
Q,Q:US,BBG00333FYS2,"Quintiles IMS Holdings, Inc. :Q-US: Earnings Analysis: Q2, 2017 By the Numbers : September 29, 2017",2017-09-29 12:57:06 +0000,http://finance.yahoo.com/r/66c5b6a3-6ef0-3d44-8502-0b75a30d5f9c/quintiles-ims-holdings-inc-q-us-earnings-analysis-q2-2017-by-the-numbers-september-29-2017?yptr=yahoo&.tsrc=rss,"Categories:  Yahoo FinanceGet free summary analysis Quintiles IMS Holdings, Inc. reports financial results for the quarter ended June 30, 2017. Highlights Summary numbers: Revenues of USD 2379 million, Net Earnings of USD 75 million. Gross margins narrowed from 27.63% to 24.13% compared to the same period last year, operating (EBITDA) margins now 18.87% from 13.59%. Change in ... Read more
<b>(Read more...)</b>"
Q,Q:US,BBG00333FYS2,"PRA Health Sciences Clears Key Benchmark, Hitting 80-Plus RS Rating",2017-09-28 14:46:17 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/g1CS1bKMZKg/pra-health-sciences-clears-key-benchmark-hitting-80-plus-rs-rating-cm852551,On Thursday PRA Health Sciences PRAH hit an important technical milestone seeing its Relative Strength RS Rating jump into the 80 plus percentile with an improvement to 83 up from 80 the day before ibd display video id 449433 width 50 float
Q,Q:US,BBG00333FYS2,"TPG Group Holdings (SBS) Advisors, Inc. Buys Etsy Inc, Gardner Denver Holdings Inc, Cognizant ...",2017-09-22 19:46:52 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Mid9ANzYU0I/tpg-group-holdings-sbs-advisors-inc-buys-etsy-inc-gardner-denver-holdings-inc-cognizant-cm849805,TPG Group Holdings SBS Advisors Inc SBS SBS New Purchases GDI PHG HCC FPH SHOP POOL SNAP Added Positions ETSY CTSH PLYA JLL NGVT APD IBKR LW AMC HLNE Reduced Positions Q ELF MPC AGN EVH ABCO INFO PEGA CBPX UNF
Q,Q:US,BBG00333FYS2,"XLU, GNRX: Big ETF Outflows",2017-09-19 16:39:21 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KPVGTwvQLaw/xlu-gnrx-big-etf-outflows-cm847790,Looking at units outstanding versus one week prior within the universe of ETFs covered at ETF Channel the biggest outflow was seen in the Utilities Select Sector SPDR Fund where 7 500 000 units were destroyed or a 5 1 decrease week over week Among the largest underlying components of XLU
Q,Q:US,BBG00333FYS2,Manitok Energy Inc. and Questfire Energy Corp. Announce an Extension to the Outside Date to Complete the Arrangement,2017-09-16 01:23:00 +0000,https://finance.yahoo.com/news/manitok-energy-inc-questfire-energy-012300224.html?.tsrc=rss,Manitok Energy Inc. and Questfire Energy Corp. Announce an Extension to the Outside Date to Complete the Arrangement
Q,Q:US,BBG00333FYS2,QuintilesIMS Announces Pricing of Secondary Public Offering,2017-09-15 04:05:00 +0000,https://finance.yahoo.com/news/quintilesims-announces-pricing-secondary-public-040500119.html?.tsrc=rss,"Quintiles IMS Holdings, Inc. announced today the pricing of an underwritten, secondary public offering of 9,000,000 shares of its common stock by certain of its existing stockholders, including affiliates of TPG Global, LLC, CPP Investment Board Private Holdings, Inc., investment funds associated with Bain Capital Investors, LLC, and Leonard Green & Partners, L.P."
Q,Q:US,BBG00333FYS2,QuintilesIMS Announces Launch of Secondary Public Offering and Repurchase of Common Stock,2017-09-14 20:42:00 +0000,https://finance.yahoo.com/news/quintilesims-announces-launch-secondary-public-204200213.html?.tsrc=rss,"Quintiles IMS Holdings, Inc. announced today the launch of an underwritten, secondary public offering of 9,000,000 shares of its common stock by certain of its existing stockholders, including affiliates of TPG Global, LLC, CPP Investment Board Private Holdings, Inc., investment funds associated with Bain Capital Investors, LLC, and Leonard Green & Partners, L.P."
Q,Q:US,BBG00333FYS2,QuintilesIMS Announces Pricing on Offering of Senior Notes,2017-09-11 20:59:00 +0000,https://finance.yahoo.com/news/quintilesims-announces-pricing-offering-senior-205900646.html?.tsrc=rss,"Quintiles IMS Holdings, Inc. today announced the pricing of the offering of €420 million in gross proceeds of senior notes to be issued by its wholly owned subsidiary, Quintiles IMS Incorporated ."
Q,Q:US,BBG00333FYS2,Quintiles IMS Incorporated -- Moody's rates Quintiles IMS's new Euro notes Ba3,2017-09-11 16:06:08 +0000,http://finance.yahoo.com/r/c2415bda-588e-3030-84ff-2395bd26f005/viewresearchdoc.aspx?docid=PR_372517&WT.mc_id=AM~WWFob29fRmluYW5jZTQyX1NCX0NWX1JhdGluZ19OZXdzX0FsbF9Fbmc=~20170911_PR_372517&yptr=yahoo&.tsrc=rss,"Rating Action: Moody's rates Quintiles IMS's new Euro notes Ba3. Global Credit Research- 11 Sep 2017. New York, September 11, 2017-- Moody's Investors Service, assigned Ba3 ratings to the proposed $500 ..."
Q,Q:US,BBG00333FYS2,"QuintilesIMS Announces Offering of Senior Notes, Redemption of Existing Euro Senior Notes and Proposed Amendment to Senior Secured Credit Facility",2017-09-11 06:00:00 +0000,https://finance.yahoo.com/news/quintilesims-announces-offering-senior-notes-060000199.html?.tsrc=rss,"Quintiles IMS Holdings, Inc. today announced that its wholly owned subsidiary, Quintiles IMS Incorporated , intends to raise €420 million in gross proceeds through an offering of senior notes due 2025."
Q,Q:US,BBG00333FYS2,A list of executives that have sold $3M-plus in stock of Triangle companies,2017-09-08 19:40:15 +0000,http://finance.yahoo.com/r/c216d5be-f01c-3fbf-9e89-5fa11851961b/a-list-of-executives-that-have-sold-3m-plus-in.html?ana=yahoo&yptr=yahoo&.tsrc=rss,"For an eclectic list of top Triangle executives, 2017 has already been a wallet-boosting year. An analysis of securities filings shows tens of millions in payouts to top execs as they sell stakes in the ..."
