RESULT_COUNT: 1736,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
REGN,REGN:UW,BBG000C75K91,Another Regeneron Bear Is Born,2017-10-20 19:57:00 +0000,http://finance.yahoo.com/r/740f03e1-c5cb-3938-bdbc-ed028028cb7c/another-regeneron-bear-is-born-1508529475?mod=yahoobarrons&ru=yahoo&yptr=yahoo&.tsrc=rss,"Regeneron (REGN) has pinned its hopes on the eczema drug Dupixent.  Earlier today, Barclays analyst Geoff Meacham downgraded the biotech giant to Underweight, arguing that the Street’s expectations for Dupixent in the eczema and asthma markets are “too high.” ...Dupixent is—in our view—a key driver of share performance.  Despite positive views by physicians, treatment rates in moderate-to-severe populations remain modest—and treatment rates are not expected to grow to support Street expectations."
REGN,REGN:UW,BBG000C75K91,REGN Crosses Below Key Moving Average Level,2017-10-20 17:02:27 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PadNemJEi2s/regn-crosses-below-key-moving-average-level-cm862673,In trading on Friday shares of Regeneron Pharmaceuticals Inc Symbol REGN crossed below their 200 day moving average of 430 57 changing hands as low as 427 00 per share Regeneron Pharmaceuticals Inc shares are currently trading down about 1 8 on the day The chart below shows the
REGN,REGN:UW,BBG000C75K91,"Nasdaq 100 Movers: CELG, PYPL",2017-10-20 16:03:33 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kOD_TyQS0rI/nasdaq-100-movers-celg-pypl-cm862613,In early trading on Friday shares of PayPal Holdings PYPL topped the list of the day s best performing components of the Nasdaq 100 index trading up 6 4 Year to date PayPal Holdings registers a 81 3 gain And the worst performing Nasdaq 100 component thus far on the day is
REGN,REGN:UW,BBG000C75K91,"Pharma Stock Roundup: Beat & Raise Quarter from J&J, Allergan Hit by Restasis Ruling",2017-10-20 12:47:12 +0000,https://finance.yahoo.com/news/pharma-stock-roundup-beat-raise-124712930.html?.tsrc=rss,Johnson & Johnson&apos;s (JNJ) Q3 earnings results were the key highlight this week with the company reporting strong results and raising its outlook.
REGN,REGN:UW,BBG000C75K91,Science Magazine Ranks Regeneron #1 Biopharma Employer for Fifth Time,2017-10-19 18:30:00 +0000,https://finance.yahoo.com/news/science-magazine-ranks-regeneron-1-183000889.html?.tsrc=rss,"TARRYTOWN, N.Y., Oct. 19, 2017 /PRNewswire/ -- Regeneron Pharmaceuticals, Inc. (NASDAQ: REGN) today announced that Science magazine has once again ranked the company as the world's number one employer in its annual survey of the biotech and pharmaceutical industry.  Regeneron has been ranked first for five of the past seven years, with second place rankings in 2015 and 2011, making the company the most highly ranked over the past decade.  ""Our continued placement atop the Science Top Employers list is a reflection of our passionate colleagues who dedicate themselves each day to ground-breaking science that leads to life-changing medicines,"" said George D. Yancopoulos, M.D., Ph.D., President and Chief Scientific Officer of Regeneron."
REGN,REGN:UW,BBG000C75K91,See what the IHS Markit Score report has to say about Regeneron Pharmaceuticals Inc.,2017-10-19 12:06:05 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120605484.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
REGN,REGN:UW,BBG000C75K91,"Notable Wednesday Option Activity: AGN, REGN, ABBV",2017-10-18 19:50:38 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ilrEAV82u8A/notable-wednesday-option-activity-agn-regn-abbv-cm861538,Among the underlying components of the S amp P 500 index we saw noteworthy options trading volume today in Allergan PLC Symbol AGN where a total of 46 585 contracts have traded so far representing approximately 4 7 million underlying shares That amounts to about 149 of AGN s average
REGN,REGN:UW,BBG000C75K91,"Biotech Stock Roundup: Exelixis Soars on Priority Review, FDA Panel Supports Spark Drug",2017-10-18 11:32:11 +0000,https://finance.yahoo.com/news/biotech-stock-roundup-exelixis-soars-113211834.html?.tsrc=rss,Key highlights include regulatory updates from Exelixis (EXEL) and Spark Therapeutics and pipeline updates from Regeneron and Ionis among others.
REGN,REGN:UW,BBG000C75K91,Regeneron-Sanofi drug succeeds mid-stage study,2017-10-17 16:58:52 +0000,https://finance.yahoo.com/news/regeneron-sanofi-drug-succeeds-mid-165852647.html?.tsrc=rss,"The drug, dupilumab, was statistically significant in improving the ability to swallow in adults with moderate-to-severe eosinophilic esophagitis, when compared with a placebo.  Eosinophilic esophagitis is a chronic, allergic inflammatory disease that damages the pipe that connects the throat and the stomach, and can lead to food getting stuck in the oesophagus and difficulties in swallowing."
REGN,REGN:UW,BBG000C75K91,Sanofi/Regeneron's Dupixent Succeeds in Phase II Study,2017-10-17 16:53:55 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/N7GnKDbXBWc/sanofiregenerons-dupixent-succeeds-in-phase-ii-study-cm860804,Sanofi Inc SNY and partner Regeneron Pharmaceuticals Inc REGN announced that a phase II study evaluating its injection Dupixent for the treatment of adults with active moderate to severe eosinophilic esophagitis met its primary endpoint Sanofi s shares have risen 22 7 this year so
REGN,REGN:UW,BBG000C75K91,Sanofi/Regeneron&apos;s Dupixent Succeeds in Phase II Study,2017-10-17 14:48:02 +0000,https://finance.yahoo.com/news/sanofi-regeneron-apos-dupixent-succeeds-144802572.html?.tsrc=rss,Sanofi (SNY) and Regeneron&apos;s phase II study evaluating Dupixent for the treatment of adults with active moderate-to-severe eosinophilic esophagitis meets its primary endpoint.
REGN,REGN:UW,BBG000C75K91,Gilead Sciences on the Street: Analyst Recommendations in October,2017-10-17 12:39:06 +0000,http://finance.yahoo.com/r/0e7aeab2-fa2e-31f9-8688-7e92569f163a/gilead-sciences-on-the-street-analyst-recommendations-in-october?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,"Of the 28 analysts tracking Gilead Sciences in October 2017, three have recommended a “strong buy,” while 11 have recommended a “buy."""
REGN,REGN:UW,BBG000C75K91,UPDATE 1-Regeneron-Sanofi drug succeeds mid-stage study,2017-10-16 22:16:14 +0000,https://finance.yahoo.com/news/regeneron-sanofi-food-allergy-drug-125532164.html?.tsrc=rss,"Regeneron Pharmaceuticals Inc  and Sanofi SA said on Monday their drug to treat  inflammation in the esophagus, mainly caused by food allergies,  met the main goal of a mid-stage study.  The drug, dupilumab, was statistically significant in  improving the ability to swallow in adults with  moderate-to-severe eosinophilic esophagitis, when compared with  a placebo.  Eosinophilic esophagitis is a chronic, allergic inflammatory  disease that damages the pipe that connects the throat and the  stomach, and can lead to food getting stuck in the esophagus and  difficulties in swallowing."
REGN,REGN:UW,BBG000C75K91,"Health Care Sector Update for 10/16/2017: AIMI,REGN,SNY,EXEL,TGTX",2017-10-16 20:17:30 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9LSxlGCPl4Q/health-care-sector-update-for-10162017-aimiregnsnyexeltgtx-cm860316,Top Health Care StocksTop Health Care Stocks JJNJ 0 51 JJNJ 0 51 PFE 1 22 PFE 1 22 ABT 0 02 ABT 0 02 MRK 0 21 MRK 0 21 AMGN 0 80 AMGN 0 80 Health care stocks missed out on the late day bounce for most sectors today with the NYSE Health Care Index falling almost 0 3 while shares
