RESULT_COUNT: 817,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
SHPG,SHPG:UW,BBG000CCXC42,"Create the Soundtrack to Your Unique Day with ""Compose Your Life""",2017-10-19 13:18:00 +0000,https://finance.yahoo.com/news/create-soundtrack-unique-day-compose-131800564.html?.tsrc=rss,"LEXINGTON, Mass., Oct. 19, 2017 /PRNewswire/ -- To help bring attention to the many activities, responsibilities and to-dos that make up a day, Shire plc (LSE: SHP, NASDAQ: SHPG) presents Compose Your Life, an online and in-person activation that runs concurrently with Shire's ADHDadulthood disease state awareness campaign.  Compose Your Life is available online starting today, and at a live experience for those attending the 6th Annual S.H.E. Summit in New York City.  The Compose Your Life interactive experience takes activities that occur during the course of a day and turns them into a personalized musical story."
SHPG,SHPG:UW,BBG000CCXC42,"Nasdaq 100 Movers: EA, MU",2017-10-18 15:50:37 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4tI2vCKaZo8/nasdaq-100-movers-ea-mu-cm861303,In early trading on Wednesday shares of Micron Technology MU topped the list of the day s best performing components of the Nasdaq 100 index trading up 2 2 Year to date Micron Technology registers a 88 3 gain And the worst performing Nasdaq 100 component thus far on the day
SHPG,SHPG:UW,BBG000CCXC42,"Allergan (AGN) Loses Restasis Patent Lawsuit, Shares Fall",2017-10-17 23:50:49 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/aE36nyCQKmQ/allergan-agn-loses-restasis-patent-lawsuit-shares-fall-cm861054,Allergan plc AGN announced that a Texas federal district court invalidated four of the six patents covering Restasis Allergan s second bestselling drug This potentially opens the doors for early generic competition Shares of the company fell almost 3 5 in response on Monday The company
SHPG,SHPG:UW,BBG000CCXC42,European ADRs Edge Lower as Manufacturers Head South,2017-10-17 15:09:20 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UpREtRVysv0/european-adrs-edge-lower-as-manufacturers-head-south-cm860610,American depository receipts of European stocks were 0 3 lower at 140 12 on the Bank of New York Mellon Europe ADR Index on Tuesday morning American depository receipts of European stocks were 0 3 lower at 140 12 on the Bank of New York Mellon Europe ADR Index on Tuesday morning Decliners
SHPG,SHPG:UW,BBG000CCXC42,Why Shire plc (LSE:SHP) Delivered An Inferior ROE Compared To The Industry,2017-10-17 13:27:16 +0000,https://finance.yahoo.com/news/why-shire-plc-lse-shp-132716145.html?.tsrc=rss,Shire plc’s (LSE:SHP) most recent return on equity was a substandard 2.31% relative to its industry performance of 25.47% over the past year. SHP’s results could indicate a relatively inefficientRead More...
SHPG,SHPG:UW,BBG000CCXC42,Shire&apos;s New Formulation of Oncaspar Gets CHMP Recommendation,2017-10-16 14:02:02 +0000,https://finance.yahoo.com/news/shire-apos-formulation-oncaspar-gets-140202707.html?.tsrc=rss,"Shire&apos;s (SHPG) marketing authorization application for a new (dried) formulation of its leukemia drug, Oncaspar, received CHMP recommendation for approval in EU."
SHPG,SHPG:UW,BBG000CCXC42,Shire plc : New Formulation of ONCASPAR® (pegaspargase) Receives Positive CHMP Opinion in Europe for Patients with Acute Lymphoblastic Leukemia (ALL),2017-10-13 06:06:01 +0000,https://finance.yahoo.com/news/shire-plc-formulation-oncaspar-pegaspargase-060601653.html?.tsrc=rss,"New Formulation of ONCASPAR ® (pegaspargase) Receives Positive CHMP Opinion in Europe for Patients with Acute Lymphoblastic Leukemia (ALL) If approved, lyophilized formulation would offer three times longer ..."
SHPG,SHPG:UW,BBG000CCXC42,"ETFs with exposure to Shire Plc : October 10, 2017",2017-10-10 15:49:21 +0000,http://finance.yahoo.com/r/0e9d95ed-a265-3511-892c-36921648c743/etfs-with-exposure-to-shire-plc-october-10-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Shire Plc Here are 5 ETFs with the largest exposure to SHPG-US. Comparing the performance and risk of Shire Plc with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker Fund Name ... Read more
<b>(Read more...)</b>"
SHPG,SHPG:UW,BBG000CCXC42,"Shire Plc :SHPG-US: Earnings Analysis: Q2, 2017 By the Numbers : October 9, 2017",2017-10-09 13:54:58 +0000,http://finance.yahoo.com/r/15889d4e-82a2-35ab-a0af-0b85dcc648af/shire-plc-shpg-us-earnings-analysis-q2-2017-by-the-numbers-october-9-2017?yptr=yahoo&.tsrc=rss,"Categories:  Yahoo FinanceGet free summary analysis Shire Plc reports financial results for the quarter ended June 30, 2017. Highlights Summary numbers: Revenues of USD 3,822.03 million, Net Earnings of USD 246.41 million. Gross margins narrowed from 58.29% to 57.33% compared to the same period last year, operating (EBITDA) margins now 35.09% from 30.14%. Change in operating cash ... Read more
<b>(Read more...)</b>"
SHPG,SHPG:UW,BBG000CCXC42,Shire plc : Director/PDMR Shareholding,2017-10-05 11:02:01 +0000,https://finance.yahoo.com/news/shire-plc-director-pdmr-shareholding-110201925.html?.tsrc=rss,"Director/PDMR Shareholding   October 5, 2017 - Shire plc (LSE: SHP, NASDAQ: SHPG) (the ""Company"")   Notification of transactions by person discharging managerial responsibilities   1. Details ..."
SHPG,SHPG:UW,BBG000CCXC42,European Markets Struggled To Extend Recent Gains,2017-10-03 11:57:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/z9UW-aLRUdc/european-markets-struggled-to-extend-recent-gains-20171003-00950,European Markets Struggled To Extend Recent Gains
SHPG,SHPG:UW,BBG000CCXC42,Shire plc : Director/PDMR Shareholding,2017-10-03 11:02:01 +0000,https://finance.yahoo.com/news/shire-plc-director-pdmr-shareholding-110201035.html?.tsrc=rss,"Director/PDMR Shareholding   October 3, 2017 - Shire plc (LSE: SHP, NASDAQ: SHPG)   Notification of transactions by persons discharging managerial responsibilities   1. Details of the person discharging ..."
SHPG,SHPG:UW,BBG000CCXC42,European Shares Little Changed In Lackluster Trade,2017-10-03 05:38:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-D3txi8HLsI/european-shares-little-changed-in-lackluster-trade-20171003-00168,European Shares Little Changed In Lackluster Trade
SHPG,SHPG:UW,BBG000CCXC42,FTSE 100 Little Changed In Cautious Trade,2017-10-03 05:12:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yJUfYsQlUKM/ftse-100-little-changed-in-cautious-trade-20171003-00147,FTSE 100 Little Changed In Cautious Trade
SHPG,SHPG:UW,BBG000CCXC42,Shire Alleges Allergan Blocked Drug From Medicare Contracts,2017-10-03 05:04:53 +0000,http://finance.yahoo.com/r/ca5d2602-65cd-3630-bb0f-f8d728003ced/shire-alleges-allergan-blocked-drug-from-medicare-contracts-1506957534?ru=yahoo?mod=yahoo_itp&yptr=yahoo&.tsrc=rss,"Shire filed an antitrust suit against Allergan, alleging Allergan’s contracts with Medicare Part D drug plans for its Restasis eye drops effectively blocked access to Shire’s rival drug."
SHPG,SHPG:UW,BBG000CCXC42,Shire Alleges Allergan Blocked Drug From Medicare Contracts,2017-10-02 18:00:43 +0000,http://finance.yahoo.com/r/ca5d2602-65cd-3630-bb0f-f8d728003ced/shire-alleges-allergan-blocked-drug-from-medicare-contracts-1506957534?mod=yahoo_hs&yptr=yahoo&.tsrc=rss,"Shire filed an antitrust suit against Allergan, alleging Allergan’s contracts with Medicare Part D drug plans for its Restasis eye drops effectively blocked access to Shire’s rival drug."
SHPG,SHPG:UW,BBG000CCXC42,Shire sues Allergan in U.S. over dry eye drug,2017-10-02 16:14:58 +0000,https://finance.yahoo.com/news/shire-sues-allergan-u-over-161458250.html?.tsrc=rss,"In a complaint filed with the federal court in Newark, New Jersey, Shire accused Allergan of violating antitrust laws to preserve its roughly 90 percent share in Medicare prescription drug plans for its older and ""clinically inferior"" dry eye drug Restasis, and block prescriptions of Shire's rival drug Xiidra.  ""Quite simply, Allergan has and will continue to use bundled discounts, exclusive dealing, coercion and interference to unlawfully 'block' Shire from competing with it, and to maintain its monopoly in the Part D market at all costs,"" Shire said, referring to the Medicare drug plans."
SHPG,SHPG:UW,BBG000CCXC42,Shire plc : Total voting rights,2017-10-02 13:02:01 +0000,https://finance.yahoo.com/news/shire-plc-total-voting-rights-130201764.html?.tsrc=rss,"Total Voting Rights October 2, 2017 - Shire plc (LSE: SHP, NASDAQ: SHPG) (the ""Company""), in accordance with 5.6.1R of the Financial Conduct Authority`s (the ""FCA"") Disclosure Guidance ..."
SHPG,SHPG:UW,BBG000CCXC42,1 Great Biotech Stock You Have Never Heard Of,2017-09-29 17:36:02 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9f1c3XvF4p8/1-great-biotech-stock-you-have-never-heard-of-cm853199,About 90 of drug candidates that enter clinical trials never make it to market That brutal fact makes the small cap biotech sector a tough place for investors to put their money to work However one way investors can increase their odds of success is to watch where big
SHPG,SHPG:UW,BBG000CCXC42,Should You Sell Shire plc (LSE:SHP) At £37.78?,2017-09-29 14:36:08 +0000,https://finance.yahoo.com/news/sell-shire-plc-lse-shp-143608600.html?.tsrc=rss,"Shire plc (LSE:SHP) trades with a trailing P/E of 65.3x, which is higher than the industry average of 36.1x. While this makes SHP appear like a stock to avoid orRead More..."
SHPG,SHPG:UW,BBG000CCXC42,"Shire Plc : SHPG-US: Dividend Analysis : September 08th, 2017 (record date) : By the numbers : September 29, 2017",2017-09-29 13:32:38 +0000,http://finance.yahoo.com/r/2da0fc47-c895-3346-b131-d0c01121100c/shire-plc-shpg-us-dividend-analysis-september-08th-2017-record-date-by-the-numbers-september-29-2017?yptr=yahoo&.tsrc=rss,"Categories:  Yahoo FinanceGet free summary analysis Our analysis is based on comparing Shire Plc with the following peers – Valeant Pharmaceuticals International Inc, Pfizer Inc., Johnson & Johnson, Eisai Co., Ltd. Sponsored ADR, Sanofi Sponsored ADR, Teva Pharmaceutical Industries Limited Sponsored ADR, CSPC Pharmaceutical Group Ltd. Sponsored ADR, Impax Laboratories, Inc., Sangamo Therapeutics, Inc. and Novartis AG ... Read more
<b>(Read more...)</b>"
