RESULT_COUNT: 282,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
SUPN,SUPN:US,BBG000BP0HX7,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Investors of an Investigation Involving Possible Securities Fraud Violations by the Board of Directors of Supernus Pharmaceuticals, Inc.",2017-10-20 21:39:00 +0000,https://finance.yahoo.com/news/shareholder-alert-levi-korsinsky-llp-213900109.html?.tsrc=rss,"Levi & Korsinsky announces it has commenced an investigation of Supernus Pharmaceuticals, Inc. concerning possible violations of federal securities laws."
SUPN,SUPN:US,BBG000BP0HX7,"ETFs with exposure to Supernus Pharmaceuticals, Inc. : October 17, 2017",2017-10-17 14:01:25 +0000,http://finance.yahoo.com/r/271743ee-8b44-3c33-b23e-659cbc9a9390/etfs-with-exposure-to-supernus-pharmaceuticals-inc-october-17-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Supernus Pharmaceuticals, Inc. Here are 5 ETFs with the largest exposure to SUPN-US. Comparing the performance and risk of Supernus Pharmaceuticals, Inc. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker ... Read more
<b>(Read more...)</b>"
SUPN,SUPN:US,BBG000BP0HX7,"ETFs with exposure to Supernus Pharmaceuticals, Inc. : October 6, 2017",2017-10-06 15:06:41 +0000,http://finance.yahoo.com/r/3e4d0bed-eb8e-3e33-b765-e27292dc56ab/etfs-with-exposure-to-supernus-pharmaceuticals-inc-october-6-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Supernus Pharmaceuticals, Inc. Here are 5 ETFs with the largest exposure to SUPN-US. Comparing the performance and risk of Supernus Pharmaceuticals, Inc. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker ... Read more
<b>(Read more...)</b>"
SUPN,SUPN:US,BBG000BP0HX7,See what the IHS Markit Score report has to say about Supernus Pharmaceuticals Inc.,2017-10-04 12:06:37 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120637263.html?.tsrc=rss,Supernus Pharmaceuticals Inc NASDAQ NMS:SUPN
SUPN,SUPN:US,BBG000BP0HX7,"ETFs with exposure to Supernus Pharmaceuticals, Inc. : September 26, 2017",2017-09-26 15:06:04 +0000,http://finance.yahoo.com/r/27327efc-78a1-38a1-a11d-f4f62eb279be/etfs-with-exposure-to-supernus-pharmaceuticals-inc-september-26-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Supernus Pharmaceuticals, Inc. Here are 5 ETFs with the largest exposure to SUPN-US. Comparing the performance and risk of Supernus Pharmaceuticals, Inc. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker ... Read more
<b>(Read more...)</b>"
SUPN,SUPN:US,BBG000BP0HX7,"Supernus Pharmaceuticals, Inc. :SUPN-US: Earnings Analysis: Q2, 2017 By the Numbers : September 25, 2017",2017-09-25 12:50:52 +0000,http://finance.yahoo.com/r/0ed27cc4-16c7-328f-b6c1-e591f7a4f185/supernus-pharmaceuticals-inc-supn-us-earnings-analysis-q2-2017-by-the-numbers-september-25-2017?yptr=yahoo&.tsrc=rss,"Categories:  Yahoo FinanceGet free summary analysis Supernus Pharmaceuticals, Inc. reports financial results for the quarter ended June 30, 2017. We analyze the earnings along side the following peers of Supernus Pharmaceuticals, Inc. – United Therapeutics Corporation, Zogenix, Inc., Alcobra Ltd., Bristol-Myers Squibb Company, Eli Lilly and Company and Shire PLC Sponsored ADR (UTHR-US, ZGNX-US, ADHD-US, BMY-US, LLY-US ... Read more
<b>(Read more...)</b>"
SUPN,SUPN:US,BBG000BP0HX7,"Pharma Stock Roundup: Pfizer Files Suit against J&J, Supernus Hit by Study Update",2017-09-22 12:42:12 +0000,https://finance.yahoo.com/news/pharma-stock-roundup-pfizer-files-124212253.html?.tsrc=rss,Industry heavyweights like Pfizer (PFE) and Johnson & Johnson were in the news this week related to a lawsuit while Glaxo got FDA approval for a key drug.
SUPN,SUPN:US,BBG000BP0HX7,Supernus Pharmaceuticals Hits 80-Plus Relative Strength Rating Benchmark,2017-09-22 07:00:00 +0000,http://finance.yahoo.com/r/7c8eb4a9-1647-3408-9034-0a83676dfe50/supernus-pharmaceuticals-hits-80-plus-relative-strength-rating-benchmark?src=A00220&yptr=yahoo&.tsrc=rss,Supernus Pharmaceuticals sees its Relative Strength Rating hit the 80-plus level.
SUPN,SUPN:US,BBG000BP0HX7,"IPXL Mulls Merger, QURE Attracts Attention, No Let Up In ICPT Ocaliva Concerns",2017-09-21 20:30:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/n1Br6rKkbIA/ipxl-mulls-merger-qure-attracts-attention-no-let-up-in-icpt-ocaliva-concerns-20170921-01187,"IPXL Mulls Merger, QURE Attracts Attention, No Let Up In ICPT Ocaliva Concerns"
SUPN,SUPN:US,BBG000BP0HX7,"Supernus Pharmaceuticals, Inc. breached its 50 day moving average in a Bearish Manner : SUPN-US : September 20, 2017",2017-09-20 13:59:40 +0000,http://finance.yahoo.com/r/11fcef10-7985-34eb-aa31-bc1e98a98c92/supernus-pharmaceuticals-inc-breached-its-50-day-moving-average-in-a-bearish-manner-supn-us-september-20-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceGet full CapitalCube analysis *Disclaimer : This is as of previous day’s closing price. Technical Indicators Below is a quick look at 5 technical indicators for Supernus Pharmaceuticals, Inc.. More studies are available on the Technical Chart. Indicator Signal Closing Price above/below 50 Day Moving Average Bearish Closing Price above/below 200 Day Moving Average Bullish ... Read more
<b>(Read more...)</b>"
SUPN,SUPN:US,BBG000BP0HX7,Today's Research Reports on Stocks to Watch: Capricor Therapeutics and Supernus Pharmaceuticals,2017-09-20 12:20:00 +0000,https://finance.yahoo.com/news/todays-research-reports-stocks-watch-122000458.html?.tsrc=rss,"NEW YORK, NY / ACCESSWIRE / September 20, 2017 / Traders can hardly wait for Capricor Therapeutics to release six-month follow-up data from its Hope-Duchenne clinical trial of CAP-1002. Shares skyrocketed ..."
SUPN,SUPN:US,BBG000BP0HX7,Why Supernus Pharmaceuticals' Shares Plummeted 23.4% Today,2017-09-19 22:37:10 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/cSA_ZkXDvjY/why-supernus-pharmaceuticals-shares-plummeted-234-today-cm848065,What happened After reporting disappointing interim news from its phase 3 study of SPN 810 as a treatment for aggressive impulses in ADHD patients shares in Supernus Pharmaceuticals NASDAQ SUPN tumbled 23 4 today So what Supernus Pharmaceuticals markets
SUPN,SUPN:US,BBG000BP0HX7,"CAPR Is Hot, VBLT In Rally Mode, MYOK's Data Heartening, MediWound Bleeds",2017-09-19 21:45:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/If_59Lyxdws/capr-is-hot-vblt-in-rally-mode-myoks-data-heartening-mediwound-bleeds-20170919-01399,"CAPR Is Hot, VBLT In Rally Mode, MYOK's Data Heartening, MediWound Bleeds"
SUPN,SUPN:US,BBG000BP0HX7,Supernus Drops SPN-810's Lower Dose Test in Phase III Trials,2017-09-19 21:37:23 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qB7wi7SLbMU/supernus-drops-spn-810s-lower-dose-test-in-phase-iii-trials-cm848039,Supernus Pharmaceuticals Inc s SUPN shares have dropped almost 10 after the company announced decision to stop evaluating the lower dose option 18 mg of its pipeline candidate SPN 810 in two phase III clinical trials However the company will carry on with its 36 mg dose of SPN 810
SUPN,SUPN:US,BBG000BP0HX7,"Noteworthy Tuesday Option Activity: SUPN, WTW, AMT",2017-09-19 20:36:36 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/X_FN3Gw6VUc/noteworthy-tuesday-option-activity-supn-wtw-amt-cm847987,Looking at options trading activity among components of the Russell 3000 index there is noteworthy activity today in Supernus Pharmaceuticals Inc Symbol SUPN where a total volume of 2 997 contracts has been traded thus far today a contract volume which is representative of
SUPN,SUPN:US,BBG000BP0HX7,Why Supernus Pharmaceuticals&apos; Shares Plummeted 23.4% Today,2017-09-19 20:29:00 +0000,http://finance.yahoo.com/r/2e13f08c-ed57-3d0b-95ae-ca29b75644ca/why-supernus-pharmaceuticals-share-are-crashing-22.aspx?yptr=yahoo&.tsrc=rss,A change to phase 3 trials evaluating its lead product candidate SPN-810 fueled investors&apos; pessimism.
SUPN,SUPN:US,BBG000BP0HX7,Supernus Drops SPN-810&apos;s Lower Dose Test in Phase III Trials,2017-09-19 19:12:07 +0000,https://finance.yahoo.com/news/supernus-drops-spn-810-apos-191207223.html?.tsrc=rss,"Supernus (SUPN) decides to stop evaluating the lower dose option of SPN-810 for treatment of impulsive aggression. However, the company will carry on with the study of higher dose arm or placebo."
