RESULT_COUNT: 681,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
WCG,WCG:US,BBG000CLVM51,Harmony Health Plan Selected to Participate in the Statewide Illinois Managed Care Medicaid Program,2017-10-19 21:00:00 +0000,https://finance.yahoo.com/news/harmony-health-plan-selected-participate-210000306.html?.tsrc=rss,"CHICAGO and Tampa, Fla., Oct.19, 2017 /PRNewswire/ -- Harmony Health Plan, Inc. (""Harmony""), a subsidiary of WellCare Health Plans, Inc. (WCG), announced today it signed a contract with the Illinois Department of Healthcare and Family Services (HFS) to administer the state's new Medicaid managed care program statewide.  Under the new contract, the state's existing Family Health Plan/Affordable Care Act (FHP/ACA) and the Integrated Care and Managed Long-term Care programs will be combined into a single integrated care delivery system and will expand statewide.  The new program is expected to serve approximately 2.7 million beneficiaries in Illinois."
WCG,WCG:US,BBG000CLVM51,"Humana Expands MA Offerings, Increases Benefits for Members",2017-10-19 15:51:54 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LhnWjMf1Vms/humana-expands-ma-offerings-increases-benefits-for-members-cm861991,Humana Inc HUM recently announced that it has expanded the health plan choices for Medicare beneficiaries in six New Hampshire counties The expansion involves multiple new Humana Medicare Advantage MA plan offerings during the 2018 MA and Prescription Drug Plan Annual Enrollment Period
WCG,WCG:US,BBG000CLVM51,Far from certain whether Alexander-Murray health-care bil...,2017-10-18 20:38:00 +0000,https://finance.yahoo.com/video/far-certain-whether-alexander-murray-203800913.html?.tsrc=rss,"Ipsita Smolinski, managing director and health care analyst at Capitol Street, discusses President Trump's comments on health insurers and CSR payments and the impact on insurers' stocks."
WCG,WCG:US,BBG000CLVM51,"WellCare Health Plans, Inc. breached its 50 day moving average in a Bullish Manner : WCG-US : October 18, 2017",2017-10-18 12:06:45 +0000,http://finance.yahoo.com/r/c2a99155-fcbd-329b-9a32-21deeca8ea87/wellcare-health-plans-inc-breached-its-50-day-moving-average-in-a-bullish-manner-wcg-us-october-18-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceGet full CapitalCube analysis *Disclaimer : This is as of previous day’s closing price. Technical Indicators Below is a quick look at 5 technical indicators for WellCare Health Plans, Inc.. More studies are available on the Technical Chart. Indicator Signal Closing Price above/below 50 Day Moving Average Bullish Closing Price above/below 200 Day Moving Average ... Read more
<b>(Read more...)</b>"
WCG,WCG:US,BBG000CLVM51,WellCare (WCG) Unit Receives Favorable Star Ratings From CMS,2017-10-16 14:33:02 +0000,https://finance.yahoo.com/news/wellcare-wcg-unit-receives-favorable-143302441.html?.tsrc=rss,WellCare&apos;s (WCG) efforts to boost its Medicare business and provide its Medicare Advantage members quality services have helped it achieve favorable Star Quality ratings from CMS
WCG,WCG:US,BBG000CLVM51,See what the IHS Markit Score report has to say about Wellcare Health Plans Inc.,2017-10-16 12:06:38 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120638415.html?.tsrc=rss,Wellcare Health Plans Inc NYSE:WCG
WCG,WCG:US,BBG000CLVM51,See what the IHS Markit Score report has to say about Wellcare Health Plans Inc.,2017-10-13 12:06:34 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120628237.html?.tsrc=rss,Wellcare Health Plans Inc NYSE:WCG
WCG,WCG:US,BBG000CLVM51,Trump to unwind Obamacare with new exec. order,2017-10-12 17:18:46 +0000,https://finance.yahoo.com/video/trump-unwind-obamacare-exec-order-171846654.html?.tsrc=rss,"President Trump is taking healthcare matters into his own hands after Congress failed to repeal the ACA. Yahoo Finance’s Alexis Christoforous, Rick Newman, and Nicole Sinclair discuss why this could be higher costs for sicker Americans."
WCG,WCG:US,BBG000CLVM51,WellCare Achieves High Star Quality Rating for Medicare Plans in Florida,2017-10-12 15:49:00 +0000,https://finance.yahoo.com/news/wellcare-achieves-high-star-quality-154900273.html?.tsrc=rss,"TAMPA, Fla. , Oct. 12, 2017 /PRNewswire/ -- WellCare of Florida , a subsidiary of WellCare Health Plans, Inc. (NYSE: WCG) received a rating of 4 out of 5 stars for its Plan Year 2018 Medicare plans from ..."
WCG,WCG:US,BBG000CLVM51,Wellcare Health Plans Trying To Close In On Key Technical Measure,2017-10-12 15:17:55 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/OsZPPDUfVw0/wellcare-health-plans-trying-to-close-in-on-key-technical-measure-cm858882,Wellcare Health Plans WCG had its Relative Strength RS Rating upgraded from 66 to 71 Thursday a welcome improvement but still shy of the 80 or higher score you prefer to see ibd display video id 2102289 width 50 float left autostart true IBD s
