RESULT_COUNT: 522,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
ZTS,ZTS:US,BBG0039320N9,2 Great Stocks For Retirees,2017-10-19 11:51:52 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/VBXptPhxR-Y/2-great-stocks-for-retirees-cm861752,Just because you ve retired doesn t mean you want to spend all your new found free time fretting over risky stocks You ll want to limit your focus to companies that are already generating steadily growing profits that they can return to you Adults over 65 years old are the
ZTS,ZTS:US,BBG0039320N9,See what the IHS Markit Score report has to say about Zoetis Inc.,2017-10-18 12:06:21 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120621181.html?.tsrc=rss,Zoetis Inc NYSE:ZTS
ZTS,ZTS:US,BBG0039320N9,Pres Trump believes he has the cure for Obamacare,2017-10-12 14:31:44 +0000,https://finance.yahoo.com/video/pres-trump-believes-cure-obamacare-143144493.html?.tsrc=rss,"President Trump's healthcare bill may have died in Congress, but that's not stopping him from making changes to Obamacare. Later today, the president is expected to  sign an executive order that would let Americans buy insurance across state lines. Yahoo Finance’s Alexis Christoforous and Editor-in-Chief Andy Serwer figure out if the the president’s move will help lower premiums."
ZTS,ZTS:US,BBG0039320N9,3 Reasons Why Pfizer Investors Will Win With a Consumer Business Sale or Spinoff,2017-10-11 13:14:09 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_f1hn1GrP-o/3-reasons-why-pfizer-investors-will-win-with-a-consumer-business-sale-or-spinoff-cm857940,Nearly a year ago reports surfaced that Pfizer NYSE PFE was considering selling or spinning off its consumer healthcare business But those were just reports Nothing happened until now On Tuesday Pfizer officially announced that it was reviewing strategic
ZTS,ZTS:US,BBG0039320N9,"ETFs with exposure to Zoetis, Inc. : October 10, 2017",2017-10-10 15:57:07 +0000,http://finance.yahoo.com/r/e940c7ec-b18e-3d2b-aac8-c8a33bba87b5/etfs-with-exposure-to-zoetis-inc-october-10-2017?yptr=yahoo&.tsrc=rss,"Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Zoetis, Inc. Here are 5 ETFs with the largest exposure to ZTS-US. Comparing the performance and risk of Zoetis, Inc. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker Fund Name ... Read more
<b>(Read more...)</b>"
ZTS,ZTS:US,BBG0039320N9,"Daily Dividend Report: COP, OXY, CSX, ZTS, HSY, SEE",2017-10-06 20:42:32 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ZnkkHNc-At4/daily-dividend-report-cop-oxy-csx-zts-hsy-see-cm856442,ConocoPhillips COP announced a quarterly dividend of 26 5 cents per share payable Dec 1 2017 to stockholders of record at the close of business on Oct 16 2017 Occidental Petroleum Corporation OXY has declared a regular quarterly dividend of 0 77 per share on common
ZTS,ZTS:US,BBG0039320N9,Zoetis to Participate in the Credit Suisse Healthcare Conference,2017-10-06 12:30:00 +0000,https://finance.yahoo.com/news/zoetis-participate-credit-suisse-healthcare-123000294.html?.tsrc=rss,"Zoetis Inc. will participate in the Credit Suisse Healthcare Conference on Tuesday, Nov. 7, 2017, in Scottsdale, Ariz. Executive Vice President and Chief Financial Officer Glenn David, will represent the company and respond to questions from analysts."
ZTS,ZTS:US,BBG0039320N9,Zoetis Declares Fourth Quarter 2017 Dividend,2017-10-05 20:30:00 +0000,https://finance.yahoo.com/news/zoetis-declares-fourth-quarter-2017-203000267.html?.tsrc=rss,"The Board of Directors of Zoetis Inc. has declared a fourth quarter 2017 dividend payable to holders of the company’s common stock of $0.105 per share. The dividend is to be paid on Friday, Dec."
ZTS,ZTS:US,BBG0039320N9,"IWR, ADI, ZTS, FIS: Large Inflows Detected at ETF",2017-10-05 16:49:35 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/GgY3pXViKWU/iwr-adi-zts-fis-large-inflows-detected-at-etf-cm855844,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares Russell Mid Cap ETF Symbol IWR where we have detected an approximate 69 7 million dollar inflow that s a 0 4 increase week over week in
ZTS,ZTS:US,BBG0039320N9,What is Behind Zoetis Inc’s (ZTS) Superior ROE?,2017-09-29 13:17:13 +0000,https://finance.yahoo.com/news/behind-zoetis-inc-zts-superior-131713111.html?.tsrc=rss,"Zoetis Inc (NYSE:ZTS) delivered an ROE of 56.27% over the past 12 months, which is an impressive feat relative to its industry average of 18.27% during the same period. WhileRead More..."
