Date,Open,High,Low,Close,Volume
20-Oct-17,73.00,74.94,73.00,73.56,257406
19-Oct-17,70.94,73.00,70.01,72.64,270887
18-Oct-17,70.72,71.74,70.09,70.65,110571
17-Oct-17,71.50,72.93,71.00,71.24,321242
16-Oct-17,68.75,72.37,67.57,71.06,624896
13-Oct-17,67.79,69.78,67.79,68.69,117205
12-Oct-17,67.29,69.26,67.06,68.53,185773
11-Oct-17,66.20,68.00,66.04,67.13,74756
10-Oct-17,67.28,68.34,66.16,66.74,131263
9-Oct-17,71.00,71.00,64.71,66.68,533262
6-Oct-17,69.99,70.95,67.65,70.71,308423
5-Oct-17,65.50,69.50,64.94,69.18,480980
4-Oct-17,65.50,66.16,64.85,65.74,236741
3-Oct-17,66.50,66.74,65.05,65.41,349307
2-Oct-17,68.00,68.00,64.87,65.15,277155
29-Sep-17,65.51,67.95,65.11,67.62,823166
28-Sep-17,65.50,67.37,63.61,65.10,2817408
27-Sep-17,57.74,62.12,57.51,59.76,1403777
26-Sep-17,55.89,59.88,55.20,58.30,744950
25-Sep-17,54.30,56.14,54.26,56.05,416939
22-Sep-17,56.40,56.94,53.00,55.05,256211
21-Sep-17,57.80,57.90,56.89,57.15,155994
20-Sep-17,57.85,58.26,56.92,57.64,260820
19-Sep-17,56.90,59.60,56.90,57.70,242739
18-Sep-17,56.93,60.99,56.88,57.63,384093
15-Sep-17,57.30,58.14,55.89,56.47,199176
14-Sep-17,54.83,58.98,53.07,56.94,342702
13-Sep-17,52.48,55.40,49.59,54.40,236061
12-Sep-17,53.00,53.28,51.50,52.32,243327
11-Sep-17,50.01,52.83,49.79,52.75,245570
8-Sep-17,50.00,50.01,49.25,49.68,139334
7-Sep-17,50.71,50.71,48.51,50.10,177628
6-Sep-17,49.79,50.51,48.25,49.50,129911
5-Sep-17,46.25,51.87,46.25,50.23,289556
1-Sep-17,48.50,48.50,46.60,46.72,40209
31-Aug-17,48.00,49.00,44.57,48.97,38305
30-Aug-17,48.55,48.78,48.07,48.40,27735
29-Aug-17,48.50,49.05,47.76,48.40,49896
28-Aug-17,48.36,49.10,48.36,48.82,55304
25-Aug-17,49.33,49.60,48.43,48.66,45301
24-Aug-17,48.26,49.05,48.09,48.90,25636
23-Aug-17,48.94,49.05,48.54,48.59,24010
22-Aug-17,47.83,48.98,47.83,48.65,38553
21-Aug-17,46.68,48.79,45.31,48.65,67621
18-Aug-17,49.07,49.54,47.80,48.42,48391
17-Aug-17,49.24,49.64,48.45,48.70,28745
16-Aug-17,50.00,50.00,49.25,49.47,21579
15-Aug-17,49.25,49.76,49.20,49.25,31939
14-Aug-17,49.65,49.94,48.52,49.25,58735
11-Aug-17,49.00,49.17,48.17,48.91,18103
10-Aug-17,50.00,50.00,48.58,48.76,71362
9-Aug-17,48.20,50.00,48.20,50.00,66387
8-Aug-17,49.00,49.63,48.26,48.61,48463
7-Aug-17,49.89,49.89,48.78,49.61,81814
4-Aug-17,49.33,49.69,49.03,49.12,43695
3-Aug-17,47.70,49.22,47.70,48.95,124892
2-Aug-17,50.17,50.59,48.00,48.06,102831
1-Aug-17,47.99,51.02,47.99,50.98,165464
31-Jul-17,47.40,48.97,47.04,47.99,145677
28-Jul-17,42.52,47.63,42.27,47.20,142696
27-Jul-17,42.69,42.69,40.96,42.34,79843
26-Jul-17,41.90,42.49,40.08,42.49,44175
25-Jul-17,42.21,42.41,40.00,41.85,82955
24-Jul-17,41.30,43.50,40.83,42.67,87889
21-Jul-17,41.51,41.59,40.56,41.39,79966
20-Jul-17,40.93,41.39,40.00,41.13,118459
19-Jul-17,39.83,40.82,39.78,40.57,34629
18-Jul-17,39.85,40.16,39.15,39.84,28532
17-Jul-17,39.99,40.30,39.56,39.86,50731
14-Jul-17,39.93,40.51,39.57,39.88,103404
13-Jul-17,40.43,40.82,39.00,40.12,310935
12-Jul-17,39.96,41.39,39.81,40.43,256702
11-Jul-17,39.07,39.69,39.06,39.69,55423
10-Jul-17,38.66,39.67,38.29,39.49,159456
7-Jul-17,38.55,38.72,38.30,38.43,68865
6-Jul-17,38.65,38.91,38.18,38.80,96421
5-Jul-17,39.10,39.13,38.36,38.94,110199
3-Jul-17,39.39,39.39,37.63,39.17,14917
30-Jun-17,39.11,39.38,38.67,39.04,46229
29-Jun-17,39.33,39.33,38.73,38.81,31287
28-Jun-17,37.91,39.09,37.91,39.09,26826
27-Jun-17,38.50,39.03,37.67,37.69,26801
26-Jun-17,40.00,40.00,38.37,38.96,94307
23-Jun-17,39.33,40.00,38.54,39.89,74797
22-Jun-17,39.00,39.93,37.33,39.64,182030
21-Jun-17,38.10,39.90,37.95,39.36,114325
20-Jun-17,37.79,38.16,37.27,37.90,61250
19-Jun-17,37.00,37.80,36.70,37.30,33851
16-Jun-17,37.80,37.80,36.20,37.00,35422
15-Jun-17,36.22,38.54,36.22,36.76,184617
14-Jun-17,36.38,36.70,36.05,36.06,29938
13-Jun-17,35.81,36.64,35.66,36.13,23446
12-Jun-17,36.41,36.50,36.00,36.05,65294
9-Jun-17,36.59,36.85,36.00,36.65,31444
8-Jun-17,36.43,36.82,35.54,36.41,38583
7-Jun-17,36.35,36.74,35.85,36.51,34185
6-Jun-17,35.75,37.00,35.47,36.48,53737
5-Jun-17,35.56,35.99,35.20,35.61,28185
2-Jun-17,37.60,37.60,35.52,35.54,51127
1-Jun-17,37.63,38.25,37.08,37.47,163569
31-May-17,38.36,39.00,36.52,37.78,112891
30-May-17,38.60,39.00,37.94,38.52,47979
26-May-17,38.95,39.28,38.65,38.90,83019
25-May-17,38.75,39.60,38.61,39.21,135840
24-May-17,38.15,39.76,37.90,38.51,120626
23-May-17,36.94,38.48,36.57,38.32,90951
22-May-17,36.50,37.45,36.24,36.72,49773
19-May-17,36.41,36.98,35.86,36.56,37343
18-May-17,36.10,36.50,36.10,36.18,25644
17-May-17,35.99,36.59,35.57,36.18,48201
16-May-17,36.11,37.55,35.99,36.18,47267
15-May-17,35.99,36.56,35.11,36.30,56663
12-May-17,36.51,36.92,36.03,36.03,63923
11-May-17,36.52,36.98,36.41,36.70,25492
10-May-17,36.88,36.88,36.14,36.75,28305
9-May-17,37.26,37.27,36.30,36.87,72708
8-May-17,37.47,37.54,36.61,36.88,25181
5-May-17,38.23,38.25,37.25,37.78,65768
4-May-17,38.11,38.11,37.76,38.08,26323
3-May-17,38.12,38.12,37.22,37.86,139998
2-May-17,37.99,38.39,37.83,38.01,125138
1-May-17,38.01,38.40,37.75,38.00,51372
28-Apr-17,37.62,38.48,37.58,38.00,53051
27-Apr-17,37.26,37.66,36.72,37.43,32880
26-Apr-17,37.25,37.70,36.32,37.55,38007
25-Apr-17,37.40,38.28,37.03,37.25,104738
24-Apr-17,37.56,37.85,37.43,37.82,35822
21-Apr-17,37.69,37.69,36.12,36.95,39767
20-Apr-17,37.24,37.69,37.12,37.61,17474
19-Apr-17,37.90,38.10,36.89,37.06,36179
18-Apr-17,37.65,37.99,37.09,37.91,51600
17-Apr-17,37.63,37.97,37.07,37.45,24319
13-Apr-17,37.75,37.91,37.18,37.42,32529
12-Apr-17,38.17,38.54,37.40,37.75,33804
11-Apr-17,38.84,38.97,37.69,38.09,41354
10-Apr-17,39.50,39.50,38.50,38.80,43780
7-Apr-17,39.40,39.65,39.21,39.33,100685
6-Apr-17,39.77,39.77,38.91,39.24,55333
5-Apr-17,39.70,39.91,38.31,39.47,129059
4-Apr-17,39.40,39.91,39.40,39.77,46400
3-Apr-17,39.90,40.03,39.29,39.69,113019
31-Mar-17,40.00,40.05,39.57,39.86,116722
30-Mar-17,40.00,40.92,39.14,40.00,474483
29-Mar-17,39.21,40.00,39.21,40.00,240933
28-Mar-17,39.20,39.60,38.80,39.21,282499
27-Mar-17,38.68,39.48,38.68,39.20,146882
24-Mar-17,39.50,39.92,38.86,38.98,125600
23-Mar-17,35.50,39.96,35.50,39.58,213075
22-Mar-17,36.99,38.01,36.89,37.30,50153
21-Mar-17,37.04,37.60,36.95,36.99,84039
20-Mar-17,37.24,37.49,36.85,37.25,65971
17-Mar-17,36.67,37.21,36.62,37.11,64957
16-Mar-17,36.80,36.94,36.38,36.48,96335
15-Mar-17,36.72,37.35,35.53,36.75,71277
14-Mar-17,37.38,37.53,36.09,36.62,36585
13-Mar-17,37.66,37.80,36.86,37.42,111687
10-Mar-17,38.35,38.35,37.56,37.95,70804
9-Mar-17,38.00,38.70,37.80,38.09,103509
8-Mar-17,38.01,38.50,37.96,38.31,62302
