Date,Open,High,Low,Close,Volume
20-Oct-17,173.40,175.79,172.27,174.62,209566
19-Oct-17,173.00,173.37,170.57,172.21,225788
18-Oct-17,172.97,173.75,171.91,172.95,174769
17-Oct-17,171.00,172.64,170.94,172.47,167995
16-Oct-17,171.66,172.92,170.10,170.55,295837
13-Oct-17,172.60,175.48,172.12,173.85,141223
12-Oct-17,173.59,173.60,170.60,173.00,364130
11-Oct-17,172.39,172.93,171.66,172.66,284881
10-Oct-17,173.87,173.87,171.49,172.18,293859
9-Oct-17,175.59,175.72,173.63,173.99,219521
6-Oct-17,173.37,175.60,173.10,174.88,208368
5-Oct-17,172.31,174.14,170.75,173.65,278254
4-Oct-17,169.74,171.95,168.71,171.80,250462
3-Oct-17,170.12,170.82,167.82,168.78,334607
2-Oct-17,168.93,171.39,168.70,169.86,361146
29-Sep-17,164.68,171.00,164.42,168.60,570036
28-Sep-17,163.96,163.96,161.60,162.34,273790
27-Sep-17,161.41,163.88,161.05,163.72,253358
26-Sep-17,160.53,161.05,159.77,160.61,195045
25-Sep-17,164.20,164.52,158.71,160.31,280781
22-Sep-17,160.01,164.60,159.51,163.96,355780
21-Sep-17,158.91,160.10,158.36,159.79,287244
20-Sep-17,157.32,157.92,156.53,157.42,191715
19-Sep-17,158.54,158.60,155.57,157.10,234555
18-Sep-17,157.93,158.83,157.23,157.90,273081
15-Sep-17,158.85,158.85,157.87,158.58,571195
14-Sep-17,158.75,159.80,157.64,158.87,257595
13-Sep-17,157.38,159.25,154.64,158.46,263772
12-Sep-17,158.28,158.28,156.50,157.91,170037
11-Sep-17,157.17,158.13,157.07,157.81,316973
8-Sep-17,153.64,157.88,153.64,156.90,218161
7-Sep-17,152.08,153.88,151.43,153.85,244534
6-Sep-17,150.92,152.16,150.14,151.61,283977
5-Sep-17,150.57,151.61,148.80,150.51,566240
1-Sep-17,150.85,151.59,150.10,151.06,231401
31-Aug-17,147.68,150.89,147.65,150.80,237878
30-Aug-17,145.78,147.54,144.01,147.48,441172
29-Aug-17,145.98,147.10,144.64,145.39,491437
28-Aug-17,147.80,149.12,147.67,147.90,295334
25-Aug-17,149.67,149.67,147.13,147.67,241826
24-Aug-17,153.31,153.81,148.76,148.93,518920
23-Aug-17,154.76,154.92,152.75,152.90,215339
22-Aug-17,153.00,155.59,152.64,154.99,281986
21-Aug-17,152.15,153.69,151.93,153.32,307721
18-Aug-17,153.58,153.58,151.95,152.14,253696
17-Aug-17,155.16,156.24,153.63,153.70,125036
16-Aug-17,155.27,155.68,154.10,155.16,254386
15-Aug-17,154.73,155.29,153.55,154.51,174102
14-Aug-17,152.60,154.40,152.41,154.26,165916
11-Aug-17,150.66,152.31,149.88,151.37,218394
10-Aug-17,155.35,156.20,149.94,150.01,382660
9-Aug-17,155.10,156.89,154.71,155.85,369056
8-Aug-17,153.30,157.41,152.74,155.87,417593
7-Aug-17,151.67,153.44,151.17,153.35,249455
4-Aug-17,148.63,151.22,148.33,151.01,397836
3-Aug-17,146.32,147.90,144.51,147.89,284485
2-Aug-17,146.80,146.80,144.63,146.44,318116
1-Aug-17,148.85,148.91,146.61,146.78,263206
31-Jul-17,147.02,148.42,146.01,148.09,339038
28-Jul-17,143.01,147.54,142.22,146.25,375370
27-Jul-17,144.02,145.23,141.56,142.97,687741
26-Jul-17,148.56,149.11,145.02,145.08,731352
25-Jul-17,147.82,149.34,147.46,148.30,580889
24-Jul-17,144.10,147.39,143.93,147.30,217200
21-Jul-17,144.08,145.20,142.91,144.10,290782
20-Jul-17,144.80,145.21,144.06,144.30,237163
19-Jul-17,144.92,145.69,144.00,144.55,279274
18-Jul-17,143.71,145.25,143.19,144.34,218568
17-Jul-17,145.50,145.96,142.82,144.04,168029
14-Jul-17,143.30,146.06,142.70,145.07,195051
13-Jul-17,144.50,144.50,142.22,142.99,218631
12-Jul-17,143.21,145.28,142.85,144.08,183436
11-Jul-17,141.44,142.90,141.06,142.06,320140
10-Jul-17,142.12,142.47,140.00,141.15,298932
7-Jul-17,140.22,142.60,139.77,142.05,139908
6-Jul-17,141.37,143.19,139.55,139.96,248553
5-Jul-17,142.84,143.50,141.76,142.38,201400
3-Jul-17,144.82,145.50,141.48,142.29,140464
30-Jun-17,140.86,144.07,139.99,143.30,460611
29-Jun-17,142.39,142.39,139.49,140.24,218284
28-Jun-17,141.25,143.10,140.92,142.41,278714
27-Jun-17,142.72,142.72,139.65,140.47,318361
26-Jun-17,144.49,145.40,142.59,142.78,278431
23-Jun-17,144.98,145.58,144.29,144.49,259200
22-Jun-17,145.06,145.75,143.62,144.73,293761
21-Jun-17,144.49,146.00,143.54,145.50,170028
20-Jun-17,146.24,147.45,144.13,144.46,245271
19-Jun-17,144.17,146.32,143.85,145.94,175870
16-Jun-17,142.75,143.49,142.14,143.39,293856
15-Jun-17,141.01,143.29,140.29,142.88,215161
14-Jun-17,141.48,143.71,140.67,142.30,241812
13-Jun-17,140.43,141.79,139.62,140.65,352094
12-Jun-17,139.94,141.08,134.80,139.97,534058
9-Jun-17,143.28,145.58,139.79,141.23,346231
8-Jun-17,143.00,143.75,141.59,142.84,609735
7-Jun-17,142.63,143.00,141.52,142.06,291161
6-Jun-17,141.46,143.00,140.00,142.15,488723
5-Jun-17,141.98,142.95,140.85,141.81,153727
2-Jun-17,141.12,142.49,140.61,141.55,300771
1-Jun-17,137.45,141.86,137.45,141.00,318574
31-May-17,139.74,141.24,137.34,137.43,336098
30-May-17,138.20,140.62,138.20,139.72,400178
26-May-17,135.69,139.02,135.69,138.59,461131
25-May-17,135.33,136.74,134.39,135.88,282062
24-May-17,135.00,135.44,134.10,134.90,422290
23-May-17,136.62,136.62,134.55,134.74,224818
22-May-17,134.50,137.00,134.50,135.80,385183
19-May-17,134.00,134.91,132.63,134.43,236498
18-May-17,129.96,133.88,129.80,133.24,508081
17-May-17,132.29,132.84,130.47,130.54,316260
16-May-17,133.64,133.99,132.03,133.84,337044
15-May-17,131.50,134.71,131.06,134.51,346432
12-May-17,130.28,131.97,130.28,131.42,181400
11-May-17,131.33,131.59,129.55,130.85,181572
10-May-17,130.63,131.82,129.83,131.80,166914
9-May-17,130.65,132.04,129.81,130.88,246945
8-May-17,132.30,133.97,130.02,130.78,350418
5-May-17,132.13,134.81,131.63,133.03,329944
4-May-17,127.71,130.89,123.60,130.81,846979
3-May-17,134.15,134.15,129.68,129.89,552012
2-May-17,134.30,134.82,133.70,134.28,280309
1-May-17,130.50,133.70,130.09,133.57,330386
28-Apr-17,130.72,131.68,129.80,130.32,221717
27-Apr-17,130.47,131.68,128.23,130.92,231925
26-Apr-17,130.04,130.78,129.40,130.08,177989
25-Apr-17,129.66,130.26,128.51,129.16,246519
24-Apr-17,126.19,130.43,126.19,129.25,384484
21-Apr-17,125.07,125.17,124.05,125.03,177820
20-Apr-17,123.43,125.90,122.60,125.21,234591
19-Apr-17,121.26,123.67,121.26,123.12,273714
18-Apr-17,120.90,121.44,117.36,121.17,232908
17-Apr-17,122.00,122.00,119.13,120.73,592725
13-Apr-17,125.16,125.81,124.27,124.61,144238
12-Apr-17,125.87,126.17,125.27,125.48,150936
11-Apr-17,124.89,125.99,124.30,125.87,167840
10-Apr-17,125.40,126.39,124.76,125.16,172127
7-Apr-17,124.97,126.06,124.69,125.49,156290
6-Apr-17,125.50,125.90,124.10,125.54,278644
5-Apr-17,124.75,125.31,123.28,123.40,295192
4-Apr-17,125.15,126.26,123.60,124.08,315229
3-Apr-17,125.23,125.58,123.71,125.05,320809
31-Mar-17,124.75,125.92,124.45,125.20,435487
30-Mar-17,125.00,126.04,124.57,125.00,267802
29-Mar-17,124.79,125.85,124.21,124.88,278875
28-Mar-17,124.82,125.55,124.07,125.05,345099
27-Mar-17,123.70,125.66,122.93,125.26,245891
24-Mar-17,124.17,126.00,124.17,124.89,180464
23-Mar-17,123.11,125.49,122.13,123.75,331623
22-Mar-17,122.36,123.66,121.86,123.47,232773
21-Mar-17,124.18,124.83,122.21,122.27,249388
20-Mar-17,123.97,124.41,122.52,123.59,172062
17-Mar-17,123.17,124.68,122.76,123.97,412350
16-Mar-17,123.00,123.20,121.84,122.91,138641
15-Mar-17,120.77,123.38,120.43,122.97,234999
14-Mar-17,122.22,122.22,120.25,120.53,164237
13-Mar-17,120.95,121.86,120.39,121.69,250883
10-Mar-17,120.51,121.34,119.77,121.21,222663
9-Mar-17,120.23,120.83,119.80,120.17,177796
8-Mar-17,120.28,121.06,119.55,120.13,207563
7-Mar-17,119.08,120.75,118.66,120.03,315651
6-Mar-17,119.28,120.29,118.05,119.79,258573
3-Mar-17,119.93,121.72,119.41,120.73,191501
2-Mar-17,121.75,122.18,119.80,120.05,319503
1-Mar-17,119.16,121.83,118.02,121.29,417015
28-Feb-17,117.92,118.71,116.83,117.97,319617
27-Feb-17,117.36,118.84,116.54,117.94,716894
24-Feb-17,116.00,117.50,114.28,117.14,207216
23-Feb-17,117.03,117.22,114.36,116.89,289271
22-Feb-17,117.98,118.15,116.92,117.00,167751
21-Feb-17,117.15,118.16,116.29,117.81,430370
17-Feb-17,114.01,116.92,112.20,116.57,548470
16-Feb-17,110.98,114.40,110.61,114.25,725334
15-Feb-17,108.70,110.70,108.22,110.62,453680
14-Feb-17,107.60,109.48,107.60,108.96,362340
13-Feb-17,108.04,108.83,107.33,107.38,233693
10-Feb-17,108.36,109.00,107.65,108.64,576590
9-Feb-17,109.00,109.44,107.33,108.45,372849
8-Feb-17,109.90,110.38,108.42,108.73,271353
7-Feb-17,111.21,111.82,109.35,109.94,456084
6-Feb-17,105.11,111.22,105.11,110.50,1240536
3-Feb-17,104.85,105.93,103.82,104.96,734225
2-Feb-17,104.55,105.08,103.53,104.10,882904
1-Feb-17,106.28,106.76,104.90,105.59,467465
31-Jan-17,106.30,107.00,105.16,106.37,454160
30-Jan-17,108.00,108.01,105.38,106.15,574818
27-Jan-17,105.75,110.46,105.75,108.85,763795
26-Jan-17,116.49,116.49,105.13,106.09,1243453
25-Jan-17,113.43,115.68,113.20,114.82,404601
24-Jan-17,111.82,112.60,110.45,112.30,302975
23-Jan-17,111.60,112.60,110.26,111.57,367884
20-Jan-17,112.00,112.30,110.83,111.84,388409
19-Jan-17,113.47,113.64,111.62,112.21,387372
18-Jan-17,114.82,114.82,112.91,113.27,235792
17-Jan-17,114.69,115.49,113.92,114.02,272142
13-Jan-17,112.87,115.73,112.22,115.67,371449
12-Jan-17,110.99,112.50,110.20,112.37,278757
11-Jan-17,112.35,112.95,109.83,111.27,492852
10-Jan-17,112.48,114.71,110.00,112.24,830602
9-Jan-17,115.62,117.71,114.67,117.11,338873
6-Jan-17,115.05,115.92,114.77,115.42,268868
5-Jan-17,115.90,116.05,113.70,114.81,383035
4-Jan-17,113.02,115.97,112.32,115.74,336089
3-Jan-17,112.56,114.41,111.48,112.36,284401
30-Dec-16,113.60,113.99,112.26,112.68,166052
29-Dec-16,112.74,114.36,110.82,113.58,179566
28-Dec-16,113.70,114.30,112.53,112.78,160174
27-Dec-16,112.37,113.95,112.05,113.74,195803
23-Dec-16,111.76,113.08,110.50,112.38,142523
22-Dec-16,113.30,113.30,110.37,111.55,343636
21-Dec-16,112.77,114.73,112.77,113.56,350667
20-Dec-16,116.50,117.69,112.12,113.10,720762
19-Dec-16,117.54,118.36,116.33,116.77,450405
16-Dec-16,118.65,119.44,117.31,117.54,584686
15-Dec-16,119.02,120.79,118.18,118.67,290545
14-Dec-16,118.23,120.36,118.02,119.20,383777
13-Dec-16,119.61,120.89,118.04,118.66,385445
12-Dec-16,116.40,119.15,115.60,119.06,436026
9-Dec-16,118.76,118.76,116.42,116.92,322991
8-Dec-16,116.82,118.79,115.25,118.08,446347
7-Dec-16,114.07,117.94,111.79,116.65,710069
6-Dec-16,109.62,114.68,109.53,112.94,781447
5-Dec-16,109.26,110.82,108.82,109.95,264961
2-Dec-16,107.03,109.83,106.80,108.87,460155
1-Dec-16,112.08,112.96,106.59,107.39,783031
30-Nov-16,112.67,112.95,110.01,112.24,452490
29-Nov-16,112.47,113.23,111.47,112.09,286319
28-Nov-16,113.66,114.68,111.80,112.22,305881
25-Nov-16,113.36,113.98,111.42,113.67,92319
23-Nov-16,110.21,113.34,109.75,112.85,428394
22-Nov-16,116.04,116.83,110.51,111.02,519682
21-Nov-16,113.12,116.11,112.92,115.81,594814
18-Nov-16,113.51,114.70,113.04,113.41,817781
17-Nov-16,111.98,113.95,110.96,113.60,455154
16-Nov-16,111.42,112.52,110.01,111.55,647747
15-Nov-16,110.02,112.04,109.56,111.59,657252
14-Nov-16,111.08,111.90,108.81,110.01,767034
11-Nov-16,106.72,110.24,106.55,110.01,630118
10-Nov-16,107.03,107.71,105.27,107.25,565669
9-Nov-16,107.07,107.56,104.16,106.02,406927
8-Nov-16,106.47,108.64,105.70,107.91,369078
7-Nov-16,106.29,107.85,104.81,107.34,648919
4-Nov-16,102.52,105.32,102.28,104.70,612556
3-Nov-16,104.31,104.68,101.79,102.51,574575
2-Nov-16,104.97,104.97,103.01,104.17,865116
1-Nov-16,106.03,106.15,104.34,105.75,736411
31-Oct-16,104.34,105.23,102.17,104.99,891429
28-Oct-16,103.01,106.29,101.28,105.13,1547443
