Date,Open,High,Low,Close,Volume
20-Oct-17,35.85,36.54,35.33,36.32,1331716
19-Oct-17,36.07,36.08,34.85,35.83,1770994
18-Oct-17,37.15,37.78,36.20,36.73,1364685
17-Oct-17,36.06,37.23,36.04,36.99,1239263
16-Oct-17,35.60,36.78,35.44,36.10,1068927
13-Oct-17,35.82,36.18,35.10,35.40,1368558
12-Oct-17,35.38,36.06,35.28,35.50,1375735
11-Oct-17,36.73,36.90,35.65,35.76,1638948
10-Oct-17,37.64,37.99,36.66,36.91,1069997
9-Oct-17,38.54,38.79,37.31,37.59,1193726
6-Oct-17,38.13,39.01,37.01,38.54,2006767
5-Oct-17,40.60,41.20,37.82,38.30,3937146
4-Oct-17,38.74,39.35,38.49,39.14,1843391
3-Oct-17,38.59,39.00,38.21,38.86,1467833
2-Oct-17,37.50,38.64,37.45,38.43,1322231
29-Sep-17,38.44,38.54,36.50,37.67,1946203
28-Sep-17,38.00,38.42,37.66,38.37,796312
27-Sep-17,37.63,38.26,37.39,37.90,1044408
26-Sep-17,37.67,37.98,37.11,37.43,805317
25-Sep-17,37.41,38.00,37.14,37.67,1002097
22-Sep-17,37.66,37.89,37.30,37.59,867543
21-Sep-17,36.78,38.03,36.54,37.63,1202771
20-Sep-17,36.67,37.33,36.41,36.85,775182
19-Sep-17,37.17,37.18,36.45,36.55,836869
18-Sep-17,36.79,37.20,36.50,36.98,1226141
15-Sep-17,36.29,37.00,35.80,36.83,2352635
14-Sep-17,36.33,36.70,36.18,36.35,884298
13-Sep-17,37.19,37.19,36.37,36.46,1083732
12-Sep-17,37.03,37.64,36.90,37.17,1231650
11-Sep-17,37.05,37.18,36.34,37.08,1344990
8-Sep-17,36.10,37.68,36.10,36.93,2276950
7-Sep-17,35.29,35.90,35.10,35.80,885208
6-Sep-17,35.19,35.93,34.05,35.69,1513382
5-Sep-17,36.00,36.31,34.62,35.20,1436306
1-Sep-17,35.69,36.57,35.13,36.16,1400290
31-Aug-17,34.92,35.95,34.82,35.61,1925211
30-Aug-17,33.90,35.07,33.56,34.72,1512773
29-Aug-17,32.00,34.00,31.80,33.91,1575525
28-Aug-17,32.94,33.48,32.55,33.44,980653
25-Aug-17,32.87,32.97,32.43,32.45,919034
24-Aug-17,31.99,32.88,31.98,32.82,1013120
23-Aug-17,31.28,32.31,31.14,31.91,856541
22-Aug-17,31.04,31.48,30.68,31.44,797879
21-Aug-17,31.08,31.41,30.59,30.94,591922
18-Aug-17,31.04,31.40,30.87,31.08,909596
17-Aug-17,31.33,32.11,31.00,31.03,1387618
16-Aug-17,32.18,32.44,31.09,31.39,1419911
15-Aug-17,32.01,32.63,31.71,32.11,951878
14-Aug-17,31.50,32.08,31.40,31.89,1359726
11-Aug-17,30.47,31.56,30.25,31.21,2092205
10-Aug-17,33.02,33.29,30.19,30.23,3469969
9-Aug-17,32.75,34.95,32.60,33.21,7900753
8-Aug-17,30.53,30.97,29.33,29.54,1882893
7-Aug-17,30.50,30.97,30.28,30.57,995959
4-Aug-17,29.60,30.78,29.44,30.69,1251072
3-Aug-17,29.55,29.75,29.06,29.59,651976
2-Aug-17,29.51,29.79,29.21,29.49,854086
1-Aug-17,29.94,30.03,29.30,29.55,1079947
31-Jul-17,30.14,30.26,29.46,29.77,780308
28-Jul-17,29.28,30.26,29.16,30.13,748724
27-Jul-17,30.23,30.39,29.20,29.47,1064617
26-Jul-17,30.10,30.43,29.90,30.13,635224
25-Jul-17,30.60,30.75,29.85,30.03,1666482
24-Jul-17,30.41,30.62,29.93,30.47,1055650
21-Jul-17,29.98,30.58,29.78,30.43,1204332
20-Jul-17,29.03,30.46,28.99,30.09,1634070
19-Jul-17,29.15,29.71,28.88,29.00,1497444
18-Jul-17,28.90,28.97,28.39,28.96,790587
