Date,Open,High,Low,Close,Volume
20-Oct-17,44.00,45.27,43.78,44.45,987987
19-Oct-17,42.10,44.23,42.10,44.16,1327723
18-Oct-17,42.18,42.65,41.75,42.27,1082220
17-Oct-17,41.86,43.85,41.44,41.81,927545
16-Oct-17,41.66,42.32,41.47,41.56,677373
13-Oct-17,42.71,42.71,41.68,41.72,1874978
12-Oct-17,43.65,44.02,42.82,43.30,1044506
11-Oct-17,43.04,43.85,42.81,43.62,1046627
10-Oct-17,44.05,44.32,41.99,42.96,1875745
9-Oct-17,45.73,45.74,43.45,44.02,1081698
6-Oct-17,46.52,46.57,45.44,45.63,967114
5-Oct-17,46.96,47.52,46.41,46.48,450642
4-Oct-17,47.65,47.78,46.67,46.94,520902
3-Oct-17,47.80,48.24,47.40,47.50,611076
2-Oct-17,47.80,48.35,47.23,47.61,602562
29-Sep-17,47.62,48.06,47.59,47.76,588419
28-Sep-17,46.75,47.47,46.41,47.43,456980
27-Sep-17,46.53,47.06,46.51,46.74,618899
26-Sep-17,46.47,46.98,46.22,46.35,663997
25-Sep-17,46.06,46.48,45.83,46.26,563818
22-Sep-17,45.59,46.30,45.29,46.02,602068
21-Sep-17,45.62,46.32,45.52,45.60,444834
20-Sep-17,44.82,45.87,44.37,45.69,712687
19-Sep-17,45.71,45.79,44.26,44.84,975491
18-Sep-17,46.69,47.38,45.68,45.74,916143
15-Sep-17,48.75,49.05,46.65,46.78,1814213
14-Sep-17,47.74,48.83,47.26,48.76,1347898
13-Sep-17,47.46,48.01,47.09,47.65,759868
12-Sep-17,47.57,47.80,47.22,47.47,691530
11-Sep-17,46.96,47.80,46.96,47.28,716630
8-Sep-17,46.49,47.21,46.23,46.85,714026
7-Sep-17,46.22,47.01,46.22,46.48,588899
6-Sep-17,46.90,47.08,45.65,46.29,1040322
5-Sep-17,46.66,47.50,46.44,46.82,821485
1-Sep-17,46.96,47.63,46.42,47.03,566831
31-Aug-17,46.06,47.59,46.01,46.94,904215
30-Aug-17,45.87,46.00,45.60,45.81,545989
29-Aug-17,45.45,45.92,45.08,45.83,729118
28-Aug-17,45.86,46.12,45.44,45.79,684514
25-Aug-17,45.67,46.10,45.35,45.57,1076524
24-Aug-17,47.52,47.95,45.52,45.55,1268338
23-Aug-17,47.27,48.03,46.93,47.43,827875
22-Aug-17,47.68,48.12,47.49,47.62,797345
21-Aug-17,46.97,47.88,46.97,47.66,1239717
18-Aug-17,47.16,47.55,46.31,46.90,2127576
17-Aug-17,50.00,50.03,46.90,46.99,4988192
16-Aug-17,52.04,52.83,51.59,51.68,638561
15-Aug-17,52.33,52.33,51.26,52.01,717086
14-Aug-17,52.65,52.74,51.96,52.17,667802
11-Aug-17,51.15,52.62,50.88,52.38,1219461
10-Aug-17,51.07,51.35,50.65,50.97,653576
9-Aug-17,52.11,52.30,51.31,51.50,790053
8-Aug-17,52.45,52.78,51.87,52.27,798421
7-Aug-17,52.59,53.09,52.06,52.58,864968
4-Aug-17,52.80,53.00,52.40,52.58,744984
3-Aug-17,51.21,52.82,51.21,52.57,1306099
2-Aug-17,52.11,52.29,50.92,51.48,1218092
1-Aug-17,52.94,53.65,51.91,52.09,2244565
31-Jul-17,53.74,53.74,52.28,52.93,1066430
28-Jul-17,51.50,54.34,50.96,53.00,2266310
27-Jul-17,49.28,49.96,48.48,49.23,1283904
26-Jul-17,49.04,49.80,48.16,49.26,1517136
25-Jul-17,51.15,51.42,50.51,51.29,1032621
24-Jul-17,50.90,51.84,50.87,51.25,824773
21-Jul-17,50.86,51.18,50.60,50.89,695527
20-Jul-17,50.48,51.18,49.96,50.90,849339
19-Jul-17,49.96,50.95,49.86,50.43,780588
