Date,Open,High,Low,Close,Volume
20-Oct-17,65.20,66.05,64.60,65.10,456434
19-Oct-17,64.30,66.00,63.50,64.85,443332
18-Oct-17,64.80,65.25,64.06,64.45,368491
17-Oct-17,63.85,65.10,63.05,64.60,487260
16-Oct-17,61.70,64.60,61.65,64.05,764319
13-Oct-17,65.75,66.10,60.80,61.45,1395430
12-Oct-17,64.40,64.80,62.75,62.95,1123287
11-Oct-17,61.50,65.90,61.50,64.30,3766743
10-Oct-17,53.00,55.60,51.70,55.35,1050331
9-Oct-17,53.10,53.50,52.70,52.70,511577
6-Oct-17,54.35,54.90,51.60,52.65,583780
5-Oct-17,54.65,55.75,52.42,54.50,767630
4-Oct-17,51.75,55.65,51.20,54.35,1304854
3-Oct-17,51.50,51.70,50.30,51.65,1381875
2-Oct-17,49.10,50.85,48.49,50.85,1116640
29-Sep-17,49.10,49.85,47.05,48.60,1617311
28-Sep-17,51.80,51.85,48.80,49.20,1095099
27-Sep-17,50.85,52.20,50.85,51.75,541525
26-Sep-17,51.90,52.30,50.05,50.80,594343
25-Sep-17,51.15,52.45,50.05,52.40,566548
22-Sep-17,51.60,51.70,49.95,50.95,819530
21-Sep-17,53.45,54.70,51.25,51.45,751032
20-Sep-17,58.20,58.68,53.01,53.40,1489656
19-Sep-17,60.00,60.28,58.45,58.60,368388
18-Sep-17,59.00,61.30,58.70,60.10,706893
15-Sep-17,57.35,60.15,56.80,58.30,961608
14-Sep-17,55.85,58.55,55.45,57.25,599158
13-Sep-17,55.45,56.00,54.95,55.75,423420
12-Sep-17,57.95,58.10,55.45,55.60,444679
11-Sep-17,58.75,58.75,56.05,58.20,640512
8-Sep-17,58.65,59.80,57.85,58.25,415389
7-Sep-17,57.55,58.95,57.15,58.70,287977
6-Sep-17,57.90,58.40,56.50,57.45,262177
5-Sep-17,57.45,58.00,56.40,57.50,322013
1-Sep-17,57.30,57.90,56.30,57.80,255204
31-Aug-17,55.40,57.65,55.15,57.35,526587
30-Aug-17,55.15,55.70,54.20,55.15,288100
29-Aug-17,54.50,55.55,53.85,55.10,256303
28-Aug-17,54.00,55.30,53.75,55.25,254355
25-Aug-17,53.05,54.00,53.00,53.50,330845
24-Aug-17,52.20,53.20,51.65,52.85,198142
23-Aug-17,52.25,52.95,51.60,51.95,257226
22-Aug-17,51.40,53.38,51.25,52.80,470543
21-Aug-17,52.85,53.45,50.65,51.25,364368
18-Aug-17,54.70,55.50,52.95,53.05,389629
17-Aug-17,54.20,56.55,54.20,54.80,1044789
16-Aug-17,52.55,52.95,50.90,52.20,593554
15-Aug-17,50.85,52.60,50.28,52.40,315231
14-Aug-17,50.70,51.04,50.25,50.60,385791
11-Aug-17,51.45,52.15,49.55,50.35,476944
10-Aug-17,51.70,51.80,50.70,51.45,409167
9-Aug-17,51.20,53.55,51.15,51.90,605115
8-Aug-17,54.40,54.55,50.28,51.65,1542959
7-Aug-17,55.00,56.40,54.30,56.10,295270
4-Aug-17,53.70,54.95,53.30,54.95,256514
3-Aug-17,54.15,54.35,53.00,53.70,359976
2-Aug-17,52.25,54.90,51.30,54.15,470863
1-Aug-17,54.50,54.85,52.20,52.95,749081
31-Jul-17,56.35,56.35,54.10,54.30,256447
28-Jul-17,54.10,55.75,54.09,55.50,222224
27-Jul-17,54.95,56.00,53.90,54.20,277083
26-Jul-17,56.05,56.15,54.60,54.70,263039
25-Jul-17,57.50,58.05,55.65,55.95,349684
24-Jul-17,57.95,58.65,56.81,57.60,449539
21-Jul-17,56.50,58.35,55.85,57.80,567001
20-Jul-17,55.65,56.60,54.10,56.35,760917
19-Jul-17,55.10,55.50,53.35,55.10,466910
18-Jul-17,54.45,54.75,52.16,54.50,347147
17-Jul-17,55.50,55.91,54.08,54.45,324859
14-Jul-17,56.05,56.56,55.35,55.60,226330
13-Jul-17,56.85,56.87,54.66,56.00,453632
12-Jul-17,56.90,58.35,56.41,56.75,340306
11-Jul-17,54.80,56.70,54.35,56.30,428084
10-Jul-17,55.70,55.70,54.05,55.00,363544
7-Jul-17,55.25,56.95,54.95,55.85,505597
6-Jul-17,54.50,55.05,54.00,54.95,308435
5-Jul-17,53.85,55.15,53.65,55.10,357174
3-Jul-17,52.80,54.65,52.65,53.80,290797
30-Jun-17,53.50,53.50,52.20,52.55,267101
29-Jun-17,53.95,54.50,52.70,53.55,296197
28-Jun-17,52.75,54.40,51.65,54.15,557540
27-Jun-17,54.70,54.95,52.10,52.45,630467
26-Jun-17,54.90,55.50,54.50,54.80,480592
23-Jun-17,54.85,55.25,53.35,54.80,539834
22-Jun-17,54.35,55.95,52.75,55.05,727848
21-Jun-17,50.75,54.10,50.75,54.00,556582
20-Jun-17,51.85,53.48,50.20,50.50,549619
19-Jun-17,50.40,51.45,49.18,51.40,575657
16-Jun-17,50.05,50.90,49.45,50.05,1292036
15-Jun-17,50.20,51.38,49.35,50.50,544474
14-Jun-17,51.65,52.30,49.99,50.65,336789
13-Jun-17,51.05,51.70,50.00,51.35,432100
12-Jun-17,51.10,51.40,49.25,50.95,598921
9-Jun-17,52.75,53.00,50.10,51.25,637515
8-Jun-17,52.55,53.45,51.60,52.85,529260
7-Jun-17,55.70,56.14,52.50,53.40,690850
6-Jun-17,54.30,56.35,53.55,55.45,578569
5-Jun-17,55.25,55.90,53.25,54.70,584536
2-Jun-17,56.10,56.60,55.00,55.15,392248
1-Jun-17,55.50,56.80,54.80,55.90,612395
31-May-17,55.90,57.32,54.80,55.45,574654
30-May-17,55.90,56.29,55.00,55.50,919916
