Date,Open,High,Low,Close,Volume
20-Oct-17,158.25,161.16,157.96,160.84,1781431
19-Oct-17,157.47,158.01,155.68,157.64,1909481
18-Oct-17,156.37,158.48,155.81,157.43,2838210
17-Oct-17,150.79,156.27,150.79,155.90,1922761
16-Oct-17,152.30,153.04,150.90,151.44,1406331
13-Oct-17,151.31,153.48,149.69,153.06,2000368
12-Oct-17,156.45,156.55,154.11,154.49,1668700
11-Oct-17,155.97,156.71,154.01,154.09,181620
10-Oct-17,158.14,158.29,155.75,156.10,1701181
9-Oct-17,161.17,161.34,157.93,158.23,1179691
6-Oct-17,161.55,162.39,161.18,161.28,993378
5-Oct-17,163.09,163.09,160.88,161.29,1529236
4-Oct-17,163.27,164.00,162.80,163.21,1102000
3-Oct-17,160.66,163.34,160.31,163.01,1563415
2-Oct-17,159.16,160.69,159.02,160.44,1313366
29-Sep-17,157.42,159.07,157.00,159.01,2038200
28-Sep-17,154.03,157.40,153.91,157.30,1684427
27-Sep-17,153.62,154.86,151.66,154.21,2669999
26-Sep-17,152.42,154.51,152.42,153.46,1926177
25-Sep-17,153.81,154.84,151.96,151.98,1354567
22-Sep-17,153.50,155.26,150.43,153.57,3404871
21-Sep-17,154.82,154.82,153.32,153.39,1319158
20-Sep-17,155.99,155.99,154.10,155.03,1624224
19-Sep-17,161.58,161.58,154.52,156.04,3191307
18-Sep-17,162.78,162.98,160.92,161.00,1606533
15-Sep-17,162.20,163.17,162.13,162.68,1977451
14-Sep-17,162.00,163.57,161.80,162.78,1419104
13-Sep-17,162.98,164.30,162.07,162.30,1311825
12-Sep-17,163.64,164.52,162.42,162.83,2148245
11-Sep-17,162.84,164.05,162.82,163.21,2446848
8-Sep-17,159.95,163.16,159.80,162.83,2081127
7-Sep-17,158.69,160.41,158.49,160.25,1786382
6-Sep-17,158.67,158.95,157.56,158.76,1558810
5-Sep-17,156.84,158.63,156.50,158.26,1821650
1-Sep-17,157.78,159.00,156.80,158.19,1140964
31-Aug-17,157.55,157.85,156.83,157.70,2647608
30-Aug-17,156.21,157.49,156.20,156.90,879386
29-Aug-17,155.59,156.61,155.34,156.42,1275576
28-Aug-17,156.26,157.04,155.91,156.53,995664
25-Aug-17,156.33,157.49,155.97,156.10,1041699
24-Aug-17,156.79,157.28,155.80,156.15,1186888
23-Aug-17,156.23,157.05,155.71,156.59,1324688
22-Aug-17,154.74,156.99,154.45,156.66,1138107
21-Aug-17,154.70,155.28,154.22,154.74,1295519
18-Aug-17,154.08,155.42,153.76,154.45,1781161
17-Aug-17,155.88,157.29,154.91,155.81,1818011
16-Aug-17,156.56,156.96,155.65,155.90,1242531
15-Aug-17,156.23,157.22,155.76,155.76,1697752
14-Aug-17,153.29,155.98,152.86,155.67,3204343
11-Aug-17,152.81,153.17,151.78,152.15,1791311
10-Aug-17,154.97,155.68,152.17,152.42,2531860
9-Aug-17,156.23,156.60,155.09,155.58,3134715
8-Aug-17,156.80,157.68,155.88,156.27,1577425
7-Aug-17,156.78,157.79,156.33,156.99,1283443
4-Aug-17,159.78,161.69,156.01,156.79,3112621
3-Aug-17,160.69,160.99,156.22,158.54,3620903
2-Aug-17,154.99,156.04,154.15,154.74,2524847
1-Aug-17,154.87,155.73,154.27,154.54,1545550
31-Jul-17,-,-,154.24,154.31,1471415
28-Jul-17,154.08,155.62,153.44,155.29,1697272
27-Jul-17,155.40,155.56,153.05,153.90,1692056
26-Jul-17,155.74,156.52,155.15,155.69,2152412
25-Jul-17,157.15,157.56,155.99,156.25,1757627
24-Jul-17,156.60,156.87,155.41,156.08,1288572
21-Jul-17,155.63,156.49,155.24,156.31,1225161
20-Jul-17,154.15,155.97,153.92,155.73,1827425
19-Jul-17,153.25,154.94,153.25,154.24,1673791
18-Jul-17,154.73,155.00,152.60,153.31,2499791
17-Jul-17,155.46,155.81,154.65,155.00,2107387
14-Jul-17,154.98,155.93,154.45,155.27,1988832
13-Jul-17,154.81,155.59,153.71,155.04,2332480
12-Jul-17,153.97,155.09,153.82,154.60,1607099
11-Jul-17,153.47,154.56,152.55,154.04,2022936
10-Jul-17,153.39,154.77,153.39,154.04,1385194
7-Jul-17,152.93,154.26,152.60,153.88,1412312
