Date,Open,High,Low,Close,Volume
20-Oct-17,68.98,69.42,67.02,67.25,397873
19-Oct-17,69.04,69.49,67.80,68.73,377032
18-Oct-17,71.04,71.49,69.30,69.59,233119
17-Oct-17,70.97,72.10,70.54,70.69,338502
16-Oct-17,71.65,72.54,70.41,71.12,294570
13-Oct-17,72.25,72.73,71.17,71.35,245472
12-Oct-17,70.49,72.50,70.32,72.33,406908
11-Oct-17,71.22,71.59,70.11,70.43,507206
10-Oct-17,71.95,71.95,70.26,71.22,231250
9-Oct-17,70.75,71.40,69.74,71.27,316327
6-Oct-17,70.51,71.24,69.93,70.45,284949
5-Oct-17,70.24,71.02,69.04,70.82,320924
4-Oct-17,68.94,71.40,68.02,70.25,1017271
3-Oct-17,68.56,69.45,67.25,69.29,473563
2-Oct-17,66.79,68.37,66.19,68.22,575965
29-Sep-17,64.94,66.86,64.19,66.75,327148
28-Sep-17,65.93,65.93,64.01,64.97,376318
27-Sep-17,65.88,66.89,65.60,65.75,401361
26-Sep-17,66.43,66.49,64.83,65.36,282889
25-Sep-17,66.27,67.10,65.75,66.53,247089
22-Sep-17,66.68,67.00,65.23,66.07,245305
21-Sep-17,66.73,67.21,64.97,67.12,289143
20-Sep-17,66.31,67.26,66.08,66.63,358721
19-Sep-17,67.15,67.72,65.75,65.82,322503
18-Sep-17,67.00,67.45,66.71,66.86,513361
15-Sep-17,66.07,67.00,64.88,66.43,863491
14-Sep-17,65.80,66.42,65.08,65.59,257949
13-Sep-17,66.20,66.33,65.02,65.82,403373
12-Sep-17,65.01,66.56,64.47,66.11,389079
11-Sep-17,64.32,65.25,63.15,65.10,463799
8-Sep-17,63.56,64.55,62.26,63.64,247200
7-Sep-17,62.55,64.18,61.87,63.80,297979
6-Sep-17,61.11,62.75,60.08,62.50,362706
5-Sep-17,61.20,61.88,60.49,60.60,489697
1-Sep-17,63.26,63.78,61.27,61.55,440992
31-Aug-17,61.92,63.45,61.34,63.26,489594
30-Aug-17,60.00,62.73,59.94,61.88,400707
29-Aug-17,58.10,60.61,57.81,60.05,347660
28-Aug-17,57.86,58.68,57.03,58.65,434878
25-Aug-17,58.59,58.73,57.01,57.08,197527
24-Aug-17,57.27,58.74,56.94,58.39,392349
23-Aug-17,57.12,57.56,56.51,56.86,367484
22-Aug-17,55.40,57.67,55.17,57.62,462803
21-Aug-17,55.19,56.00,54.40,55.11,231243
18-Aug-17,54.95,56.08,53.90,55.09,445941
17-Aug-17,56.08,56.49,54.76,54.89,368487
16-Aug-17,58.26,58.40,55.94,56.22,569131
15-Aug-17,59.04,59.21,57.81,58.17,279882
14-Aug-17,59.43,59.92,58.78,58.93,252913
11-Aug-17,58.31,59.15,57.06,58.86,501674
10-Aug-17,60.08,60.08,57.76,58.26,314047
9-Aug-17,58.83,61.48,58.55,60.56,518590
8-Aug-17,59.00,60.64,55.44,59.51,1058869
7-Aug-17,61.14,61.80,60.14,61.06,637741
4-Aug-17,63.38,63.38,61.42,61.46,477021
3-Aug-17,62.80,64.82,61.87,63.04,932988
2-Aug-17,60.06,63.50,58.36,61.64,1521805
1-Aug-17,56.21,59.85,54.30,58.65,2149385
31-Jul-17,56.59,56.80,55.75,55.94,243861
28-Jul-17,56.01,56.73,55.34,56.57,329453
27-Jul-17,58.20,58.94,55.77,56.23,353326
26-Jul-17,58.09,58.88,57.75,58.12,277178
25-Jul-17,59.77,59.77,57.80,57.96,362657
24-Jul-17,57.26,59.39,57.05,59.38,387351
21-Jul-17,57.13,58.57,56.51,57.17,345338
20-Jul-17,56.50,57.94,56.17,57.23,277718
19-Jul-17,56.50,57.45,55.74,56.39,274212
18-Jul-17,57.61,58.16,55.88,56.03,289266
17-Jul-17,57.89,59.16,57.40,57.75,416255
14-Jul-17,57.36,57.92,56.87,57.81,310024
13-Jul-17,56.49,57.97,55.56,57.38,407050
12-Jul-17,56.69,56.78,55.56,56.16,470356
11-Jul-17,54.62,56.80,54.41,56.27,515226
10-Jul-17,55.01,55.79,53.40,54.50,530485
7-Jul-17,54.33,55.00,53.44,54.91,418918
6-Jul-17,53.19,54.60,52.59,54.02,1235498
5-Jul-17,51.90,54.14,51.29,53.87,640895
3-Jul-17,51.84,52.41,50.91,52.18,205861
30-Jun-17,52.57,52.57,51.00,51.45,448000
29-Jun-17,52.92,53.09,51.37,52.45,419212
28-Jun-17,52.15,53.61,51.32,53.18,458311
27-Jun-17,54.73,54.86,51.21,51.56,691552
26-Jun-17,56.80,57.65,52.79,54.70,1121808
23-Jun-17,57.46,59.58,56.54,59.18,833983
22-Jun-17,56.91,58.49,54.67,57.42,754362
21-Jun-17,52.72,56.79,52.37,56.78,710011
20-Jun-17,51.89,54.25,51.42,52.75,764640
19-Jun-17,52.01,52.65,51.26,51.76,427255
16-Jun-17,50.46,51.85,50.06,51.77,569726
15-Jun-17,50.86,51.55,49.76,50.51,423704
14-Jun-17,50.58,51.69,50.01,51.26,365548
13-Jun-17,50.75,51.20,49.96,50.73,313985
12-Jun-17,49.92,51.08,48.86,50.62,350919
9-Jun-17,50.22,50.99,49.41,50.02,305593
8-Jun-17,50.59,51.38,50.15,50.48,212675
7-Jun-17,49.45,50.82,48.54,50.48,391235
6-Jun-17,48.51,50.09,48.00,49.22,381907
5-Jun-17,49.52,49.71,47.25,48.72,394039
