Date,Open,High,Low,Close,Volume
20-Oct-17,33.22,33.37,33.15,33.28,1311566
19-Oct-17,33.16,33.17,33.10,33.15,1672543
18-Oct-17,33.23,33.32,33.15,33.18,2295661
17-Oct-17,33.22,33.29,33.18,33.25,1348573
16-Oct-17,33.26,33.35,33.18,33.21,1566755
13-Oct-17,33.15,33.23,33.13,33.22,1553972
12-Oct-17,32.99,33.20,32.97,33.16,2846383
11-Oct-17,32.99,33.00,32.86,32.95,623216
10-Oct-17,32.90,33.00,32.90,32.94,2278145
9-Oct-17,32.81,32.91,32.80,32.86,1437385
6-Oct-17,32.78,33.00,32.67,32.83,2778460
5-Oct-17,32.90,33.00,32.70,32.79,3239908
4-Oct-17,32.80,33.09,32.80,32.90,4777666
3-Oct-17,33.03,33.06,32.60,32.68,6719083
2-Oct-17,33.21,33.21,33.15,33.17,2823694
29-Sep-17,33.15,33.30,33.14,33.19,2059911
28-Sep-17,33.14,33.18,33.10,33.17,2311644
27-Sep-17,33.14,33.16,33.08,33.15,1166214
26-Sep-17,33.10,33.16,33.05,33.12,1630045
25-Sep-17,33.05,33.11,33.02,33.11,977746
22-Sep-17,33.14,33.16,33.04,33.06,1439347
21-Sep-17,33.10,33.16,33.10,33.14,1341753
20-Sep-17,33.10,33.21,33.08,33.15,943627
19-Sep-17,33.07,33.13,33.05,33.10,736378
18-Sep-17,33.06,33.12,33.00,33.02,1359384
15-Sep-17,33.00,33.13,32.97,33.10,1889374
14-Sep-17,33.15,33.23,32.73,32.97,2936295
13-Sep-17,33.25,33.30,33.06,33.15,1582815
12-Sep-17,33.18,33.46,33.13,33.23,2194629
11-Sep-17,33.17,33.22,33.11,33.17,1311719
8-Sep-17,32.96,33.14,32.96,33.11,1522501
7-Sep-17,32.99,33.10,32.95,32.99,2456018
6-Sep-17,32.99,33.03,32.92,32.96,1502854
5-Sep-17,32.92,33.03,32.85,32.97,1743950
1-Sep-17,32.92,32.97,32.86,32.94,1335401
31-Aug-17,32.84,33.00,32.77,32.90,1491958
30-Aug-17,32.57,32.86,32.54,32.83,3185235
29-Aug-17,32.53,32.72,32.35,32.62,1101094
28-Aug-17,32.45,32.59,32.42,32.49,2386984
25-Aug-17,32.40,32.69,32.40,32.50,1287079
24-Aug-17,32.33,32.47,32.31,32.36,3008340
23-Aug-17,32.55,32.58,32.30,32.32,2025177
22-Aug-17,32.40,32.70,32.29,32.52,4023260
21-Aug-17,32.09,32.75,31.96,32.61,5151797
18-Aug-17,32.42,32.50,31.82,31.98,8063576
17-Aug-17,33.30,33.38,32.51,32.60,7720556
16-Aug-17,33.33,33.36,33.18,33.30,1500196
15-Aug-17,33.34,33.36,33.33,33.34,922350
14-Aug-17,33.32,33.38,33.31,33.34,2152209
11-Aug-17,33.35,33.40,33.30,33.31,1781794
10-Aug-17,33.37,33.42,33.30,33.32,5344721
9-Aug-17,33.40,33.50,33.31,33.36,5555614
8-Aug-17,33.46,33.48,33.35,33.40,1974602
7-Aug-17,33.43,33.54,33.40,33.47,1748451
4-Aug-17,33.45,33.54,33.32,33.47,2520661
3-Aug-17,33.48,33.54,33.40,33.45,2939444
2-Aug-17,33.42,33.55,33.42,33.48,4245090
1-Aug-17,33.55,33.62,33.45,33.45,4905970
31-Jul-17,33.63,33.65,33.59,33.62,1543830
28-Jul-17,33.60,33.66,33.58,33.63,2585278
27-Jul-17,33.64,33.67,33.59,33.60,1399581
26-Jul-17,33.64,33.67,33.62,33.63,900845
25-Jul-17,33.62,33.66,33.60,33.65,1430037
24-Jul-17,33.60,33.64,33.57,33.62,1393669
21-Jul-17,33.66,33.68,33.58,33.60,3516788
20-Jul-17,33.64,33.72,33.60,33.65,6337456
19-Jul-17,33.70,33.71,33.43,33.64,8626117
18-Jul-17,33.67,33.72,33.65,33.70,2708224
17-Jul-17,33.65,33.73,33.58,33.70,1401266
14-Jul-17,33.62,33.68,33.57,33.64,2798373
13-Jul-17,33.55,33.69,33.52,33.63,1358833
12-Jul-17,33.65,33.67,33.51,33.55,1394275
11-Jul-17,33.55,33.63,33.54,33.60,1173813
10-Jul-17,33.53,33.60,33.45,33.56,968475
7-Jul-17,33.51,33.59,33.50,33.55,1223102
6-Jul-17,33.52,33.54,33.43,33.50,1593462
5-Jul-17,33.48,33.57,33.48,33.51,1299767
3-Jul-17,33.54,33.60,33.44,33.47,550271
30-Jun-17,33.46,33.58,33.45,33.54,1615781
29-Jun-17,33.49,33.53,33.40,33.44,1998928
28-Jun-17,33.48,33.56,33.47,33.49,1121500
27-Jun-17,33.55,33.59,33.41,33.41,1109263
26-Jun-17,33.54,33.61,33.48,33.58,1695159
23-Jun-17,33.52,33.57,33.48,33.53,2472890
22-Jun-17,33.47,33.55,33.46,33.53,2093818
21-Jun-17,33.44,33.59,33.42,33.49,1634926
20-Jun-17,33.48,33.62,33.38,33.41,1129667
19-Jun-17,33.52,33.54,33.40,33.45,1646056
16-Jun-17,33.46,33.54,33.38,33.48,1842377
15-Jun-17,33.37,33.48,33.32,33.45,1176397
14-Jun-17,33.38,33.46,33.33,33.44,1109511
13-Jun-17,33.38,33.46,33.32,33.44,1320259
12-Jun-17,33.25,33.41,33.23,33.38,1371288
9-Jun-17,33.30,33.44,33.12,33.24,1623335
8-Jun-17,33.37,33.42,33.20,33.28,1946838
7-Jun-17,33.25,33.95,33.24,33.36,2394503
6-Jun-17,33.23,33.30,33.20,33.23,812013
5-Jun-17,33.27,33.32,33.14,33.20,3747039
2-Jun-17,33.28,33.35,33.25,33.26,1073597
1-Jun-17,33.23,33.32,33.21,33.30,2400993
31-May-17,33.23,33.33,33.18,33.27,2762381
30-May-17,33.22,33.26,33.17,33.20,1602043
26-May-17,33.20,33.26,33.17,33.21,1091188
25-May-17,33.19,33.26,33.18,33.24,1242300
24-May-17,33.16,33.23,33.12,33.18,2549496
23-May-17,33.17,33.25,33.15,33.18,2876317
22-May-17,33.17,33.26,33.07,33.20,1959087
19-May-17,33.20,33.26,33.12,33.21,1323949
18-May-17,33.16,33.18,32.95,33.10,3056805
17-May-17,33.22,33.28,33.14,33.14,2659082
16-May-17,33.23,33.28,33.16,33.27,2491699
15-May-17,33.14,33.23,33.10,33.19,1912648
12-May-17,33.15,33.24,33.08,33.15,2133095
11-May-17,33.20,33.28,33.02,33.17,3196171
10-May-17,33.26,33.26,33.12,33.24,2514352
9-May-17,33.16,33.30,33.10,33.27,3554680
8-May-17,33.09,33.28,33.00,33.10,3214508
