Date,Open,High,Low,Close,Volume
20-Oct-17,196.67,201.70,196.67,200.88,2882489
19-Oct-17,194.23,196.89,191.80,196.85,928081
18-Oct-17,194.72,196.00,193.62,194.23,775762
17-Oct-17,193.46,196.04,192.65,194.27,805635
16-Oct-17,193.01,195.60,192.21,193.37,1187990
13-Oct-17,192.58,193.94,191.35,192.81,699786
12-Oct-17,192.79,194.84,192.20,192.38,737346
11-Oct-17,188.22,193.18,188.22,192.46,879114
10-Oct-17,188.53,189.92,188.13,188.67,665154
9-Oct-17,186.83,189.28,185.48,188.13,779823
6-Oct-17,186.99,191.78,186.15,187.04,1104528
5-Oct-17,185.44,187.49,185.21,186.61,641625
4-Oct-17,186.41,186.87,184.67,185.98,599860
3-Oct-17,187.75,188.38,185.20,186.45,558899
2-Oct-17,187.16,187.98,185.05,187.22,705766
29-Sep-17,183.60,186.62,182.06,186.27,785489
28-Sep-17,184.50,184.77,180.31,183.04,890343
27-Sep-17,184.49,186.80,183.21,184.78,675643
26-Sep-17,185.61,186.10,183.04,184.20,693711
25-Sep-17,187.40,187.46,183.53,184.89,605678
22-Sep-17,186.20,188.24,186.05,188.00,575880
21-Sep-17,188.76,189.39,184.75,186.32,640965
20-Sep-17,187.83,189.01,186.54,188.78,565025
19-Sep-17,189.07,190.04,186.04,187.18,893367
18-Sep-17,185.95,188.97,185.06,188.34,1111132
15-Sep-17,184.50,185.60,183.16,184.50,1862314
14-Sep-17,183.42,185.48,182.10,184.86,872167
13-Sep-17,185.18,185.87,183.26,183.57,998165
12-Sep-17,184.80,186.10,182.55,185.66,639821
11-Sep-17,185.61,185.61,181.49,184.12,739181
8-Sep-17,179.80,181.99,179.08,181.44,566345
7-Sep-17,176.56,180.55,174.44,179.99,1003493
6-Sep-17,180.00,180.36,175.37,176.63,685658
5-Sep-17,176.42,179.96,176.42,179.33,1044271
1-Sep-17,176.81,177.40,173.88,176.38,665468
31-Aug-17,175.05,177.07,173.94,176.74,999270
30-Aug-17,173.55,174.90,172.91,174.88,589413
29-Aug-17,173.03,174.61,172.27,173.99,699245
28-Aug-17,173.02,175.92,173.02,175.11,598291
25-Aug-17,175.41,176.20,171.55,172.55,823047
24-Aug-17,174.00,175.96,173.35,175.31,926339
23-Aug-17,172.33,173.84,170.79,172.85,869702
22-Aug-17,167.97,173.00,166.64,172.55,900510
21-Aug-17,168.51,169.64,165.18,167.98,953391
18-Aug-17,169.96,172.18,167.27,168.61,1393519
17-Aug-17,177.90,177.90,169.13,169.36,1957747
16-Aug-17,178.89,179.76,176.81,178.46,628674
15-Aug-17,174.88,178.58,174.18,177.97,893545
14-Aug-17,173.91,175.36,173.68,174.16,610680
11-Aug-17,171.76,175.16,171.48,173.56,719970
10-Aug-17,174.92,174.92,171.15,171.23,1084667
9-Aug-17,173.84,176.44,172.37,175.77,992292
8-Aug-17,173.89,176.84,173.35,173.62,1085584
7-Aug-17,169.49,174.82,169.48,174.01,1088097
4-Aug-17,170.88,171.00,168.57,169.30,508664
3-Aug-17,168.09,170.62,167.59,170.46,757044
2-Aug-17,170.28,171.05,166.38,167.99,726057
1-Aug-17,167.41,171.65,167.37,169.43,1286548
31-Jul-17,173.34,173.75,166.11,167.23,1291521
28-Jul-17,168.10,173.79,160.37,173.06,2454736
27-Jul-17,160.52,160.65,155.55,157.26,1489150
26-Jul-17,158.66,159.93,157.37,158.69,810295
25-Jul-17,161.81,161.81,158.45,158.56,1071010
24-Jul-17,158.67,161.81,158.65,161.19,833354
21-Jul-17,160.31,160.93,158.42,158.87,837675
20-Jul-17,159.50,160.54,158.10,160.17,952698
19-Jul-17,157.09,159.45,156.76,159.28,893029
18-Jul-17,155.99,156.75,155.11,156.02,556008
17-Jul-17,155.01,157.86,154.90,156.21,1003280
14-Jul-17,152.14,154.82,152.12,154.30,517870
13-Jul-17,153.13,153.65,150.76,152.19,410026
12-Jul-17,152.07,152.93,151.14,152.51,682807
11-Jul-17,151.56,152.26,150.33,151.59,754943
10-Jul-17,152.10,153.48,150.56,151.58,533056
7-Jul-17,150.98,152.80,150.92,151.95,486397
6-Jul-17,151.12,151.48,149.50,149.74,679595
5-Jul-17,151.52,152.80,149.16,151.94,551948
3-Jul-17,151.06,152.23,148.95,149.03,340637
30-Jun-17,148.33,150.95,148.33,150.12,577216
29-Jun-17,151.50,152.09,148.01,148.62,781116
28-Jun-17,150.19,152.59,149.62,152.24,728066
27-Jun-17,151.15,152.83,148.94,149.34,883219
26-Jun-17,153.66,154.79,151.45,151.67,724763
23-Jun-17,154.85,154.85,151.24,153.50,2206218
22-Jun-17,150.07,150.98,148.85,149.69,655055
21-Jun-17,147.16,149.77,147.15,149.42,670304
20-Jun-17,150.08,150.84,146.77,146.99,943852
19-Jun-17,146.32,152.14,146.25,149.70,1636527
16-Jun-17,144.78,145.51,144.01,145.26,17940259
15-Jun-17,142.95,144.17,142.01,144.02,1055616
14-Jun-17,145.38,145.81,142.99,144.30,867517
13-Jun-17,144.17,146.03,142.04,144.38,1024294
12-Jun-17,147.34,147.79,139.00,143.41,2236859
9-Jun-17,152.16,153.93,146.11,148.85,1150346
8-Jun-17,149.25,151.91,148.46,151.82,776393
7-Jun-17,149.15,149.64,148.57,149.13,652331
6-Jun-17,148.74,149.53,147.40,148.62,534459
5-Jun-17,150.00,150.56,148.60,148.83,830633
2-Jun-17,146.57,150.36,146.52,149.70,1235830
1-Jun-17,146.36,147.00,144.04,145.91,964552
31-May-17,144.59,146.00,142.60,145.20,1151754
30-May-17,142.56,144.45,141.70,143.33,766822
26-May-17,141.40,143.09,140.24,142.10,1176927
25-May-17,138.71,141.94,138.71,141.39,1908345
24-May-17,138.78,139.26,137.78,138.65,1017447
23-May-17,137.93,138.31,136.26,138.22,894555
22-May-17,139.23,139.42,138.04,138.10,982949
19-May-17,138.00,138.99,137.70,138.43,768074
18-May-17,136.00,138.84,135.59,137.69,882702
17-May-17,137.53,137.89,134.68,136.08,733780
16-May-17,138.83,139.12,137.50,138.61,595772
15-May-17,138.90,139.95,138.16,138.46,788698
12-May-17,137.24,139.23,137.14,138.67,689635
11-May-17,136.51,137.61,135.85,137.46,561025
10-May-17,137.96,138.36,135.81,137.01,1119265
9-May-17,137.97,138.97,137.23,138.17,730088
8-May-17,138.25,138.77,136.32,137.00,1411660
5-May-17,141.69,141.85,137.77,138.03,1440066
4-May-17,132.21,142.18,132.02,141.89,2072614
3-May-17,134.50,135.84,131.32,131.97,1720208
2-May-17,133.56,135.30,133.38,134.12,1642979
1-May-17,135.39,136.33,133.03,133.68,1433294
28-Apr-17,139.79,145.24,133.71,134.62,4319723
27-Apr-17,119.96,120.41,119.16,120.09,1301277
26-Apr-17,119.24,120.06,118.45,119.74,570085
25-Apr-17,121.47,121.79,118.37,118.78,1075021
24-Apr-17,120.02,120.88,119.05,120.34,824326
21-Apr-17,119.10,120.02,118.08,118.44,719645
20-Apr-17,117.50,119.19,116.32,118.87,670080
19-Apr-17,116.65,117.98,116.57,117.55,490018
18-Apr-17,114.94,116.40,114.74,116.32,410061
17-Apr-17,113.96,115.31,113.82,115.18,465244
13-Apr-17,113.97,114.72,113.40,113.73,497186
12-Apr-17,115.16,115.50,113.93,114.11,484638
11-Apr-17,114.82,115.25,114.10,114.95,473945
10-Apr-17,115.25,115.25,114.27,114.73,446289
7-Apr-17,114.76,115.74,114.66,114.74,511730
6-Apr-17,114.77,115.36,114.18,115.19,509600
5-Apr-17,115.94,116.45,114.72,114.80,448811
4-Apr-17,116.56,116.99,115.25,115.61,578943
3-Apr-17,115.13,116.75,114.80,116.36,1110025
31-Mar-17,113.70,115.20,113.46,114.71,563201
30-Mar-17,114.59,114.98,113.75,113.96,637395
29-Mar-17,113.81,114.92,113.25,114.23,297599
28-Mar-17,113.76,114.35,113.22,113.90,394501
27-Mar-17,113.42,114.49,112.21,114.02,641128
24-Mar-17,112.64,114.99,112.64,113.87,664630
23-Mar-17,111.93,113.33,111.35,112.55,526688
22-Mar-17,110.95,112.49,110.25,111.99,509571
21-Mar-17,113.77,114.29,110.58,111.06,1027791
20-Mar-17,112.25,113.31,111.65,113.23,862349
17-Mar-17,110.89,113.00,110.56,111.85,1195094
16-Mar-17,110.65,111.40,109.76,110.47,616810
15-Mar-17,107.59,110.87,107.12,110.31,1082028
14-Mar-17,107.84,107.84,106.62,107.48,490480
13-Mar-17,105.47,108.27,105.47,107.99,665790
10-Mar-17,105.84,105.92,104.40,105.32,448236
9-Mar-17,104.09,105.59,103.22,105.36,482173
8-Mar-17,103.65,104.59,103.39,103.72,375301
7-Mar-17,102.47,103.82,102.02,103.15,609327
6-Mar-17,104.10,104.70,102.18,102.74,771815
3-Mar-17,104.20,104.25,103.12,104.04,516587
2-Mar-17,104.09,104.53,103.16,104.12,568489
1-Mar-17,103.77,104.42,102.67,103.83,780988
28-Feb-17,102.27,103.83,102.27,102.76,778510
27-Feb-17,102.57,103.24,102.11,102.26,631021
24-Feb-17,100.57,103.04,100.57,102.89,724021
23-Feb-17,101.21,101.65,100.27,101.16,610415
22-Feb-17,100.61,101.20,100.02,101.09,870874
21-Feb-17,102.28,102.90,101.06,101.86,571775
17-Feb-17,100.35,101.83,99.60,101.76,664161
16-Feb-17,100.00,100.76,99.62,100.42,846216
15-Feb-17,98.27,100.12,98.17,99.96,598115
14-Feb-17,97.67,99.28,97.31,98.39,791106
13-Feb-17,96.92,98.02,96.40,97.61,592845
10-Feb-17,95.96,97.22,95.17,96.97,740533
9-Feb-17,94.20,96.49,94.20,95.98,670487
8-Feb-17,93.25,94.19,92.61,94.17,599577
7-Feb-17,94.31,94.50,93.09,93.65,954133
6-Feb-17,96.00,96.24,93.30,93.85,1238532
3-Feb-17,95.43,96.52,94.14,95.82,1104765
2-Feb-17,97.38,98.54,94.72,95.13,1761685
1-Feb-17,97.00,102.00,95.43,97.25,3782000
31-Jan-17,91.69,91.75,89.32,91.69,1693012
30-Jan-17,89.64,90.09,88.56,89.98,1433594
27-Jan-17,91.67,92.47,89.96,90.93,1719081
26-Jan-17,93.46,93.56,91.84,92.23,594581
25-Jan-17,91.88,93.60,91.76,93.41,449248
24-Jan-17,92.53,92.67,90.78,91.65,848722
23-Jan-17,91.58,92.47,91.44,92.04,672955
20-Jan-17,90.89,92.02,90.86,91.70,822176
19-Jan-17,91.51,91.85,90.21,90.55,2107536
18-Jan-17,95.79,96.11,93.83,94.42,794116
17-Jan-17,95.47,96.17,94.63,95.34,539607
13-Jan-17,95.65,96.64,95.28,96.01,516446
12-Jan-17,95.57,95.85,94.40,95.55,513528
11-Jan-17,96.07,96.76,95.06,96.00,600043
10-Jan-17,94.61,96.79,94.15,96.13,781184
9-Jan-17,94.13,95.87,93.51,94.79,1033043
6-Jan-17,94.82,95.74,93.60,94.08,998449
5-Jan-17,97.52,97.77,94.41,94.82,731662
4-Jan-17,96.85,98.82,96.80,97.77,675902
3-Jan-17,96.49,98.33,95.80,96.96,816741
30-Dec-16,97.12,97.35,95.84,96.13,489377
29-Dec-16,97.09,97.59,96.55,96.96,457167
28-Dec-16,98.60,99.24,96.50,96.80,506220
27-Dec-16,98.71,99.45,98.59,98.66,385531
23-Dec-16,98.39,98.69,97.91,98.50,419702
22-Dec-16,98.93,99.16,97.99,98.21,563530
21-Dec-16,99.76,99.76,98.35,98.71,530181
20-Dec-16,100.13,100.90,99.05,99.39,617014
19-Dec-16,101.56,102.10,100.09,100.25,738789
16-Dec-16,100.18,101.79,100.02,101.14,1401921
15-Dec-16,98.93,100.59,98.25,100.27,830066
14-Dec-16,99.05,99.93,98.05,98.60,725191
13-Dec-16,99.69,100.50,97.94,99.15,752514
