Date,Open,High,Low,Close,Volume
20-Oct-17,50.54,50.84,50.08,50.58,809148
19-Oct-17,51.20,51.37,50.23,50.56,600587
18-Oct-17,51.75,51.99,50.81,51.09,529496
17-Oct-17,50.65,51.74,50.34,51.48,517979
16-Oct-17,49.00,51.04,48.96,50.75,797626
13-Oct-17,50.15,50.56,50.01,50.29,384813
12-Oct-17,51.34,51.57,49.82,50.33,928106
11-Oct-17,51.26,51.97,51.14,51.56,692060
10-Oct-17,51.28,51.34,50.85,51.17,375140
9-Oct-17,51.66,51.82,51.21,51.28,346375
6-Oct-17,52.00,52.27,51.27,51.50,476334
5-Oct-17,51.70,52.30,51.09,52.26,422790
4-Oct-17,51.51,52.11,51.10,51.87,346573
3-Oct-17,51.80,51.80,50.71,51.43,507605
2-Oct-17,50.64,51.86,50.31,51.73,958052
29-Sep-17,51.80,52.11,50.83,50.84,665240
28-Sep-17,51.46,52.02,51.00,51.82,681381
27-Sep-17,51.66,51.97,51.18,51.32,804873
26-Sep-17,52.28,52.28,51.22,51.46,686744
25-Sep-17,50.31,51.82,50.14,51.78,859782
22-Sep-17,50.42,50.64,50.04,50.37,385423
21-Sep-17,50.59,50.91,50.06,50.34,361100
20-Sep-17,50.61,50.90,49.96,50.66,534996
19-Sep-17,52.18,52.18,50.46,50.54,674134
18-Sep-17,51.97,52.52,51.70,52.02,560169
15-Sep-17,52.47,52.88,51.56,52.02,1583678
14-Sep-17,52.15,52.70,50.95,52.33,725230
13-Sep-17,52.93,53.58,52.04,52.29,914716
12-Sep-17,52.65,54.40,52.50,53.39,1288465
11-Sep-17,50.50,52.52,50.50,52.44,1050492
8-Sep-17,50.26,50.64,49.90,50.56,627845
7-Sep-17,49.81,50.76,48.97,50.36,687356
6-Sep-17,49.67,50.15,49.64,49.81,482886
5-Sep-17,49.51,49.85,48.90,49.54,961749
1-Sep-17,50.77,50.91,49.70,49.72,776053
31-Aug-17,49.49,50.87,49.42,50.78,917469
30-Aug-17,49.09,49.85,49.02,49.50,379871
29-Aug-17,49.69,49.77,48.96,49.16,746045
28-Aug-17,50.62,50.62,49.96,50.12,715407
25-Aug-17,50.35,50.85,49.84,50.42,589872
24-Aug-17,50.31,50.61,50.25,50.49,745843
