Date,Open,High,Low,Close,Volume
20-Oct-17,115.61,115.74,111.25,114.70,1310104
19-Oct-17,116.00,118.34,114.27,115.63,1220434
18-Oct-17,119.64,120.46,115.68,117.55,1044789
17-Oct-17,122.36,122.50,118.42,118.70,1049566
16-Oct-17,123.01,125.50,120.60,121.88,1041238
13-Oct-17,124.91,125.15,122.79,123.00,843698
12-Oct-17,123.51,126.16,123.24,124.20,889576
11-Oct-17,122.80,125.13,120.60,124.86,810020
10-Oct-17,122.04,123.76,119.04,122.29,988537
9-Oct-17,122.50,123.99,121.39,121.50,692045
6-Oct-17,121.50,124.73,121.18,122.65,803204
5-Oct-17,120.17,123.00,119.58,121.39,763921
4-Oct-17,119.00,121.99,118.39,120.16,626693
3-Oct-17,122.01,122.66,119.57,119.90,1223777
2-Oct-17,122.31,125.96,121.02,122.31,2336263
29-Sep-17,117.32,119.02,115.36,117.49,813963
28-Sep-17,114.31,118.97,111.91,118.27,1650301
27-Sep-17,113.48,115.48,112.49,113.46,1100250
26-Sep-17,117.40,117.40,111.11,112.06,1565956
25-Sep-17,112.40,118.30,112.13,117.04,2091450
22-Sep-17,111.14,118.40,110.60,113.80,2339648
21-Sep-17,112.92,117.44,108.12,112.92,4537182
20-Sep-17,97.36,116.93,96.34,113.84,18362421
19-Sep-17,75.62,76.13,74.50,75.04,641353
18-Sep-17,76.40,76.61,74.61,76.00,1133909
15-Sep-17,77.36,77.62,75.58,76.21,1348848
14-Sep-17,80.66,80.66,78.00,78.15,724058
13-Sep-17,79.03,80.93,78.22,80.57,788032
12-Sep-17,79.41,81.11,78.00,79.49,842553
11-Sep-17,75.00,79.09,74.98,78.68,1170212
8-Sep-17,72.50,73.92,70.76,73.69,1280125
7-Sep-17,76.38,79.50,72.32,72.53,6025327
6-Sep-17,88.07,88.07,84.62,86.02,576628
5-Sep-17,88.28,88.57,85.32,86.80,648647
1-Sep-17,85.95,89.45,85.58,88.91,807053
31-Aug-17,83.32,86.18,82.84,85.73,834121
30-Aug-17,82.67,83.96,81.50,83.14,678336
29-Aug-17,82.16,82.99,81.14,82.52,665364
28-Aug-17,84.78,84.98,82.58,83.20,778861
25-Aug-17,84.49,84.49,82.41,83.32,427543
24-Aug-17,85.04,85.77,83.60,83.99,816196
23-Aug-17,85.21,87.10,84.75,84.81,443406
22-Aug-17,84.83,86.01,83.51,85.80,538587
21-Aug-17,81.28,85.10,81.28,84.68,665039
18-Aug-17,80.29,81.99,79.79,81.42,574759
17-Aug-17,81.12,82.02,79.72,80.28,499471
16-Aug-17,80.80,82.33,80.30,81.35,587004
15-Aug-17,80.02,80.61,79.25,80.37,499743
14-Aug-17,79.22,79.99,78.20,79.64,617460
11-Aug-17,76.03,78.62,75.58,78.22,847539
10-Aug-17,78.16,78.99,74.14,75.94,2078591
9-Aug-17,80.96,82.02,79.24,80.52,751274
8-Aug-17,82.87,83.22,81.00,81.44,732039
7-Aug-17,82.53,83.65,82.07,82.93,449226
4-Aug-17,82.03,82.46,80.84,82.44,453225
3-Aug-17,83.37,83.47,81.37,81.50,403172
2-Aug-17,81.29,83.90,79.69,83.55,537587
1-Aug-17,83.39,83.43,81.07,81.15,527433
31-Jul-17,82.62,83.62,81.51,82.74,645609
28-Jul-17,79.25,83.05,78.76,82.63,532080
27-Jul-17,82.39,83.23,79.03,79.70,1012172
26-Jul-17,80.84,81.80,80.49,81.57,479318
25-Jul-17,83.09,83.46,80.38,81.01,718703
24-Jul-17,82.04,83.73,80.67,83.54,723740
21-Jul-17,81.59,82.28,79.97,82.02,878673
20-Jul-17,78.50,80.61,77.81,80.51,733744
19-Jul-17,78.50,79.54,77.53,78.46,493517
18-Jul-17,78.15,78.86,77.00,78.12,506330
17-Jul-17,79.52,81.33,77.14,77.75,728324
14-Jul-17,80.06,80.63,78.27,78.74,692837
13-Jul-17,78.92,80.50,76.50,79.97,915032
12-Jul-17,79.62,79.96,78.29,78.90,668028
11-Jul-17,79.24,80.67,78.25,79.00,998190
10-Jul-17,83.95,86.73,76.02,79.41,2020631
7-Jul-17,83.07,85.50,83.07,84.08,602308
6-Jul-17,85.00,85.62,82.54,82.97,1295957
5-Jul-17,81.76,86.11,81.76,85.71,1076079
3-Jul-17,80.93,83.19,79.96,81.70,376028
30-Jun-17,79.04,80.16,77.78,79.76,706284
29-Jun-17,79.90,80.30,77.06,79.03,999190
28-Jun-17,80.50,80.88,78.69,79.97,1082066
27-Jun-17,83.61,83.86,79.67,79.83,1401280
26-Jun-17,85.76,85.76,80.58,82.92,974667
23-Jun-17,83.96,85.33,82.13,85.21,773700
22-Jun-17,85.52,86.92,83.50,83.96,959708
21-Jun-17,81.67,84.69,81.28,84.52,1492569
20-Jun-17,78.96,84.18,78.33,81.38,1033221
19-Jun-17,76.80,82.31,76.45,79.05,1306879
16-Jun-17,75.82,76.24,74.48,76.07,1264505
15-Jun-17,74.37,75.73,73.45,75.35,833774
