Date,Open,High,Low,Close,Volume
20-Oct-17,140.48,140.48,137.48,139.02,2079611
19-Oct-17,140.04,141.29,139.01,140.46,1436254
18-Oct-17,143.40,144.67,139.86,140.24,1353172
17-Oct-17,140.44,144.91,140.22,143.16,1389505
16-Oct-17,140.90,142.42,140.22,140.84,897415
13-Oct-17,141.29,143.00,140.44,140.61,721653
12-Oct-17,141.35,142.14,140.71,141.46,855800
11-Oct-17,144.07,144.07,140.95,141.23,1554534
10-Oct-17,141.34,143.92,141.07,143.84,1251223
9-Oct-17,141.40,141.52,139.58,141.14,1033031
6-Oct-17,143.75,144.04,141.20,141.30,1104777
5-Oct-17,141.93,144.62,141.06,143.79,1280803
4-Oct-17,141.30,142.95,140.61,141.93,1283999
3-Oct-17,141.73,142.59,140.19,141.48,1142114
2-Oct-17,140.00,143.49,139.02,140.92,1430328
29-Sep-17,137.95,140.57,137.38,140.29,1267865
28-Sep-17,139.14,139.40,136.82,138.34,1471534
27-Sep-17,139.71,140.49,138.85,139.45,1419967
26-Sep-17,143.85,144.09,139.27,139.70,1470072
25-Sep-17,143.11,144.64,142.37,143.96,2056769
22-Sep-17,142.43,143.21,141.46,142.82,985622
21-Sep-17,142.99,143.88,142.20,142.92,1372919
20-Sep-17,142.66,143.51,141.92,142.92,1407545
19-Sep-17,143.90,144.46,141.82,142.83,1288550
18-Sep-17,146.98,146.98,143.47,143.64,1421938
15-Sep-17,147.06,147.29,145.00,146.69,3713613
14-Sep-17,146.30,146.85,143.02,144.61,1511891
13-Sep-17,144.11,146.66,142.00,146.46,1686706
12-Sep-17,145.80,145.80,139.30,144.07,1957690
11-Sep-17,143.00,143.97,139.84,142.93,1781701
8-Sep-17,141.19,143.86,140.69,141.19,1267551
7-Sep-17,144.75,145.21,142.59,143.50,1656014
6-Sep-17,145.12,146.97,143.02,145.12,1737742
5-Sep-17,145.81,149.34,142.43,144.72,2365947
1-Sep-17,142.00,144.70,141.01,144.08,1845927
31-Aug-17,138.82,142.98,137.32,142.41,2158787
30-Aug-17,137.95,140.25,137.67,138.45,1252027
29-Aug-17,137.95,138.91,136.55,138.38,908621
28-Aug-17,138.54,140.92,137.51,139.02,1340608
25-Aug-17,138.00,138.98,136.41,137.54,1491044
24-Aug-17,135.91,138.00,135.62,137.78,1094317
23-Aug-17,137.83,137.83,135.50,135.67,1025682
22-Aug-17,133.85,138.75,133.25,138.20,1354275
21-Aug-17,133.55,135.96,132.86,133.43,2599071
18-Aug-17,134.28,134.92,132.99,133.40,1416434
17-Aug-17,135.88,137.64,134.51,134.63,1197609
16-Aug-17,135.92,137.61,135.29,136.55,1169095
15-Aug-17,134.01,135.84,133.26,135.21,1033348
14-Aug-17,133.64,134.60,133.28,133.96,922250
11-Aug-17,132.68,134.02,131.15,132.93,1312700
10-Aug-17,136.02,136.47,132.15,132.30,1748492
9-Aug-17,135.96,137.70,135.08,136.85,1091843
8-Aug-17,137.78,138.00,135.74,136.04,1358268
7-Aug-17,136.33,139.07,135.32,138.33,1357248
4-Aug-17,136.95,137.14,134.74,136.64,1510118
3-Aug-17,138.13,138.44,135.59,136.72,1057928
2-Aug-17,136.90,138.39,136.40,137.97,1677670
1-Aug-17,138.33,138.78,136.75,137.79,1741821
31-Jul-17,137.74,138.52,135.82,137.34,1709871
28-Jul-17,134.63,139.02,133.40,137.99,2475082
27-Jul-17,139.00,142.47,132.24,133.92,5175499
26-Jul-17,128.89,131.71,128.77,131.07,2055575
25-Jul-17,131.75,132.00,129.09,129.35,1527870
24-Jul-17,132.03,132.22,130.19,130.74,1749521
21-Jul-17,129.42,132.01,129.01,131.79,1910793
20-Jul-17,127.91,129.99,127.35,129.81,1446023
19-Jul-17,126.65,129.19,126.40,127.30,1857697
18-Jul-17,126.11,127.06,125.32,126.77,886468
17-Jul-17,126.54,128.50,125.69,125.78,927063
14-Jul-17,127.70,128.67,126.18,126.71,1132344
13-Jul-17,124.60,127.39,123.78,126.91,1644735
