Date,Open,High,Low,Close,Volume
20-Oct-17,184.09,184.82,181.29,182.96,3179172
19-Oct-17,185.99,186.98,183.25,184.12,2563623
18-Oct-17,187.85,188.84,185.83,186.28,2580235
17-Oct-17,182.03,187.06,181.12,186.19,3753749
16-Oct-17,182.96,184.20,181.20,181.90,2211464
13-Oct-17,182.64,183.35,182.01,183.01,2331710
12-Oct-17,183.39,184.39,182.04,182.76,2223755
11-Oct-17,185.28,185.50,182.68,184.15,3273163
10-Oct-17,185.46,186.58,184.46,185.79,2036369
9-Oct-17,185.95,186.84,184.40,185.46,1519647
6-Oct-17,186.46,188.24,185.16,185.82,2032454
5-Oct-17,189.05,190.00,184.31,186.85,4506646
4-Oct-17,186.55,188.72,186.02,188.59,1660280
3-Oct-17,188.05,188.22,185.62,187.23,1515006
2-Oct-17,187.03,187.72,185.56,187.17,2682723
29-Sep-17,185.70,186.54,183.17,186.45,3017323
28-Sep-17,184.29,187.82,184.13,185.46,2576860
27-Sep-17,185.05,186.88,183.90,184.88,2430252
26-Sep-17,186.51,187.55,185.40,185.60,2307852
25-Sep-17,185.51,188.03,185.51,186.29,2545433
22-Sep-17,185.48,186.82,184.00,185.76,2275630
21-Sep-17,188.32,188.96,186.50,186.64,2082214
20-Sep-17,186.08,188.55,185.42,188.17,2685371
19-Sep-17,186.81,187.44,185.81,186.32,2066082
18-Sep-17,187.79,188.56,186.12,186.47,2443770
15-Sep-17,189.66,189.66,186.31,187.47,5348992
14-Sep-17,188.37,191.10,187.81,189.44,2318395
13-Sep-17,189.90,190.94,187.71,189.70,3031418
12-Sep-17,187.00,191.04,186.78,191.00,3894326
11-Sep-17,182.54,186.71,182.54,186.49,3791224
8-Sep-17,180.93,182.66,179.52,180.64,1993947
7-Sep-17,178.50,182.77,177.28,180.71,2985346
6-Sep-17,177.59,179.08,176.36,178.38,2242335
5-Sep-17,178.00,178.50,175.36,176.74,2060915
1-Sep-17,178.14,179.73,177.30,178.71,2432318
31-Aug-17,173.74,178.64,173.74,177.77,3977490
30-Aug-17,172.19,175.08,171.54,173.65,2311262
29-Aug-17,170.66,172.35,170.35,172.23,1483019
28-Aug-17,170.86,172.64,170.26,171.78,2359529
25-Aug-17,170.82,171.57,169.40,169.74,1510790
24-Aug-17,169.28,170.69,168.57,169.95,1922440
23-Aug-17,169.66,169.94,168.76,169.00,1279373
22-Aug-17,168.86,170.94,168.83,170.07,1933548
21-Aug-17,167.46,168.64,167.01,168.16,1533304
18-Aug-17,167.37,168.43,166.52,167.29,1741936
17-Aug-17,170.69,171.00,167.80,167.81,2630576
16-Aug-17,170.26,172.64,170.14,171.39,1618756
15-Aug-17,171.10,171.45,169.76,170.04,1956277
14-Aug-17,170.28,172.08,169.97,171.67,1915798
11-Aug-17,169.82,170.63,168.76,169.43,1571584
10-Aug-17,172.07,172.67,168.59,169.11,3443843
9-Aug-17,173.10,174.18,172.65,173.55,1972231
8-Aug-17,173.96,174.90,172.98,173.69,2325311
7-Aug-17,173.87,174.65,173.26,174.58,1193843
4-Aug-17,174.27,174.82,172.90,173.85,1915679
3-Aug-17,173.52,174.71,173.26,174.18,1725912
2-Aug-17,173.57,174.59,173.21,174.46,2209159
1-Aug-17,174.81,175.11,173.66,174.13,2069552
31-Jul-17,174.51,176.79,174.25,174.51,2424761
28-Jul-17,171.98,175.06,171.71,174.54,2463475
27-Jul-17,175.00,175.48,170.53,172.15,5523230
26-Jul-17,176.01,178.86,175.20,175.89,5446135
25-Jul-17,182.05,182.60,180.34,180.89,3343223
24-Jul-17,180.19,181.46,178.66,181.06,2503137
21-Jul-17,179.26,180.55,179.16,180.21,2674714
20-Jul-17,179.05,180.73,178.88,179.32,3039256
19-Jul-17,178.10,179.20,176.52,179.18,2440745
18-Jul-17,176.66,177.63,176.14,177.48,1820392
17-Jul-17,176.84,178.90,176.68,177.40,2692421
14-Jul-17,175.43,177.68,174.41,177.13,2720648
13-Jul-17,173.28,176.20,173.09,175.04,2999889
12-Jul-17,173.71,174.24,172.67,173.27,1976853
11-Jul-17,174.18,174.44,172.07,173.32,2198020
10-Jul-17,171.59,172.55,171.00,172.20,2070609
7-Jul-17,171.64,172.03,170.59,171.43,2612936
6-Jul-17,173.10,173.61,171.31,171.72,2566438
5-Jul-17,172.67,174.38,171.92,174.26,2830025
3-Jul-17,172.63,174.33,172.63,172.80,1395060
30-Jun-17,173.61,174.25,172.01,172.23,2695516
29-Jun-17,174.49,174.72,171.02,172.59,2491761
28-Jun-17,171.42,174.54,170.83,174.07,2890490
27-Jun-17,173.02,173.92,170.77,170.85,2941462
26-Jun-17,173.39,174.72,172.41,173.67,3037563
23-Jun-17,173.24,174.13,170.96,172.50,14368474
22-Jun-17,172.44,175.45,172.10,173.82,5745765
21-Jun-17,167.20,171.76,166.36,171.35,5490814
20-Jun-17,165.43,168.70,164.79,166.29,3857863
19-Jun-17,163.10,165.22,162.69,165.09,3043884
16-Jun-17,163.84,164.10,161.13,162.42,5887244
15-Jun-17,164.24,164.90,162.55,164.11,3585036
14-Jun-17,164.36,165.88,163.97,165.10,2594842
