Date,Open,High,Low,Close,Volume
20-Oct-17,51.71,51.83,51.62,51.62,25606
19-Oct-17,51.20,51.61,51.09,51.46,10219
18-Oct-17,51.50,52.09,51.32,51.37,224452
17-Oct-17,51.23,51.36,51.00,51.26,84581
16-Oct-17,50.76,50.94,50.76,50.88,331948
13-Oct-17,51.30,51.30,50.70,50.83,410006
12-Oct-17,51.62,51.62,51.17,51.56,55435
11-Oct-17,52.05,52.06,52.04,52.06,519
10-Oct-17,52.01,52.08,51.80,52.08,704790
9-Oct-17,52.01,52.25,51.97,52.06,4327
6-Oct-17,52.44,52.45,52.26,52.26,115090
5-Oct-17,52.67,52.67,52.23,52.49,6222
4-Oct-17,52.50,52.57,52.38,52.57,87786
3-Oct-17,52.27,52.50,52.09,52.50,9748
2-Oct-17,52.33,52.33,52.09,52.13,66548
