Date,Open,High,Low,Close,Volume
20-Oct-17,11.43,11.43,11.08,11.08,1791018
19-Oct-17,11.70,11.70,11.10,11.34,2783074
18-Oct-17,11.79,11.89,11.68,11.71,1465418
17-Oct-17,12.07,12.12,11.68,11.70,2023111
16-Oct-17,12.24,12.52,12.02,12.07,3223499
13-Oct-17,12.41,12.50,12.24,12.36,2027898
12-Oct-17,12.21,12.45,12.12,12.44,3237185
11-Oct-17,12.33,12.40,12.20,12.29,2231222
10-Oct-17,12.33,12.35,12.16,12.30,1970567
9-Oct-17,12.31,12.40,12.10,12.30,1530262
6-Oct-17,12.35,12.46,12.26,12.32,1390097
5-Oct-17,12.35,12.43,12.21,12.43,1438138
4-Oct-17,12.29,12.49,12.04,12.38,1748456
3-Oct-17,12.33,12.44,11.87,12.31,3283113
2-Oct-17,12.31,12.68,12.20,12.45,3004431
29-Sep-17,12.34,12.47,12.17,12.30,3400761
28-Sep-17,12.10,12.46,11.93,12.25,4653164
27-Sep-17,11.27,12.32,11.27,12.16,6858972
26-Sep-17,11.29,11.42,11.19,11.29,2398310
25-Sep-17,11.17,11.56,11.17,11.32,2849764
22-Sep-17,11.44,11.50,11.16,11.32,2932588
21-Sep-17,11.66,11.81,11.44,11.47,3376170
20-Sep-17,11.55,11.74,11.28,11.60,5245595
19-Sep-17,11.29,11.69,11.21,11.52,5220831
18-Sep-17,10.81,11.37,10.56,11.29,7516202
15-Sep-17,11.17,11.34,10.75,10.82,21720517
14-Sep-17,9.65,10.86,9.65,10.80,7097093
13-Sep-17,10.03,10.61,10.00,10.53,6287537
12-Sep-17,10.99,11.00,9.60,9.97,11709184
11-Sep-17,11.81,11.93,10.45,10.53,17190338
8-Sep-17,10.27,12.03,10.15,10.98,19001760
7-Sep-17,9.81,10.31,9.73,10.27,4316684
6-Sep-17,9.87,10.09,9.35,9.86,5273811
5-Sep-17,9.84,10.07,9.65,9.80,3066919
1-Sep-17,9.74,9.89,9.51,9.85,3544406
31-Aug-17,9.27,9.91,9.19,9.68,4162873
30-Aug-17,9.42,9.46,9.15,9.19,2534759
29-Aug-17,9.40,9.59,9.33,9.39,2805233
28-Aug-17,9.51,9.64,9.21,9.57,3400401
25-Aug-17,10.02,10.05,9.21,9.22,5200374
24-Aug-17,9.50,10.11,9.42,9.99,5694888
23-Aug-17,8.94,10.00,8.89,9.54,5685515
22-Aug-17,8.69,9.05,8.68,9.01,3362889
21-Aug-17,8.76,8.87,8.50,8.65,1721090
18-Aug-17,8.75,8.86,8.65,8.77,1604981
17-Aug-17,8.95,9.07,8.78,8.78,2115168
16-Aug-17,8.91,9.02,8.84,8.98,1960024
15-Aug-17,8.95,9.08,8.62,8.94,2564450
14-Aug-17,8.65,9.03,8.56,9.01,2870139
11-Aug-17,8.39,8.66,8.26,8.62,3390528
10-Aug-17,8.74,8.81,8.10,8.34,4297462
9-Aug-17,8.23,8.88,7.92,8.66,5253441
8-Aug-17,8.09,8.14,7.85,7.90,2599550
7-Aug-17,8.04,8.20,7.90,8.10,1886229
4-Aug-17,7.55,8.24,7.47,8.11,2593039
3-Aug-17,7.33,7.57,7.15,7.50,1779585
2-Aug-17,7.41,7.51,7.17,7.31,2094954
1-Aug-17,7.57,7.59,7.27,7.41,3110432
31-Jul-17,7.71,7.72,7.43,7.51,1650524
28-Jul-17,7.45,7.75,7.33,7.72,2543390
27-Jul-17,7.78,7.83,7.45,7.49,3733750
26-Jul-17,7.86,7.94,7.73,7.77,1479888
25-Jul-17,7.85,7.96,7.69,7.86,2882103
24-Jul-17,8.23,8.23,7.62,7.80,3719355
21-Jul-17,8.48,8.49,8.15,8.24,2105088
20-Jul-17,8.47,8.66,8.31,8.38,2462493
19-Jul-17,8.57,8.70,8.37,8.47,2777895
18-Jul-17,8.64,8.64,8.44,8.50,2282265
17-Jul-17,8.62,8.74,8.49,8.51,1305343
14-Jul-17,8.38,8.63,8.27,8.60,1657121
13-Jul-17,8.26,8.55,7.93,8.40,2514750
12-Jul-17,8.22,8.30,8.11,8.24,1735723
11-Jul-17,8.10,8.32,8.03,8.13,2409444
10-Jul-17,8.31,8.35,8.00,8.15,2065095
7-Jul-17,8.74,8.81,8.25,8.35,2736924
6-Jul-17,8.93,9.06,8.64,8.73,2634600
5-Jul-17,8.88,9.05,8.54,8.99,3888334
3-Jul-17,8.38,8.75,8.38,8.70,1429908
30-Jun-17,8.42,8.51,8.26,8.37,2090366
29-Jun-17,8.65,8.70,8.32,8.45,2159687
28-Jun-17,8.55,8.62,8.34,8.56,1982006
27-Jun-17,9.02,9.09,8.43,8.47,2198177
26-Jun-17,9.17,9.18,8.82,9.02,2489652
23-Jun-17,8.76,9.10,8.59,9.07,7402869
22-Jun-17,9.00,9.10,8.66,8.76,3521175
21-Jun-17,8.44,8.99,8.32,8.99,4645795
20-Jun-17,7.77,8.66,7.72,8.35,4166716
19-Jun-17,7.55,7.87,7.50,7.73,3012783
16-Jun-17,7.51,7.62,7.43,7.52,4008025
15-Jun-17,7.74,7.86,7.61,7.62,1335001
14-Jun-17,7.81,7.88,7.57,7.81,2263469
13-Jun-17,7.80,7.92,7.72,7.84,1936904
12-Jun-17,7.66,7.80,7.52,7.78,2329507
9-Jun-17,7.83,7.94,7.63,7.68,3437849
8-Jun-17,7.62,7.94,7.62,7.81,1680806
7-Jun-17,7.66,7.78,7.52,7.69,2402960
6-Jun-17,7.85,7.94,7.61,7.66,3572287
5-Jun-17,8.59,8.60,7.87,7.99,3854578
2-Jun-17,7.77,8.19,7.73,8.18,2762922
1-Jun-17,7.57,7.98,7.56,7.74,4075312
31-May-17,8.08,8.10,7.51,7.58,5625521
30-May-17,8.57,8.60,7.80,7.86,4563244
26-May-17,8.22,8.25,8.10,8.16,1539012
25-May-17,8.41,8.43,8.18,8.27,2038329
24-May-17,8.36,8.50,8.20,8.34,1688938
23-May-17,8.46,8.51,8.22,8.39,1714919
22-May-17,8.23,8.47,8.06,8.46,2996190
19-May-17,8.16,8.26,7.91,8.24,2797347
18-May-17,7.88,8.20,7.83,8.14,3820459
17-May-17,8.15,8.15,7.78,7.86,2522116
16-May-17,8.30,8.36,8.07,8.25,2922809
15-May-17,8.33,8.41,8.14,8.22,2605486
12-May-17,8.04,8.43,8.00,8.32,3203912
11-May-17,8.38,8.42,7.83,8.15,4828965
10-May-17,7.88,9.24,7.81,8.43,17477090
9-May-17,6.95,7.04,6.73,7.02,6158332
8-May-17,7.41,7.41,6.85,6.96,7446678
5-May-17,7.33,7.36,7.06,7.18,3052582
4-May-17,7.73,7.85,7.27,7.35,6891249
3-May-17,7.88,8.08,7.62,7.73,6638595
2-May-17,8.70,8.78,7.08,7.36,14808003
1-May-17,8.71,8.78,8.59,8.76,1775289
28-Apr-17,8.68,8.80,8.50,8.67,1600079
27-Apr-17,8.68,8.75,8.59,8.70,1734729
26-Apr-17,8.81,8.84,8.59,8.67,2116144
25-Apr-17,8.43,8.98,8.40,8.81,2726588
24-Apr-17,8.33,8.47,8.16,8.35,1929499
21-Apr-17,8.35,8.47,8.18,8.25,2386035
20-Apr-17,8.12,8.42,8.04,8.40,2742192
19-Apr-17,8.00,8.32,7.84,8.05,4513544
18-Apr-17,8.27,8.29,7.92,7.93,2691492
17-Apr-17,8.46,8.54,8.30,8.34,2214841
13-Apr-17,8.33,8.58,8.32,8.46,2659032
12-Apr-17,8.43,8.50,8.28,8.36,2048132
11-Apr-17,8.44,8.54,8.25,8.43,2288763
10-Apr-17,8.55,8.60,8.41,8.46,2131109
7-Apr-17,8.48,8.60,8.34,8.54,3129712
6-Apr-17,8.48,8.57,8.24,8.49,3747322
5-Apr-17,8.79,9.02,8.47,8.48,2836762
4-Apr-17,8.81,8.94,8.74,8.81,2498931
3-Apr-17,8.96,9.07,8.81,8.88,4381405
31-Mar-17,9.07,9.07,8.82,8.94,3847844
30-Mar-17,9.11,9.13,8.77,9.08,4073761
29-Mar-17,9.29,9.37,9.05,9.11,2403472
28-Mar-17,9.37,9.46,9.20,9.30,2422948
27-Mar-17,9.34,9.60,9.15,9.39,3118230
24-Mar-17,9.24,9.58,9.16,9.46,3177080
23-Mar-17,9.38,9.43,9.07,9.22,4592245
22-Mar-17,9.09,9.78,9.05,9.38,6361630
21-Mar-17,9.99,10.00,9.08,9.13,6526849
20-Mar-17,9.46,10.31,8.93,10.07,15174315
17-Mar-17,10.69,10.69,10.25,10.56,9270386
16-Mar-17,10.95,11.03,10.64,10.74,2927986
15-Mar-17,11.05,11.38,10.84,10.91,3925422
14-Mar-17,11.40,11.43,10.88,11.00,2722781
13-Mar-17,10.97,11.50,10.93,11.44,3150399
10-Mar-17,11.41,11.57,10.86,10.99,4546682
9-Mar-17,11.65,11.73,11.36,11.42,2727038
8-Mar-17,11.65,12.15,11.51,11.62,4724302
7-Mar-17,11.64,11.82,11.45,11.62,2318162
6-Mar-17,11.76,11.82,11.45,11.68,2875805
3-Mar-17,11.51,11.83,11.43,11.76,3903110
2-Mar-17,11.69,11.97,11.47,11.54,3263199
1-Mar-17,11.65,12.04,11.47,11.69,5060452
28-Feb-17,11.40,11.53,11.01,11.50,5795772
27-Feb-17,10.50,11.51,10.50,11.43,4098759
24-Feb-17,10.37,10.77,10.31,10.56,1983018
23-Feb-17,10.75,10.85,10.31,10.36,2670413
22-Feb-17,10.83,11.05,10.71,10.74,2339974
21-Feb-17,11.46,11.53,10.83,10.88,3105339
17-Feb-17,11.20,11.43,11.07,11.37,2443941
16-Feb-17,12.00,12.00,10.95,11.18,5223481
15-Feb-17,12.00,12.13,11.84,11.95,5533806
14-Feb-17,11.77,12.11,11.66,12.00,3914600
13-Feb-17,12.03,12.23,11.75,11.77,4294020
10-Feb-17,12.92,13.40,11.79,11.99,9622826
