Date,Open,High,Low,Close,Volume
20-Oct-17,101.56,101.56,98.26,100.06,359443
19-Oct-17,100.40,101.18,99.23,100.52,292817
18-Oct-17,101.92,102.76,99.38,101.22,227663
17-Oct-17,101.29,103.26,100.33,101.22,199816
16-Oct-17,105.32,105.90,101.26,102.01,266415
13-Oct-17,104.24,106.00,102.17,104.39,261955
12-Oct-17,104.88,105.80,102.65,104.02,394577
11-Oct-17,101.59,104.86,100.22,102.69,388169
10-Oct-17,100.33,102.20,100.00,101.23,267356
9-Oct-17,103.70,104.00,100.25,100.49,212500
6-Oct-17,98.98,104.53,98.84,103.71,345014
5-Oct-17,97.80,99.15,96.30,98.64,256720
4-Oct-17,99.91,99.91,97.01,98.04,238743
3-Oct-17,99.75,102.00,95.55,99.27,623475
2-Oct-17,98.10,99.93,95.12,95.76,401867
29-Sep-17,94.72,101.67,94.57,96.73,1332318
28-Sep-17,91.55,92.65,88.91,92.19,277417
27-Sep-17,89.24,92.75,88.88,91.08,530287
26-Sep-17,94.00,94.98,88.42,88.75,508595
25-Sep-17,94.20,96.24,91.34,93.63,386188
22-Sep-17,96.16,96.86,90.90,92.11,360473
21-Sep-17,96.84,98.34,95.92,96.14,209835
20-Sep-17,94.10,97.97,93.86,97.34,370537
19-Sep-17,91.32,94.52,90.18,94.41,273207
18-Sep-17,88.20,92.19,88.20,91.60,314060
15-Sep-17,89.53,90.25,86.89,88.08,1061870
14-Sep-17,89.72,91.73,88.50,89.76,286763
13-Sep-17,89.90,92.19,89.38,89.99,345603
12-Sep-17,93.02,93.15,85.77,89.95,604624
11-Sep-17,94.00,94.72,91.81,93.16,308896
8-Sep-17,92.78,93.48,91.10,92.85,188613
7-Sep-17,92.95,93.85,92.02,93.30,261856
6-Sep-17,91.67,92.98,90.76,92.59,367633
5-Sep-17,93.03,94.63,90.02,90.87,537692
1-Sep-17,93.88,94.50,92.29,92.92,260878
31-Aug-17,91.56,93.52,91.16,93.35,333088
30-Aug-17,91.30,93.00,90.09,90.90,404662
29-Aug-17,93.00,93.71,90.01,91.11,591774
