Date,Open,High,Low,Close,Volume
20-Oct-17,34.77,34.81,34.53,34.62,2302108
19-Oct-17,34.63,34.81,34.52,34.71,2443658
18-Oct-17,34.66,34.81,34.60,34.65,3782718
17-Oct-17,34.58,34.89,34.49,34.78,6444751
16-Oct-17,34.91,34.94,34.61,34.65,3489381
13-Oct-17,34.70,34.78,34.55,34.61,2865025
12-Oct-17,34.49,34.62,34.46,34.53,5071656
11-Oct-17,34.59,34.74,34.56,34.74,455491
10-Oct-17,34.41,34.74,34.40,34.63,3685311
9-Oct-17,34.38,34.54,34.19,34.48,2554126
6-Oct-17,34.02,34.27,34.01,34.26,2973636
5-Oct-17,34.06,34.23,33.98,34.23,4724024
4-Oct-17,34.27,34.40,34.21,34.35,2221388
3-Oct-17,34.08,34.33,34.06,34.26,3938486
2-Oct-17,33.85,34.35,33.85,34.27,5145467
29-Sep-17,33.62,33.91,33.59,33.88,2471903
28-Sep-17,33.57,33.66,33.43,33.48,2653233
27-Sep-17,33.06,33.52,33.03,33.31,4395474
26-Sep-17,33.47,33.61,33.23,33.35,5092462
25-Sep-17,33.64,34.02,33.62,34.00,6183481
22-Sep-17,33.80,34.07,33.67,33.95,10233531
21-Sep-17,32.91,32.95,32.76,32.81,3112304
20-Sep-17,32.69,32.95,32.59,32.93,8170408
19-Sep-17,32.74,32.83,32.61,32.67,4386931
18-Sep-17,32.46,32.50,32.24,32.42,4572950
15-Sep-17,32.70,32.71,32.49,32.53,3100668
14-Sep-17,32.53,32.75,32.51,32.62,3600635
13-Sep-17,33.03,33.07,32.45,32.65,6585943
12-Sep-17,32.94,33.49,32.91,33.42,7552409
11-Sep-17,32.73,33.02,32.67,32.99,12110015
8-Sep-17,31.72,32.42,31.71,32.25,5266413
7-Sep-17,31.21,31.97,31.12,31.89,10258823
6-Sep-17,30.17,30.47,30.17,30.34,9305102
5-Sep-17,30.41,30.45,29.98,30.07,4732353
1-Sep-17,30.19,30.29,30.04,30.11,2396188
31-Aug-17,29.61,29.87,29.53,29.83,4497636
30-Aug-17,29.28,29.35,29.14,29.25,1946348
29-Aug-17,29.31,29.54,29.25,29.46,2006064
28-Aug-17,29.43,29.56,29.38,29.44,1570306
25-Aug-17,29.43,29.50,29.20,29.24,2194384
24-Aug-17,29.54,29.66,29.38,29.47,2966358
23-Aug-17,29.24,29.32,29.08,29.14,2443287
22-Aug-17,28.87,29.12,28.84,29.07,3469807
21-Aug-17,29.05,29.05,28.78,28.96,3238276
18-Aug-17,29.09,29.16,28.88,29.12,4185092
17-Aug-17,29.49,29.56,29.05,29.08,4612673
16-Aug-17,29.18,29.23,29.04,29.18,2643049
15-Aug-17,29.08,29.19,29.01,29.06,2129397
14-Aug-17,28.98,29.19,28.97,29.10,2340518
11-Aug-17,28.88,29.15,28.86,29.08,3253688
10-Aug-17,29.27,29.40,29.03,29.03,5866948
9-Aug-17,29.52,29.52,29.26,29.47,4132105
8-Aug-17,30.03,30.31,29.74,29.75,7354397
7-Aug-17,30.07,30.14,29.85,30.06,3568753
4-Aug-17,29.95,30.19,29.91,30.17,5189646
3-Aug-17,30.46,30.50,30.25,30.34,4310604
2-Aug-17,30.29,30.34,30.08,30.33,5676344
1-Aug-17,30.43,30.48,29.87,29.92,6358134
31-Jul-17,-,-,30.18,30.18,10798385
28-Jul-17,29.33,30.37,29.32,30.27,13288762
27-Jul-17,28.77,29.16,28.43,28.88,27176860
26-Jul-17,33.95,34.00,33.71,33.94,4065671
25-Jul-17,34.00,34.05,33.63,33.78,3173897
24-Jul-17,33.63,33.98,33.53,33.85,4116151
21-Jul-17,34.00,34.07,33.88,34.05,3602670
20-Jul-17,33.67,33.98,33.66,33.89,3365930
19-Jul-17,33.68,33.76,33.50,33.60,4691945
18-Jul-17,33.45,33.62,33.36,33.51,3624441
17-Jul-17,33.73,33.79,33.30,33.38,4220978
14-Jul-17,32.90,34.50,32.73,33.87,11656636
13-Jul-17,32.87,33.46,32.26,32.39,21176455
12-Jul-17,33.82,34.12,32.90,32.92,9939776
11-Jul-17,33.15,33.40,33.12,33.24,3586696
10-Jul-17,33.71,33.79,33.56,33.63,2530740
7-Jul-17,33.56,33.85,33.54,33.75,2819459
6-Jul-17,33.76,33.80,33.50,33.64,3984598
5-Jul-17,33.66,34.19,33.64,34.16,2578674
3-Jul-17,33.84,34.03,33.81,33.88,1703397
30-Jun-17,34.12,34.22,33.87,34.09,2697568
29-Jun-17,34.19,34.21,33.87,34.12,3395461
28-Jun-17,34.60,34.67,34.34,34.35,3873673
27-Jun-17,34.83,34.90,34.52,34.57,2967902
26-Jun-17,35.33,35.33,34.98,35.15,2830093
23-Jun-17,35.21,35.25,34.94,35.07,3128490
22-Jun-17,35.00,35.60,34.98,35.36,4015315
21-Jun-17,34.63,34.99,34.61,34.88,3639557
20-Jun-17,34.65,34.92,34.57,34.72,5164356
19-Jun-17,34.44,34.78,34.44,34.64,3950082
16-Jun-17,34.26,34.55,34.23,34.54,2511306
15-Jun-17,34.04,34.34,33.95,34.11,3296181
14-Jun-17,34.50,34.60,34.28,34.36,2739735
13-Jun-17,34.13,34.29,33.95,34.19,3310388
12-Jun-17,34.03,34.10,33.90,34.06,3266594
9-Jun-17,34.39,34.58,34.01,34.17,6947767
8-Jun-17,35.02,35.05,34.64,34.82,3153176
7-Jun-17,34.66,34.90,34.65,34.88,5047184
6-Jun-17,34.91,35.14,34.85,34.94,3188001
5-Jun-17,35.24,35.27,34.87,34.92,4595149
2-Jun-17,35.02,35.19,34.93,35.11,5115830
1-Jun-17,34.74,34.94,34.70,34.81,4155367
31-May-17,34.25,34.48,34.18,34.39,3703558
30-May-17,33.97,34.20,33.90,34.01,2603087
26-May-17,34.13,34.19,33.81,33.85,2555256
25-May-17,34.16,34.40,34.14,34.34,2606058
24-May-17,34.01,34.38,34.01,34.27,4293776
23-May-17,33.91,34.14,33.87,34.08,3979157
22-May-17,33.83,34.12,33.82,33.95,4377847
19-May-17,34.07,34.20,33.81,33.90,3215930
18-May-17,34.26,34.30,33.81,34.02,3723766
17-May-17,34.48,34.69,34.17,34.17,5580990
16-May-17,34.25,34.55,34.11,34.41,4951746
15-May-17,33.97,34.24,33.84,34.21,6014257
12-May-17,33.20,34.08,33.17,34.00,19332338
11-May-17,30.96,31.18,30.88,31.13,2717935
10-May-17,30.96,31.11,30.91,31.04,2604600
9-May-17,30.71,30.99,30.66,30.90,4359351
8-May-17,30.46,30.46,30.21,30.23,2511017
5-May-17,30.44,30.46,30.32,30.46,2605068
4-May-17,30.40,30.68,30.39,30.63,3691105
3-May-17,30.69,30.70,30.42,30.50,3019978
2-May-17,30.41,30.74,30.24,30.70,4442141
1-May-17,30.32,30.66,30.25,30.27,2902501
28-Apr-17,30.58,30.65,30.20,30.25,4930517
27-Apr-17,30.58,31.06,30.52,30.86,4689916
26-Apr-17,30.50,30.74,30.47,30.58,4205121
25-Apr-17,30.59,30.63,30.47,30.49,3020989
24-Apr-17,30.20,30.34,30.13,30.24,2642645
21-Apr-17,29.82,29.85,29.63,29.76,2044837
20-Apr-17,30.00,30.01,29.87,29.90,3179855
19-Apr-17,30.08,30.08,29.74,29.77,3641658
18-Apr-17,29.96,29.99,29.66,29.76,4444100
17-Apr-17,30.17,30.34,30.12,30.15,2574077
13-Apr-17,30.09,30.23,30.04,30.14,2649927
12-Apr-17,30.09,30.21,30.04,30.14,2324665
11-Apr-17,30.16,30.24,30.00,30.18,2963254
10-Apr-17,29.88,30.03,29.83,29.90,3923177
7-Apr-17,30.26,30.38,30.14,30.30,7000578
6-Apr-17,30.30,30.60,30.25,30.44,3927962
5-Apr-17,30.83,30.90,30.43,30.46,5355641
4-Apr-17,31.28,31.40,31.21,31.28,2856579
3-Apr-17,31.05,31.29,31.04,31.14,2811839
31-Mar-17,31.16,31.34,31.13,31.14,2743422
30-Mar-17,31.38,31.39,31.16,31.17,2268612
29-Mar-17,31.21,31.37,31.20,31.29,3480569
28-Mar-17,31.58,31.61,31.33,31.33,4575772
27-Mar-17,31.65,31.88,31.63,31.80,4517365
24-Mar-17,31.19,31.38,31.10,31.31,3983616
23-Mar-17,31.16,31.60,31.14,31.30,11268899
22-Mar-17,30.57,31.04,30.51,30.98,6134387
21-Mar-17,30.82,30.88,30.36,30.37,3920754
20-Mar-17,30.72,30.88,30.69,30.70,3443903
17-Mar-17,30.55,30.90,30.50,30.69,4358735
16-Mar-17,30.52,30.58,30.38,30.52,3101253
15-Mar-17,30.09,30.27,30.01,30.21,5140700
14-Mar-17,29.99,30.54,29.98,30.30,7598919
13-Mar-17,29.88,30.13,29.81,30.07,3957579
10-Mar-17,29.49,29.58,29.37,29.55,3931974
9-Mar-17,29.32,29.58,29.31,29.56,3763720
8-Mar-17,29.49,29.56,29.32,29.41,4613046
7-Mar-17,29.09,29.62,29.03,29.50,3972358
6-Mar-17,29.77,29.82,29.60,29.62,3366230
3-Mar-17,29.64,29.96,29.60,29.92,5304057
2-Mar-17,29.42,29.78,29.38,29.60,6804912
1-Mar-17,29.01,29.42,28.95,29.32,6946968
28-Feb-17,29.45,29.57,29.18,29.26,3929559
27-Feb-17,29.12,29.39,29.11,29.37,3631413
24-Feb-17,29.23,29.36,29.20,29.35,3539599
23-Feb-17,29.24,29.63,29.22,29.51,5213038
22-Feb-17,28.62,28.98,28.61,28.92,5119003
21-Feb-17,28.98,29.13,28.87,29.01,4472091
17-Feb-17,29.16,29.27,28.94,29.16,4496430
16-Feb-17,28.74,28.89,28.66,28.76,4400523
15-Feb-17,28.55,28.86,28.52,28.84,3758360
14-Feb-17,29.37,29.66,29.32,29.59,5479427
13-Feb-17,29.60,29.74,29.53,29.64,5482650
10-Feb-17,29.24,29.62,29.20,29.53,8700911
9-Feb-17,29.13,29.35,29.06,29.30,7263959
8-Feb-17,28.17,28.66,28.17,28.62,5108983
7-Feb-17,28.19,28.30,28.09,28.26,6341361
6-Feb-17,27.71,28.10,27.71,28.09,6300448
3-Feb-17,27.55,27.94,27.55,27.92,10788366
2-Feb-17,27.01,27.58,26.98,27.56,11199155
1-Feb-17,27.32,27.76,27.23,27.76,10012135
31-Jan-17,26.52,27.25,26.51,27.23,10641919
30-Jan-17,27.04,27.10,26.94,27.09,6143032
27-Jan-17,26.94,27.08,26.81,27.05,7378677
26-Jan-17,27.57,27.58,26.64,26.72,10392602
25-Jan-17,27.23,27.39,27.10,27.29,4791692
24-Jan-17,26.93,27.12,26.65,26.99,9280786
23-Jan-17,27.10,27.15,26.87,27.10,5507059
20-Jan-17,27.39,27.42,26.86,27.07,10125635
19-Jan-17,28.23,28.31,27.81,27.91,3692976
18-Jan-17,28.65,28.66,28.43,28.50,6141814
17-Jan-17,28.69,28.69,28.38,28.47,7320845
13-Jan-17,28.36,28.59,28.20,28.58,5159759
12-Jan-17,28.12,28.32,28.02,28.24,8549073
11-Jan-17,28.47,28.62,27.97,28.18,7149662
10-Jan-17,28.72,28.81,28.61,28.75,5332242
9-Jan-17,28.33,28.58,28.27,28.53,4158639
6-Jan-17,28.41,28.55,28.33,28.43,6055478
5-Jan-17,28.32,28.76,28.24,28.69,5583039
4-Jan-17,27.88,28.00,27.78,27.93,4562521
