Date,Open,High,Low,Close,Volume
20-Oct-17,63.71,63.91,63.40,63.59,2738550
19-Oct-17,63.94,64.06,62.81,63.47,3306696
18-Oct-17,63.90,64.11,63.54,63.84,1340081
17-Oct-17,63.59,64.18,63.33,63.92,2484361
16-Oct-17,62.90,63.71,62.90,63.65,2715212
13-Oct-17,62.59,62.87,62.29,62.82,2837203
12-Oct-17,62.01,62.58,61.87,62.53,1459995
11-Oct-17,61.73,62.16,61.62,61.90,101987
10-Oct-17,61.37,61.76,60.78,61.71,2264863
9-Oct-17,63.05,63.05,61.11,61.45,2610212
6-Oct-17,62.62,63.09,62.42,62.91,2513096
5-Oct-17,62.74,62.89,62.55,62.71,1792311
4-Oct-17,62.74,63.01,62.61,62.90,1902900
3-Oct-17,62.97,63.12,62.45,62.62,1649398
2-Oct-17,62.92,63.40,62.90,63.16,1811629
29-Sep-17,62.29,62.76,62.15,62.75,1579139
28-Sep-17,62.28,62.53,61.86,62.34,1529146
27-Sep-17,62.62,62.86,61.94,62.46,2289288
26-Sep-17,62.86,62.88,62.42,62.52,1302183
25-Sep-17,63.51,63.55,62.57,62.76,1678990
22-Sep-17,63.48,63.75,63.34,63.51,2352331
21-Sep-17,64.21,64.32,63.35,63.38,1595016
20-Sep-17,64.15,64.50,64.06,64.28,1680051
19-Sep-17,64.28,64.35,63.92,64.02,1825497
18-Sep-17,64.07,64.31,63.93,64.31,1547262
15-Sep-17,64.11,64.33,63.88,63.96,4525594
14-Sep-17,64.36,64.74,64.18,64.32,1864464
13-Sep-17,64.15,64.75,64.04,64.61,2482463
12-Sep-17,64.40,64.56,63.83,64.15,1840816
11-Sep-17,63.63,64.32,63.57,64.28,2711586
8-Sep-17,62.93,64.40,62.73,63.28,2582962
7-Sep-17,62.64,63.00,62.35,62.84,1724599
6-Sep-17,62.30,62.68,62.18,62.53,1498231
5-Sep-17,61.99,62.44,61.83,62.18,1772902
1-Sep-17,62.11,62.50,61.93,62.23,2214954
31-Aug-17,61.78,62.13,61.61,62.04,3532667
30-Aug-17,61.30,61.71,61.29,61.48,1918743
29-Aug-17,61.42,61.62,61.20,61.41,1562198
28-Aug-17,61.64,61.81,61.54,61.64,2386411
25-Aug-17,61.79,61.79,61.45,61.51,2389377
24-Aug-17,61.69,61.83,61.46,61.51,2286060
23-Aug-17,62.00,62.07,61.32,61.45,2734197
22-Aug-17,61.02,62.21,61.02,62.15,1789698
21-Aug-17,60.79,61.15,60.53,61.11,1677830
18-Aug-17,60.72,61.27,60.62,60.87,2308236
17-Aug-17,61.03,61.48,60.77,60.82,2608655
16-Aug-17,61.00,61.53,60.81,61.36,2965533
15-Aug-17,60.19,60.95,60.13,60.80,2161235
14-Aug-17,60.07,60.58,60.06,60.23,1976379
11-Aug-17,59.62,60.37,59.62,59.84,2213852
10-Aug-17,59.66,59.98,59.42,59.71,2939189
9-Aug-17,59.72,60.10,59.50,60.02,2196822
8-Aug-17,59.66,60.00,59.36,59.72,1969647
7-Aug-17,59.84,59.91,59.48,59.73,1858594
4-Aug-17,59.76,60.14,59.45,59.88,1594211
3-Aug-17,59.10,59.79,58.81,59.59,2017949
2-Aug-17,60.69,60.69,59.27,59.50,3537302
