Date,Open,High,Low,Close,Volume
20-Oct-17,210.00,212.54,209.72,211.83,1249552
19-Oct-17,207.36,209.50,206.70,209.36,1066612
18-Oct-17,203.08,207.73,202.73,207.72,2149551
17-Oct-17,200.85,203.28,200.08,203.07,956454
16-Oct-17,200.94,201.42,200.18,200.82,1078292
13-Oct-17,198.68,201.47,197.44,201.43,1340057
12-Oct-17,196.77,198.89,196.77,198.83,754867
11-Oct-17,196.27,197.65,196.22,196.95,79554
10-Oct-17,196.97,197.52,195.72,196.29,1061161
9-Oct-17,197.53,197.69,196.41,197.14,1068865
6-Oct-17,197.25,198.17,196.57,198.08,1132897
5-Oct-17,195.00,197.25,194.19,197.25,1244423
4-Oct-17,193.73,195.13,193.67,195.00,889275
3-Oct-17,196.20,196.79,193.05,193.73,1051670
2-Oct-17,196.91,197.84,195.30,196.29,1066087
29-Sep-17,192.99,195.99,192.99,195.95,1102653
28-Sep-17,194.35,195.39,192.66,193.60,948663
27-Sep-17,194.53,194.68,192.59,194.05,845240
26-Sep-17,194.06,194.55,192.98,194.32,991200
25-Sep-17,192.91,193.62,192.04,193.20,1198324
22-Sep-17,192.50,193.22,191.60,193.06,1056748
21-Sep-17,193.79,193.89,191.53,191.56,1061757
20-Sep-17,193.11,194.40,192.65,194.00,1109261
19-Sep-17,195.76,196.60,192.69,193.00,1412455
18-Sep-17,195.92,196.93,195.46,195.61,1060466
15-Sep-17,197.51,198.24,195.08,195.34,1579400
14-Sep-17,196.29,197.90,195.52,197.60,1408527
13-Sep-17,201.64,202.40,195.81,196.62,1952236
12-Sep-17,203.45,203.79,201.41,202.20,1129041
11-Sep-17,204.79,204.86,202.84,203.87,1614296
8-Sep-17,199.95,204.29,199.46,203.70,1202165
7-Sep-17,198.45,200.78,198.45,199.57,968319
6-Sep-17,200.57,201.00,199.15,199.23,772529
5-Sep-17,198.39,200.41,198.31,200.07,896570
1-Sep-17,199.44,199.87,197.56,199.15,757084
31-Aug-17,198.28,199.69,197.55,199.44,1150999
30-Aug-17,198.50,198.87,197.38,197.90,813853
29-Aug-17,198.11,199.38,198.08,198.90,805037
28-Aug-17,199.17,199.82,198.62,199.05,457529
25-Aug-17,198.09,198.78,197.69,198.57,789306
24-Aug-17,198.68,198.68,196.84,197.86,814613
23-Aug-17,199.59,200.14,197.30,197.58,1158730
22-Aug-17,199.15,200.89,198.84,200.36,855489
21-Aug-17,198.09,199.25,196.73,199.17,659764
18-Aug-17,199.56,199.56,196.69,197.69,989225
17-Aug-17,201.13,202.27,199.31,199.31,985933
16-Aug-17,201.97,202.67,200.82,201.39,1090283
15-Aug-17,201.94,202.90,201.41,201.48,992142
14-Aug-17,201.49,202.30,200.59,201.77,1558912
11-Aug-17,198.41,201.12,197.55,200.36,1251199
10-Aug-17,197.69,199.01,197.30,198.22,1254359
9-Aug-17,196.23,197.89,196.23,197.84,1093335
8-Aug-17,198.87,199.01,196.44,196.63,1150010
7-Aug-17,197.17,197.84,196.01,197.84,957775
4-Aug-17,199.77,200.26,195.42,197.05,2176468
3-Aug-17,192.95,199.52,192.34,198.90,2570424
