Date,Open,High,Low,Close,Volume
20-Oct-17,84.20,84.98,82.18,84.03,312758
19-Oct-17,88.26,88.33,80.50,84.23,662759
18-Oct-17,88.25,89.92,85.53,88.30,403058
17-Oct-17,92.60,93.70,87.15,87.66,478019
16-Oct-17,94.50,96.55,91.05,93.72,322359
13-Oct-17,96.91,98.46,93.55,94.36,301867
12-Oct-17,107.44,107.44,95.00,96.07,740253
11-Oct-17,113.66,114.08,105.26,108.05,394679
10-Oct-17,113.54,118.95,113.04,114.73,613739
9-Oct-17,105.00,114.72,105.00,113.29,354206
6-Oct-17,109.00,109.06,103.47,103.84,200638
5-Oct-17,111.00,112.00,108.62,109.05,164337
4-Oct-17,105.00,111.99,104.91,110.58,268583
3-Oct-17,102.39,105.64,100.18,105.03,119544
2-Oct-17,104.27,107.00,99.79,102.39,239242
29-Sep-17,96.30,103.80,96.30,103.46,296147
28-Sep-17,101.31,102.00,91.59,97.43,353250
27-Sep-17,87.95,100.99,87.66,100.04,650626
26-Sep-17,84.68,88.20,84.58,87.51,146091
25-Sep-17,85.65,85.65,81.77,85.26,206551
22-Sep-17,84.98,85.97,83.61,85.14,230623
21-Sep-17,86.01,86.80,84.00,84.89,137059
20-Sep-17,84.16,87.77,82.32,86.25,312954
19-Sep-17,83.32,85.82,82.01,85.14,136805
18-Sep-17,80.90,85.55,80.77,82.77,214852
15-Sep-17,76.69,84.73,76.69,80.90,658599
14-Sep-17,75.00,76.89,73.61,75.99,131201
13-Sep-17,70.36,75.74,70.21,75.61,173350
12-Sep-17,69.33,71.00,69.00,70.62,129094
11-Sep-17,72.60,74.05,69.61,70.10,182077
8-Sep-17,74.53,74.53,72.26,72.60,136093
7-Sep-17,76.23,77.94,74.54,74.81,150772
6-Sep-17,74.04,78.51,73.27,76.66,147438
5-Sep-17,75.51,76.84,72.60,73.90,211029
1-Sep-17,69.45,76.14,69.28,75.18,322738
31-Aug-17,69.48,69.84,66.88,68.92,404051
30-Aug-17,69.38,70.45,68.69,68.86,172609
29-Aug-17,67.02,70.48,66.84,69.48,239189
28-Aug-17,69.24,70.71,68.02,68.67,169380
25-Aug-17,70.58,70.58,67.53,68.81,83940
24-Aug-17,69.41,70.28,69.07,69.93,152792
23-Aug-17,69.41,71.34,68.50,68.76,96135
22-Aug-17,66.75,70.17,65.67,70.03,229055
21-Aug-17,66.00,68.66,66.00,66.86,154482
18-Aug-17,68.35,68.35,65.58,66.19,250107
17-Aug-17,69.97,71.92,68.84,69.21,100287
16-Aug-17,70.42,71.35,69.43,70.02,304990
15-Aug-17,71.55,72.69,68.80,69.97,559311
14-Aug-17,72.01,72.01,70.50,71.35,414317
11-Aug-17,74.37,74.37,71.00,71.02,770293
10-Aug-17,74.27,76.00,71.66,72.64,512417
9-Aug-17,78.18,79.80,77.02,77.30,100165
8-Aug-17,77.79,79.89,77.00,78.40,144582
7-Aug-17,73.33,78.78,73.11,77.36,295695
4-Aug-17,71.63,73.99,70.00,72.31,66969
3-Aug-17,70.89,72.30,69.79,71.61,112128
2-Aug-17,72.52,72.94,68.61,70.86,174190
1-Aug-17,71.14,72.84,70.01,72.53,275526
31-Jul-17,72.57,73.95,70.42,70.49,129921
28-Jul-17,70.60,73.50,69.50,72.54,256428
27-Jul-17,71.37,73.48,70.84,71.00,214030
26-Jul-17,69.74,71.94,69.70,71.23,218089
25-Jul-17,73.82,75.01,68.52,69.60,380838
24-Jul-17,77.49,77.49,71.30,73.50,690797
21-Jul-17,78.01,79.00,76.93,77.29,309380
20-Jul-17,77.20,79.25,77.06,77.60,225890
19-Jul-17,76.52,77.92,75.95,77.01,195233
18-Jul-17,75.57,77.51,75.50,76.57,267084
17-Jul-17,73.96,75.99,73.55,75.60,271806
14-Jul-17,72.09,74.10,71.81,73.69,131390
13-Jul-17,73.00,73.00,71.00,72.36,213996
12-Jul-17,74.37,74.37,70.88,72.86,307930
11-Jul-17,70.53,76.12,70.40,73.89,529619
10-Jul-17,70.36,72.83,69.38,70.85,487348
7-Jul-17,66.70,70.45,66.18,70.18,712105
6-Jul-17,61.06,68.67,60.00,66.28,2474639
5-Jul-17,54.00,54.59,50.63,52.27,388811
3-Jul-17,45.21,54.47,45.21,54.36,211606
30-Jun-17,45.24,45.54,44.74,45.00,60890
29-Jun-17,45.51,45.94,44.56,44.87,230350
28-Jun-17,45.53,45.87,44.45,45.51,113135
27-Jun-17,45.44,45.65,44.74,45.31,75056
26-Jun-17,45.01,45.57,44.23,45.55,81286
23-Jun-17,44.27,46.00,43.08,44.85,209578
22-Jun-17,45.00,45.00,43.20,44.39,179903
21-Jun-17,43.00,45.00,42.99,44.88,167356
20-Jun-17,43.50,43.75,42.95,43.01,90536
19-Jun-17,41.76,44.05,41.74,43.35,111453
16-Jun-17,39.69,41.72,38.14,41.56,133777
15-Jun-17,39.65,39.98,38.80,39.50,52874
14-Jun-17,39.72,40.00,39.25,39.68,31465
13-Jun-17,39.23,40.69,38.67,39.53,30579
12-Jun-17,39.02,39.80,38.62,39.00,40966
9-Jun-17,38.79,40.16,38.52,38.91,83221
8-Jun-17,39.41,39.76,38.25,38.68,73303
7-Jun-17,38.90,39.99,38.66,39.39,103676
6-Jun-17,40.30,41.04,38.92,39.22,29279
5-Jun-17,41.13,42.28,40.19,40.43,58967
2-Jun-17,38.37,41.20,38.01,41.01,89110
1-Jun-17,36.78,38.36,36.75,38.20,26757
31-May-17,37.49,37.64,36.51,36.75,51318
30-May-17,37.33,38.34,36.84,37.43,140808
26-May-17,37.56,37.84,36.83,37.42,118879
25-May-17,38.31,38.35,37.31,37.46,39048
24-May-17,36.84,38.43,36.81,38.40,74972
23-May-17,37.62,37.75,36.72,36.82,30084
22-May-17,36.91,37.93,36.91,37.55,94025
19-May-17,38.60,39.20,36.80,36.94,140339
18-May-17,38.84,38.84,37.24,38.51,103449
17-May-17,37.53,39.00,37.53,38.74,108623
16-May-17,37.63,38.67,37.30,37.94,44065
15-May-17,36.71,37.81,36.71,37.72,48366
12-May-17,37.04,37.23,36.32,36.49,55245
11-May-17,37.72,37.85,34.36,36.95,166553
10-May-17,37.84,38.41,37.09,37.95,93593
9-May-17,38.64,39.74,36.75,37.44,164154
8-May-17,39.75,39.90,38.28,38.72,59028
5-May-17,40.23,40.23,38.95,39.30,52431
4-May-17,41.00,41.36,39.35,39.75,295673
3-May-17,40.41,41.15,40.26,40.62,48678
2-May-17,40.70,40.80,40.58,40.61,89426
1-May-17,40.84,42.09,38.86,40.64,59704
28-Apr-17,40.77,40.94,40.40,40.88,92522
27-Apr-17,40.00,40.78,38.65,40.59,195955
26-Apr-17,39.23,40.37,39.22,40.11,96124
25-Apr-17,37.81,39.46,37.81,39.18,84431
24-Apr-17,37.24,37.76,36.66,37.61,73987
21-Apr-17,36.88,37.08,36.51,36.71,80276
20-Apr-17,37.09,37.12,36.41,36.98,70638
19-Apr-17,36.93,37.10,36.53,36.83,64151
18-Apr-17,38.13,38.25,36.60,36.86,29617
17-Apr-17,38.11,38.64,37.84,38.30,38486
13-Apr-17,37.90,38.54,37.65,37.90,87772
12-Apr-17,38.40,38.41,37.64,38.07,29383
11-Apr-17,37.76,38.45,37.10,38.33,59260
10-Apr-17,37.10,38.44,37.10,37.81,40343
7-Apr-17,36.72,37.53,36.10,37.22,98476
6-Apr-17,36.68,37.75,36.32,37.03,185119
5-Apr-17,37.03,37.83,35.92,36.48,229392
4-Apr-17,36.51,37.55,36.51,37.22,69487
3-Apr-17,36.87,37.48,36.58,36.61,64092
31-Mar-17,36.58,37.17,36.40,36.61,99911
30-Mar-17,36.69,36.99,36.26,36.59,154033
29-Mar-17,36.30,37.46,36.30,36.80,80193
28-Mar-17,36.42,36.90,35.67,36.21,161450
27-Mar-17,35.91,36.61,35.30,36.32,129123
24-Mar-17,37.34,37.63,36.11,36.30,199536
23-Mar-17,37.75,37.98,36.76,36.82,127643
22-Mar-17,38.06,38.25,37.52,38.00,94160
21-Mar-17,39.74,40.18,37.70,37.89,114332
20-Mar-17,39.66,40.20,38.85,39.56,95629
17-Mar-17,38.79,40.19,38.79,39.55,92975
16-Mar-17,39.26,39.83,38.26,39.07,102421
15-Mar-17,39.48,39.98,39.41,39.79,114573
14-Mar-17,39.61,39.81,39.00,39.23,38748
13-Mar-17,39.99,40.11,39.36,39.65,60309
10-Mar-17,40.00,40.08,39.68,39.99,44342
9-Mar-17,39.88,40.18,39.37,39.64,109543
8-Mar-17,39.52,40.11,38.70,39.88,52333
7-Mar-17,39.82,40.14,39.13,39.55,52116
6-Mar-17,40.59,41.08,39.16,39.82,159882
3-Mar-17,40.15,41.27,39.92,40.77,285515
2-Mar-17,40.05,41.89,39.79,40.10,257744
1-Mar-17,39.41,40.70,39.41,40.42,143358
28-Feb-17,38.13,40.94,38.13,38.97,101172
27-Feb-17,38.50,38.50,37.76,38.06,57583
24-Feb-17,37.79,38.87,37.42,38.57,90055
23-Feb-17,39.79,39.79,37.70,37.91,69537
22-Feb-17,39.46,40.13,39.14,39.75,55686
21-Feb-17,40.87,40.87,39.14,39.70,107767
17-Feb-17,40.88,41.00,40.17,40.75,52093
16-Feb-17,40.00,40.98,39.51,40.78,229614
15-Feb-17,37.84,41.00,37.39,40.43,263589
14-Feb-17,36.14,37.81,36.07,37.63,275422
13-Feb-17,36.00,36.26,35.66,36.06,60832
10-Feb-17,35.52,36.29,35.32,36.00,78653
9-Feb-17,36.36,36.48,35.34,35.35,58307
8-Feb-17,35.02,36.34,34.52,36.11,141673
7-Feb-17,36.17,36.17,34.28,34.73,71693
6-Feb-17,36.00,36.04,35.50,35.92,67219
3-Feb-17,36.34,36.39,35.48,35.88,53983
2-Feb-17,36.45,36.45,35.50,36.03,43246
1-Feb-17,35.29,36.00,34.82,36.00,26142
31-Jan-17,33.77,35.13,33.64,34.84,20132
30-Jan-17,35.28,35.94,33.51,34.11,108403
27-Jan-17,36.00,36.66,35.82,36.35,68241
26-Jan-17,35.32,36.44,34.72,35.82,127126
25-Jan-17,32.86,36.00,32.86,35.72,137503
24-Jan-17,32.34,33.34,32.34,33.00,74560
23-Jan-17,32.35,32.60,31.90,32.39,22914
20-Jan-17,32.50,32.78,31.74,32.01,34380
19-Jan-17,32.60,32.93,31.79,32.46,26706
18-Jan-17,33.00,33.00,32.24,32.80,72679
17-Jan-17,32.49,32.98,31.70,32.89,47904
13-Jan-17,31.90,32.95,31.90,32.69,42889
12-Jan-17,31.17,32.20,31.00,31.85,76522
11-Jan-17,31.38,31.66,30.67,31.30,48980
10-Jan-17,31.53,31.78,31.07,31.49,38605
9-Jan-17,30.93,31.85,30.37,31.53,62613
6-Jan-17,31.19,31.24,30.37,30.81,33425
5-Jan-17,31.75,31.96,30.02,31.02,112460
4-Jan-17,30.59,32.18,30.59,31.77,88680
3-Jan-17,30.63,31.07,29.58,31.05,72353
30-Dec-16,29.32,30.91,29.06,30.36,92658
29-Dec-16,29.42,30.02,29.10,29.17,53646
28-Dec-16,29.44,30.12,29.38,29.72,31297
27-Dec-16,30.11,30.93,29.34,29.59,56755
23-Dec-16,29.00,30.17,29.00,30.01,79979
22-Dec-16,28.65,29.24,28.39,28.92,107337
21-Dec-16,28.05,28.98,27.89,28.64,195339
20-Dec-16,29.27,29.64,27.91,28.12,143173
19-Dec-16,29.74,29.86,29.05,29.23,121104
16-Dec-16,29.87,30.30,29.25,29.61,594556
15-Dec-16,28.66,29.90,28.32,29.77,145707
14-Dec-16,29.63,29.97,28.20,28.95,181788
13-Dec-16,28.57,29.67,28.35,29.34,191163
12-Dec-16,27.46,28.66,27.29,28.61,181660
9-Dec-16,27.02,27.57,26.71,27.20,196030
8-Dec-16,27.92,27.92,26.43,26.95,190270
7-Dec-16,27.97,28.26,26.71,27.93,306589
6-Dec-16,28.50,30.23,27.60,27.97,263325
5-Dec-16,31.21,31.44,28.21,28.31,157418
2-Dec-16,30.57,31.43,30.50,30.86,103668
1-Dec-16,31.60,31.94,30.48,30.80,97588
30-Nov-16,31.79,31.97,31.00,31.70,123833
29-Nov-16,31.07,31.89,31.07,31.59,112432
28-Nov-16,32.27,32.85,30.64,30.88,113072
25-Nov-16,31.89,32.79,31.59,32.41,51512
23-Nov-16,31.55,32.24,31.31,32.00,118678
22-Nov-16,32.24,33.28,31.30,31.47,132904
21-Nov-16,31.68,32.10,31.10,31.51,220184
18-Nov-16,33.95,33.95,31.65,32.00,1515581
17-Nov-16,32.40,33.86,31.20,32.70,397007
16-Nov-16,36.13,37.89,36.13,36.90,49084
15-Nov-16,34.16,37.85,34.16,36.31,87620
14-Nov-16,32.31,35.55,32.31,35.05,60375
11-Nov-16,35.45,35.74,31.88,32.20,180702
10-Nov-16,33.95,36.76,32.29,35.92,129067
9-Nov-16,32.78,33.95,32.71,33.80,60585
8-Nov-16,31.54,33.35,31.05,32.60,61805
7-Nov-16,31.00,32.40,31.00,31.94,42759
4-Nov-16,31.35,31.95,31.00,31.60,72218
3-Nov-16,33.00,33.50,31.01,31.28,136629
2-Nov-16,33.42,33.49,32.52,33.06,140241
1-Nov-16,33.47,33.75,33.09,33.43,32026
31-Oct-16,33.46,33.50,32.26,33.24,61050
28-Oct-16,32.62,33.72,32.30,33.47,195059
27-Oct-16,33.19,33.32,32.30,32.81,153100
26-Oct-16,32.83,33.43,32.69,32.91,73114
25-Oct-16,33.23,33.50,33.06,33.27,47967
24-Oct-16,32.86,33.47,32.83,33.14,31421
21-Oct-16,32.68,33.13,32.48,33.13,30756
20-Oct-16,32.67,33.04,32.58,32.98,16754
19-Oct-16,32.91,32.99,32.08,32.83,28936
18-Oct-16,32.55,33.48,32.36,32.89,63551
17-Oct-16,31.43,32.61,31.43,32.53,69724
14-Oct-16,32.22,32.24,31.41,31.52,160709
13-Oct-16,31.26,32.20,30.94,31.96,167322
12-Oct-16,32.10,32.34,31.26,31.40,139132
11-Oct-16,31.90,32.57,31.67,32.18,61026
10-Oct-16,31.98,33.10,31.16,32.11,175518
7-Oct-16,32.00,32.27,31.46,31.84,120623
6-Oct-16,31.64,32.05,31.33,31.79,331408
5-Oct-16,30.98,32.19,30.53,31.68,198480
4-Oct-16,31.46,31.48,30.30,30.71,34080
3-Oct-16,30.88,31.48,30.00,31.00,26060
30-Sep-16,29.76,31.09,29.76,30.81,17863
29-Sep-16,30.25,31.20,29.30,29.72,42857
28-Sep-16,29.73,31.59,29.52,30.23,316736
