Date,Open,High,Low,Close,Volume
20-Oct-17,59.69,60.25,59.19,60.22,1073809
19-Oct-17,59.73,59.80,58.34,59.73,813674
18-Oct-17,60.06,60.74,59.65,59.96,740178
17-Oct-17,58.96,60.18,58.41,60.07,764494
16-Oct-17,58.59,60.00,58.38,59.16,661598
13-Oct-17,59.14,59.14,58.06,58.66,856105
12-Oct-17,59.00,59.44,58.82,59.17,723052
11-Oct-17,59.95,59.95,58.75,59.04,1046630
10-Oct-17,58.92,60.17,58.76,59.88,1047396
9-Oct-17,58.72,59.12,58.46,58.86,651343
6-Oct-17,57.38,59.29,57.12,58.93,859793
5-Oct-17,57.58,57.85,57.15,57.41,837826
4-Oct-17,57.74,57.88,57.25,57.58,646484
3-Oct-17,58.00,58.34,57.02,57.73,1003928
2-Oct-17,57.13,59.05,57.02,58.09,1597546
29-Sep-17,56.76,57.28,56.44,57.07,992543
28-Sep-17,57.30,57.36,56.68,56.75,1064693
27-Sep-17,56.83,57.43,56.63,57.25,1127824
26-Sep-17,56.48,56.82,56.01,56.58,1049377
25-Sep-17,56.67,56.87,56.33,56.66,1485744
22-Sep-17,55.74,56.80,55.44,56.61,854622
21-Sep-17,56.75,56.79,55.96,56.01,739655
20-Sep-17,56.75,57.38,56.35,56.79,1670701
19-Sep-17,55.99,56.75,55.60,56.39,1464566
18-Sep-17,55.29,56.27,55.13,56.11,743285
15-Sep-17,56.10,56.41,54.84,55.18,1537212
14-Sep-17,56.52,56.85,56.26,56.44,722762
13-Sep-17,56.84,57.20,56.37,56.46,762673
12-Sep-17,56.49,57.40,56.28,57.14,908471
11-Sep-17,57.71,57.82,56.14,56.62,815399
8-Sep-17,56.47,57.67,56.02,57.08,1230723
7-Sep-17,57.00,57.20,56.31,56.74,1106282
6-Sep-17,55.75,56.87,55.54,56.42,958446
5-Sep-17,56.24,56.66,55.40,55.61,746186
1-Sep-17,56.75,56.85,55.55,55.96,1037426
31-Aug-17,56.09,56.78,55.15,56.69,961551
30-Aug-17,56.70,56.77,55.72,56.01,698783
29-Aug-17,55.80,57.00,55.80,56.56,738225
28-Aug-17,55.96,56.98,55.22,56.49,874040
25-Aug-17,55.69,55.91,54.58,55.61,1179834
24-Aug-17,55.55,55.74,54.97,55.60,762478
23-Aug-17,56.13,56.47,55.03,55.22,1022830
22-Aug-17,54.78,56.58,54.65,56.34,886140
21-Aug-17,54.96,55.32,54.12,54.78,756563
18-Aug-17,55.17,55.69,54.51,55.05,717576
17-Aug-17,56.76,57.00,55.00,55.01,834685
16-Aug-17,57.43,57.97,57.05,57.18,895858
15-Aug-17,56.51,58.50,56.51,57.21,757076
14-Aug-17,56.51,58.50,56.51,57.90,837844
11-Aug-17,56.52,58.58,55.71,58.08,1218682
10-Aug-17,58.93,59.01,56.46,56.51,1197035
9-Aug-17,59.56,59.96,58.74,59.07,629256
8-Aug-17,61.20,61.38,59.26,59.39,1050069
7-Aug-17,59.70,61.74,59.09,60.68,1715879
4-Aug-17,61.22,61.41,56.76,58.75,1912905
3-Aug-17,62.50,63.11,60.50,61.21,2289140
2-Aug-17,61.33,61.84,60.77,61.23,1218939
1-Aug-17,62.45,62.50,60.68,60.89,1034153
31-Jul-17,62.83,63.02,61.72,61.97,971839
28-Jul-17,61.04,62.84,60.01,62.53,1024639
27-Jul-17,63.56,63.56,61.37,61.98,884370
26-Jul-17,63.71,63.71,62.39,63.45,1052842
25-Jul-17,64.00,64.41,63.21,63.72,2078944
24-Jul-17,63.33,63.99,62.82,63.62,1265317
21-Jul-17,62.35,63.48,62.00,63.22,2416190
20-Jul-17,61.51,63.00,60.21,62.78,3347306
19-Jul-17,60.35,61.44,60.03,61.03,2524161
18-Jul-17,60.91,61.39,59.87,60.51,1278704
17-Jul-17,60.50,60.95,60.25,60.90,1201508
14-Jul-17,60.84,61.25,60.38,60.61,1017389
13-Jul-17,62.03,62.03,60.37,60.78,4150872
12-Jul-17,62.24,62.70,61.66,61.95,883526
11-Jul-17,61.64,62.19,60.66,61.77,1163118
10-Jul-17,61.25,62.24,61.05,62.13,1573066
7-Jul-17,60.86,61.44,59.16,60.31,1118144
6-Jul-17,61.56,61.86,60.68,61.22,561356
5-Jul-17,62.14,62.47,61.30,61.93,1185063
3-Jul-17,60.12,62.30,59.40,62.14,856674
30-Jun-17,60.27,60.48,59.09,60.17,1011851
29-Jun-17,59.57,60.58,58.17,60.29,1617988
28-Jun-17,60.47,61.16,59.45,59.82,1273341
27-Jun-17,60.43,61.99,59.28,60.29,1195826
26-Jun-17,63.15,63.17,59.50,60.80,1118881
23-Jun-17,60.51,63.23,60.34,62.57,3828262
22-Jun-17,61.15,61.50,60.49,60.97,1168375
21-Jun-17,61.50,61.77,59.81,61.06,1396990
20-Jun-17,60.68,61.71,60.17,61.13,1784357
19-Jun-17,58.55,62.00,58.55,60.53,2219758
16-Jun-17,56.55,58.66,55.84,58.23,2294780
15-Jun-17,56.67,57.52,55.10,56.54,1155601
14-Jun-17,58.09,58.09,56.68,57.42,686274
13-Jun-17,55.23,58.71,55.23,58.25,1272634
12-Jun-17,56.82,57.31,55.04,55.24,1053178
9-Jun-17,57.31,58.36,56.70,56.98,837032
8-Jun-17,57.25,57.83,56.49,57.36,790488
7-Jun-17,57.92,58.88,57.28,57.40,1191321
6-Jun-17,57.25,58.16,57.01,57.83,896353
5-Jun-17,57.90,57.90,56.75,57.46,1078089
2-Jun-17,56.40,58.41,56.21,58.12,1105047
1-Jun-17,54.96,57.19,54.79,56.16,1247014
31-May-17,55.94,56.72,54.10,55.09,1529245
30-May-17,56.94,57.55,55.30,55.82,1717003
26-May-17,55.09,57.93,54.99,56.73,1850844
25-May-17,54.61,55.39,54.52,54.99,889893
24-May-17,53.35,54.90,52.82,54.30,1155404
23-May-17,54.13,55.90,51.89,52.50,1658119
22-May-17,55.04,55.04,53.62,54.69,773665
19-May-17,53.85,55.66,53.41,54.86,1830398
18-May-17,51.70,53.90,51.06,53.81,1295294
17-May-17,54.32,54.93,51.80,51.90,1921693
16-May-17,56.00,56.37,54.39,55.22,1516472
15-May-17,55.21,56.07,55.08,55.82,1179104
12-May-17,54.85,55.65,54.42,55.08,792089
11-May-17,56.23,56.39,54.25,55.04,1205273
10-May-17,55.79,56.76,55.21,56.53,832590
9-May-17,55.49,56.01,55.13,55.95,823798
8-May-17,56.00,56.17,54.80,55.54,709848
5-May-17,55.46,56.26,55.27,56.22,1054012
4-May-17,56.19,57.00,53.61,55.23,2724874
3-May-17,57.14,57.57,55.80,55.98,1413617
2-May-17,58.94,59.42,57.03,57.48,730393
1-May-17,59.00,59.50,58.19,59.04,1020008
28-Apr-17,57.88,58.99,57.51,58.81,716118
27-Apr-17,57.87,58.44,57.31,58.09,625652
26-Apr-17,57.59,58.22,57.24,57.94,503947
25-Apr-17,58.27,58.60,57.00,57.78,1046037
24-Apr-17,57.18,58.75,55.31,58.19,1113264
21-Apr-17,57.55,58.29,57.06,57.18,693244
20-Apr-17,56.23,57.99,56.16,57.62,1496205
19-Apr-17,56.06,56.27,55.43,55.99,721968
18-Apr-17,56.12,56.59,55.98,56.05,678650
17-Apr-17,56.80,57.02,55.54,56.28,1287557
13-Apr-17,56.49,57.15,55.77,56.83,1115827
12-Apr-17,56.95,57.56,55.58,56.71,1168818
11-Apr-17,56.09,57.26,55.10,56.90,1195448
10-Apr-17,56.95,58.00,56.29,56.34,1007145
7-Apr-17,55.21,56.98,54.87,56.88,1348361
6-Apr-17,54.27,55.83,53.65,55.39,1109865
5-Apr-17,54.95,55.40,53.17,53.69,981244
4-Apr-17,53.48,55.56,53.39,54.75,1426820
3-Apr-17,54.77,55.90,53.45,53.68,2131289
31-Mar-17,51.81,55.16,51.64,54.46,1970704
30-Mar-17,53.50,53.94,51.82,52.74,1276751
29-Mar-17,51.85,53.40,51.61,53.22,1226313
28-Mar-17,50.95,52.47,50.95,52.14,1114858
27-Mar-17,49.76,51.32,49.32,50.92,1237895
24-Mar-17,50.33,50.68,49.87,50.30,670445
23-Mar-17,51.37,51.67,50.41,50.47,1061053
22-Mar-17,48.93,51.47,48.71,51.30,1597877
21-Mar-17,49.16,50.11,48.14,48.97,1482093
20-Mar-17,49.00,49.54,48.32,49.17,1390807
17-Mar-17,50.57,50.57,48.83,49.37,5517523
16-Mar-17,50.66,51.31,50.20,50.71,3577982
15-Mar-17,51.58,52.41,51.01,51.45,1245048
14-Mar-17,51.76,51.98,50.95,51.43,876300
13-Mar-17,52.22,52.89,51.00,52.12,1737750
10-Mar-17,53.58,53.60,52.16,52.99,1573946
9-Mar-17,52.68,53.99,52.05,53.57,971354
8-Mar-17,50.90,53.71,50.30,52.86,1323973
7-Mar-17,51.05,52.36,50.96,51.12,1524936
6-Mar-17,51.99,52.78,51.67,52.41,908873
3-Mar-17,52.86,53.45,51.76,52.51,1827407
2-Mar-17,54.00,54.20,52.00,52.81,1846078
1-Mar-17,52.34,53.60,51.21,53.41,1830232
28-Feb-17,51.44,52.91,50.29,52.08,2537471
27-Feb-17,50.79,51.09,49.09,50.59,2239559
24-Feb-17,50.92,51.41,48.65,50.96,2001163
23-Feb-17,48.36,50.64,48.25,49.56,3543769
22-Feb-17,48.06,48.44,47.43,47.76,1661546
21-Feb-17,47.37,50.00,46.75,48.20,3299777
17-Feb-17,45.38,47.80,45.28,47.45,5489344
16-Feb-17,44.19,44.39,43.52,44.10,3372937
15-Feb-17,44.90,44.96,43.64,44.10,2610259
14-Feb-17,44.37,45.72,44.15,44.51,3441842
13-Feb-17,43.45,44.70,43.19,44.37,4125668
10-Feb-17,42.00,44.40,41.92,43.42,8165197
9-Feb-17,42.45,43.03,41.88,42.40,7457127
8-Feb-17,43.80,43.95,42.48,42.96,7609304
7-Feb-17,43.20,44.80,43.10,44.44,3284109
6-Feb-17,43.76,43.97,42.40,42.83,6365555
3-Feb-17,44.85,45.86,44.00,44.38,6135115
2-Feb-17,44.79,46.40,42.57,44.98,27633001
1-Feb-17,45.61,46.25,44.30,44.45,3396323
31-Jan-17,43.99,49.00,43.99,45.00,273945
30-Jan-17,44.92,45.95,43.60,43.99,326687
27-Jan-17,44.33,48.64,43.97,44.68,312048
26-Jan-17,42.72,45.84,42.45,43.73,471309
25-Jan-17,42.57,44.49,41.52,42.15,542098
24-Jan-17,42.30,43.00,41.19,41.82,2429954
23-Jan-17,43.00,43.38,40.99,42.20,1443841
20-Jan-17,43.17,44.25,42.34,42.83,1200199
19-Jan-17,45.22,45.22,43.16,43.32,372443
18-Jan-17,44.42,44.82,43.35,44.38,1403360
17-Jan-17,46.00,46.00,43.61,44.57,676700
13-Jan-17,45.51,47.33,45.00,45.77,169534
12-Jan-17,40.00,47.50,40.00,47.50,318965
