Date,Open,High,Low,Close,Volume
20-Oct-17,140.40,145.20,138.60,142.55,882282
19-Oct-17,137.65,140.00,136.30,139.45,511552
18-Oct-17,141.20,141.80,136.75,139.10,497823
17-Oct-17,144.00,145.40,138.75,140.20,669683
16-Oct-17,134.10,143.40,132.45,143.30,1137588
13-Oct-17,131.20,133.30,130.20,131.70,462989
12-Oct-17,126.15,131.82,125.60,130.20,860548
11-Oct-17,129.50,131.55,125.30,125.45,1046962
10-Oct-17,131.80,132.10,127.50,131.65,617764
9-Oct-17,130.00,132.15,127.50,131.50,595778
6-Oct-17,128.00,128.75,125.72,127.75,516705
5-Oct-17,129.00,129.69,124.48,126.00,693809
4-Oct-17,128.20,131.70,125.20,129.40,664729
3-Oct-17,124.05,129.90,120.50,127.55,1112660
2-Oct-17,132.00,132.20,119.90,125.45,2070886
29-Sep-17,143.10,143.50,133.35,137.35,1215502
28-Sep-17,128.65,142.40,128.65,141.15,1530054
27-Sep-17,127.90,130.70,126.45,128.60,600959
26-Sep-17,130.50,131.50,125.76,126.65,596696
25-Sep-17,128.25,132.60,127.48,130.50,602905
22-Sep-17,127.55,130.50,127.00,128.75,480889
21-Sep-17,130.60,131.15,127.50,127.85,570494
20-Sep-17,130.30,133.00,127.90,130.80,750688
19-Sep-17,131.65,132.60,128.50,130.30,554340
18-Sep-17,131.50,133.46,130.40,133.05,859626
15-Sep-17,132.10,132.30,128.00,131.60,1127989
14-Sep-17,126.45,136.85,126.20,131.85,1461591
13-Sep-17,127.90,130.15,125.80,126.30,711926
12-Sep-17,126.85,129.55,124.75,127.90,754739
11-Sep-17,125.55,128.30,124.80,126.90,729138
8-Sep-17,128.20,128.21,124.15,124.80,656132
7-Sep-17,127.90,129.90,124.80,129.20,895517
6-Sep-17,126.50,129.95,123.35,126.50,1130685
5-Sep-17,127.85,129.90,120.20,125.45,2057509
1-Sep-17,126.60,133.10,125.60,130.85,2423031
31-Aug-17,114.65,125.60,114.55,124.85,2785456
30-Aug-17,102.80,115.70,102.80,112.50,1885196
29-Aug-17,104.65,105.70,102.30,102.40,1079707
28-Aug-17,107.00,109.30,104.60,106.30,1406238
25-Aug-17,98.85,99.20,96.90,97.85,403020
24-Aug-17,96.35,98.95,94.30,98.60,378099
23-Aug-17,94.25,97.90,93.50,95.85,335679
22-Aug-17,93.20,96.15,92.85,95.45,364208
21-Aug-17,92.60,93.50,91.15,92.65,470884
18-Aug-17,92.80,94.10,90.75,92.45,497130
17-Aug-17,96.20,97.40,93.05,93.25,453134
16-Aug-17,97.30,97.80,95.65,97.10,337179
15-Aug-17,96.60,98.55,95.70,97.05,313313
14-Aug-17,95.00,97.70,95.00,96.60,427482
11-Aug-17,90.70,94.15,90.45,93.95,553360
10-Aug-17,95.80,96.95,89.90,90.05,670247
9-Aug-17,96.35,98.80,94.25,97.00,473327
8-Aug-17,98.65,99.18,96.30,97.35,445723
7-Aug-17,95.20,99.05,94.40,98.65,670548
4-Aug-17,93.85,96.55,92.90,95.05,599783
3-Aug-17,90.20,93.45,85.65,93.40,943427
2-Aug-17,89.00,92.00,87.40,90.85,711399
1-Aug-17,95.00,95.00,87.93,89.15,954766
31-Jul-17,96.80,97.40,93.85,94.25,423877
28-Jul-17,95.45,97.70,94.80,96.70,482188
27-Jul-17,100.65,100.80,95.25,95.85,736766
26-Jul-17,99.75,101.20,98.50,99.50,451487
25-Jul-17,100.75,102.90,98.35,98.80,871985
24-Jul-17,96.15,100.45,95.50,99.85,843241
