Date,Open,High,Low,Close,Volume
20-Oct-17,87.77,88.74,86.77,87.75,1329715
19-Oct-17,89.19,89.95,87.59,88.13,2020337
18-Oct-17,93.40,94.76,86.90,88.62,3827612
17-Oct-17,95.10,95.90,93.44,93.54,1099683
16-Oct-17,95.13,96.05,94.56,94.66,747848
13-Oct-17,95.23,95.86,93.74,95.12,657150
12-Oct-17,94.96,95.89,94.06,95.13,1286640
11-Oct-17,93.89,95.15,93.58,94.93,1407795
10-Oct-17,95.36,96.05,94.11,94.33,1007628
9-Oct-17,94.76,95.86,94.38,95.02,719316
6-Oct-17,94.36,95.71,93.68,94.81,681301
5-Oct-17,93.30,94.94,92.52,94.42,1189000
4-Oct-17,93.03,93.47,92.48,93.20,629547
3-Oct-17,93.91,94.39,92.78,93.21,929442
2-Oct-17,93.52,94.62,92.94,93.73,1577523
29-Sep-17,92.98,93.66,92.62,93.07,874743
28-Sep-17,92.06,93.04,91.91,92.97,1166021
27-Sep-17,93.35,93.95,92.59,92.71,843970
26-Sep-17,94.26,94.67,92.81,93.20,800698
25-Sep-17,94.73,95.45,92.65,94.39,1696281
22-Sep-17,93.18,95.02,92.66,94.95,1210939
21-Sep-17,92.36,95.32,92.07,93.42,2426153
20-Sep-17,92.13,93.21,91.40,92.57,1154073
19-Sep-17,92.06,93.00,91.69,92.10,887613
18-Sep-17,91.83,92.98,91.53,91.98,1231539
15-Sep-17,91.26,92.60,89.98,91.91,1764123
14-Sep-17,92.59,93.32,91.12,91.23,1552773
13-Sep-17,91.84,93.32,91.29,92.75,1877249
12-Sep-17,90.60,92.09,90.05,91.91,1220916
11-Sep-17,90.33,90.90,89.57,90.36,838103
8-Sep-17,90.10,90.90,89.37,90.10,1227307
7-Sep-17,89.70,90.69,89.35,90.43,1545618
6-Sep-17,90.32,91.40,88.82,89.84,2298493
5-Sep-17,90.30,91.20,89.70,90.49,1684341
1-Sep-17,90.02,91.20,89.67,90.67,1639915
31-Aug-17,88.27,90.22,88.07,90.19,2077673
30-Aug-17,83.76,88.95,83.62,87.65,2607963
29-Aug-17,81.97,83.50,81.67,82.98,723760
28-Aug-17,82.62,83.23,81.91,82.58,852004
25-Aug-17,82.67,82.83,81.74,81.88,1128089
24-Aug-17,81.54,82.56,80.83,82.45,779122
23-Aug-17,81.08,81.90,80.29,81.40,846164
22-Aug-17,80.90,81.75,80.52,81.46,799590
21-Aug-17,80.99,81.41,80.37,80.60,568273
18-Aug-17,80.81,81.62,80.76,80.92,1117228
17-Aug-17,83.18,83.18,80.81,80.98,1384758
16-Aug-17,83.58,83.96,82.79,83.07,1300524
15-Aug-17,83.43,83.83,82.58,83.08,998533
14-Aug-17,83.18,83.39,82.62,83.17,957224
11-Aug-17,81.76,83.43,80.89,82.40,1226111
10-Aug-17,84.66,84.97,81.83,81.96,1637420
9-Aug-17,85.03,85.91,83.78,85.16,2041741
8-Aug-17,86.41,86.75,84.64,85.46,3841671
7-Aug-17,89.82,90.05,89.05,89.05,931832
4-Aug-17,89.82,89.99,88.60,89.70,897663
3-Aug-17,88.00,90.75,86.86,89.52,1709491
2-Aug-17,87.00,87.79,85.90,87.64,1689865
1-Aug-17,88.11,88.43,86.60,88.02,1518257
31-Jul-17,88.30,88.72,87.37,87.73,745663
28-Jul-17,87.43,88.60,87.02,88.34,731583
27-Jul-17,89.14,89.77,86.75,87.32,1653994
26-Jul-17,88.83,89.81,88.23,89.20,1031607
25-Jul-17,90.50,90.50,88.33,88.63,1004926
24-Jul-17,89.12,90.18,88.70,90.01,830785
21-Jul-17,87.79,89.54,87.52,89.28,1137963
20-Jul-17,87.51,88.19,86.85,87.74,1350871
19-Jul-17,87.63,88.60,86.45,87.23,1203701
18-Jul-17,87.03,87.81,86.01,86.67,1856370
17-Jul-17,90.97,91.20,86.84,86.98,2752761
14-Jul-17,91.41,91.45,90.51,91.00,766620
13-Jul-17,90.47,91.72,89.09,91.06,1504524
12-Jul-17,91.46,91.49,88.60,89.57,1404484
11-Jul-17,91.86,91.94,89.21,90.92,1794297
10-Jul-17,90.59,91.48,89.00,89.80,1017252
7-Jul-17,90.40,90.95,89.67,90.51,813631
6-Jul-17,91.32,92.05,89.36,90.08,1261297
5-Jul-17,90.52,92.06,89.72,92.01,1202787
3-Jul-17,91.12,91.88,90.05,90.51,443183
30-Jun-17,90.87,91.05,88.53,90.82,1276985
29-Jun-17,92.27,92.27,88.55,90.02,1367262
28-Jun-17,90.35,92.89,89.09,92.63,1841870
27-Jun-17,93.31,94.17,89.50,89.63,1580858
26-Jun-17,95.10,95.58,93.21,93.47,1040037
23-Jun-17,96.60,97.03,94.50,95.00,2490632
22-Jun-17,99.22,100.03,97.00,97.06,1837184
21-Jun-17,92.72,98.92,92.57,98.82,2684357
20-Jun-17,91.25,93.17,90.70,92.36,1462650
19-Jun-17,89.28,91.58,88.46,91.35,1327737
16-Jun-17,90.00,90.00,88.00,88.49,1833295
15-Jun-17,91.92,92.05,89.78,90.47,1297393
14-Jun-17,90.43,93.58,90.18,91.92,1224823
13-Jun-17,88.86,90.95,88.34,90.39,818784
12-Jun-17,89.92,91.49,88.04,89.08,990063
9-Jun-17,90.02,91.50,89.46,90.23,1202059
8-Jun-17,89.75,90.33,88.97,89.99,707037
7-Jun-17,89.61,90.79,89.20,90.29,745622
6-Jun-17,90.01,91.61,89.38,89.60,742891
5-Jun-17,90.56,91.49,90.21,90.92,633049
