Date,Open,High,Low,Close,Volume
20-Oct-17,64.72,65.26,63.63,64.93,343679
19-Oct-17,66.00,66.00,63.91,64.21,277934
18-Oct-17,64.95,67.86,64.95,66.51,345451
17-Oct-17,64.35,66.03,63.74,64.93,184648
16-Oct-17,63.03,65.58,62.37,64.16,273756
13-Oct-17,64.65,64.65,62.51,62.91,244392
12-Oct-17,65.95,66.49,64.47,64.62,247150
11-Oct-17,67.83,68.94,65.56,66.05,323763
10-Oct-17,66.35,67.73,65.82,67.66,190490
9-Oct-17,66.26,67.13,65.82,66.11,220316
6-Oct-17,66.82,67.26,65.61,66.26,385697
5-Oct-17,68.00,68.00,65.12,67.06,446493
4-Oct-17,70.51,70.51,67.66,67.72,231080
3-Oct-17,69.16,70.24,67.69,70.18,274326
2-Oct-17,69.05,70.75,68.31,69.02,482447
29-Sep-17,69.50,71.67,69.20,69.67,572387
28-Sep-17,66.30,69.03,65.47,68.45,309466
27-Sep-17,63.50,67.41,63.03,66.14,414569
26-Sep-17,62.69,63.58,61.60,63.02,307078
25-Sep-17,62.49,63.44,60.99,62.66,274459
22-Sep-17,61.72,62.90,61.18,62.28,199526
21-Sep-17,61.59,63.14,60.85,62.46,241123
20-Sep-17,64.45,64.65,61.80,61.86,358632
19-Sep-17,62.88,64.98,62.53,63.86,535454
18-Sep-17,58.05,63.67,57.72,62.88,808713
15-Sep-17,56.76,58.67,55.73,57.82,825820
14-Sep-17,52.85,58.44,52.32,56.56,862867
13-Sep-17,48.33,53.59,48.06,52.78,671478
12-Sep-17,48.21,49.04,46.95,48.37,642328
11-Sep-17,52.77,53.10,47.80,48.50,798624
8-Sep-17,53.00,53.50,52.04,52.28,275026
7-Sep-17,54.14,54.46,52.89,53.05,421927
6-Sep-17,56.33,56.93,53.72,53.95,346889
5-Sep-17,55.16,56.04,54.59,55.95,361743
1-Sep-17,54.22,56.36,53.94,55.28,419172
31-Aug-17,52.22,54.25,51.92,54.22,351282
30-Aug-17,52.97,53.62,51.60,51.87,427671
29-Aug-17,51.49,53.50,51.26,52.96,269004
28-Aug-17,50.70,52.35,50.50,52.32,332052
25-Aug-17,52.17,52.83,49.05,50.20,286541
24-Aug-17,50.83,52.34,49.88,51.78,415545
23-Aug-17,47.12,51.50,46.48,50.77,733544
22-Aug-17,43.00,48.23,42.54,47.77,889905
21-Aug-17,42.34,42.53,41.41,42.42,222296
18-Aug-17,42.41,42.87,41.63,42.37,319070
17-Aug-17,45.14,45.34,42.73,42.75,282966
16-Aug-17,45.98,46.01,44.60,45.39,356835
15-Aug-17,45.79,46.56,45.10,45.99,235076
14-Aug-17,46.65,46.65,45.32,45.80,317842
11-Aug-17,47.01,47.92,45.51,46.11,304564
10-Aug-17,47.60,48.59,46.32,46.96,224484
9-Aug-17,48.97,49.89,47.58,47.95,196118
8-Aug-17,49.39,51.17,49.27,49.30,257141
7-Aug-17,48.98,49.59,48.13,49.55,191203
4-Aug-17,48.14,49.00,47.32,48.66,168838
3-Aug-17,48.97,49.20,47.40,47.98,327398
2-Aug-17,53.37,54.20,48.05,49.29,607950
1-Aug-17,52.63,53.83,51.05,53.22,283225
31-Jul-17,53.08,53.49,52.07,52.33,216378
28-Jul-17,52.00,53.54,50.83,53.07,290917
27-Jul-17,56.00,56.49,52.22,52.26,482683
26-Jul-17,55.48,56.22,54.97,55.76,200734
25-Jul-17,56.42,56.42,54.97,55.27,268008
24-Jul-17,54.58,56.04,53.75,55.92,447392
21-Jul-17,55.22,56.81,54.49,54.58,371853
20-Jul-17,53.41,54.85,53.00,54.72,235327
19-Jul-17,53.48,54.61,52.63,53.45,234201
18-Jul-17,52.78,53.70,52.50,53.03,244185
17-Jul-17,52.63,53.27,52.24,52.90,223550
14-Jul-17,52.99,53.65,51.75,52.23,202529
13-Jul-17,53.84,54.01,51.60,52.99,668711
12-Jul-17,54.35,54.35,53.04,53.70,432548
11-Jul-17,53.50,54.78,52.96,53.89,325617
10-Jul-17,53.59,53.93,52.58,52.94,356671
7-Jul-17,55.05,55.05,52.87,53.38,397594
6-Jul-17,55.98,56.03,52.92,53.77,652125
5-Jul-17,50.68,56.21,50.68,55.98,1210019
3-Jul-17,51.00,51.13,49.36,51.06,352773
30-Jun-17,51.01,51.49,49.95,50.67,441968
29-Jun-17,51.44,51.62,50.27,50.79,489596
28-Jun-17,50.03,51.63,48.87,51.32,542182
27-Jun-17,52.21,52.50,48.97,49.24,1009798
26-Jun-17,50.00,52.68,49.41,52.23,606341
23-Jun-17,47.90,50.14,47.56,50.00,2255464
22-Jun-17,46.01,47.85,44.56,47.79,568563
21-Jun-17,42.70,47.33,42.70,46.02,989807
20-Jun-17,40.91,42.58,40.57,42.39,685712
19-Jun-17,40.05,41.35,39.98,40.75,498644
16-Jun-17,38.66,39.93,38.64,39.90,1067375
15-Jun-17,38.43,39.78,37.01,38.98,261427
14-Jun-17,36.95,38.96,36.94,38.83,542081
13-Jun-17,36.01,37.57,35.50,37.03,626833
12-Jun-17,35.56,36.77,34.66,35.98,414032
9-Jun-17,36.75,37.29,35.00,35.41,497884
8-Jun-17,37.57,37.63,36.10,36.70,338721
7-Jun-17,37.60,37.81,36.90,37.63,420688
6-Jun-17,37.36,37.67,36.80,37.60,602775
5-Jun-17,39.75,39.95,35.19,36.95,1030198
