Date,Open,High,Low,Close,Volume
20-Oct-17,29.63,29.83,29.53,29.69,4708025
19-Oct-17,29.52,29.60,29.36,29.57,2590834
18-Oct-17,29.50,29.55,29.30,29.52,5313739
17-Oct-17,29.19,29.43,29.08,29.40,4725951
16-Oct-17,29.42,29.50,29.09,29.16,4441535
13-Oct-17,29.46,29.48,29.33,29.44,3383917
12-Oct-17,29.26,29.43,29.12,29.43,3575741
11-Oct-17,29.29,29.38,29.23,29.30,215263
10-Oct-17,29.33,29.46,29.26,29.34,3214764
9-Oct-17,29.41,29.54,29.27,29.33,4343509
6-Oct-17,29.43,29.54,29.36,29.50,4980172
5-Oct-17,29.27,29.45,29.15,29.43,3702266
4-Oct-17,29.08,29.33,29.06,29.24,3681518
3-Oct-17,29.43,29.50,28.93,29.02,3934154
2-Oct-17,29.21,29.47,29.09,29.47,5908798
29-Sep-17,28.74,29.18,28.64,29.17,4984014
28-Sep-17,28.86,29.00,28.74,28.74,3713019
27-Sep-17,28.72,28.94,28.68,28.86,4115378
26-Sep-17,28.80,28.90,28.65,28.68,3104299
25-Sep-17,28.86,29.04,28.59,28.75,4361872
22-Sep-17,28.71,28.87,28.51,28.85,3131553
21-Sep-17,28.76,28.89,28.51,28.76,5167520
20-Sep-17,28.68,28.85,28.58,28.84,3959948
19-Sep-17,29.04,29.10,28.62,28.69,3247846
18-Sep-17,28.99,29.06,28.81,28.99,5067330
15-Sep-17,29.00,29.03,28.85,28.93,7680402
14-Sep-17,29.00,29.08,28.79,28.97,4785017
13-Sep-17,29.05,29.12,28.88,29.08,5966605
12-Sep-17,28.97,29.12,28.84,29.01,4497906
11-Sep-17,29.05,29.40,28.90,28.95,5695829
8-Sep-17,28.50,29.08,28.44,28.79,5336185
7-Sep-17,28.26,28.79,28.09,28.54,5791431
6-Sep-17,27.63,28.23,27.60,28.22,5904610
5-Sep-17,27.35,27.64,27.31,27.57,4770123
1-Sep-17,27.55,27.63,27.33,27.50,4527823
31-Aug-17,27.18,27.60,27.12,27.55,6984100
30-Aug-17,26.94,27.14,26.94,27.08,2767233
29-Aug-17,26.88,27.08,26.83,27.05,3163075
28-Aug-17,26.80,27.02,26.74,26.97,3326571
25-Aug-17,26.79,26.92,26.71,26.72,3666381
24-Aug-17,26.84,26.90,26.66,26.71,3998300
23-Aug-17,27.06,27.17,26.71,26.84,3838696
22-Aug-17,26.85,27.24,26.70,27.21,4223925
21-Aug-17,26.91,27.00,26.76,26.89,4395652
18-Aug-17,26.62,26.98,26.53,26.89,5850175
17-Aug-17,26.69,26.87,26.60,26.64,5933926
16-Aug-17,26.56,26.68,26.45,26.68,5930127
15-Aug-17,26.66,26.70,26.46,26.47,5490216
14-Aug-17,26.65,26.74,26.55,26.68,3835639
11-Aug-17,26.39,26.50,26.26,26.41,3285998
10-Aug-17,26.49,26.57,26.22,26.26,5854333
9-Aug-17,26.36,26.57,26.31,26.57,3405143
8-Aug-17,26.76,26.76,26.50,26.51,4581358
7-Aug-17,26.80,26.80,26.65,26.76,3415622
