Date,Open,High,Low,Close,Volume
20-Oct-17,66.44,66.96,66.39,66.71,1493839
19-Oct-17,64.60,66.23,64.60,66.15,1937972
18-Oct-17,65.18,65.85,64.49,64.70,2756373
17-Oct-17,64.49,65.22,64.10,65.08,2278749
16-Oct-17,64.79,65.92,64.42,64.63,2449599
13-Oct-17,66.15,66.35,63.85,64.96,3742352
12-Oct-17,65.78,66.80,65.57,66.33,3122225
11-Oct-17,65.71,65.88,65.54,65.67,130769
10-Oct-17,65.38,65.90,65.25,65.78,1607859
9-Oct-17,65.83,65.88,64.23,64.92,3508250
6-Oct-17,67.60,67.88,65.60,65.88,3661819
5-Oct-17,67.63,67.93,67.32,67.64,1754716
4-Oct-17,67.60,68.19,67.34,67.52,2333675
3-Oct-17,68.25,68.38,67.44,67.60,1531289
2-Oct-17,67.22,68.39,67.12,68.24,2134243
29-Sep-17,66.76,67.60,66.57,66.92,2800354
28-Sep-17,67.84,68.10,66.93,66.97,2324425
27-Sep-17,67.96,68.22,67.39,68.14,1232381
26-Sep-17,67.43,68.06,67.43,67.82,1358569
25-Sep-17,66.43,67.50,66.41,67.34,1482395
22-Sep-17,66.90,67.09,66.24,66.66,2181051
21-Sep-17,66.72,67.44,66.64,66.77,1452252
20-Sep-17,66.33,66.94,66.01,66.71,1639740
19-Sep-17,67.01,67.28,65.95,66.26,1878688
18-Sep-17,67.75,67.98,66.98,67.07,1592706
15-Sep-17,67.57,67.90,67.11,67.50,4676862
14-Sep-17,68.86,68.86,67.26,67.46,2660875
13-Sep-17,69.07,69.56,68.75,69.29,1362490
12-Sep-17,69.73,69.79,68.68,69.44,2049675
11-Sep-17,68.82,69.99,68.69,69.73,2246803
8-Sep-17,68.98,69.40,68.23,68.36,1843590
7-Sep-17,68.49,69.09,68.31,69.06,2108259
6-Sep-17,67.73,68.61,67.56,68.61,2881626
5-Sep-17,67.56,68.01,67.05,67.52,2044779
1-Sep-17,67.69,68.14,67.51,67.82,1536218
31-Aug-17,66.47,68.04,66.47,67.46,2667933
30-Aug-17,66.34,66.74,66.21,66.49,1696076
29-Aug-17,66.14,66.74,66.03,66.40,1779438
