Date,Open,High,Low,Close,Volume
20-Oct-17,77.19,80.07,76.26,80.06,432493
19-Oct-17,78.95,79.43,76.66,76.75,455211
18-Oct-17,81.89,81.92,78.94,79.06,656303
17-Oct-17,81.17,81.43,80.14,81.27,438045
16-Oct-17,80.00,83.59,79.04,81.06,629371
13-Oct-17,82.20,84.27,79.92,80.14,2263466
12-Oct-17,94.24,97.34,82.29,82.59,1488845
11-Oct-17,97.45,99.24,95.64,97.15,272308
10-Oct-17,100.00,100.21,96.95,97.45,271267
9-Oct-17,96.21,100.22,95.64,99.91,271977
6-Oct-17,96.14,96.39,95.71,96.18,106891
5-Oct-17,97.74,97.84,95.91,96.05,95977
4-Oct-17,95.72,97.51,94.56,97.03,460809
3-Oct-17,95.68,95.98,93.65,95.69,412768
2-Oct-17,92.70,95.98,91.89,95.62,301502
29-Sep-17,91.33,93.00,91.03,92.27,141083
28-Sep-17,91.50,91.87,89.10,91.33,193598
27-Sep-17,91.64,93.68,91.26,91.49,142055
26-Sep-17,91.64,92.52,90.25,91.68,150907
25-Sep-17,91.07,92.48,90.07,91.69,190527
22-Sep-17,90.06,91.60,89.22,90.81,231289
21-Sep-17,92.50,93.03,89.71,89.85,148673
20-Sep-17,91.30,93.52,90.91,92.80,120927
19-Sep-17,91.32,92.33,90.31,90.77,97789
18-Sep-17,90.66,92.07,90.11,91.01,234627
15-Sep-17,94.93,95.20,90.81,90.81,849154
14-Sep-17,95.83,96.06,94.63,95.89,378577
13-Sep-17,96.00,96.18,93.88,95.95,188966
12-Sep-17,94.95,96.20,94.92,95.75,120114
11-Sep-17,95.30,95.62,94.35,95.19,393942
8-Sep-17,93.29,95.50,92.30,94.99,320624
7-Sep-17,95.00,95.00,91.31,93.37,383046
6-Sep-17,95.32,95.67,93.89,94.97,244912
5-Sep-17,95.39,95.56,93.19,94.67,252553
1-Sep-17,97.01,97.95,94.21,95.62,169123
31-Aug-17,91.05,98.66,91.05,97.50,294805
30-Aug-17,90.21,91.21,90.08,90.98,131242
29-Aug-17,89.86,90.86,89.00,89.95,191992
28-Aug-17,91.00,91.91,89.72,89.83,366067
25-Aug-17,92.89,93.52,90.17,91.57,171001
24-Aug-17,93.68,93.99,92.00,92.23,151483
23-Aug-17,91.86,93.32,91.21,93.20,131328
22-Aug-17,91.24,92.04,91.06,91.66,135369
21-Aug-17,90.37,91.91,90.18,91.24,278148
18-Aug-17,89.79,90.48,88.25,89.97,703150
17-Aug-17,90.00,90.64,89.05,89.30,287039
16-Aug-17,90.47,90.79,89.62,90.00,402416
15-Aug-17,93.00,93.60,90.17,90.72,281132
14-Aug-17,92.50,93.31,91.87,92.40,404969
11-Aug-17,91.25,92.48,90.32,91.51,206663
10-Aug-17,93.35,93.94,90.80,91.17,162304
9-Aug-17,92.23,94.85,92.23,93.81,196323
8-Aug-17,96.32,97.36,93.08,93.21,250325
7-Aug-17,97.05,98.00,95.43,95.78,196125
4-Aug-17,96.65,98.68,96.00,97.04,476290
3-Aug-17,99.10,99.10,95.20,96.94,370242
2-Aug-17,97.20,98.17,95.54,95.80,186608
1-Aug-17,100.00,100.00,97.18,97.32,214260
31-Jul-17,99.30,100.79,99.01,99.50,125966
28-Jul-17,100.03,101.48,97.70,98.42,224986
27-Jul-17,101.46,103.14,100.08,100.90,138735
26-Jul-17,98.02,101.81,98.02,101.15,200723
25-Jul-17,104.48,104.48,97.63,98.32,392137
24-Jul-17,102.22,104.37,101.90,103.37,170213
