Date,Open,High,Low,Close,Volume
20-Oct-17,210.89,211.79,209.03,210.20,63539
19-Oct-17,204.96,209.19,203.84,209.07,80266
18-Oct-17,202.41,207.63,201.32,205.54,92450
17-Oct-17,201.24,203.52,201.04,202.06,61678
16-Oct-17,199.87,202.77,198.15,201.16,39231
13-Oct-17,204.88,204.88,199.05,199.69,91590
12-Oct-17,202.60,205.73,201.31,204.78,91065
11-Oct-17,201.44,201.44,201.44,201.44,660
10-Oct-17,201.30,202.84,199.40,202.21,93200
9-Oct-17,203.52,203.52,199.94,200.75,87789
6-Oct-17,204.04,205.62,201.65,203.52,62512
5-Oct-17,204.24,207.36,202.02,204.41,118818
4-Oct-17,203.67,206.10,202.76,204.17,51202
3-Oct-17,204.60,208.62,201.24,203.67,56884
2-Oct-17,202.52,203.57,200.12,203.50,78070
29-Sep-17,197.88,202.16,197.88,202.05,107287
28-Sep-17,196.86,198.75,196.61,197.88,70575
27-Sep-17,194.54,197.93,191.39,197.10,115430
26-Sep-17,194.95,195.11,192.81,194.14,80301
25-Sep-17,191.26,194.56,190.76,194.05,78952
22-Sep-17,190.99,192.68,189.72,191.86,69717
21-Sep-17,190.60,192.38,189.52,190.74,76157
20-Sep-17,187.90,190.82,186.09,190.48,99721
19-Sep-17,193.63,194.15,186.55,187.96,112407
18-Sep-17,196.06,197.68,193.32,193.46,98045
15-Sep-17,193.70,196.99,192.86,195.88,211555
14-Sep-17,192.34,193.37,190.14,193.22,65731
13-Sep-17,192.20,193.11,192.05,192.64,57970
12-Sep-17,193.92,194.13,192.02,193.30,42870
11-Sep-17,193.50,194.98,192.42,193.68,71997
8-Sep-17,193.28,194.37,192.27,192.46,95414
7-Sep-17,196.51,197.28,193.37,193.44,110375
6-Sep-17,197.00,199.56,194.42,196.66,76305
5-Sep-17,196.73,198.20,194.70,196.26,85680
1-Sep-17,197.73,199.30,194.79,197.38,95726
31-Aug-17,192.85,197.52,192.85,197.29,114293
30-Aug-17,192.48,193.22,191.40,192.20,62055
29-Aug-17,191.96,192.98,187.77,192.52,78185
28-Aug-17,192.57,193.60,191.99,193.01,58043
25-Aug-17,192.03,193.79,189.78,191.67,113333
24-Aug-17,191.47,193.47,189.95,191.73,70409
23-Aug-17,189.62,193.33,186.82,190.61,114075
22-Aug-17,188.53,190.18,188.52,189.74,79605
21-Aug-17,187.47,188.73,186.49,187.96,80567
18-Aug-17,186.66,188.90,186.66,187.59,75906
17-Aug-17,190.50,194.42,187.44,187.48,69228
16-Aug-17,190.00,192.56,190.00,191.17,65425
15-Aug-17,193.56,194.56,189.55,189.77,169363
14-Aug-17,193.55,198.10,192.43,193.18,116684
11-Aug-17,191.18,194.82,190.87,191.88,103785
10-Aug-17,194.94,194.94,191.45,192.18,102649
9-Aug-17,197.99,199.00,193.27,195.35,96468
8-Aug-17,196.91,201.67,195.74,198.79,72928
7-Aug-17,197.89,198.78,196.26,197.40,102244
4-Aug-17,195.54,198.25,194.22,197.98,93653
3-Aug-17,194.85,197.40,192.83,194.83,90363
2-Aug-17,197.89,198.49,194.80,195.16,70717
1-Aug-17,198.40,200.26,197.50,197.84,84033
31-Jul-17,-,-,196.83,197.50,105722
28-Jul-17,201.02,203.28,199.40,199.98,140099
27-Jul-17,203.55,205.70,200.05,201.45,149009
26-Jul-17,200.90,209.84,196.12,202.45,277911
25-Jul-17,205.54,208.78,201.94,202.66,126564
24-Jul-17,203.33,205.98,202.20,204.70,123053
21-Jul-17,204.54,205.69,202.35,203.43,102719
20-Jul-17,202.71,204.33,202.27,203.34,125096
19-Jul-17,202.28,203.74,201.16,202.04,101171
18-Jul-17,205.54,205.54,201.83,202.00,90617
17-Jul-17,206.90,208.75,204.80,205.75,101523
14-Jul-17,202.51,206.87,201.44,206.31,101222
13-Jul-17,203.25,203.66,200.71,202.51,147904
12-Jul-17,206.25,207.66,202.33,203.27,104448
11-Jul-17,204.09,206.53,202.82,205.59,137432
10-Jul-17,204.64,206.71,201.90,202.79,98516
7-Jul-17,201.98,205.49,200.94,205.01,73429
6-Jul-17,204.67,205.00,200.79,201.26,151674
5-Jul-17,204.65,207.68,201.61,205.97,90091
3-Jul-17,204.64,206.20,202.77,204.69,30865
30-Jun-17,205.81,206.16,203.46,204.53,68817
29-Jun-17,204.38,205.57,201.59,205.28,97471
28-Jun-17,203.85,208.08,202.51,204.50,112339
27-Jun-17,205.00,206.02,202.67,202.76,61327
26-Jun-17,206.93,206.93,203.33,205.33,83974
23-Jun-17,204.00,206.31,203.63,206.10,150464
22-Jun-17,204.93,206.56,203.05,204.15,102737
21-Jun-17,204.11,206.12,203.35,205.22,78016
20-Jun-17,208.06,208.78,203.84,203.85,105381
19-Jun-17,207.22,209.87,205.43,208.22,85537
16-Jun-17,205.34,208.16,203.70,206.62,165522
15-Jun-17,205.53,206.82,202.85,206.69,83268
14-Jun-17,209.25,211.39,206.51,207.47,133863
13-Jun-17,206.00,209.42,205.23,208.52,102435
12-Jun-17,210.68,211.27,204.49,206.78,140275
9-Jun-17,209.00,214.67,206.64,211.35,125660
8-Jun-17,210.30,210.30,207.44,209.36,78681
7-Jun-17,207.47,210.28,206.40,209.92,105353
6-Jun-17,205.78,208.32,205.18,207.10,96797
5-Jun-17,208.79,208.79,204.88,205.65,77373
2-Jun-17,208.60,211.61,208.14,208.79,97620
1-Jun-17,204.40,209.58,202.96,208.22,98805
31-May-17,202.99,205.57,199.37,204.66,89964
30-May-17,202.37,203.80,200.02,202.13,55101
26-May-17,201.90,204.33,199.00,202.98,76921
25-May-17,201.26,202.66,200.12,201.82,83849
24-May-17,201.07,201.35,198.83,200.51,84757
23-May-17,200.26,203.22,199.02,201.63,85739
22-May-17,198.36,200.10,197.29,199.44,64694
19-May-17,197.09,199.60,194.62,197.73,92797
18-May-17,197.74,201.00,196.71,197.31,108135
17-May-17,199.75,201.13,196.50,197.73,143668
16-May-17,204.41,204.41,200.20,202.26,67776
15-May-17,203.75,205.13,201.91,203.48,76877
12-May-17,202.56,205.00,202.39,203.98,94627
11-May-17,204.49,204.80,201.20,203.28,72595
10-May-17,203.55,206.72,203.29,205.79,135738
9-May-17,204.82,206.88,202.07,203.16,116478
8-May-17,204.52,208.97,203.32,204.32,91931
5-May-17,208.00,209.99,204.29,205.18,108873
4-May-17,205.33,208.03,203.15,207.97,90060
3-May-17,204.58,207.11,203.51,204.00,114818
2-May-17,203.83,206.79,203.35,205.87,90792
1-May-17,202.00,204.05,200.53,203.74,95962
28-Apr-17,204.98,205.45,200.43,201.38,104403
27-Apr-17,195.84,216.01,195.84,204.99,250466
26-Apr-17,186.27,191.00,186.27,190.05,133738
25-Apr-17,187.00,189.10,184.81,186.28,70431
24-Apr-17,187.86,187.86,184.61,185.89,53468
21-Apr-17,185.11,185.67,183.96,185.28,43654
20-Apr-17,185.17,185.81,181.41,185.20,59474
19-Apr-17,182.30,186.74,182.05,184.34,49028
18-Apr-17,183.09,183.73,178.44,182.05,72581
17-Apr-17,182.67,184.52,181.70,183.42,61817
13-Apr-17,184.56,184.89,181.12,182.02,56346
12-Apr-17,186.72,190.32,183.32,184.54,37857
11-Apr-17,184.52,186.42,184.04,186.41,57650
10-Apr-17,182.38,186.06,181.90,184.73,57934
7-Apr-17,182.53,184.50,182.37,182.96,90932
6-Apr-17,181.62,183.56,180.58,183.29,48515
5-Apr-17,183.62,184.72,180.74,181.60,80677
4-Apr-17,183.32,186.58,181.72,183.23,81869
3-Apr-17,183.00,185.95,179.36,183.75,92988
31-Mar-17,185.58,185.58,182.26,182.69,166924
30-Mar-17,185.30,187.42,184.35,185.58,118765
29-Mar-17,186.74,186.75,184.79,185.70,42810
28-Mar-17,186.27,189.84,185.52,186.79,79398
27-Mar-17,185.14,187.36,184.22,186.34,75374
24-Mar-17,185.73,187.97,185.00,186.36,79076
23-Mar-17,184.27,187.97,184.27,185.73,69838
22-Mar-17,185.31,186.80,183.22,184.31,66403
21-Mar-17,186.51,187.00,184.15,185.65,102822
20-Mar-17,186.02,186.72,184.14,186.14,74486
17-Mar-17,184.96,186.36,183.11,186.11,194960
16-Mar-17,185.50,185.50,183.92,184.89,101815
15-Mar-17,184.46,185.68,183.68,185.50,66143
14-Mar-17,185.09,186.25,182.36,183.51,43189
13-Mar-17,183.95,186.80,183.80,185.99,124100
10-Mar-17,182.13,184.24,180.70,182.47,98726
9-Mar-17,180.85,182.80,180.00,180.64,80098
8-Mar-17,180.97,182.50,178.88,180.65,85554
7-Mar-17,180.20,182.07,179.95,180.28,79768
6-Mar-17,181.11,182.98,180.49,181.45,121667
3-Mar-17,181.19,182.86,181.02,181.78,92616
2-Mar-17,181.03,182.04,179.64,181.05,85639
1-Mar-17,180.05,182.49,179.15,181.09,119311
28-Feb-17,179.99,180.85,177.62,178.55,117270
27-Feb-17,178.59,180.76,178.05,179.58,93840
24-Feb-17,177.04,179.74,176.32,178.81,99899
23-Feb-17,178.47,180.00,177.93,177.93,108597
22-Feb-17,175.60,180.05,175.60,178.47,95226
21-Feb-17,174.00,176.71,172.41,176.35,99567
17-Feb-17,174.50,174.50,170.69,173.89,117812
16-Feb-17,175.34,178.00,171.57,173.75,102763
15-Feb-17,170.54,173.43,170.54,171.90,103572
14-Feb-17,168.30,171.05,168.00,170.54,78650
13-Feb-17,170.00,170.93,167.97,168.62,51903
10-Feb-17,168.64,169.99,168.00,169.41,88595
9-Feb-17,166.01,169.01,165.39,167.97,50211
8-Feb-17,166.08,168.96,165.15,165.95,60756
7-Feb-17,167.96,169.39,165.24,166.22,73593
6-Feb-17,168.61,168.61,166.07,167.14,54384
3-Feb-17,169.28,169.28,167.78,168.79,50916
2-Feb-17,166.21,169.43,164.67,167.95,52366
1-Feb-17,166.50,169.47,164.68,166.93,74770
31-Jan-17,164.14,166.94,163.88,166.09,72155
30-Jan-17,166.35,166.35,163.50,164.74,66863
27-Jan-17,167.16,168.25,166.10,166.89,44337
26-Jan-17,167.28,168.28,166.06,167.26,43608
25-Jan-17,167.54,168.57,166.50,167.39,82551
24-Jan-17,166.03,168.31,165.07,167.16,76873
23-Jan-17,166.91,167.33,165.04,165.86,68068
20-Jan-17,166.06,168.15,165.60,166.88,63446
19-Jan-17,169.70,169.70,165.99,166.52,56712
18-Jan-17,166.91,168.81,165.98,168.76,128027
17-Jan-17,166.88,167.60,165.26,166.09,74382
13-Jan-17,165.73,166.62,165.16,166.23,75370
12-Jan-17,163.40,165.50,162.92,165.29,70977
11-Jan-17,163.34,164.83,161.48,164.41,78667
10-Jan-17,163.25,163.92,161.18,163.44,146988
9-Jan-17,163.92,164.99,162.46,163.96,192668
6-Jan-17,164.62,165.02,162.81,164.31,139951
5-Jan-17,162.81,164.55,162.76,164.28,78706
4-Jan-17,162.21,164.48,160.10,163.93,130681
3-Jan-17,160.40,162.30,158.60,162.11,116235
30-Dec-16,160.70,161.39,157.56,160.41,86290
29-Dec-16,159.94,161.73,159.64,160.54,74990
28-Dec-16,160.63,164.07,158.03,159.97,76464
27-Dec-16,159.42,163.46,158.04,160.63,56990
23-Dec-16,157.75,159.79,155.82,159.40,68901
22-Dec-16,158.72,162.96,154.50,157.62,253527
21-Dec-16,160.86,161.36,158.86,158.99,107921
20-Dec-16,159.67,162.60,155.50,161.01,121470
19-Dec-16,159.52,160.68,158.68,159.53,82760
16-Dec-16,159.72,159.97,156.56,159.26,361923
15-Dec-16,153.39,159.06,153.00,158.92,136475
14-Dec-16,155.38,155.38,152.01,152.59,91935
13-Dec-16,154.40,155.96,152.70,155.45,79878
12-Dec-16,153.59,154.63,151.23,154.29,94827
9-Dec-16,154.54,155.02,153.20,154.53,86273
8-Dec-16,152.93,156.50,151.78,154.54,118870
7-Dec-16,153.00,153.63,150.60,152.71,74987
6-Dec-16,152.75,153.86,150.90,153.49,95400
5-Dec-16,150.91,152.53,150.30,152.07,97298
2-Dec-16,149.96,151.06,148.84,150.02,113425
1-Dec-16,148.48,149.98,148.19,149.49,99305
30-Nov-16,149.98,149.98,148.30,148.97,112373
29-Nov-16,148.49,150.10,148.25,150.03,112247
28-Nov-16,148.26,149.60,147.58,148.60,202487
25-Nov-16,147.27,147.85,146.87,147.67,43985
23-Nov-16,147.50,148.99,145.34,147.50,83159
22-Nov-16,147.19,149.97,146.86,147.50,99107
21-Nov-16,147.15,147.90,145.63,147.50,62890
18-Nov-16,147.23,148.19,146.23,147.43,134003
17-Nov-16,145.38,148.63,145.09,147.74,97714
16-Nov-16,147.70,149.94,145.10,145.80,120942
15-Nov-16,148.57,149.92,146.35,147.70,113349
14-Nov-16,148.20,150.71,148.07,148.14,114758
11-Nov-16,144.54,147.93,143.87,147.13,139739
10-Nov-16,139.72,144.17,138.65,143.85,144841
9-Nov-16,136.91,139.70,134.85,138.76,89321
8-Nov-16,136.66,139.16,136.20,137.24,121519
7-Nov-16,140.01,140.02,134.52,137.69,111654
4-Nov-16,137.44,138.77,132.92,133.29,154809
3-Nov-16,137.76,140.95,135.17,136.81,261719
2-Nov-16,136.94,139.07,136.00,137.77,129862
1-Nov-16,140.22,141.10,136.67,136.99,116536
31-Oct-16,138.28,142.02,136.31,141.42,109984
28-Oct-16,138.59,139.13,137.00,138.22,112240
27-Oct-16,135.01,139.76,135.01,138.56,180108
26-Oct-16,138.37,140.12,136.41,136.56,87381
25-Oct-16,139.41,139.41,137.34,138.94,62453
24-Oct-16,140.69,141.66,139.18,139.69,45011
21-Oct-16,142.56,143.57,139.38,139.63,66183
20-Oct-16,141.00,144.05,141.00,143.66,116144
19-Oct-16,141.69,142.28,140.42,141.34,91115
18-Oct-16,141.71,142.70,140.44,141.37,91566
17-Oct-16,139.33,141.58,139.22,141.33,107965
14-Oct-16,140.57,141.98,139.10,139.80,93776
13-Oct-16,138.25,140.72,138.01,140.15,118667
12-Oct-16,139.60,142.55,138.52,138.87,91241
11-Oct-16,141.77,141.82,138.42,139.66,104067
10-Oct-16,140.33,142.93,140.33,141.74,75567
7-Oct-16,140.00,140.99,138.71,140.53,76318
6-Oct-16,140.53,140.65,139.02,140.09,57240
5-Oct-16,141.61,142.20,139.91,140.92,66036
4-Oct-16,139.66,141.69,139.41,140.94,100573
3-Oct-16,140.87,140.87,138.47,140.22,74875
30-Sep-16,139.95,141.87,138.56,141.07,61643
