Date,Open,High,Low,Close,Volume
20-Oct-17,189.01,192.73,188.61,191.42,1709171
19-Oct-17,189.07,189.07,186.10,188.22,2033372
18-Oct-17,187.85,190.53,187.85,189.36,2458729
17-Oct-17,185.39,188.76,185.28,187.20,2278966
16-Oct-17,186.15,186.96,184.02,184.99,1218123
13-Oct-17,184.00,186.43,183.08,186.15,1974110
12-Oct-17,187.63,188.76,186.56,186.96,1139252
11-Oct-17,187.84,188.07,186.31,186.56,79617
10-Oct-17,189.09,189.44,186.89,188.07,979934
9-Oct-17,190.37,190.90,188.86,189.09,781874
6-Oct-17,191.01,192.72,190.24,190.95,879649
5-Oct-17,191.02,191.93,189.48,190.68,1056857
4-Oct-17,192.01,193.00,190.60,190.75,1054445
3-Oct-17,189.20,192.51,189.20,191.99,1458362
2-Oct-17,187.71,189.03,186.33,189.01,1357974
29-Sep-17,187.00,187.22,185.11,186.94,1116013
28-Sep-17,184.00,187.91,183.90,187.00,1006598
27-Sep-17,184.00,185.14,182.02,184.43,1104809
26-Sep-17,182.28,183.78,181.74,183.64,1127249
25-Sep-17,183.06,184.31,181.36,181.44,948598
22-Sep-17,182.13,184.37,180.28,182.74,1628029
21-Sep-17,181.69,182.85,180.04,182.13,943714
20-Sep-17,181.68,182.24,180.59,181.82,1887431
19-Sep-17,185.94,185.95,180.23,181.51,1931120
18-Sep-17,186.05,186.47,184.81,185.30,923760
15-Sep-17,185.81,186.70,185.02,186.05,2462011
14-Sep-17,187.05,187.95,185.04,185.23,1394542
13-Sep-17,185.46,188.36,185.46,187.62,1299512
12-Sep-17,186.41,186.93,184.87,185.55,1178343
11-Sep-17,185.01,186.32,184.65,186.32,1618631
8-Sep-17,184.69,185.36,184.14,184.56,1353464
7-Sep-17,182.26,185.18,181.86,184.98,1124111
6-Sep-17,185.31,185.49,181.51,182.10,1297895
5-Sep-17,182.20,185.51,182.11,185.31,1281605
1-Sep-17,182.68,184.23,182.23,183.17,1018727
31-Aug-17,180.01,182.18,179.86,182.06,1443536
30-Aug-17,179.65,180.15,179.42,179.67,905858
29-Aug-17,179.77,180.61,179.76,180.09,960916
28-Aug-17,180.04,181.56,179.83,180.50,895714
25-Aug-17,179.95,181.15,179.30,179.30,844421
24-Aug-17,179.88,179.97,178.22,179.77,1242621
23-Aug-17,179.51,180.06,178.85,179.39,856588
22-Aug-17,178.00,180.39,178.00,179.82,1001691
21-Aug-17,177.03,178.34,177.00,177.98,1081044
18-Aug-17,177.90,178.27,176.01,177.03,1034361
17-Aug-17,179.61,181.00,178.00,178.03,1065839
16-Aug-17,179.50,180.42,179.46,179.86,942636
15-Aug-17,176.83,179.50,176.62,179.16,1339135
14-Aug-17,175.61,177.19,175.61,176.35,795782
11-Aug-17,175.99,176.82,174.22,174.38,1174009
10-Aug-17,177.38,178.57,175.12,175.36,1143729
9-Aug-17,175.70,178.35,174.50,178.08,1508798
8-Aug-17,175.67,176.79,174.68,175.63,1109214
7-Aug-17,172.67,176.98,172.50,175.98,1692148
4-Aug-17,177.99,178.50,170.55,172.55,2225509
3-Aug-17,175.85,177.24,174.96,176.05,1574016
2-Aug-17,173.18,175.33,173.18,174.74,924370
1-Aug-17,174.00,174.64,172.87,172.96,864264
31-Jul-17,-,-,173.34,173.56,988781
28-Jul-17,172.26,174.20,170.92,173.97,920279
27-Jul-17,173.33,173.58,171.19,172.07,860195
26-Jul-17,173.48,174.47,172.52,173.57,912963
25-Jul-17,175.28,175.80,173.56,173.81,1166110
24-Jul-17,174.14,174.91,173.63,174.53,940902
21-Jul-17,174.24,175.17,173.98,174.23,726760
20-Jul-17,174.31,175.05,173.58,174.49,883266
19-Jul-17,172.45,174.97,172.45,174.31,1240517
18-Jul-17,174.23,174.46,170.81,172.10,1392267
17-Jul-17,174.40,174.40,172.96,174.19,1019027
14-Jul-17,173.01,174.27,172.60,173.80,945816
13-Jul-17,172.24,174.20,171.99,173.05,1073688
12-Jul-17,171.51,173.44,170.88,172.06,1474157
11-Jul-17,169.65,171.34,169.18,171.16,1101008
10-Jul-17,169.22,170.64,168.46,169.57,1759395
7-Jul-17,168.50,170.39,168.11,169.61,1529609
6-Jul-17,168.85,169.34,166.86,167.94,1049246
5-Jul-17,167.55,169.32,167.25,169.16,2368269
3-Jul-17,168.27,168.44,166.80,167.50,854269
30-Jun-17,166.69,168.06,166.56,167.39,1751922
29-Jun-17,168.50,168.86,166.06,166.70,1112049
28-Jun-17,167.83,169.03,167.37,168.13,1272035
27-Jun-17,168.65,169.36,166.89,167.05,1711335
26-Jun-17,169.65,169.91,167.94,168.26,1407037
23-Jun-17,171.00,171.14,168.90,169.61,3666172
22-Jun-17,170.20,173.21,169.79,170.68,2193443
21-Jun-17,169.52,171.62,169.52,170.18,1356071
20-Jun-17,170.00,170.56,169.17,169.58,2130844
19-Jun-17,169.08,170.50,169.08,170.26,1895569
16-Jun-17,167.83,169.25,167.12,169.08,2009547
15-Jun-17,167.65,168.20,166.56,167.28,1056758
14-Jun-17,167.00,168.36,166.44,168.11,1199632
13-Jun-17,166.82,167.75,165.88,166.55,1383822
12-Jun-17,166.50,166.95,163.46,166.80,1595289
9-Jun-17,166.61,168.08,165.63,166.74,1746430
8-Jun-17,168.49,169.50,165.67,166.51,3074771
7-Jun-17,165.92,170.00,165.90,168.48,2572533
6-Jun-17,164.50,167.06,164.23,165.50,2165053
5-Jun-17,164.59,165.59,163.89,164.76,1590494
2-Jun-17,164.00,165.16,163.78,164.46,1378322
1-Jun-17,161.79,164.80,161.20,163.95,2236148
31-May-17,161.42,162.37,160.76,161.23,1130230
30-May-17,161.45,162.27,161.05,161.50,1084061
26-May-17,161.87,162.13,159.91,161.32,1348799
25-May-17,162.58,164.28,161.64,161.65,1796932
24-May-17,160.58,162.14,160.09,161.86,854671
23-May-17,159.35,160.72,159.35,160.52,786147
22-May-17,159.76,160.14,158.79,159.35,1586573
19-May-17,160.41,161.55,159.30,159.48,1607577
18-May-17,158.89,160.67,158.41,160.10,1450305
17-May-17,159.96,160.71,158.29,158.41,1633536
16-May-17,162.00,162.17,160.40,161.34,1318993
15-May-17,161.70,162.93,161.17,162.10,1578498
12-May-17,163.50,164.88,161.53,162.03,1441420
11-May-17,163.04,164.29,161.70,163.82,989157
10-May-17,162.00,163.28,161.68,162.90,1447774
9-May-17,161.86,163.48,161.78,162.65,1280827
8-May-17,160.66,162.12,160.11,161.75,1435033
5-May-17,159.00,161.57,158.24,160.25,1623137
4-May-17,157.79,158.16,155.32,156.73,1407083
3-May-17,158.22,159.15,156.64,157.03,970255
2-May-17,157.89,158.82,156.23,158.38,1051373
1-May-17,156.68,158.47,156.48,157.52,942718
28-Apr-17,155.72,157.40,152.89,156.37,1578992
27-Apr-17,157.21,158.23,155.90,156.21,726951
26-Apr-17,157.32,158.62,155.70,156.93,907741
25-Apr-17,155.47,159.08,155.47,157.18,1168432
24-Apr-17,156.41,157.30,155.50,155.96,911110
21-Apr-17,155.21,155.36,153.94,155.08,971516
20-Apr-17,151.69,156.20,151.04,155.38,1756256
19-Apr-17,150.51,152.34,149.95,151.95,790014
18-Apr-17,151.17,151.43,149.10,149.82,1044375
17-Apr-17,150.67,151.23,150.25,151.17,823792
13-Apr-17,150.25,151.07,149.77,150.41,774856
12-Apr-17,150.90,151.39,149.87,150.59,791941
11-Apr-17,151.47,151.86,150.64,151.57,829400
10-Apr-17,152.01,153.19,151.57,152.28,1491351
7-Apr-17,151.10,152.27,150.04,152.04,1480878
6-Apr-17,149.91,151.40,148.75,151.21,1502834
5-Apr-17,151.01,152.00,149.43,149.91,1457600
4-Apr-17,149.07,150.70,148.75,150.54,1222676
3-Apr-17,146.70,151.00,146.70,149.39,1631029
31-Mar-17,147.51,147.60,146.49,146.49,1440562
30-Mar-17,147.55,148.94,147.14,147.60,804835
29-Mar-17,147.63,148.52,146.67,147.23,823087
28-Mar-17,146.02,148.66,145.55,148.30,921087
27-Mar-17,144.22,146.36,143.85,146.04,2003584
24-Mar-17,149.37,150.41,144.97,145.82,2130880
23-Mar-17,149.99,151.36,149.01,149.18,870230
22-Mar-17,150.08,151.33,148.34,150.37,1104193
21-Mar-17,151.78,151.81,149.29,149.61,1742982
20-Mar-17,152.16,153.02,150.71,151.13,1634617
17-Mar-17,151.53,152.38,150.88,151.89,1563181
16-Mar-17,153.99,154.27,151.60,151.79,1342497
15-Mar-17,154.28,154.83,153.49,154.00,1452839
14-Mar-17,152.97,154.31,152.33,153.54,1299281
13-Mar-17,152.33,153.92,151.32,153.40,1138273
10-Mar-17,153.16,153.34,151.40,151.92,1270637
9-Mar-17,152.80,153.05,151.46,152.20,980044
8-Mar-17,151.74,153.02,150.68,152.24,832198
7-Mar-17,152.59,154.24,151.15,151.84,1653095
6-Mar-17,150.88,153.11,150.85,152.96,1843981
3-Mar-17,150.89,152.62,149.00,151.99,749119
2-Mar-17,152.10,152.38,151.10,151.58,817661
1-Mar-17,150.00,152.99,149.31,152.20,1520094
28-Feb-17,149.72,149.86,148.41,148.90,1428313
27-Feb-17,146.76,150.00,146.25,149.72,2660427
24-Feb-17,147.46,147.61,146.54,147.04,919270
23-Feb-17,147.62,147.75,147.11,147.51,1447382
22-Feb-17,146.24,148.42,145.92,147.49,1625755
21-Feb-17,144.01,147.24,143.66,146.97,1773376
17-Feb-17,144.18,144.26,141.93,143.56,2018752
16-Feb-17,146.84,146.94,143.86,145.33,1569438
15-Feb-17,146.21,147.66,145.58,146.59,2248996
14-Feb-17,145.22,148.08,144.50,146.68,1939518
13-Feb-17,146.62,147.15,144.82,145.85,1067143
10-Feb-17,147.55,149.32,145.50,145.55,1918487
9-Feb-17,147.74,148.31,145.34,148.14,2312726
8-Feb-17,147.00,148.69,146.30,147.84,652860
7-Feb-17,147.07,148.63,145.93,147.90,772545
6-Feb-17,148.67,149.56,145.98,147.03,1277483
3-Feb-17,149.07,150.11,148.10,149.30,1222724
2-Feb-17,149.70,150.69,144.03,148.29,1532131
1-Feb-17,147.00,149.42,145.36,147.64,1254488
31-Jan-17,145.12,146.53,144.50,146.22,884367
30-Jan-17,146.78,146.79,144.31,145.70,687385
27-Jan-17,147.56,148.00,145.42,146.81,1100900
26-Jan-17,148.28,148.70,146.65,146.80,1017461
25-Jan-17,147.02,149.23,146.63,148.57,1211613
24-Jan-17,145.21,147.54,144.02,146.53,1260849
23-Jan-17,144.32,145.70,142.25,145.31,1576413
20-Jan-17,144.78,145.67,143.38,144.77,1333709
19-Jan-17,141.33,146.31,133.52,144.16,2538382
18-Jan-17,145.40,145.40,140.22,141.97,1974692
17-Jan-17,145.95,145.96,144.02,144.77,1079795
13-Jan-17,144.31,146.77,143.78,146.31,1488501
12-Jan-17,141.54,145.79,141.03,144.67,1726106
11-Jan-17,140.56,142.64,139.88,142.64,1418583
10-Jan-17,141.24,142.00,140.20,140.23,1245175
9-Jan-17,141.31,142.61,140.05,142.35,986230
6-Jan-17,141.00,143.15,140.99,141.81,983705
5-Jan-17,139.08,142.77,138.33,141.71,1446708
4-Jan-17,136.08,138.89,133.70,138.72,1207766
3-Jan-17,133.91,135.83,133.66,135.72,1443077
30-Dec-16,135.57,135.89,133.11,133.39,1199702
29-Dec-16,137.54,138.68,135.19,135.50,641829
28-Dec-16,139.61,140.30,137.00,137.00,828445
27-Dec-16,138.26,140.70,138.26,139.39,481184
23-Dec-16,137.43,138.64,136.45,138.61,431989
22-Dec-16,136.90,137.50,135.46,136.97,1097630
21-Dec-16,137.43,137.43,135.87,137.07,727858
20-Dec-16,138.10,139.74,136.55,137.11,1108093
19-Dec-16,137.59,139.00,136.84,138.09,1214145
16-Dec-16,134.86,137.70,134.85,136.76,2759505
15-Dec-16,133.19,134.56,131.26,133.99,921429
14-Dec-16,135.23,135.84,132.31,133.24,879731
13-Dec-16,132.91,135.82,131.52,134.57,1296816
12-Dec-16,134.03,134.40,131.03,132.38,1169470
9-Dec-16,137.17,137.94,133.87,134.80,1417420
8-Dec-16,136.51,138.57,135.10,137.13,1118893
7-Dec-16,136.88,137.52,135.81,136.83,1694289
6-Dec-16,135.51,137.74,134.13,137.25,1121753
5-Dec-16,133.65,135.45,131.65,134.70,1085657
2-Dec-16,135.08,135.95,132.63,133.44,1386371
1-Dec-16,134.17,136.92,134.17,134.50,1638545
30-Nov-16,137.96,138.05,134.53,134.74,2099674
29-Nov-16,136.77,139.95,136.77,138.30,1391714
28-Nov-16,138.83,139.34,136.20,136.77,1193539
25-Nov-16,139.88,141.48,138.53,138.67,306591
23-Nov-16,139.70,140.50,136.81,139.53,843153
22-Nov-16,137.35,140.77,136.72,139.73,1458412
21-Nov-16,138.13,139.95,136.04,137.08,1077588
18-Nov-16,139.62,142.00,136.73,138.70,1172966
17-Nov-16,137.23,140.20,136.26,140.00,1146271
16-Nov-16,137.93,138.72,136.55,137.89,1049127
15-Nov-16,136.08,138.66,134.29,137.80,1082972
14-Nov-16,134.23,138.78,133.10,136.12,2048661
11-Nov-16,134.62,136.42,131.89,133.67,1187202
10-Nov-16,136.09,138.51,133.01,134.77,2572402
9-Nov-16,127.46,136.77,124.48,135.80,2847457
8-Nov-16,125.52,130.24,125.41,128.77,1386156
7-Nov-16,122.57,126.92,122.35,126.25,1811859
4-Nov-16,117.74,122.80,117.11,121.65,1735413
3-Nov-16,119.50,123.33,117.23,117.31,2321020
2-Nov-16,115.59,118.14,115.45,117.85,1828729
1-Nov-16,119.55,120.84,115.03,116.03,1728572
31-Oct-16,121.80,122.50,118.83,118.83,1414612
28-Oct-16,123.16,123.63,121.18,121.62,1229628
27-Oct-16,124.16,124.72,122.40,123.06,739086
26-Oct-16,124.38,124.76,123.72,123.80,1117869
25-Oct-16,123.60,124.89,123.53,124.30,947682
24-Oct-16,124.45,124.70,123.30,124.06,796185
21-Oct-16,122.90,124.32,122.57,124.18,639700
20-Oct-16,123.97,124.81,123.36,123.63,854352
19-Oct-16,123.65,123.98,122.51,123.55,1295742
18-Oct-16,120.00,124.67,119.50,123.65,1640757
17-Oct-16,120.63,120.90,116.30,118.64,1943938
14-Oct-16,121.56,122.25,120.68,120.90,570185
13-Oct-16,121.57,122.48,120.09,121.16,1194925
12-Oct-16,125.10,125.75,121.31,121.96,2546147
11-Oct-16,127.34,127.34,124.98,125.00,1085518
10-Oct-16,127.27,128.00,127.14,127.73,565983
7-Oct-16,127.45,128.16,126.90,127.23,670283
6-Oct-16,127.04,127.61,126.56,126.90,624338
5-Oct-16,128.35,128.68,126.74,127.09,995010
4-Oct-16,128.31,128.55,127.31,128.11,910346
3-Oct-16,129.80,130.22,127.82,128.01,705574
30-Sep-16,131.28,131.43,129.60,130.32,1415939
29-Sep-16,131.80,133.57,130.55,130.80,1206817
28-Sep-16,131.99,132.36,130.78,131.50,459724
27-Sep-16,130.11,131.89,129.84,131.70,883185
26-Sep-16,130.72,130.72,129.97,130.34,718295
23-Sep-16,129.46,131.52,129.37,131.00,1164766
22-Sep-16,132.64,132.97,130.95,132.00,738937
21-Sep-16,131.53,132.94,130.68,132.56,1240399
20-Sep-16,132.24,132.76,131.07,131.57,1027598
19-Sep-16,132.21,132.89,131.61,131.89,1092281
16-Sep-16,128.94,132.78,128.00,131.99,2742007
15-Sep-16,126.02,128.80,125.92,128.64,1213410
14-Sep-16,127.31,127.85,125.98,126.25,1125724
13-Sep-16,128.77,128.77,126.95,127.54,1219877
12-Sep-16,127.95,129.81,127.08,129.01,1224813
9-Sep-16,127.06,129.09,127.06,128.45,1824536
8-Sep-16,126.52,127.90,126.17,127.67,1056119
7-Sep-16,127.04,128.10,126.55,126.74,951684
6-Sep-16,127.60,128.04,127.17,127.58,789911
2-Sep-16,128.04,128.50,127.50,128.18,528081
1-Sep-16,128.58,128.99,127.15,127.64,701460
31-Aug-16,128.25,128.77,127.29,128.26,718667
30-Aug-16,128.18,129.04,127.92,128.22,744548
29-Aug-16,127.62,129.22,127.55,128.49,515658
26-Aug-16,129.60,130.48,126.50,127.65,1684579
25-Aug-16,130.62,131.57,128.96,129.41,838255
24-Aug-16,132.94,133.94,131.10,131.37,801678
23-Aug-16,133.78,134.49,132.80,133.00,895436
22-Aug-16,133.00,133.48,132.73,133.35,660064
19-Aug-16,132.20,133.34,131.84,133.00,1077917
18-Aug-16,132.04,133.91,132.04,132.62,1443935
17-Aug-16,131.43,132.83,131.29,132.30,1270205
16-Aug-16,132.23,132.76,130.80,131.83,1376067
15-Aug-16,132.69,133.39,130.56,132.63,1822390
12-Aug-16,126.86,133.58,125.55,133.31,3709633
11-Aug-16,128.19,129.29,126.47,126.62,1140489
10-Aug-16,127.00,127.92,126.01,127.60,888183
9-Aug-16,128.70,129.54,126.99,127.17,1396825
8-Aug-16,128.14,129.02,126.73,128.39,993596
5-Aug-16,129.07,131.47,127.61,128.50,1504144
4-Aug-16,124.68,128.88,124.60,128.28,2286680
3-Aug-16,124.19,125.63,123.71,124.60,1713511
2-Aug-16,126.59,127.70,123.53,124.13,1753223
1-Aug-16,128.75,130.11,126.02,126.79,1905541
29-Jul-16,128.70,130.75,127.30,128.96,5450966
28-Jul-16,137.74,138.78,135.94,135.99,1994577
27-Jul-16,139.44,139.44,137.16,138.13,2264968
26-Jul-16,139.69,142.64,138.25,140.01,2398679
25-Jul-16,146.00,146.00,139.85,140.21,3500170
22-Jul-16,141.65,146.74,139.74,146.00,3964647
21-Jul-16,131.92,148.99,131.80,140.32,5327393
20-Jul-16,131.02,133.25,130.99,133.11,1947405
19-Jul-16,133.08,133.85,129.14,130.30,3183006
18-Jul-16,132.70,133.70,131.41,133.13,1834827
15-Jul-16,130.47,133.48,130.04,131.67,2496529
14-Jul-16,130.69,130.99,129.72,130.01,1757696
13-Jul-16,129.64,130.34,128.93,130.19,1122614
12-Jul-16,128.12,129.17,128.00,129.00,1328833
11-Jul-16,129.50,129.87,128.06,128.37,1383915
8-Jul-16,127.80,129.90,126.40,129.60,2226345
7-Jul-16,128.82,129.28,126.68,127.00,2082692
