Date,Open,High,Low,Close,Volume
20-Oct-17,77.90,79.37,77.26,77.50,1382027
19-Oct-17,77.00,78.20,75.82,76.77,1311983
18-Oct-17,81.50,81.88,77.85,78.72,1368432
17-Oct-17,84.14,85.20,80.66,81.32,1145372
16-Oct-17,84.52,85.93,83.37,84.58,722097
13-Oct-17,84.20,86.26,83.20,84.27,1240070
12-Oct-17,82.79,84.35,81.75,84.21,1010795
11-Oct-17,83.17,85.27,82.47,82.78,1151856
10-Oct-17,84.14,84.51,81.57,82.82,944673
9-Oct-17,84.23,84.79,82.22,83.50,935521
6-Oct-17,82.85,85.56,82.22,84.39,1167683
5-Oct-17,81.96,83.30,80.30,83.23,1104128
4-Oct-17,82.59,84.00,81.00,81.98,925290
3-Oct-17,80.33,83.46,79.87,82.67,950882
2-Oct-17,82.18,82.94,78.37,80.36,1851343
29-Sep-17,80.41,83.93,80.14,82.40,1516795
28-Sep-17,76.76,80.78,74.95,80.11,2131371
27-Sep-17,72.70,77.45,72.67,76.86,1746384
26-Sep-17,76.05,77.21,71.99,72.34,1314971
25-Sep-17,78.12,78.40,75.52,75.96,1587495
22-Sep-17,76.19,78.90,75.01,78.56,1906898
21-Sep-17,75.08,76.99,73.98,76.95,1822463
20-Sep-17,75.67,76.60,73.75,75.04,1400297
19-Sep-17,78.53,78.56,73.00,76.01,2404440
18-Sep-17,69.67,76.99,69.20,76.74,4526943
15-Sep-17,69.87,70.39,68.76,69.46,1941564
14-Sep-17,70.71,71.30,69.55,70.03,863214
13-Sep-17,71.67,72.76,70.00,70.78,1853569
12-Sep-17,68.51,70.81,67.27,70.61,1435510
11-Sep-17,68.40,69.12,64.61,68.76,2863864
8-Sep-17,74.30,74.93,67.04,67.17,3076918
7-Sep-17,75.14,75.74,71.23,72.32,1538733
6-Sep-17,77.22,78.30,74.26,75.04,1132909
5-Sep-17,77.87,78.42,75.23,76.65,944465
1-Sep-17,76.72,79.10,76.16,78.26,1369105
31-Aug-17,74.62,76.65,73.20,76.07,1215018
30-Aug-17,70.60,74.59,70.15,73.87,1810515
29-Aug-17,72.59,72.82,70.58,70.64,1685898
28-Aug-17,74.09,75.68,72.64,73.71,1178909
25-Aug-17,74.51,75.28,72.34,73.16,920110
24-Aug-17,72.15,74.68,71.16,74.36,930382
23-Aug-17,71.93,72.72,71.01,71.61,583421
22-Aug-17,71.52,72.30,70.41,72.10,956284
21-Aug-17,71.93,72.57,70.50,71.20,938138
18-Aug-17,69.55,74.74,68.50,71.96,1903715
17-Aug-17,70.82,73.52,66.97,69.87,2889493
16-Aug-17,71.88,72.19,70.66,71.77,1113973
15-Aug-17,70.05,72.38,67.82,71.88,1384935
14-Aug-17,71.84,72.64,68.89,69.54,1094446
11-Aug-17,70.02,72.61,68.28,70.99,1287020
10-Aug-17,70.34,71.68,68.40,69.59,1844607
9-Aug-17,74.87,74.87,70.65,70.98,2122365
8-Aug-17,77.32,78.33,74.60,75.60,1284191
7-Aug-17,78.68,79.98,76.07,77.29,1391314
4-Aug-17,78.17,80.35,76.95,78.50,1312623
3-Aug-17,80.27,83.50,75.87,77.43,2075283
2-Aug-17,82.31,82.95,79.11,81.61,1625283
1-Aug-17,85.55,86.65,79.81,81.86,3069956
31-Jul-17,90.90,92.75,84.00,84.81,4760938
28-Jul-17,91.46,99.45,90.54,98.02,2366057
27-Jul-17,87.05,93.81,87.05,92.25,2679482
26-Jul-17,86.24,88.00,85.44,87.43,1024642
25-Jul-17,87.42,87.50,84.31,85.97,848881
24-Jul-17,86.98,87.23,84.33,87.04,1165960
21-Jul-17,85.26,89.05,85.03,86.64,1137156
20-Jul-17,84.10,87.40,83.46,85.27,1208448
19-Jul-17,85.94,86.75,83.28,83.85,1533406
18-Jul-17,88.62,89.26,84.81,84.99,1647032
17-Jul-17,91.55,91.88,88.10,88.87,1595306
14-Jul-17,92.12,94.48,91.46,91.55,1187605
13-Jul-17,95.78,95.93,88.65,92.49,3296022
