Date,Open,High,Low,Close,Volume
20-Oct-17,95.31,96.93,94.10,96.50,1470823
19-Oct-17,93.45,94.72,92.12,94.70,1428571
18-Oct-17,93.36,94.23,92.31,93.54,1900338
17-Oct-17,92.02,94.80,91.54,93.80,3005309
16-Oct-17,90.56,92.98,90.11,90.92,2485876
13-Oct-17,87.06,91.22,83.56,90.56,6397067
12-Oct-17,96.24,96.57,92.87,93.68,3221583
11-Oct-17,96.02,96.15,94.26,95.07,282235
10-Oct-17,97.48,97.48,95.17,96.35,1588927
9-Oct-17,97.59,97.95,96.15,97.22,860819
6-Oct-17,97.46,98.03,97.07,98.01,1113783
5-Oct-17,97.00,97.82,96.36,97.35,1534520
4-Oct-17,97.04,97.77,96.61,96.77,694342
3-Oct-17,97.03,98.28,95.83,96.97,971292
2-Oct-17,97.13,98.13,96.13,96.96,1870391
29-Sep-17,96.21,97.93,94.97,96.77,2096843
28-Sep-17,93.30,96.47,92.88,95.84,2671508
27-Sep-17,92.73,94.25,91.93,93.72,1405474
26-Sep-17,91.22,93.87,91.22,92.32,2202327
25-Sep-17,92.00,96.08,90.27,90.33,2109743
22-Sep-17,90.74,94.52,87.26,92.22,3495566
21-Sep-17,90.70,91.01,89.90,90.74,1655062
20-Sep-17,90.00,90.95,89.35,90.76,1865887
19-Sep-17,94.74,94.76,88.12,89.78,4711773
18-Sep-17,95.95,95.99,94.06,94.58,1618162
15-Sep-17,95.88,97.21,94.93,95.98,1945209
14-Sep-17,97.86,98.57,95.07,95.92,2073337
13-Sep-17,97.00,98.72,95.20,98.16,3576201
12-Sep-17,90.73,91.16,89.62,90.88,1008155
11-Sep-17,90.00,91.09,89.65,90.54,1388535
8-Sep-17,88.82,89.95,88.66,89.54,910344
7-Sep-17,88.52,89.56,87.75,89.08,845704
6-Sep-17,89.16,89.16,87.37,88.32,1329888
5-Sep-17,88.24,89.23,87.99,88.63,946747
1-Sep-17,88.90,88.90,87.00,88.62,901250
31-Aug-17,86.89,88.96,86.87,88.85,1335210
30-Aug-17,86.20,87.07,85.84,86.43,774707
29-Aug-17,85.90,86.46,84.89,86.22,645912
28-Aug-17,86.00,87.02,85.84,86.34,690171
25-Aug-17,86.04,86.88,85.75,85.90,1066850
24-Aug-17,86.07,86.50,85.44,86.00,633957
23-Aug-17,85.85,86.20,84.98,85.70,887215
22-Aug-17,84.31,86.38,84.31,86.25,1085242
21-Aug-17,83.64,84.67,83.43,84.26,1253165
18-Aug-17,83.73,83.96,83.03,83.49,872566
17-Aug-17,82.98,84.91,82.98,83.62,1644386
16-Aug-17,82.80,83.51,82.59,82.87,1539316
15-Aug-17,83.13,83.29,82.20,82.85,1036096
14-Aug-17,83.13,83.37,82.47,82.95,760621
11-Aug-17,81.50,82.37,81.00,82.14,767728
10-Aug-17,82.30,82.45,81.11,81.41,796065
9-Aug-17,82.69,83.30,82.17,82.73,838600
8-Aug-17,82.65,83.42,82.08,82.72,837136
