Date,Open,High,Low,Close,Volume
20-Oct-17,236.97,238.33,234.48,235.35,722378
19-Oct-17,236.55,236.70,234.62,236.08,861653
18-Oct-17,236.55,237.32,235.09,235.78,723547
17-Oct-17,237.80,238.19,235.52,235.98,551549
16-Oct-17,235.88,237.75,235.88,236.95,399569
13-Oct-17,236.85,236.85,235.10,236.00,310793
12-Oct-17,237.38,238.86,236.78,237.67,481972
11-Oct-17,233.37,235.60,233.37,235.50,60652
10-Oct-17,236.58,236.58,233.50,233.97,344697
9-Oct-17,240.62,241.00,235.51,236.62,399944
6-Oct-17,241.31,242.62,240.05,241.33,305294
5-Oct-17,241.35,242.10,239.24,241.67,241890
4-Oct-17,239.81,242.25,239.81,241.03,433443
3-Oct-17,240.02,242.01,238.33,240.12,423165
2-Oct-17,237.90,240.64,236.24,240.56,434613
29-Sep-17,231.16,237.30,230.77,237.11,484079
28-Sep-17,235.65,235.86,231.29,231.60,436533
27-Sep-17,235.85,236.62,233.66,235.42,413929
26-Sep-17,239.19,240.63,235.35,235.85,380244
25-Sep-17,238.98,241.16,237.34,239.85,519586
22-Sep-17,232.96,240.68,230.69,239.77,1196838
21-Sep-17,236.00,236.00,231.51,232.41,636793
20-Sep-17,236.50,239.40,232.80,236.11,736244
19-Sep-17,248.83,248.83,235.68,235.99,1168332
18-Sep-17,245.68,249.75,243.69,249.11,501191
15-Sep-17,247.77,248.01,244.76,245.21,862709
14-Sep-17,246.26,247.05,244.26,247.04,423908
13-Sep-17,249.65,249.65,246.37,246.60,319958
12-Sep-17,253.39,254.48,246.56,250.03,992297
11-Sep-17,252.81,253.99,251.41,253.39,418758
8-Sep-17,244.82,252.05,244.34,251.48,577385
7-Sep-17,241.50,245.05,240.38,244.81,487717
6-Sep-17,240.47,241.82,237.62,241.14,544650
5-Sep-17,236.25,240.03,235.70,239.91,650265
1-Sep-17,245.00,245.00,234.62,236.18,1026728
31-Aug-17,245.91,251.47,245.91,250.83,594524
30-Aug-17,246.55,248.31,245.47,246.11,443610
29-Aug-17,247.15,247.89,244.18,246.15,567392
28-Aug-17,247.25,248.22,246.01,247.63,288490
25-Aug-17,246.61,248.79,246.13,246.33,259818
24-Aug-17,247.03,247.58,245.42,245.66,158349
23-Aug-17,248.16,250.15,246.10,246.36,233262
22-Aug-17,247.35,250.37,246.98,249.12,513826
21-Aug-17,245.19,247.90,244.86,247.70,298810
18-Aug-17,245.75,246.92,244.50,245.05,896479
17-Aug-17,244.31,246.65,243.27,245.18,360857
16-Aug-17,243.08,245.20,242.51,244.57,303595
15-Aug-17,243.72,244.18,241.49,242.92,412995
14-Aug-17,243.87,244.01,242.27,243.28,430727
11-Aug-17,241.29,242.17,239.50,240.92,286217
10-Aug-17,241.29,243.11,239.18,239.99,334091
9-Aug-17,242.98,244.51,242.38,242.71,237995
8-Aug-17,244.63,245.37,243.04,243.59,148817
7-Aug-17,243.95,245.04,242.74,244.63,262855
4-Aug-17,244.90,245.62,242.82,243.72,140596
3-Aug-17,244.07,245.19,243.17,244.78,260677
2-Aug-17,245.44,246.35,241.16,244.27,296305
1-Aug-17,245.13,246.22,243.04,245.29,332273
31-Jul-17,-,-,243.00,243.87,455148
28-Jul-17,246.04,246.99,244.43,246.60,216275
27-Jul-17,247.38,247.62,243.65,246.64,295074
26-Jul-17,250.49,250.56,246.16,247.01,287679
25-Jul-17,250.76,251.56,247.99,250.83,364672
24-Jul-17,248.33,250.76,247.49,250.62,252549
21-Jul-17,250.90,251.74,246.20,248.41,370535
20-Jul-17,254.89,255.87,253.80,254.00,228796
19-Jul-17,254.71,256.39,254.29,254.90,355653
18-Jul-17,251.84,253.32,249.05,253.20,449785
17-Jul-17,251.44,252.85,250.72,251.98,518284
14-Jul-17,246.96,252.05,245.45,250.36,549153
13-Jul-17,248.45,248.95,243.91,246.45,494093
12-Jul-17,245.41,248.83,244.65,247.91,511718
11-Jul-17,244.34,245.01,242.58,244.53,438955
10-Jul-17,242.31,244.66,240.90,244.14,710505
7-Jul-17,237.18,243.27,236.75,242.73,586572
6-Jul-17,237.45,239.24,235.28,236.19,294007
5-Jul-17,236.48,238.55,234.55,238.03,465427
3-Jul-17,239.42,239.92,236.02,236.38,189349
30-Jun-17,238.27,241.25,237.02,239.42,490142
29-Jun-17,241.03,242.68,235.74,237.12,949143
28-Jun-17,244.95,245.30,241.56,242.35,495907
27-Jun-17,245.68,246.69,243.23,243.25,396098
26-Jun-17,246.55,248.50,245.53,246.76,266276
23-Jun-17,245.66,246.80,244.82,246.19,405469
22-Jun-17,244.04,247.80,243.36,245.06,499108
21-Jun-17,243.24,245.21,242.37,243.86,268893
20-Jun-17,242.81,245.89,242.50,242.79,256990
19-Jun-17,239.52,243.49,237.94,242.11,440774
16-Jun-17,240.08,241.50,238.86,238.95,586390
15-Jun-17,237.93,240.40,236.52,239.84,377723
14-Jun-17,241.88,242.36,237.71,238.99,313180
13-Jun-17,237.37,242.10,237.11,240.88,321055
12-Jun-17,237.13,237.48,231.27,236.75,537368
9-Jun-17,241.50,242.48,235.04,237.43,818535
8-Jun-17,241.98,242.99,239.92,241.76,582756
7-Jun-17,242.80,243.89,241.03,243.10,454056
6-Jun-17,240.53,242.24,238.90,241.62,333530
5-Jun-17,239.35,243.37,238.68,240.89,845337
