Date,Open,High,Low,Close,Volume
20-Oct-17,18.47,18.61,18.25,18.39,698808
19-Oct-17,18.47,18.47,17.96,18.30,692663
18-Oct-17,18.37,18.68,17.94,18.47,1360414
17-Oct-17,18.72,18.77,18.11,18.29,1498413
16-Oct-17,18.19,18.88,18.16,18.87,1655468
13-Oct-17,18.60,18.66,17.79,17.92,1573981
12-Oct-17,19.95,20.01,18.50,18.68,1948789
11-Oct-17,18.99,20.11,18.50,20.06,2299764
10-Oct-17,19.91,20.03,16.05,18.69,6624869
9-Oct-17,20.37,20.47,19.76,19.87,1476664
6-Oct-17,20.70,20.76,20.05,20.37,1194398
5-Oct-17,19.60,20.77,19.58,20.72,1808873
4-Oct-17,19.55,19.74,19.41,19.57,1040996
3-Oct-17,19.71,19.83,19.36,19.55,777121
2-Oct-17,19.50,19.81,19.21,19.73,1308955
29-Sep-17,19.00,19.58,18.89,19.30,1031700
28-Sep-17,19.30,19.40,18.91,18.94,1090541
27-Sep-17,18.86,19.60,18.76,19.26,1718529
26-Sep-17,19.45,19.55,18.25,18.73,2036880
25-Sep-17,18.49,19.36,18.26,19.13,2328917
22-Sep-17,17.41,18.42,17.27,18.20,1582183
21-Sep-17,17.95,17.95,17.40,17.51,880026
20-Sep-17,17.87,18.18,17.74,17.88,1748773
19-Sep-17,18.44,18.47,17.82,17.98,1130272
18-Sep-17,18.00,18.54,17.81,18.43,1327391
15-Sep-17,18.10,18.11,17.67,17.81,1421318
14-Sep-17,17.95,18.31,17.78,18.06,871087
13-Sep-17,17.93,18.12,17.77,18.04,883224
12-Sep-17,17.99,18.25,17.63,17.95,1338402
11-Sep-17,17.73,17.95,16.97,17.79,2009734
8-Sep-17,16.95,17.50,16.66,17.26,1603387
7-Sep-17,17.04,17.11,16.77,16.99,1574589
6-Sep-17,17.16,17.20,16.66,16.99,1374602
5-Sep-17,16.96,17.24,16.31,17.05,2261650
1-Sep-17,17.00,17.07,15.98,16.80,1877602
31-Aug-17,15.90,17.06,15.80,16.67,3026396
30-Aug-17,15.32,15.98,15.32,15.54,2156897
29-Aug-17,14.70,15.55,14.60,15.10,1798643
28-Aug-17,14.17,14.82,14.06,14.69,2108149
25-Aug-17,14.44,14.49,14.02,14.03,697712
24-Aug-17,14.63,14.66,14.26,14.43,582094
23-Aug-17,14.48,14.65,14.33,14.55,466721
22-Aug-17,14.37,14.55,14.21,14.54,702301
21-Aug-17,14.52,14.92,14.17,14.36,699088
18-Aug-17,14.51,14.72,14.43,14.52,653807
17-Aug-17,15.43,15.49,14.38,14.60,1475739
16-Aug-17,14.98,15.58,14.96,15.37,1782510
15-Aug-17,14.12,15.13,13.95,14.87,1645995
14-Aug-17,14.20,14.42,13.98,14.00,1010237
11-Aug-17,13.72,14.18,13.72,14.07,984598
10-Aug-17,14.14,14.23,13.65,13.68,1045357
9-Aug-17,14.10,14.68,13.94,14.27,821965
8-Aug-17,15.26,15.26,14.26,14.26,1603345
7-Aug-17,14.39,15.08,14.26,15.08,1285328
4-Aug-17,14.25,14.48,13.79,14.34,1158395
3-Aug-17,13.67,14.63,13.47,14.20,1936553
2-Aug-17,13.18,14.34,12.86,13.38,4044432
1-Aug-17,12.50,12.51,11.98,12.30,747599
31-Jul-17,12.20,12.53,12.15,12.47,851537
28-Jul-17,12.07,12.25,11.88,12.17,572136
27-Jul-17,12.24,12.65,11.92,12.12,710980
26-Jul-17,12.30,12.34,12.03,12.20,662746
25-Jul-17,12.61,12.61,12.13,12.34,778719
24-Jul-17,13.00,13.10,12.00,12.53,1239994
21-Jul-17,13.00,13.16,12.80,12.97,660723
20-Jul-17,12.99,13.22,12.63,12.95,953569
19-Jul-17,12.50,13.25,12.37,12.88,1915343
18-Jul-17,12.30,12.54,12.28,12.41,579357
17-Jul-17,12.30,12.35,12.01,12.16,451578
14-Jul-17,12.38,12.50,12.19,12.31,280812
13-Jul-17,12.51,12.56,12.17,12.35,626722
12-Jul-17,12.26,12.50,12.10,12.43,685286
11-Jul-17,12.02,12.44,12.01,12.19,656047
10-Jul-17,12.01,12.07,11.83,12.02,433214
7-Jul-17,11.95,12.06,11.86,12.03,534970
6-Jul-17,11.87,12.00,11.53,11.90,483751
5-Jul-17,11.98,12.14,11.95,11.99,527913
3-Jul-17,11.83,12.00,11.75,11.96,200508
30-Jun-17,11.97,12.00,11.78,11.80,484650
29-Jun-17,11.98,12.00,11.50,11.95,612966
28-Jun-17,11.76,12.10,11.62,11.98,811465
27-Jun-17,12.36,12.41,11.67,11.69,750759
26-Jun-17,12.67,12.74,12.33,12.36,1247884
23-Jun-17,12.15,12.55,11.85,12.53,2816694
22-Jun-17,12.06,12.57,12.03,12.09,818830
21-Jun-17,11.34,12.12,11.22,12.07,964898
20-Jun-17,10.98,11.37,10.92,11.23,591521
19-Jun-17,10.75,11.19,10.71,10.96,528514
16-Jun-17,10.59,10.81,10.50,10.66,1438238
15-Jun-17,10.50,10.76,10.40,10.69,656997
14-Jun-17,10.89,10.90,10.49,10.55,1276670
13-Jun-17,11.02,11.16,10.63,10.88,866500
12-Jun-17,11.47,11.71,10.93,10.97,1177090
9-Jun-17,11.58,11.80,11.36,11.52,1023190
8-Jun-17,11.76,11.82,11.25,11.51,2082201
7-Jun-17,12.14,12.51,11.96,12.48,912252
6-Jun-17,12.00,12.23,11.83,12.16,720909
5-Jun-17,12.02,12.02,11.65,12.00,845494
2-Jun-17,11.53,12.08,11.48,12.02,790892
1-Jun-17,11.32,11.67,11.12,11.50,795073
31-May-17,11.49,11.83,11.12,11.31,3194487
30-May-17,12.27,12.49,11.49,11.49,1124546
26-May-17,11.78,12.36,11.78,12.29,1264095
25-May-17,12.26,12.34,11.41,11.66,971137
24-May-17,11.85,12.40,11.77,12.13,1603795
23-May-17,11.96,12.03,11.67,11.86,727599
22-May-17,11.86,12.23,11.64,11.89,1209725
19-May-17,11.47,11.89,11.43,11.78,1410167
18-May-17,10.56,11.49,10.41,11.41,1491479
17-May-17,10.71,10.96,10.48,10.58,883786
16-May-17,10.68,10.87,10.57,10.86,520409
15-May-17,10.62,10.92,10.62,10.68,760856
12-May-17,10.05,10.50,9.92,10.47,826110
11-May-17,9.90,10.20,9.90,10.04,825927
10-May-17,10.22,10.25,9.87,9.90,929987
9-May-17,9.61,10.50,9.59,10.25,1773958
8-May-17,9.34,9.42,9.24,9.28,548227
5-May-17,9.77,9.91,9.39,9.40,674649
4-May-17,9.68,9.84,9.52,9.74,861856
3-May-17,9.05,9.69,9.05,9.65,1182824
2-May-17,10.53,10.53,9.00,9.07,2229454
1-May-17,9.56,9.82,9.56,9.67,1314266
28-Apr-17,9.32,9.66,9.32,9.54,851536
27-Apr-17,9.27,9.42,9.21,9.34,571416
26-Apr-17,9.38,9.44,9.19,9.26,752428
25-Apr-17,9.25,9.43,9.22,9.27,893893
24-Apr-17,9.21,9.47,9.14,9.20,737450
21-Apr-17,10.00,10.01,8.90,9.11,2831857
20-Apr-17,10.16,10.26,9.85,9.99,1039345
19-Apr-17,10.84,10.89,9.95,10.08,1542641
18-Apr-17,11.17,11.24,10.69,10.82,666546
