Date,Open,High,Low,Close,Volume
20-Oct-17,115.66,115.96,114.84,115.17,324047
19-Oct-17,114.76,115.60,114.17,115.35,498602
18-Oct-17,114.58,114.94,114.01,114.70,264321
17-Oct-17,114.02,114.50,113.81,114.23,171888
16-Oct-17,113.77,114.61,112.94,114.07,265098
13-Oct-17,112.75,113.17,111.90,112.92,250821
12-Oct-17,112.65,113.83,112.35,112.59,428894
11-Oct-17,111.74,112.36,111.74,112.26,7934
10-Oct-17,110.82,111.84,110.82,111.80,246651
9-Oct-17,110.57,110.82,109.50,110.46,221350
6-Oct-17,109.91,110.59,109.27,109.90,207181
5-Oct-17,109.72,110.52,109.02,110.12,373130
4-Oct-17,109.30,109.74,108.78,109.58,268828
3-Oct-17,108.92,109.42,108.61,109.32,293937
2-Oct-17,108.05,109.00,107.99,108.93,443420
29-Sep-17,106.94,108.41,106.84,108.02,330920
28-Sep-17,106.90,107.34,106.47,106.93,295185
27-Sep-17,105.96,107.31,105.89,107.03,297801
26-Sep-17,105.82,106.19,105.00,105.43,328796
25-Sep-17,105.24,106.32,104.45,105.84,251177
22-Sep-17,105.52,105.83,104.30,105.51,428696
21-Sep-17,105.68,105.97,105.22,105.38,229597
20-Sep-17,105.58,106.48,105.13,105.80,571137
19-Sep-17,107.25,107.32,105.52,105.68,404609
18-Sep-17,106.35,107.47,105.87,107.29,401166
15-Sep-17,106.02,106.53,105.32,106.02,572862
14-Sep-17,107.36,108.22,106.07,106.31,489499
13-Sep-17,109.16,109.42,107.39,107.53,552818
12-Sep-17,108.66,109.26,108.06,109.26,462360
11-Sep-17,108.93,108.93,107.86,108.57,493633
8-Sep-17,108.71,109.59,108.07,108.18,485240
7-Sep-17,108.25,109.27,107.31,109.25,353591
6-Sep-17,108.15,108.27,106.84,107.86,450896
5-Sep-17,107.95,108.91,106.90,107.45,357127
1-Sep-17,108.93,109.38,108.08,108.22,326677
31-Aug-17,107.07,108.85,107.07,108.80,396951
30-Aug-17,106.21,107.39,105.94,106.80,347542
29-Aug-17,105.86,106.64,105.66,106.43,469149
28-Aug-17,105.27,106.44,105.10,105.81,346540
25-Aug-17,105.33,106.19,104.97,105.03,428326
24-Aug-17,103.82,105.42,103.52,104.99,266400
23-Aug-17,103.65,104.90,103.42,103.66,569025
22-Aug-17,101.37,104.09,101.18,103.98,406203
21-Aug-17,99.97,101.38,99.83,101.21,315300
18-Aug-17,99.43,100.42,98.90,99.98,321047
17-Aug-17,99.29,100.63,98.42,99.71,439360
16-Aug-17,99.04,100.00,99.01,99.38,299842
15-Aug-17,98.25,99.19,97.97,98.58,210665
14-Aug-17,98.31,98.52,96.83,98.15,264797
11-Aug-17,96.38,99.04,96.20,97.97,499107
10-Aug-17,98.28,98.89,96.64,96.72,653010
9-Aug-17,97.66,98.93,94.15,98.36,529181
8-Aug-17,99.60,100.68,98.19,98.36,447724
7-Aug-17,99.60,99.90,98.90,99.60,372703
4-Aug-17,99.87,99.97,99.20,99.53,208349
3-Aug-17,99.25,99.67,98.81,99.50,310583
2-Aug-17,99.11,99.86,98.59,99.53,227611
1-Aug-17,98.84,98.97,97.72,98.87,344921
31-Jul-17,-,-,-,98.20,347162
28-Jul-17,98.42,98.73,96.08,97.53,445634
27-Jul-17,99.61,99.81,98.21,98.44,317448
26-Jul-17,100.30,100.68,99.16,99.44,367745
25-Jul-17,101.57,101.70,99.96,100.19,442827
24-Jul-17,101.16,102.10,101.05,101.72,172453
21-Jul-17,101.03,101.83,100.57,101.16,137343
20-Jul-17,100.46,101.24,100.30,101.10,173680
19-Jul-17,100.15,100.46,99.07,100.13,220500
18-Jul-17,100.75,100.75,99.33,99.69,226562
17-Jul-17,100.88,101.59,100.26,100.70,158196
14-Jul-17,100.82,101.24,100.28,100.56,160733
13-Jul-17,100.22,100.98,98.55,100.65,263670
12-Jul-17,99.86,101.03,98.07,99.97,247857
11-Jul-17,99.28,100.52,99.04,99.39,233412
10-Jul-17,100.13,100.20,98.72,99.25,316786
7-Jul-17,99.86,100.50,99.79,100.25,224675
6-Jul-17,100.53,100.85,99.16,99.26,316326
5-Jul-17,101.24,101.81,100.70,101.23,309771
3-Jul-17,101.61,101.61,100.62,101.06,136100
30-Jun-17,101.89,101.89,100.73,101.15,288042
29-Jun-17,101.50,102.32,100.78,101.54,384771
28-Jun-17,100.34,101.69,100.24,101.20,197836
27-Jun-17,100.64,101.27,99.59,99.90,302828
26-Jun-17,100.49,101.20,99.60,100.63,205515
23-Jun-17,100.35,100.98,99.95,100.29,434152
22-Jun-17,99.62,101.23,98.92,100.41,417719
21-Jun-17,99.25,99.82,98.97,99.46,423537
20-Jun-17,97.54,99.50,97.07,99.10,612332
19-Jun-17,96.00,97.92,95.98,97.75,343576
16-Jun-17,95.46,95.83,95.14,95.76,525918
15-Jun-17,94.21,95.16,94.14,95.15,231032
14-Jun-17,94.56,94.96,93.96,94.80,331520
13-Jun-17,93.95,94.64,93.71,94.14,189799
12-Jun-17,94.12,94.39,92.67,93.53,298033
9-Jun-17,95.32,95.83,94.03,94.23,539882
8-Jun-17,93.40,95.41,93.10,95.19,391836
7-Jun-17,93.18,93.89,92.82,93.50,228160
6-Jun-17,93.59,93.65,92.55,93.07,254634
5-Jun-17,93.63,94.00,93.00,93.61,170993
2-Jun-17,93.75,94.07,93.29,93.72,195598
1-Jun-17,92.53,93.66,92.28,93.45,266045
31-May-17,91.98,92.38,91.47,92.05,216443
30-May-17,92.65,92.96,91.57,91.79,303466
26-May-17,92.22,93.08,92.18,92.60,195100
25-May-17,91.72,92.91,91.33,92.26,215586
24-May-17,90.60,92.04,90.29,91.70,254720
23-May-17,90.87,90.96,90.21,90.62,184361
22-May-17,89.61,90.97,89.37,90.39,497746
19-May-17,89.56,90.05,88.86,89.60,218973
18-May-17,88.61,89.58,87.92,89.40,309450
17-May-17,89.47,89.66,88.38,88.48,303810
16-May-17,89.93,90.32,89.36,90.19,333250
15-May-17,88.19,89.93,88.14,89.63,364001
12-May-17,88.43,88.91,87.72,88.28,565456
11-May-17,89.99,90.02,87.44,88.23,811962
10-May-17,87.28,90.51,86.97,90.22,1038205
9-May-17,91.68,92.61,91.08,91.70,728439
8-May-17,90.34,91.88,89.74,91.52,559524
5-May-17,90.69,90.80,90.11,90.59,261755
4-May-17,90.47,90.98,89.82,90.49,310440
3-May-17,90.38,90.95,89.19,90.03,238890
2-May-17,90.26,90.86,89.60,90.36,384903
1-May-17,89.99,90.83,89.24,90.43,750533
28-Apr-17,89.45,89.77,89.03,89.70,263123
27-Apr-17,88.61,90.14,88.37,89.62,295591
26-Apr-17,88.72,89.70,88.26,88.31,407909
