Date,Open,High,Low,Close,Volume
20-Oct-17,58.99,59.97,58.99,59.35,2576555
19-Oct-17,57.66,59.30,57.44,58.70,2148684
18-Oct-17,56.62,58.76,56.62,57.72,2787962
17-Oct-17,56.87,57.11,56.44,56.49,2239616
16-Oct-17,55.23,57.58,55.14,56.93,3385677
13-Oct-17,54.22,54.97,53.78,54.73,2479297
12-Oct-17,54.57,54.74,53.86,54.40,2196055
11-Oct-17,54.55,55.63,54.33,55.00,1274767
10-Oct-17,55.41,55.55,53.58,54.32,6167553
9-Oct-17,56.91,57.44,53.86,53.89,5943810
6-Oct-17,60.18,60.41,59.68,59.82,1222027
5-Oct-17,59.91,60.56,59.66,60.38,1503911
4-Oct-17,60.85,61.04,59.89,59.92,1484132
3-Oct-17,60.44,61.14,60.04,60.91,1095001
2-Oct-17,59.55,60.59,59.55,60.18,1762867
29-Sep-17,58.77,59.48,58.72,59.39,1371889
28-Sep-17,58.42,58.83,57.95,58.47,1501157
27-Sep-17,58.47,58.98,57.81,58.31,1735338
26-Sep-17,57.82,58.59,57.33,58.47,1803073
25-Sep-17,57.43,58.26,57.01,57.68,2343998
22-Sep-17,61.23,61.69,56.14,57.49,7743544
21-Sep-17,60.44,61.52,60.24,61.26,2206175
20-Sep-17,59.27,60.85,59.20,60.53,1919206
19-Sep-17,60.69,60.69,58.80,59.28,2038945
18-Sep-17,59.68,61.03,59.68,60.71,2169706
15-Sep-17,59.53,59.68,59.12,59.63,2154799
14-Sep-17,59.75,59.92,59.50,59.71,1234953
13-Sep-17,60.15,60.45,59.62,59.78,1221362
12-Sep-17,59.66,60.68,59.59,60.29,1911642
11-Sep-17,58.96,60.40,58.96,59.80,1917025
8-Sep-17,57.30,58.37,57.04,58.31,925495
7-Sep-17,57.60,57.60,57.02,57.37,1376736
6-Sep-17,57.50,57.53,56.76,57.42,1369857
5-Sep-17,57.69,57.87,56.93,57.23,1212477
1-Sep-17,58.68,58.83,57.38,57.88,1266888
31-Aug-17,57.71,58.68,57.45,58.56,1624246
30-Aug-17,57.06,57.60,56.80,57.52,1069909
29-Aug-17,57.13,57.34,56.59,57.07,973653
28-Aug-17,57.54,57.78,57.20,57.32,1053436
25-Aug-17,57.15,57.80,57.07,57.23,1180479
24-Aug-17,56.96,57.71,56.80,56.94,1261723
23-Aug-17,56.68,56.91,56.31,56.71,865988
22-Aug-17,56.50,56.90,56.46,56.78,1026435
21-Aug-17,56.29,56.71,55.87,56.47,1223033
18-Aug-17,56.50,56.66,56.01,56.23,973264
17-Aug-17,57.30,57.91,56.54,56.56,1021763
16-Aug-17,57.16,57.51,57.02,57.34,951160
15-Aug-17,56.91,57.23,56.71,56.98,1243308
14-Aug-17,57.00,57.33,56.79,56.92,2211434
11-Aug-17,56.10,56.77,56.00,56.55,1332485
10-Aug-17,56.32,56.48,55.59,56.13,1579925
9-Aug-17,56.72,57.07,56.00,56.52,2014633
8-Aug-17,56.85,57.15,55.94,57.05,2437468
7-Aug-17,57.70,57.76,56.84,56.85,1945833
4-Aug-17,58.46,58.54,57.30,57.70,1669657
3-Aug-17,58.51,59.04,57.96,58.50,2405755
2-Aug-17,64.49,65.34,58.19,58.46,4942645
1-Aug-17,65.03,65.28,64.05,64.13,1667361
31-Jul-17,-,-,64.72,64.78,935040
28-Jul-17,64.89,65.60,64.69,65.47,763086
27-Jul-17,64.75,64.91,64.17,64.88,998645
26-Jul-17,65.24,65.26,64.23,64.89,866708
25-Jul-17,65.55,65.95,64.89,65.37,989545
24-Jul-17,65.75,66.15,65.32,65.48,996732
21-Jul-17,66.18,66.48,65.50,65.76,1029831
20-Jul-17,65.40,66.64,65.40,66.42,1351680
19-Jul-17,65.35,65.67,65.05,65.41,874702
18-Jul-17,65.26,65.32,64.51,65.21,1544168
17-Jul-17,64.83,65.74,64.52,65.27,1382083
14-Jul-17,64.18,65.00,64.13,64.70,1359506
13-Jul-17,63.90,64.46,63.36,64.24,800054
12-Jul-17,63.67,64.23,63.46,63.88,1239040
11-Jul-17,62.61,63.48,62.43,63.36,1434631
10-Jul-17,63.16,63.42,62.11,62.34,2410320
7-Jul-17,63.05,63.48,62.35,63.42,1060004
