Date,Open,High,Low,Close,Volume
20-Oct-17,45.10,45.51,44.46,44.78,918124
19-Oct-17,44.98,45.21,43.90,44.98,1326838
18-Oct-17,44.98,45.34,44.03,44.95,1322915
17-Oct-17,45.24,45.50,43.87,44.99,1527495
16-Oct-17,45.80,45.97,44.57,44.97,2195878
13-Oct-17,46.46,46.51,45.73,46.04,1441634
12-Oct-17,47.25,47.50,46.23,46.84,1078129
11-Oct-17,46.38,47.22,46.15,47.20,1294997
10-Oct-17,47.21,47.49,45.76,46.10,2403475
9-Oct-17,47.87,48.06,47.08,47.28,1704529
6-Oct-17,48.20,48.40,47.55,47.74,2292279
5-Oct-17,47.97,48.83,47.07,48.00,4856883
4-Oct-17,46.82,48.15,46.53,48.10,3834847
3-Oct-17,49.71,49.98,46.31,47.18,4588459
2-Oct-17,49.32,50.31,48.75,49.66,3585513
29-Sep-17,45.75,49.16,45.61,48.92,9357971
28-Sep-17,47.89,48.00,42.62,45.44,30792065
27-Sep-17,68.42,68.85,67.36,67.47,772289
26-Sep-17,69.39,69.41,67.87,67.92,539158
25-Sep-17,70.00,70.17,68.60,69.15,751205
22-Sep-17,69.72,70.28,69.10,69.99,672667
21-Sep-17,70.32,70.44,69.24,69.50,495380
20-Sep-17,69.28,70.27,68.92,70.23,870140
19-Sep-17,69.24,69.59,68.08,69.46,1017357
18-Sep-17,70.76,71.01,68.88,69.26,1169968
15-Sep-17,71.94,72.49,70.10,70.29,824870
14-Sep-17,74.43,74.43,72.22,72.35,715506
13-Sep-17,73.34,75.44,73.34,74.96,855006
12-Sep-17,73.51,73.90,72.59,73.61,732061
11-Sep-17,71.81,73.25,70.90,73.13,1970902
8-Sep-17,71.12,71.31,69.73,71.26,1231920
7-Sep-17,74.95,75.43,71.09,71.23,1385506
6-Sep-17,76.19,76.39,74.10,75.13,1554549
5-Sep-17,74.49,75.92,73.81,75.85,2001792
1-Sep-17,74.74,75.18,73.79,74.96,872341
31-Aug-17,73.91,75.64,73.91,74.61,1047778
30-Aug-17,75.05,75.05,73.97,74.14,1182918
29-Aug-17,75.20,75.54,74.87,75.23,663935
28-Aug-17,75.23,75.82,74.72,75.45,1127822
25-Aug-17,75.67,76.11,75.24,75.52,954939
24-Aug-17,75.16,75.89,74.65,75.50,637351
23-Aug-17,75.31,75.98,74.79,75.19,739424
22-Aug-17,73.57,78.92,73.06,75.91,1789954
21-Aug-17,73.15,73.65,72.17,73.06,905039
18-Aug-17,72.58,74.49,72.13,73.20,1234880
17-Aug-17,72.97,73.67,72.70,72.78,1351350
16-Aug-17,71.78,73.47,71.18,73.06,752124
15-Aug-17,71.69,71.69,70.67,71.22,539305
14-Aug-17,70.32,72.25,69.90,71.62,864471
11-Aug-17,69.67,70.28,69.05,69.60,940650
10-Aug-17,71.37,71.51,69.65,69.80,1653663
9-Aug-17,70.94,71.64,70.55,71.54,1043996
8-Aug-17,71.20,71.82,71.03,71.31,1057393
7-Aug-17,70.98,71.61,70.87,71.31,645270
4-Aug-17,71.26,71.57,70.85,71.14,866915
3-Aug-17,71.29,71.99,70.14,70.74,2140675
2-Aug-17,71.65,71.77,69.74,71.30,4152199
1-Aug-17,67.00,67.54,66.82,66.84,1655813
31-Jul-17,67.02,67.36,66.28,66.61,1108954
28-Jul-17,66.46,67.37,66.00,67.05,1960616
27-Jul-17,69.06,69.06,66.25,66.49,2108388
26-Jul-17,69.85,70.40,68.74,68.75,851623
25-Jul-17,69.78,70.99,68.87,70.00,1434237
24-Jul-17,69.31,70.47,69.19,69.71,1580473
21-Jul-17,69.68,70.52,69.08,69.52,510950
20-Jul-17,70.38,70.72,69.84,70.01,642160
19-Jul-17,69.94,70.37,69.40,70.00,1158311
18-Jul-17,70.70,70.75,69.65,69.97,761190
17-Jul-17,71.91,72.10,69.83,70.69,1992186
14-Jul-17,70.25,72.38,69.96,71.72,1065972
13-Jul-17,70.00,70.82,68.34,70.04,2679070
12-Jul-17,71.94,72.82,71.28,71.79,620072
11-Jul-17,70.90,71.52,69.52,71.49,892825
10-Jul-17,72.16,72.30,70.50,70.96,700725
7-Jul-17,71.27,72.37,70.81,72.35,650401
6-Jul-17,72.95,73.20,71.09,71.17,847524
5-Jul-17,72.52,73.55,71.17,73.16,699752
3-Jul-17,73.16,74.18,71.80,72.52,326763
30-Jun-17,73.68,73.76,72.52,73.15,409879
29-Jun-17,75.27,75.27,72.50,73.27,1750134
28-Jun-17,75.09,75.68,74.00,75.28,727960
27-Jun-17,77.81,78.00,74.10,74.94,1284958
26-Jun-17,77.60,78.15,75.91,77.75,859637
23-Jun-17,78.47,79.05,77.27,77.33,903940
22-Jun-17,78.20,79.31,78.20,78.68,770738
21-Jun-17,77.77,79.05,77.77,78.33,991293
20-Jun-17,77.95,78.48,77.37,77.84,1357524
19-Jun-17,76.56,78.73,76.38,77.96,1382482
16-Jun-17,76.13,76.69,75.24,76.26,1835042
15-Jun-17,74.00,75.69,73.96,75.61,1543028
14-Jun-17,72.72,74.78,72.16,74.67,853753
13-Jun-17,71.63,73.98,71.23,72.82,1029600
12-Jun-17,69.19,72.13,68.45,71.68,1029883
9-Jun-17,70.33,71.53,67.68,68.99,857856
8-Jun-17,69.36,70.63,68.69,70.10,445184
7-Jun-17,70.38,70.99,68.39,69.27,843447
6-Jun-17,70.13,70.61,68.49,69.74,1779400
5-Jun-17,67.32,72.36,66.82,71.19,3591641
2-Jun-17,67.17,68.01,66.69,67.68,802985
1-Jun-17,66.38,67.49,66.31,66.85,999160
31-May-17,68.54,68.63,66.16,66.84,969839
30-May-17,68.68,68.69,67.87,68.38,646163
26-May-17,69.35,69.46,68.12,68.65,464998
25-May-17,68.50,69.35,67.90,69.15,1040545
24-May-17,67.78,68.35,67.11,68.26,855616
23-May-17,68.85,69.41,67.48,67.58,576171
22-May-17,68.76,69.15,67.64,68.85,1091354
19-May-17,68.79,69.00,66.91,67.66,1632226
18-May-17,67.90,68.94,67.11,68.66,849196
17-May-17,69.50,69.52,67.73,68.05,723069
16-May-17,71.25,71.25,69.47,69.70,1247613
15-May-17,70.65,72.16,70.27,71.53,1249390
12-May-17,68.94,70.62,68.71,70.42,1297106
11-May-17,71.20,72.32,68.86,68.94,1051617
10-May-17,71.93,72.67,70.27,71.10,1119331
9-May-17,73.00,73.00,71.94,71.99,1703936
8-May-17,75.20,75.87,72.82,73.40,2173518
5-May-17,76.35,78.49,75.65,76.21,2159607
4-May-17,74.60,75.53,73.12,75.38,1527021
3-May-17,74.50,76.50,72.70,73.91,5379510
2-May-17,79.85,81.91,78.66,81.65,1695842
1-May-17,77.90,79.92,77.80,79.60,876146
28-Apr-17,78.82,78.98,77.39,77.96,701992
27-Apr-17,76.81,79.42,76.69,77.93,870369
26-Apr-17,75.37,76.29,74.59,75.68,772698
25-Apr-17,75.00,75.93,74.67,74.94,662570
24-Apr-17,76.39,76.87,74.81,74.89,891553
21-Apr-17,75.73,76.12,75.20,75.23,416082
20-Apr-17,74.35,76.25,74.10,75.90,409853
19-Apr-17,73.80,74.51,72.74,74.10,833064
18-Apr-17,75.05,75.30,73.44,73.76,791913
17-Apr-17,76.23,76.61,75.17,75.24,664512
13-Apr-17,74.78,76.53,72.62,76.06,988472
12-Apr-17,76.95,77.47,76.52,76.77,321873
11-Apr-17,78.50,78.61,76.05,77.09,699997
10-Apr-17,78.19,79.03,78.04,78.10,505274
7-Apr-17,79.75,79.95,78.44,78.76,731593
6-Apr-17,80.30,80.45,78.60,80.25,665380
5-Apr-17,82.04,82.30,79.79,80.05,755802
4-Apr-17,83.75,84.78,81.51,81.90,631916
3-Apr-17,84.75,85.32,82.93,83.97,773607
31-Mar-17,84.69,85.67,84.48,84.73,518603
30-Mar-17,85.21,85.49,84.11,85.03,469700
29-Mar-17,84.32,86.32,83.76,85.19,1211491
28-Mar-17,83.15,84.30,82.93,84.01,636109
27-Mar-17,82.12,83.60,81.58,83.40,753641
24-Mar-17,78.82,84.31,78.77,82.62,1487708
23-Mar-17,76.15,77.56,75.79,76.08,786798
22-Mar-17,76.30,77.20,75.11,76.90,918571
21-Mar-17,79.86,80.73,76.11,76.49,1067805
20-Mar-17,78.89,80.06,78.33,79.62,613168
17-Mar-17,77.28,79.39,76.47,78.89,674368
16-Mar-17,77.68,78.18,76.75,77.38,702722
15-Mar-17,77.05,78.33,77.05,77.21,672806
14-Mar-17,77.16,78.47,76.90,77.47,614246
13-Mar-17,77.05,78.50,76.90,77.60,762253
10-Mar-17,77.71,78.50,76.85,78.34,1528457
9-Mar-17,78.05,79.00,77.01,77.55,885322
8-Mar-17,78.79,79.71,78.09,78.24,465010
7-Mar-17,78.71,79.00,77.44,78.59,1456735
6-Mar-17,79.77,80.24,77.62,78.36,932445
3-Mar-17,79.98,81.69,79.50,80.44,1013443
2-Mar-17,81.50,82.94,80.83,81.04,668682
1-Mar-17,78.40,84.09,78.40,81.47,1525196
28-Feb-17,79.14,79.14,77.24,78.16,1479552
27-Feb-17,78.21,79.34,75.53,79.21,923408
24-Feb-17,77.09,78.91,76.86,78.50,633957
23-Feb-17,78.49,79.18,77.10,77.96,882240
