Date,Open,High,Low,Close,Volume
20-Oct-17,58.90,60.00,58.44,59.51,5173553
19-Oct-17,57.72,58.92,57.61,58.75,3797088
18-Oct-17,56.20,59.04,55.80,57.77,7866080
17-Oct-17,56.84,57.36,56.62,57.21,3412098
16-Oct-17,57.14,57.54,56.65,56.81,3674621
13-Oct-17,57.86,57.86,56.82,57.14,3729017
12-Oct-17,57.81,58.18,57.41,57.67,3766891
11-Oct-17,58.27,58.43,57.56,57.71,4819683
10-Oct-17,58.53,59.76,57.88,58.18,5880277
9-Oct-17,61.28,61.50,58.84,59.22,6375318
6-Oct-17,64.07,64.17,62.03,62.36,4774033
5-Oct-17,64.00,64.19,63.62,64.01,3066997
4-Oct-17,63.58,64.08,63.47,63.98,2127455
3-Oct-17,63.77,63.87,63.38,63.65,2078369
2-Oct-17,63.37,64.29,63.32,63.63,3004490
29-Sep-17,63.12,64.12,63.00,63.32,3891946
28-Sep-17,62.78,63.42,62.64,63.07,2235054
27-Sep-17,63.11,63.34,62.06,62.96,2215016
26-Sep-17,62.43,63.17,62.43,63.05,2233474
25-Sep-17,62.17,63.15,62.00,62.47,2960650
22-Sep-17,61.65,62.36,61.39,62.29,2916660
21-Sep-17,61.73,62.27,61.30,61.72,3542705
20-Sep-17,61.00,63.25,60.35,61.82,6855729
19-Sep-17,62.12,62.24,60.67,61.00,7207248
18-Sep-17,62.66,62.95,62.00,62.01,2458145
15-Sep-17,62.30,62.65,61.84,62.65,7853916
14-Sep-17,63.02,63.15,62.27,62.34,2408588
13-Sep-17,62.66,63.25,62.43,63.24,2741978
12-Sep-17,63.74,63.79,62.42,62.64,4313062
11-Sep-17,63.40,64.30,63.27,63.67,3413862
8-Sep-17,62.33,63.18,62.06,62.90,2287339
7-Sep-17,62.68,62.91,62.15,62.34,2322996
6-Sep-17,62.13,62.74,61.86,62.69,3077273
5-Sep-17,61.98,62.20,61.18,61.75,2654470
1-Sep-17,62.93,63.10,62.12,62.16,2458504
31-Aug-17,61.74,62.96,61.61,62.82,3122156
30-Aug-17,61.09,61.56,60.91,61.53,1957415
29-Aug-17,60.90,61.46,60.66,61.38,2420508
28-Aug-17,61.06,61.60,60.99,61.17,2196113
25-Aug-17,60.73,61.23,60.67,60.79,1426493
24-Aug-17,61.06,61.45,60.32,60.51,2546519
23-Aug-17,61.48,61.56,60.93,60.93,2842328
22-Aug-17,60.52,61.78,60.45,61.62,2915257
21-Aug-17,60.65,60.95,60.02,60.33,2674387
18-Aug-17,60.53,61.02,60.43,60.56,2382740
17-Aug-17,61.86,62.24,60.92,61.04,2913407
16-Aug-17,61.73,62.39,61.48,62.00,2055354
15-Aug-17,61.30,61.87,61.17,61.73,2677186
14-Aug-17,61.04,61.58,60.80,61.31,2650944
11-Aug-17,60.50,61.02,60.31,60.82,2898864
10-Aug-17,61.00,61.36,60.24,60.30,4307052
9-Aug-17,62.06,62.14,60.71,61.20,3971717
8-Aug-17,62.16,62.76,61.74,62.24,2975079
7-Aug-17,62.42,62.42,61.53,62.32,2207277
4-Aug-17,62.83,62.88,62.38,62.53,2848358
3-Aug-17,61.89,62.98,61.89,62.60,2965060
2-Aug-17,61.99,62.28,61.22,61.98,3135934
1-Aug-17,62.72,62.92,62.17,62.36,2681547
31-Jul-17,62.90,63.36,62.60,62.64,3184863
28-Jul-17,62.48,63.06,62.01,62.90,3038852
27-Jul-17,63.37,63.38,61.45,62.33,3840255
26-Jul-17,63.00,65.50,62.82,63.47,7578250
25-Jul-17,62.80,63.27,62.25,62.56,3461456
24-Jul-17,62.31,62.67,62.24,62.61,2037408
21-Jul-17,62.44,63.00,62.16,62.50,2098090
20-Jul-17,62.19,62.99,62.03,62.64,2264678
19-Jul-17,62.64,62.98,61.91,62.05,3846170
18-Jul-17,62.67,62.92,62.31,62.65,2025371
17-Jul-17,62.14,63.18,62.02,62.72,2151647
14-Jul-17,61.92,62.26,61.70,62.14,2046136
13-Jul-17,61.97,61.97,61.45,61.72,2135144
12-Jul-17,61.97,62.28,61.76,62.12,2748714
11-Jul-17,61.83,61.84,61.06,61.56,2155440
10-Jul-17,62.48,62.53,61.35,61.83,5126635
7-Jul-17,62.77,62.98,62.12,62.50,2969091
6-Jul-17,63.50,63.60,62.36,62.53,2833485
5-Jul-17,63.89,64.19,63.39,63.68,2482106
