Date,Open,High,Low,Close,Volume
20-Oct-17,47.87,49.34,47.61,49.15,1662604
19-Oct-17,46.84,47.55,46.48,47.53,1798133
18-Oct-17,46.78,47.37,46.40,46.62,868207
17-Oct-17,47.15,47.48,46.09,46.49,1589120
16-Oct-17,47.62,47.98,47.05,47.20,894769
13-Oct-17,48.00,48.05,45.20,47.41,1909784
12-Oct-17,48.71,49.12,47.98,48.07,1225466
11-Oct-17,48.55,49.03,48.17,48.91,1038806
10-Oct-17,48.14,48.84,47.89,48.60,1212781
9-Oct-17,48.63,48.92,47.75,47.99,1353088
6-Oct-17,48.13,49.02,48.05,48.63,1173686
5-Oct-17,48.57,48.74,47.36,48.13,1214308
4-Oct-17,49.06,49.25,47.18,47.99,1728117
3-Oct-17,49.08,50.65,48.51,49.12,2992065
2-Oct-17,47.02,47.94,46.57,47.94,1373470
29-Sep-17,46.43,47.27,45.94,47.12,1792924
28-Sep-17,47.15,47.56,46.36,46.41,1889308
27-Sep-17,45.93,47.49,45.65,47.08,1685269
26-Sep-17,45.87,46.21,45.32,45.82,1346477
25-Sep-17,45.93,47.09,45.35,45.80,2204809
22-Sep-17,45.30,46.15,44.62,45.96,2154532
21-Sep-17,44.00,45.80,43.91,45.00,2929020
20-Sep-17,42.86,43.45,42.46,43.40,1436729
19-Sep-17,42.59,42.87,42.45,42.79,886224
18-Sep-17,42.32,42.84,42.02,42.49,1286764
15-Sep-17,41.63,42.83,41.50,42.75,2795031
14-Sep-17,42.04,42.23,41.37,41.65,1053593
13-Sep-17,42.50,42.80,41.94,42.11,968222
12-Sep-17,42.85,42.92,42.16,42.78,1182884
11-Sep-17,42.90,43.50,42.49,42.79,1000094
8-Sep-17,42.73,43.08,41.84,42.46,1698643
7-Sep-17,42.43,43.29,42.21,42.99,1369209
6-Sep-17,41.30,42.90,40.82,42.35,1570819
5-Sep-17,41.30,41.46,40.31,41.30,1387158
1-Sep-17,41.94,42.01,41.13,41.62,1037877
31-Aug-17,41.00,42.10,40.78,41.89,1310490
30-Aug-17,40.21,41.36,40.21,40.76,964248
29-Aug-17,40.41,40.92,40.08,40.28,969655
28-Aug-17,40.41,41.32,40.02,41.18,1416542
25-Aug-17,41.22,41.22,39.64,39.96,1253202
24-Aug-17,40.58,41.23,39.81,41.09,1102470
23-Aug-17,40.19,41.03,39.95,40.39,1314749
22-Aug-17,38.75,40.57,38.73,40.52,1629407
21-Aug-17,38.06,38.80,38.00,38.69,757066
18-Aug-17,37.33,38.49,37.30,37.87,1039106
17-Aug-17,38.49,38.94,37.37,37.46,1160158
16-Aug-17,39.08,39.30,38.45,38.66,844265
15-Aug-17,38.68,39.75,38.53,39.04,1274958
14-Aug-17,38.29,39.11,37.91,38.74,1601859
11-Aug-17,36.94,37.97,36.10,37.76,1183339
10-Aug-17,37.18,37.86,36.91,37.05,1276770
9-Aug-17,37.81,38.54,36.91,37.25,1610908
8-Aug-17,39.34,39.44,38.22,38.26,919550
7-Aug-17,38.84,39.80,38.44,39.20,1006956
4-Aug-17,39.00,39.16,37.79,38.69,1116253
3-Aug-17,37.86,39.13,37.86,38.80,1197744
2-Aug-17,38.05,38.09,36.21,37.89,2076264
1-Aug-17,38.90,39.35,37.74,38.00,1285327
31-Jul-17,39.56,39.71,38.58,38.80,1308396
28-Jul-17,37.61,39.56,37.26,39.47,1969011
27-Jul-17,39.95,40.24,36.52,37.93,4775339
26-Jul-17,40.07,42.18,39.41,39.65,7789030
25-Jul-17,40.00,40.73,36.87,37.33,4782167
24-Jul-17,39.20,39.63,38.00,39.44,3070196
21-Jul-17,39.11,39.33,38.71,39.17,1069630
20-Jul-17,39.58,39.65,38.77,39.04,1710234
19-Jul-17,38.76,39.28,38.47,39.14,1614530
18-Jul-17,38.60,38.77,38.02,38.23,1270653
17-Jul-17,38.91,39.45,38.45,38.64,1406975
14-Jul-17,38.84,39.99,38.45,38.59,1968716
13-Jul-17,39.20,39.40,37.60,38.78,1684475
12-Jul-17,38.20,38.96,37.96,38.81,1538755
11-Jul-17,37.20,38.40,37.10,37.93,1781604
10-Jul-17,37.22,37.74,36.55,37.30,1731249
7-Jul-17,36.44,37.42,36.00,37.03,2748848
6-Jul-17,35.76,36.60,35.45,36.02,1516012
5-Jul-17,34.66,36.11,34.64,36.07,1881659
3-Jul-17,35.45,35.65,34.39,34.43,948523
30-Jun-17,35.00,36.26,35.00,35.37,1418408
29-Jun-17,36.70,36.89,35.32,35.65,2464306
28-Jun-17,34.34,36.60,33.86,36.60,3174083
27-Jun-17,34.79,35.34,34.06,34.09,2991561
26-Jun-17,35.62,36.15,34.52,34.94,1985441
23-Jun-17,34.60,35.60,34.10,35.51,2164132
22-Jun-17,35.21,35.50,34.14,34.71,1435057
21-Jun-17,33.44,35.48,33.44,34.99,2084462
20-Jun-17,33.94,34.29,33.22,33.27,1585123
19-Jun-17,32.57,34.10,32.42,33.99,1913136
16-Jun-17,32.00,32.72,31.89,32.27,3149619
15-Jun-17,31.55,32.82,31.24,32.23,2077391
14-Jun-17,32.52,32.82,31.74,32.09,2046785
13-Jun-17,32.57,33.32,31.85,32.33,3719783
12-Jun-17,32.53,33.30,31.04,32.35,5199103
9-Jun-17,35.12,35.51,32.51,33.43,6078771
8-Jun-17,34.51,35.10,34.21,34.99,3042793
7-Jun-17,34.87,34.95,33.66,34.70,12045684
6-Jun-17,36.76,37.44,35.89,36.59,1890897
5-Jun-17,38.50,38.56,37.05,37.07,3611994
2-Jun-17,38.21,38.89,36.92,38.31,5328718
1-Jun-17,37.01,38.92,36.54,38.24,5531100
31-May-17,35.21,36.64,34.95,36.47,10045695
30-May-17,33.14,33.57,32.62,32.65,1620411
26-May-17,33.05,33.59,32.82,33.32,1368072
25-May-17,33.18,33.24,32.39,33.19,1599119
24-May-17,31.83,33.58,31.52,32.96,2186350
23-May-17,31.77,32.42,30.85,31.90,3363385
22-May-17,30.71,31.83,30.17,31.80,1749163
19-May-17,31.02,31.85,30.26,30.48,1883880
18-May-17,30.13,31.59,29.45,31.03,2967604
17-May-17,31.37,31.65,30.13,30.33,3886126
16-May-17,32.05,32.67,31.56,31.95,4033098
15-May-17,33.96,33.96,31.04,32.43,18797902
12-May-17,34.24,34.29,33.48,33.77,3502237
11-May-17,34.43,34.74,33.41,34.42,2700316
10-May-17,34.84,34.89,34.11,34.47,2702166
9-May-17,34.20,34.98,33.61,34.87,3819330
8-May-17,35.51,36.14,33.75,34.29,5986379
5-May-17,32.22,35.83,32.15,35.43,7450901
4-May-17,31.44,32.01,31.30,31.96,2204319
3-May-17,30.94,31.75,30.54,31.31,2075846
2-May-17,31.34,31.72,30.54,30.97,2036915
1-May-17,29.99,31.49,29.56,31.42,2735892
28-Apr-17,30.31,31.04,29.72,30.01,5083055
27-Apr-17,28.02,30.30,27.69,30.14,15955045
26-Apr-17,24.99,24.99,23.71,23.80,3590525
25-Apr-17,24.71,25.18,24.55,24.89,1652381
24-Apr-17,24.20,24.57,24.10,24.49,1527870
21-Apr-17,24.10,24.23,23.60,23.93,1693253
20-Apr-17,24.83,24.95,24.01,24.24,1588621
19-Apr-17,24.13,24.91,23.98,24.58,2160219
18-Apr-17,23.64,24.25,23.47,23.99,1587846
17-Apr-17,23.49,24.19,23.30,23.80,2393310
13-Apr-17,23.06,23.84,23.00,23.27,1573229
12-Apr-17,23.00,23.32,22.82,23.18,1207816
11-Apr-17,22.81,22.99,22.46,22.87,1009208
10-Apr-17,22.79,22.99,22.56,22.82,1006126
7-Apr-17,22.38,22.88,22.30,22.79,1291003
6-Apr-17,22.53,22.76,22.18,22.47,1696919
5-Apr-17,22.82,23.24,22.40,22.54,1900818
4-Apr-17,23.11,23.37,22.52,22.69,2157652
3-Apr-17,23.75,23.88,22.90,22.94,2487360
31-Mar-17,23.50,24.24,22.70,23.62,2354861
30-Mar-17,23.38,23.57,22.85,23.56,1555648
29-Mar-17,23.25,24.42,23.11,23.34,3584452
28-Mar-17,23.26,23.58,22.64,22.75,2882042
27-Mar-17,22.40,23.24,21.56,22.99,4730387
24-Mar-17,20.44,21.33,20.32,21.08,2310510
23-Mar-17,20.50,20.99,20.01,20.49,2668097
22-Mar-17,20.20,21.10,20.05,20.40,2079259
21-Mar-17,21.30,21.43,19.91,20.14,3893816
20-Mar-17,20.73,21.26,20.70,21.22,1492191
17-Mar-17,20.33,21.12,20.18,20.93,5321037
16-Mar-17,20.83,21.01,20.34,20.44,1742653
15-Mar-17,21.01,21.08,20.40,20.94,2487977
14-Mar-17,21.08,21.20,20.48,21.04,1890294
13-Mar-17,21.37,21.49,20.97,21.16,1022283
10-Mar-17,21.11,21.39,20.80,21.37,1469971
9-Mar-17,22.04,22.27,20.73,21.08,2741625
8-Mar-17,21.77,22.53,21.77,21.94,1828027
7-Mar-17,21.84,22.00,21.54,21.56,1399712
6-Mar-17,22.02,22.14,21.75,22.02,1807926
3-Mar-17,22.42,22.63,21.78,22.11,2236871
2-Mar-17,23.50,24.50,22.42,22.47,5073598
1-Mar-17,22.01,22.68,22.00,22.15,2671800
28-Feb-17,21.94,22.33,21.50,21.52,2206796
27-Feb-17,21.36,22.28,21.13,22.17,2501815
24-Feb-17,21.50,21.87,21.05,21.42,1996755
23-Feb-17,22.75,22.99,21.62,21.68,3556282
22-Feb-17,22.95,23.40,22.50,22.69,5654133
21-Feb-17,21.60,23.68,21.33,22.41,14767173
17-Feb-17,20.13,20.21,19.54,19.91,3523532
16-Feb-17,20.00,20.46,19.76,20.17,3400201
15-Feb-17,18.86,19.94,18.76,19.69,2673020
14-Feb-17,18.57,18.98,18.50,18.90,2015031
13-Feb-17,18.77,18.90,18.50,18.63,2189452
10-Feb-17,18.62,18.80,18.30,18.55,1447413
9-Feb-17,18.45,18.82,18.44,18.58,1606137
8-Feb-17,18.32,18.61,18.09,18.47,1940798
7-Feb-17,18.90,18.98,18.38,18.47,1250507
6-Feb-17,19.13,19.13,18.78,18.88,1287784
3-Feb-17,19.26,19.42,18.77,19.16,1571564
2-Feb-17,19.20,19.41,18.92,19.21,2187398
1-Feb-17,18.95,19.14,18.66,19.01,1827706
31-Jan-17,18.12,19.09,17.88,18.95,2181064
30-Jan-17,18.35,18.35,17.77,18.08,1707747
27-Jan-17,17.76,18.37,17.70,18.35,1638467
26-Jan-17,17.21,17.86,17.01,17.68,2433152
25-Jan-17,17.60,17.87,16.95,17.18,1733548
24-Jan-17,17.76,18.09,17.26,17.54,2297043
23-Jan-17,18.08,18.18,17.36,17.50,2985509
20-Jan-17,18.45,18.83,17.94,18.09,2397619
19-Jan-17,18.95,19.39,18.41,18.42,2393620
18-Jan-17,18.72,19.20,18.57,18.92,1902106
17-Jan-17,19.00,19.04,18.40,18.57,2454447
13-Jan-17,19.22,19.38,18.76,19.04,3369080
12-Jan-17,18.47,19.39,18.15,19.07,3816813
11-Jan-17,17.61,18.77,17.13,18.66,6060465
10-Jan-17,18.08,18.22,17.15,17.57,3268996
9-Jan-17,17.55,18.52,17.10,17.98,10708133
6-Jan-17,15.14,15.34,14.93,15.10,2527607
5-Jan-17,15.75,15.89,14.60,15.18,3436672
4-Jan-17,13.55,15.12,13.42,14.95,3553235
3-Jan-17,13.61,13.66,13.05,13.41,1845459
30-Dec-16,13.50,13.77,13.22,13.36,1615431
29-Dec-16,13.83,13.93,13.45,13.53,1097552
28-Dec-16,13.90,13.99,13.52,13.75,1149218
27-Dec-16,14.26,14.56,13.97,13.99,1218362
23-Dec-16,13.38,14.19,13.31,14.17,2020400
22-Dec-16,13.77,13.85,13.27,13.38,1432400
21-Dec-16,14.01,14.34,13.80,13.80,1315114
20-Dec-16,14.07,14.26,13.80,13.96,1560340
19-Dec-16,14.35,14.45,13.82,14.01,2144858
16-Dec-16,14.25,14.78,14.24,14.34,3541151
15-Dec-16,13.89,14.40,13.86,14.13,3293905
14-Dec-16,13.80,14.05,13.47,13.63,2108064
13-Dec-16,13.85,14.06,13.69,13.88,1780514
12-Dec-16,14.42,14.54,13.87,13.88,1914308
9-Dec-16,14.60,14.92,14.20,14.39,1497353
8-Dec-16,14.33,14.60,14.06,14.54,1341011
7-Dec-16,14.42,14.55,13.80,14.31,1962041
6-Dec-16,13.87,14.67,13.68,14.62,2321497
5-Dec-16,14.00,14.32,13.71,13.90,2064595
2-Dec-16,13.66,14.15,13.35,13.98,1818806
1-Dec-16,14.85,14.86,13.64,13.64,2897341
30-Nov-16,15.22,15.30,14.55,14.77,1707077
29-Nov-16,15.12,15.45,14.98,15.16,1766490
28-Nov-16,15.84,15.84,15.13,15.19,1673857
25-Nov-16,15.47,15.85,15.28,15.81,813346
23-Nov-16,14.57,15.38,14.52,15.36,1643949
22-Nov-16,15.17,15.85,14.73,14.79,2517831
21-Nov-16,14.40,15.05,14.36,15.05,2613983
18-Nov-16,14.62,14.90,14.11,14.51,3305673
17-Nov-16,14.85,15.40,14.40,14.62,4000387
16-Nov-16,17.20,17.28,14.55,14.63,8268320
15-Nov-16,17.49,17.56,17.13,17.41,2615599
14-Nov-16,17.88,17.98,17.04,17.60,2493256
11-Nov-16,17.21,18.03,16.76,17.68,2823743
10-Nov-16,17.36,17.77,16.68,17.20,2197427
9-Nov-16,16.92,18.72,16.43,16.94,5752056
8-Nov-16,16.33,17.21,16.12,17.10,2224298
7-Nov-16,15.92,16.44,15.60,16.41,2582019
4-Nov-16,15.61,15.96,15.44,15.53,2167966
3-Nov-16,15.71,15.94,15.45,15.55,1921303
2-Nov-16,15.78,15.99,15.55,15.70,1749373
1-Nov-16,15.62,15.85,15.34,15.81,1714573
31-Oct-16,15.49,15.71,15.01,15.58,1678364
28-Oct-16,15.22,16.18,15.06,15.48,2862534
27-Oct-16,17.01,17.20,15.20,15.27,4256899
26-Oct-16,18.69,18.89,16.26,16.73,10488765
25-Oct-16,20.02,20.12,19.32,19.59,2766265
24-Oct-16,19.81,20.18,19.65,20.12,1822595
21-Oct-16,19.80,20.13,19.65,19.82,1871465
20-Oct-16,19.44,20.40,19.44,20.14,1829559
19-Oct-16,19.75,19.80,18.98,19.44,1599696
18-Oct-16,20.00,20.32,19.68,19.75,1984820
17-Oct-16,18.72,19.79,18.58,19.73,3105908
14-Oct-16,18.63,18.99,18.14,18.33,2226567
13-Oct-16,18.09,18.70,18.07,18.54,1121773
12-Oct-16,19.20,19.22,18.46,18.48,1646050
11-Oct-16,19.61,19.84,19.08,19.24,1443549
10-Oct-16,19.42,19.90,19.32,19.83,1218176
7-Oct-16,19.25,19.59,18.93,19.28,1261227
6-Oct-16,18.67,19.56,18.33,19.22,2031479
5-Oct-16,18.93,19.14,18.76,18.83,1296760
4-Oct-16,19.17,19.78,18.64,18.81,2419824
3-Oct-16,18.32,19.53,17.82,18.85,5551217
30-Sep-16,17.79,18.70,17.69,18.57,2808467
29-Sep-16,18.75,19.01,17.60,17.68,4160411
28-Sep-16,19.32,19.56,18.69,18.90,2259903
27-Sep-16,19.46,19.90,19.16,19.34,2215915
26-Sep-16,20.00,20.13,19.38,19.44,2395833
23-Sep-16,21.34,21.37,19.21,20.16,3543565
22-Sep-16,21.68,22.21,21.42,21.45,2174039
21-Sep-16,21.09,21.56,20.55,21.46,2378636
20-Sep-16,20.42,21.30,20.42,20.90,2507800
