Date,Open,High,Low,Close,Volume
20-Oct-17,27.31,27.83,27.06,27.17,2742556
19-Oct-17,27.40,28.08,26.81,27.46,3788304
18-Oct-17,28.35,28.46,27.38,27.53,5060144
17-Oct-17,29.02,30.20,28.25,28.30,8001754
16-Oct-17,29.12,32.50,28.45,29.02,29948192
13-Oct-17,24.80,24.89,24.46,24.76,2074186
12-Oct-17,25.54,25.72,24.72,24.73,3069792
11-Oct-17,26.00,26.12,25.62,25.65,2434651
10-Oct-17,25.64,25.96,25.55,25.94,1671388
9-Oct-17,25.91,26.04,25.37,25.66,1739299
6-Oct-17,25.53,26.19,25.53,25.71,2525338
5-Oct-17,25.27,26.20,25.22,25.73,2959221
4-Oct-17,24.41,25.50,24.30,25.26,4210175
3-Oct-17,24.21,24.42,23.85,24.41,2349279
2-Oct-17,24.33,24.53,24.01,24.28,2817111
29-Sep-17,24.18,24.44,23.68,24.23,2957121
28-Sep-17,23.67,24.49,23.56,24.23,2518505
27-Sep-17,23.71,24.27,23.63,23.75,2713572
26-Sep-17,23.31,23.97,23.18,23.59,3287367
25-Sep-17,24.98,25.10,23.18,23.35,7333699
22-Sep-17,27.00,27.01,24.07,24.47,10841219
21-Sep-17,28.22,28.37,27.96,28.01,1575905
20-Sep-17,27.90,28.65,27.83,28.27,3128940
19-Sep-17,27.53,27.96,27.51,27.92,2071256
18-Sep-17,27.57,28.13,27.40,27.58,2543884
15-Sep-17,27.49,28.12,27.32,27.57,8048436
14-Sep-17,26.96,27.55,26.90,27.24,4039806
13-Sep-17,26.91,27.54,26.80,27.11,3092119
12-Sep-17,26.21,26.95,26.04,26.95,3293406
11-Sep-17,26.58,26.98,25.71,26.24,4520959
8-Sep-17,25.49,26.50,25.48,25.97,4567016
7-Sep-17,28.05,28.17,24.67,25.66,10066618
6-Sep-17,28.41,28.65,28.15,28.17,2437650
5-Sep-17,28.85,29.30,27.91,28.22,2849204
1-Sep-17,29.45,29.47,28.67,28.98,2809581
31-Aug-17,28.48,29.50,28.40,29.24,3618678
30-Aug-17,27.56,28.67,27.56,28.28,3318455
29-Aug-17,27.08,27.77,26.93,27.56,2107302
28-Aug-17,27.32,27.93,27.10,27.32,2610611
25-Aug-17,27.40,27.81,27.10,27.16,2123582
24-Aug-17,26.99,27.44,26.77,27.32,1889487
23-Aug-17,26.88,27.57,26.78,26.79,2220864
22-Aug-17,26.44,27.06,26.42,27.00,2571397
21-Aug-17,26.44,26.83,26.08,26.37,1893822
18-Aug-17,26.81,26.92,26.08,26.33,2497407
17-Aug-17,26.71,27.09,26.52,26.88,3070527
16-Aug-17,27.85,27.90,26.65,26.78,3127283
15-Aug-17,26.92,27.16,26.70,26.91,2536754
14-Aug-17,26.73,27.00,26.36,26.74,2139761
11-Aug-17,26.49,27.10,26.32,26.51,2021024
10-Aug-17,27.03,27.28,26.42,26.45,3201863
9-Aug-17,26.90,27.72,26.71,27.19,3418375
8-Aug-17,26.58,27.35,26.29,27.20,3102076
7-Aug-17,26.22,26.85,26.11,26.69,3191462
4-Aug-17,25.86,26.81,25.81,26.66,2758945
3-Aug-17,26.16,27.38,25.41,25.71,5701655
2-Aug-17,26.90,27.00,25.56,26.63,4084215
1-Aug-17,27.21,27.34,26.29,26.47,3669026
31-Jul-17,27.63,27.88,26.90,27.11,2779009
28-Jul-17,27.01,27.79,26.77,27.63,2267377
27-Jul-17,28.11,28.23,26.40,27.11,3572493
26-Jul-17,27.56,28.13,27.50,28.02,2814896
25-Jul-17,28.29,28.45,27.15,27.41,4180934
24-Jul-17,27.20,28.14,27.20,28.11,3825332
21-Jul-17,26.94,27.28,26.92,27.23,2193259
20-Jul-17,26.88,27.34,26.80,26.99,4765211
19-Jul-17,26.30,26.79,26.04,26.75,4652644
18-Jul-17,26.18,26.52,25.74,26.15,4632073
17-Jul-17,26.89,26.96,26.07,26.21,2661101
14-Jul-17,26.86,27.63,26.42,26.74,6202096
13-Jul-17,26.67,26.88,26.03,26.58,3541456
12-Jul-17,25.56,26.80,25.30,26.61,4666678
11-Jul-17,25.54,25.68,25.08,25.42,3010886
10-Jul-17,25.61,25.71,24.84,25.49,3882168
7-Jul-17,24.81,25.30,24.66,25.21,3929961
6-Jul-17,24.80,25.13,24.23,24.60,5201271
5-Jul-17,24.77,25.44,24.57,24.97,4730078
3-Jul-17,24.68,25.18,24.42,24.75,1905325
30-Jun-17,24.79,24.85,24.23,24.63,3975832
29-Jun-17,24.04,24.82,23.40,24.64,5572106
28-Jun-17,23.66,24.15,23.08,24.02,4579516
27-Jun-17,24.90,25.22,23.57,23.59,4642689
26-Jun-17,24.32,25.18,23.81,24.90,6110490
23-Jun-17,24.11,24.54,23.78,23.78,31692494
22-Jun-17,24.25,24.63,23.50,24.07,4882941
21-Jun-17,22.31,24.42,22.31,24.02,7602082
20-Jun-17,21.55,22.57,21.50,22.28,5095385
19-Jun-17,20.00,21.63,19.80,21.60,5709876
16-Jun-17,19.05,19.50,18.91,19.26,3678824
15-Jun-17,19.48,19.65,19.13,19.24,2026701
14-Jun-17,20.00,20.04,19.44,19.67,1951382
13-Jun-17,19.79,20.05,19.54,19.90,2054691
12-Jun-17,19.27,19.85,18.25,19.80,4083765
9-Jun-17,19.78,20.04,18.76,19.25,3546677
8-Jun-17,19.31,20.26,19.29,19.72,3250069
7-Jun-17,19.13,19.52,19.10,19.34,2187192
6-Jun-17,19.01,19.34,18.78,19.13,2048459
5-Jun-17,19.08,19.28,18.94,19.10,2192988
2-Jun-17,19.15,19.32,18.78,19.04,2549488
1-Jun-17,18.72,19.24,18.60,19.06,2502951
31-May-17,18.50,18.78,18.05,18.71,4240677
30-May-17,19.30,19.46,18.03,18.32,5729578
26-May-17,19.55,19.72,19.19,19.35,2378096
25-May-17,20.20,20.23,19.55,19.57,2592435
24-May-17,19.84,20.44,19.52,20.17,3454788
23-May-17,19.34,20.16,19.15,19.80,3933463
22-May-17,19.73,20.00,19.03,19.30,4235300
19-May-17,21.08,21.39,19.58,19.68,5867718
18-May-17,19.86,21.11,19.76,21.03,5081083
17-May-17,21.32,21.33,19.55,19.86,8705065
16-May-17,21.78,22.03,21.42,21.56,3584471
15-May-17,21.77,21.90,21.44,21.70,1945134
12-May-17,21.69,21.75,21.43,21.61,1962390
11-May-17,22.08,22.25,21.33,21.72,3317245
10-May-17,21.93,22.25,21.65,22.11,3165153
9-May-17,21.61,22.10,21.53,21.84,2680259
8-May-17,21.72,21.97,21.38,21.56,3592891
5-May-17,22.04,22.04,21.52,21.69,2538361
4-May-17,22.67,22.84,21.76,22.04,3159773
3-May-17,23.09,23.19,22.50,22.52,2608898
2-May-17,24.01,24.85,22.77,23.16,7594277
1-May-17,22.56,23.40,22.23,23.15,4801215
28-Apr-17,22.30,22.51,22.10,22.40,2468510
27-Apr-17,22.09,22.39,21.73,22.24,2247513
26-Apr-17,22.08,22.14,21.66,22.00,2831632
25-Apr-17,21.59,22.27,21.45,22.08,3668444
24-Apr-17,21.16,21.52,21.14,21.30,2666263
21-Apr-17,21.29,21.84,20.94,20.98,3887873
20-Apr-17,21.13,21.38,20.91,21.32,2064072
19-Apr-17,21.02,21.29,20.80,21.04,2121351
18-Apr-17,21.14,21.31,20.51,20.88,1809754
17-Apr-17,21.28,21.40,21.00,21.29,1761944
13-Apr-17,20.67,21.78,20.67,21.29,2928572
12-Apr-17,20.85,20.91,20.42,20.68,2368891
11-Apr-17,20.31,20.98,20.14,20.96,2421107
10-Apr-17,20.74,20.80,20.27,20.28,1773970
7-Apr-17,20.35,20.74,20.24,20.47,2624164
