Date,Open,High,Low,Close,Volume
20-Oct-17,54.85,55.20,53.60,54.65,768323
19-Oct-17,54.25,54.70,53.05,54.15,502343
18-Oct-17,56.00,56.50,54.95,55.05,371377
17-Oct-17,54.60,55.85,53.92,55.30,431511
16-Oct-17,55.00,56.02,54.10,54.50,319304
13-Oct-17,55.50,56.20,54.60,54.75,409180
12-Oct-17,56.05,57.45,55.58,55.82,582376
11-Oct-17,55.00,56.95,54.96,56.45,741758
10-Oct-17,55.00,55.15,53.87,55.15,555643
9-Oct-17,55.20,55.90,54.40,55.10,441897
6-Oct-17,56.00,56.00,54.12,55.20,723955
5-Oct-17,58.15,58.62,55.90,56.70,1214304
4-Oct-17,56.45,60.15,55.95,60.10,2814728
3-Oct-17,55.65,56.15,55.00,56.05,508121
2-Oct-17,53.45,55.65,53.20,55.65,656940
29-Sep-17,53.25,54.05,52.85,53.80,421102
28-Sep-17,51.95,54.00,51.82,53.45,522086
27-Sep-17,51.15,52.25,50.45,51.95,420732
26-Sep-17,51.80,52.32,50.40,50.50,515114
25-Sep-17,51.30,52.66,50.50,51.75,622298
22-Sep-17,52.60,52.80,50.55,51.35,650609
21-Sep-17,53.80,54.05,52.80,52.90,344590
20-Sep-17,53.75,54.05,53.10,53.90,624971
19-Sep-17,52.90,53.80,52.70,53.50,474681
18-Sep-17,52.55,53.10,52.10,52.75,729517
15-Sep-17,52.00,52.61,51.35,52.40,1462946
14-Sep-17,51.00,52.70,50.30,52.10,890315
13-Sep-17,49.80,52.50,49.55,51.60,1366046
12-Sep-17,49.80,50.40,48.75,49.85,514652
11-Sep-17,49.45,50.75,48.85,49.90,771009
8-Sep-17,48.50,49.40,48.25,49.10,563672
7-Sep-17,48.05,48.90,47.20,48.80,657469
6-Sep-17,48.45,49.50,47.85,48.10,1008550
5-Sep-17,48.90,48.90,47.20,48.15,1133374
1-Sep-17,48.05,49.00,47.60,49.00,572517
31-Aug-17,46.55,48.30,46.15,48.20,857672
30-Aug-17,44.70,47.00,44.50,46.45,813787
29-Aug-17,42.95,45.00,42.55,44.85,862025
28-Aug-17,43.30,43.55,42.75,43.50,534232
25-Aug-17,43.30,43.70,42.20,42.80,989480
24-Aug-17,41.30,43.00,41.15,43.00,825412
23-Aug-17,41.15,41.70,40.85,41.20,502422
22-Aug-17,41.20,41.48,40.32,41.40,1074925
21-Aug-17,40.90,41.60,40.60,41.25,639889
18-Aug-17,40.65,41.25,40.35,41.00,1348330
17-Aug-17,40.85,41.95,40.26,41.00,1570334
16-Aug-17,42.00,42.95,40.60,40.75,3945134
15-Aug-17,42.95,44.45,41.25,41.30,1258184
14-Aug-17,42.20,44.85,42.00,44.05,1251077
