Date,Open,High,Low,Close,Volume
20-Oct-17,48.82,49.01,48.72,48.89,69653
19-Oct-17,48.80,49.01,48.77,48.95,115440
18-Oct-17,48.51,48.55,48.29,48.49,93282
17-Oct-17,47.55,48.17,47.54,48.10,132898
16-Oct-17,47.89,48.18,47.83,48.09,95640
13-Oct-17,48.11,48.15,47.88,48.04,143628
12-Oct-17,47.97,48.12,47.94,47.99,85864
11-Oct-17,48.45,48.46,48.40,48.42,23202
10-Oct-17,47.63,47.97,47.19,47.74,215974
9-Oct-17,48.91,48.94,48.29,48.30,195061
6-Oct-17,48.88,49.03,48.82,48.94,77431
5-Oct-17,49.06,49.20,48.89,49.05,167181
4-Oct-17,49.89,50.13,49.78,49.89,183815
3-Oct-17,49.53,49.73,49.41,49.72,127509
2-Oct-17,49.24,49.43,49.21,49.42,166565
29-Sep-17,48.70,48.89,48.58,48.89,140566
28-Sep-17,48.61,48.76,48.55,48.60,156118
27-Sep-17,47.62,47.84,47.59,47.71,196684
26-Sep-17,48.07,48.21,47.82,48.19,233760
25-Sep-17,48.63,48.68,48.14,48.26,398200
22-Sep-17,49.07,49.09,47.94,48.11,469875
21-Sep-17,48.79,48.94,48.69,48.86,53692
20-Sep-17,49.21,49.35,48.74,49.05,147755
19-Sep-17,49.51,49.57,49.34,49.48,201736
18-Sep-17,49.00,49.06,48.83,49.03,97507
15-Sep-17,48.96,48.96,48.63,48.75,106171
14-Sep-17,48.33,48.58,48.28,48.47,74792
13-Sep-17,48.31,48.46,48.29,48.30,249654
12-Sep-17,48.27,48.69,48.17,48.63,438134
11-Sep-17,48.10,48.41,48.07,48.31,220714
8-Sep-17,47.77,47.97,47.62,47.97,257783
7-Sep-17,47.78,48.01,47.63,47.93,291527
6-Sep-17,47.31,47.50,47.08,47.50,192036
5-Sep-17,47.12,47.32,46.90,47.08,79529
1-Sep-17,47.21,47.27,47.03,47.17,338723
31-Aug-17,46.40,47.02,46.34,47.01,161542
30-Aug-17,46.67,46.75,46.46,46.64,128198
29-Aug-17,46.65,46.82,46.62,46.74,86313
28-Aug-17,46.89,46.98,46.75,46.83,69538
25-Aug-17,46.87,47.10,46.78,46.97,69154
24-Aug-17,47.21,47.32,46.83,46.83,343801
23-Aug-17,47.00,47.18,46.97,47.15,134754
22-Aug-17,46.75,47.08,46.67,47.05,211104
21-Aug-17,46.37,46.41,46.12,46.32,106108
18-Aug-17,46.76,46.76,46.35,46.38,101389
17-Aug-17,46.67,46.97,46.46,46.47,161717
16-Aug-17,46.44,46.58,46.31,46.50,413268
15-Aug-17,46.23,46.61,46.06,46.61,279202
14-Aug-17,45.93,46.13,45.82,46.03,165068
11-Aug-17,45.67,45.93,45.60,45.85,235508
10-Aug-17,45.20,45.23,44.88,44.95,179980
9-Aug-17,45.75,45.75,45.46,45.70,156328
8-Aug-17,45.80,46.03,45.70,45.82,292568
7-Aug-17,45.54,46.16,45.51,46.14,349343
4-Aug-17,46.44,46.48,46.15,46.45,144249
3-Aug-17,46.27,46.42,46.16,46.28,157096
2-Aug-17,46.97,46.97,45.98,46.11,299733
1-Aug-17,47.74,48.07,47.24,47.33,190324
31-Jul-17,-,-,47.05,47.08,141734
28-Jul-17,47.15,47.39,47.13,47.23,222137
27-Jul-17,47.59,47.66,47.16,47.20,143188
26-Jul-17,47.45,47.72,47.39,47.55,198089
25-Jul-17,47.97,48.02,47.65,47.73,89951
24-Jul-17,47.37,47.60,47.31,47.54,150888
21-Jul-17,47.39,47.59,47.20,47.55,221771
20-Jul-17,48.17,48.41,47.99,48.26,165330
19-Jul-17,48.42,48.44,48.11,48.34,126151
18-Jul-17,48.81,48.83,48.62,48.74,384798
17-Jul-17,49.08,49.28,49.01,49.16,54372
14-Jul-17,49.12,49.43,49.01,49.30,69057
13-Jul-17,48.69,48.77,48.50,48.68,63289
12-Jul-17,48.38,48.81,48.37,48.75,61906
11-Jul-17,47.73,47.98,47.62,47.92,69706
10-Jul-17,47.90,47.99,47.81,47.84,58065
7-Jul-17,47.59,47.85,47.43,47.84,90194
6-Jul-17,47.83,47.87,47.58,47.75,95453
5-Jul-17,47.90,48.38,47.84,48.37,118844
3-Jul-17,47.87,48.29,47.83,48.19,70062
30-Jun-17,48.50,48.50,48.06,48.33,137047
29-Jun-17,48.54,48.54,48.02,48.23,118956
28-Jun-17,48.89,49.22,48.85,49.19,58485
27-Jun-17,48.78,49.05,48.72,48.80,80733
26-Jun-17,49.02,49.11,48.83,48.86,173628
23-Jun-17,49.12,49.39,48.93,49.04,223549
22-Jun-17,49.19,49.44,49.12,49.32,67538
21-Jun-17,48.58,48.84,48.57,48.80,98771
20-Jun-17,49.22,49.34,48.93,49.02,81871
19-Jun-17,49.59,49.60,49.36,49.46,107217
16-Jun-17,49.33,49.60,49.24,49.51,68529
15-Jun-17,48.92,49.11,48.74,49.05,79387
14-Jun-17,50.14,50.22,49.69,49.90,139081
13-Jun-17,48.92,49.44,48.90,49.38,238183
12-Jun-17,48.51,48.68,48.31,48.66,186036
9-Jun-17,48.37,48.58,48.29,48.53,138892
8-Jun-17,47.98,48.03,47.75,47.78,133091
7-Jun-17,47.85,48.02,47.66,47.70,118965
6-Jun-17,48.26,48.57,48.26,48.43,97855
5-Jun-17,48.56,48.60,48.38,48.43,76991
2-Jun-17,48.67,48.80,48.57,48.70,154966
1-Jun-17,47.64,47.96,47.64,47.92,93536
31-May-17,47.46,47.93,47.42,47.72,202360
30-May-17,46.37,46.53,46.22,46.34,126326
26-May-17,46.69,46.73,46.55,46.62,156592
25-May-17,46.11,46.44,46.10,46.37,91350
24-May-17,45.65,45.84,45.61,45.81,95673
23-May-17,46.16,46.23,45.77,45.81,69205
22-May-17,46.00,46.21,45.97,46.05,96951
19-May-17,45.69,45.83,45.62,45.70,123225
18-May-17,45.69,45.80,45.59,45.61,198963
17-May-17,45.55,45.66,45.20,45.24,215748
16-May-17,46.68,46.68,46.21,46.23,230486
15-May-17,46.37,46.48,46.30,46.33,130931
12-May-17,46.36,46.69,46.30,46.61,146980
11-May-17,46.08,46.30,45.88,46.24,128324
10-May-17,46.84,46.86,46.38,46.59,182245
9-May-17,46.66,46.86,46.58,46.67,114465
8-May-17,46.36,46.46,46.30,46.34,256043
5-May-17,46.30,46.83,46.18,46.82,201049
4-May-17,45.83,46.29,45.83,46.27,307223
3-May-17,45.43,45.67,45.19,45.63,427078
2-May-17,45.26,45.74,45.16,45.66,206042
1-May-17,44.38,44.56,44.33,44.50,86948
28-Apr-17,44.74,44.77,44.32,44.44,131829
27-Apr-17,44.67,44.79,44.56,44.63,136254
26-Apr-17,44.43,44.72,44.39,44.58,126350
25-Apr-17,44.33,44.54,44.25,44.51,284229
24-Apr-17,44.01,44.19,43.93,43.98,231322
